coming up with killer sound bites
Basic
0.4 0.4
288 86.39999
Moved 207.4465 447.1704 409.5114 0.3026751 0.2489738
Moved 207.4629 447 402.6851 0.3020833 0.1699667
Moved 207.4781 446.2953 398.8859 0.2996366 0.1259945
Moved 207.4939 446 394.5555 0.2986111 0.07587468
Moved 207.5096 444.4133 389.2399 0.2931018 0.01435103
Moved 207.5262 442.9749 383.8996 0.2881074 -0.04745801
Moved 207.5414 443 379.6037 0.2881944 -0.09717941
Moved 207.5568 442 377.3945 0.2847221 -0.1227488
Moved 207.5721 441.0247 373.0741 0.2813357 -0.1727535
Moved 207.5865 441 368.7533 0.28125 -0.2227628
Moved 207.6019 440.1492 366.2984 0.2782958 -0.2511756
Moved 207.6189 440 362.1185 0.2777778 -0.299554
Moved 207.6329 439.2697 360.2697 0.275242 -0.3209527
Moved 207.6486 439 357.6589 0.2743055 -0.3511701
Moved 207.6639 439 356.7842 0.2743055 -0.3612942
Moved 207.6793 438.2768 355.2768 0.2717945 -0.3787408
Moved 207.6943 438 353.8367 0.2708333 -0.3954089
Moved 207.7178 436.5 351.5 0.265625 -0.4224533
Stationary 207.7299 436.5 351.5 0.265625 -0.4224533
Moved 207.7422 436 351 0.2638888 -0.4282411
Stationary 207.7576 436 351 0.2638888 -0.4282411
Moved 207.7727 434.999 349.999 0.2604131 -0.4398265
Stationary 207.7876 434.999 349.999 0.2604131 -0.4398265
Moved 207.8029 434 349.1172 0.2569444 -0.4500318
Moved 207.8179 432.6808 349 0.252364 -0.4513885
Stationary 207.8342 432.6808 349 0.252364 -0.4513885
Moved 207.8494 430.7962 349 0.24582 -0.4513885
Stationary 207.8653 430.7962 349 0.24582 -0.4513885
Moved 207.8794 429.2002 349 0.2402785 -0.4513885
Moved 207.8946 427.8171 349 0.2354762 -0.4513885
Moved 207.9125 425.7607 349 0.2283355 -0.4513885
Moved 207.9259 423.9432 357.4547 0.2220249 -0.3535334
Moved 207.9418 422.0056 360.4916 0.2152973 -0.3183845
Moved 207.9576 421 363.8637 0.2118055 -0.2793552
Moved 207.9744 419.6282 366.7435 0.2070425 -0.2460236
Moved 207.9884 420 369 0.2083333 -0.2199074
Moved 208.0035 419 373.8433 0.2048611 -0.1638504
Moved 208.0253 419 381.5893 0.2048611 -0.07419834
Stationary 208.0363 419 381.5893 0.2048611 -0.07419834
Moved 208.0499 419 385.6906 0.2048611 -0.0267299
Moved 208.0667 419 389.3381 0.2048611 0.01548785
Moved 208.0808 419 392.2104 0.2048611 0.04873152
Moved 208.0967 419 396.5 0.2048611 0.09837998
Moved 208.1132 419 398.2274 0.2048611 0.1183722
Moved 208.1275 419 401.0995 0.2048611 0.1516151
Moved 208.1425 419 403.9801 0.2048611 0.1849549
Moved 208.1586 419 405.9219 0.2048611 0.2074291
Moved 208.1738 419 408.7236 0.2048611 0.239857
Moved 208.1889 426.7963 411.5927 0.2319317 0.2730631
Moved 208.2056 428.2365 413.2365 0.2369322 0.2920887
Moved 208.2199 429.2602 414.2603 0.2404869 0.3039383
Moved 208.2352 430.7841 416.7841 0.2457783 0.3331497
Moved 208.2505 432.2202 418.2203 0.2507648 0.3497721
Moved 208.2672 433 419.6619 0.2534721 0.3664577
Moved 208.2821 434.0981 421.098 0.2572849 0.383079
Moved 208.2973 435.5369 422.5369 0.262281 0.3997329
Moved 208.3145 436.9758 423.9758 0.2672769 0.416386
Moved 208.3283 437 425.0441 0.2673611 0.4287517
Moved 208.3434 438.5 425 0.2725693 0.4282407
Moved 208.3584 438 426.5 0.2708333 0.445602
Moved 208.3737 439.1919 426 0.2749718 0.4398148
Moved 208.3895 439 427 0.2743055 0.4513891
Stationary 208.4046 439 427 0.2743055 0.4513891
Moved 208.419 439 428.5 0.2743055 0.4687498
Stationary 208.4352 439 428.5 0.2743055 0.4687498
Stationary 208.4507 439 428.5 0.2743055 0.4687498
Moved 208.4656 439 428 0.2743055 0.462963
Moved 208.4814 431.4723 428 0.2481675 0.462963
Moved 208.498 429.4037 423.8257 0.2409848 0.4146491
Moved 208.515 426.9143 417.8715 0.2323413 0.3457347
Moved 208.5351 423.3177 409.2708 0.2198531 0.2461894
Stationary 208.5455 423.3177 409.2708 0.2198531 0.2461894
Moved 208.5587 421.9756 403.9022 0.2151929 0.1840533
Moved 208.5741 420.5397 398.1589 0.2102074 0.1175806
Moved 208.5903 420 394.2022 0.2083333 0.07178465
Moved 208.6044 418.6872 390.0616 0.203775 0.02386181
Moved 208.6221 418.2523 384.7569 0.2022649 -0.03753591
Moved 208.6361 416.8177 380.4532 0.1972838 -0.08734703
Moved 208.6518 417 376.5 0.1979166 -0.1331015
Moved 208.6671 415.31 373.6201 0.1920487 -0.1664342
Moved 208.6829 413.8745 369.6235 0.1870641 -0.2126909
Moved 208.6979 413 365.8708 0.1840278 -0.2561251
Moved 208.7126 411.9995 363.9995 0.1805539 -0.2777834
Moved 208.729 410.5607 361.1214 0.175558 -0.3110949
Moved 208.7447 410.1245 359.1245 0.1740433 -0.334207
Moved 208.7597 408.6861 357.6862 0.1690491 -0.3508547
Moved 208.7748 409 355.3542 0.1701389 -0.3778447
Moved 208.7907 408 354.1362 0.1666667 -0.3919418
Moved 208.8057 408 352.6975 0.1666667 -0.4085936
Moved 208.8204 407 351.2587 0.1631944 -0.4252459
Moved 208.8363 407 350.5 0.1631944 -0.4340278
Moved 208.8514 405.6906 349.6907 0.158648 -0.443395
Moved 208.8664 404.9727 348.9727 0.1561554 -0.4517047
Stationary 208.8822 404.9727 348.9727 0.1561554 -0.4517047
Moved 208.8976 404.4228 348 0.1542456 -0.462963
Moved 208.9135 403.5 348 0.1510416 -0.462963
Moved 208.9284 402.7733 348 0.1485184 -0.462963
Moved 208.9432 401.1131 348 0.1427539 -0.462963
Moved 208.9603 400.5 348 0.1406249 -0.462963
Moved 208.9792 399.236 348 0.136236 -0.462963
Moved 208.9903 398.5 348 0.1336806 -0.462963
Moved 209.0057 396.705 348 0.1274478 -0.462963
Moved 209.0223 395.2217 348 0.1222977 -0.462963
Moved 209.0369 393.7864 348 0.117314 -0.462963
Moved 209.0516 391.3508 356.2985 0.1088568 -0.3669159
Moved 209.0673 388.8342 358.0829 0.1001187 -0.3462618
Moved 209.0825 386.9563 361.5656 0.09359822 -0.3059542
Moved 209.0987 384.5591 365.1614 0.08527473 -0.2643359
Moved 209.1138 381.874 369.189 0.07595137 -0.2177196
Moved 209.1291 379 373.5 0.06597221 -0.1678241
Moved 209.1444 376.1241 376.8759 0.05598634 -0.128751
Moved 209.1599 374.6234 379.7532 0.05077571 -0.09544867
Moved 209.1756 372.1921 382.6158 0.04233375 -0.06231732
Moved 209.1906 370.765 385.47 0.03737837 -0.02928186
Moved 209.2068 369.5 386.5 0.0329861 -0.01736093
Moved 209.2218 368.2395 387.7605 0.02860948 -0.002772013
Moved 209.2377 366.8068 389.1932 0.02363473 0.01381009
Moved 209.253 364.373 391.627 0.01518414 0.0419788
Moved 209.2689 362.928 393.072 0.01016676 0.05870342
Moved 209.2846 361.5 394.5 0.005208402 0.07523166
Moved 209.2998 360.0565 395.9435 0.0001960993 0.09193915
Moved 209.3155 358.6295 397.3705 -0.004758611 0.1084547
Moved 209.3307 357.6318 397 -0.008222759 0.104167
Moved 209.3458 357.0756 398 -0.01015432 0.1157407
Moved 209.3614 357 399.3701 -0.01041666 0.1315988
Moved 209.3826 354.7545 400.2455 -0.01821346 0.1417301
Stationary 209.3936 354.7545 400.2455 -0.01821346 0.1417301
Moved 209.4067 354.3186 400.6814 -0.01972705 0.1467754
