my bare face in the wind
Basic
0.8 0.8
575.9999 518.4
Moved 71.6676 297.2566 536.2566 -0.1089295 0.2859887
Moved 71.68274 298.5707 539.1414 -0.106648 0.2915536
Moved 71.69925 299 541.4735 -0.1059028 0.2960522
Moved 71.71536 300.0802 544.1605 -0.1040274 0.3012353
Moved 71.72934 300 545.5 -0.1041667 0.3038194
Moved 71.74539 301 547.9577 -0.1024305 0.3085603
Moved 71.76611 301 549.3925 -0.1024305 0.3113281
Stationary 71.77774 301 549.3925 -0.1024305 0.3113281
Moved 71.79028 301 550.2684 -0.1024305 0.3130176
Moved 71.80875 301 551.5 -0.1024305 0.3153935
Moved 71.82193 301 551.8233 -0.1024305 0.3160171
Moved 71.83737 290.8987 553.2626 -0.1199675 0.3187936
Moved 71.85196 287.2183 553.6954 -0.1263571 0.3196285
Moved 71.86816 282.5958 554 -0.1343822 0.320216
Moved 71.88379 277.2756 554 -0.1436188 0.320216
Moved 71.89914 271.9293 554 -0.1529006 0.320216
Moved 71.91431 267.6436 554 -0.1603409 0.320216
Moved 71.93024 263.4187 554 -0.1676759 0.320216
Moved 71.9454 258.0779 554 -0.1769481 0.320216
Moved 71.96851 247.5793 554 -0.1951749 0.320216
Stationary 71.97971 247.5793 554 -0.1951749 0.320216
Moved 71.99078 241.8389 554 -0.2051408 0.320216
Moved 72.00668 238.8081 554 -0.2104026 0.320216
Moved 72.0242 235.6628 554 -0.2158631 0.320216
Moved 72.039 233.5311 554 -0.2195641 0.320216
Moved 72.05707 231.516 554 -0.2230625 0.320216
Moved 72.06937 229.8167 554 -0.2260127 0.320216
Moved 72.08246 227.378 554 -0.2302465 0.320216
Moved 72.09937 226.5 554 -0.2317708 0.320216
Moved 72.11505 225.7501 554 -0.2330727 0.320216
Stationary 72.12857 225.7501 554 -0.2330727 0.320216
Stationary 72.14484 226 554 -0.2326389 0.320216
Ended 72.16373 226 554 -0.2326389 0.320216
Began 72.43433 358 362 -0.003472231 -0.05015432
Stationary 72.45667 358 362 -0.003472231 -0.05015432
Stationary 72.46906 358 362 -0.003472231 -0.05015432
Stationary 72.48395 358 362 -0.003472231 -0.05015432
Stationary 72.49939 358 362 -0.003472231 -0.05015432
Moved 72.51547 347.5712 362 -0.02157774 -0.05015432
Moved 72.53146 341.5593 362 -0.03201518 -0.05015432
Moved 72.54724 336.1648 362 -0.04138056 -0.05015432
Moved 72.56281 327.1369 362 -0.05705394 -0.05015432
Moved 72.57834 319.121 362 -0.07097046 -0.05015432
Moved 72.59283 311.0547 368.9234 -0.08497442 -0.03679899
Moved 72.6087 302.3592 370.4401 -0.1000708 -0.03387321
Moved 72.62366 293.6653 370 -0.1151644 -0.03472228
Moved 72.63895 283.8367 371.309 -0.132228 -0.03219716
Moved 72.65488 278.5 371 -0.1414931 -0.03279326
Moved 72.67032 271.6956 372.8609 -0.1533062 -0.02920351
Moved 72.68607 264.5015 373 -0.1657959 -0.02893524
Moved 72.70728 248.9339 374 -0.192823 -0.02700617
Stationary 72.71817 248.9339 374 -0.192823 -0.02700617
Moved 72.73154 240.9262 375 -0.2067253 -0.02507722
Moved 72.74759 233.7267 375 -0.2192245 -0.02507722
Moved 72.76288 223.5171 376.4976 -0.2369495 -0.02218835
Moved 72.77814 217.9016 377.5855 -0.2466986 -0.02008968
Moved 72.793 209.8841 379.0232 -0.2606179 -0.01731637
Moved 72.81 202.711 379 -0.2730711 -0.01736111
Moved 72.82413 198.3243 379 -0.2806869 -0.01736111
