come and see our new car
Basic
0.4 0.4
288 259.2
Moved 110.5542 339.7914 421.8129 -0.07016882 0.130451
Moved 110.5707 337.4325 425.3513 -0.0783594 0.1441019
Moved 110.5863 334.6942 429.4588 -0.08786753 0.1599489
Moved 110.6023 331.8056 432.7916 -0.09789712 0.1728068
Moved 110.6188 328.9227 436.0773 -0.1079072 0.1854832
Moved 110.6327 326.0401 440.4398 -0.1179163 0.202314
Moved 110.6483 323.1453 443.8547 -0.1279678 0.2154889
Moved 110.6638 321.6314 448.1058 -0.1332243 0.2318895
Moved 110.6804 319 450 -0.1423611 0.2391974
Moved 110.6949 317.114 451.886 -0.1489099 0.2464739
Moved 110.71 315.6729 454.6543 -0.1539137 0.2571538
Moved 110.7248 314.2292 455.7708 -0.1589263 0.2614612
Moved 110.7405 312.7871 457.2129 -0.1639335 0.267025
Moved 110.7551 311.3438 458.6561 -0.168945 0.2725929
Moved 110.7712 309.9107 460.0893 -0.1739211 0.2781221
Moved 110.7873 308.5 461.5 -0.1788194 0.2835647
Moved 110.8019 308.3414 462 -0.1793701 0.2854938
Moved 110.8193 306.9 463.1 -0.184375 0.2897377
Moved 110.8334 306.4586 464 -0.1859078 0.2932098
Moved 110.8483 305.0171 464.9829 -0.1909128 0.2970018
Moved 110.866 303.5716 465 -0.1959319 0.2970678
Moved 110.8795 303.1363 466 -0.1974433 0.3009257
Moved 110.8943 301.6844 467.3156 -0.2024846 0.3060013
Moved 110.9097 302 468.2954 -0.2013889 0.3097815
Moved 110.9247 300.1638 468.8362 -0.2077647 0.3118681
Stationary 110.9404 300 469 -0.2083334 0.3125
Moved 110.9559 299 469.7243 -0.2118055 0.3152943
Moved 110.972 297.8242 470 -0.2158881 0.3163579
Moved 110.9865 298 471 -0.2152777 0.3202158
Moved 111.0008 296.9428 471 -0.2189485 0.3202158
Stationary 111.0176 296.9428 471 -0.2189485 0.3202158
Moved 111.0309 297 471.6474 -0.21875 0.3227137
Stationary 111.0485 297 472 -0.21875 0.324074
Ended 111.0711 297 472 -0.21875 0.324074
Began 111.6604 218 384 -0.4930556 -0.0154321
Stationary 111.6784 218 384 -0.4930556 -0.0154321
Stationary 111.6941 218 384 -0.4930556 -0.0154321
Stationary 111.7103 218 384 -0.4930556 -0.0154321
Stationary 111.7264 218 384 -0.4930556 -0.0154321
Stationary 111.7408 218 384 -0.4930556 -0.0154321
Stationary 111.7548 218 384 -0.4930556 -0.0154321
Stationary 111.7718 218 384 -0.4930556 -0.0154321
Stationary 111.7868 218 384 -0.4930556 -0.0154321
Moved 111.801 234.2807 384 -0.4365254 -0.0154321
Moved 111.8193 242.6084 384 -0.4076095 -0.0154321
Moved 111.8343 251.7785 379.6817 -0.3757691 -0.03209231
Moved 111.8492 260.9226 375.0129 -0.3440186 -0.05010463
Moved 111.8674 269.5712 372.1429 -0.3139889 -0.06117702
