watch out for low flying objects
Basic
0.4 0.4
288 259.2
Began 194.4722 240 467 -0.4166666 0.3047838
Stationary 194.5069 240 467 -0.4166666 0.3047838
Stationary 194.5187 240 467 -0.4166666 0.3047838
Stationary 194.5297 240 467 -0.4166666 0.3047838
Stationary 194.54 240 467 -0.4166666 0.3047838
Stationary 194.5519 240 467 -0.4166666 0.3047838
Stationary 194.5671 240 467 -0.4166666 0.3047838
Stationary 194.5827 240 467 -0.4166666 0.3047838
Stationary 194.5976 240 467 -0.4166666 0.3047838
Stationary 194.6132 240 467 -0.4166666 0.3047838
Stationary 194.6301 240 467 -0.4166666 0.3047838
Stationary 194.6477 240 467 -0.4166666 0.3047838
Stationary 194.6622 240 467 -0.4166666 0.3047838
Stationary 194.6775 240 467 -0.4166666 0.3047838
Stationary 194.6907 240 467 -0.4166666 0.3047838
Stationary 194.7069 240 467 -0.4166666 0.3047838
Stationary 194.7216 240 467 -0.4166666 0.3047838
Stationary 194.7363 240 467 -0.4166666 0.3047838
Stationary 194.7515 240 467 -0.4166666 0.3047838
Stationary 194.7672 240 467 -0.4166666 0.3047838
Stationary 194.7842 240 467 -0.4166666 0.3047838
Stationary 194.7991 240 467 -0.4166666 0.3047838
Stationary 194.8149 240 467 -0.4166666 0.3047838
Stationary 194.8307 240 467 -0.4166666 0.3047838
Stationary 194.8461 240 467 -0.4166666 0.3047838
Stationary 194.8593 240 467 -0.4166666 0.3047838
Stationary 194.8759 240 467 -0.4166666 0.3047838
Moved 194.8921 240 456.0539 -0.4166666 0.2625535
Moved 194.9079 240 453.1738 -0.4166666 0.2514421
Moved 194.9237 232.4487 449.7947 -0.4428865 0.2384055
Moved 194.9387 231.0057 446.0114 -0.4478969 0.2238091
Moved 194.9534 228.1311 441.6966 -0.4578781 0.2071626
Moved 194.97 228.1168 439.2336 -0.4579277 0.1976604
Moved 194.9853 225.3608 435.0412 -0.4674973 0.181486
Moved 194.9993 224.2371 431.4743 -0.4713988 0.1677248
Moved 195.0154 224 428.6685 -0.4722222 0.1568997
Moved 195.033 222.7966 425.3898 -0.4764007 0.1442506
Moved 195.0458 220.2901 421.5802 -0.4851038 0.1295531
Moved 195.0632 220 418.6962 -0.4861111 0.1184265
Moved 195.0788 217.8218 415.2327 -0.4936742 0.1050645
