did you have a good time
Basic
0.8 0.8
575.9999 172.8
Moved 321.4742 490.5834 450 0.2267072 0.3587963
Moved 321.4908 491.5 450 0.2282986 0.3587963
Moved 321.5045 492.231 450 0.2295676 0.3587963
Moved 321.5199 492 450.9062 0.2291667 0.3640404
Stationary 321.5365 492 451 0.2291667 0.3645833
Stationary 321.5519 492 451 0.2291667 0.3645833
Stationary 321.5672 492 451 0.2291667 0.3645833
Stationary 321.5838 492 451 0.2291667 0.3645833
Stationary 321.6049 492 451 0.2291667 0.3645833
Stationary 321.6147 492 451 0.2291667 0.3645833
Moved 321.6284 478.5315 451 0.2057838 0.3645833
Moved 321.6455 469.0792 451 0.1893736 0.3645833
Moved 321.659 455.8673 441.2891 0.1664363 0.3083858
Moved 321.6762 443.9276 437.9819 0.1457077 0.2892475
Moved 321.6906 436.383 435.8237 0.1326093 0.2767578
Moved 321.7056 420.0069 430.3356 0.1041787 0.2449978
Moved 321.721 406.0522 426.0157 0.07995181 0.2199983
Moved 321.7365 395.5087 422.1272 0.06164706 0.1974954
Moved 321.7516 384.8738 419.2497 0.04318371 0.1808431
Moved 321.7679 373.489 415.0584 0.02341851 0.156588
Moved 321.7854 366.5183 412.5061 0.01131654 0.1418177
Moved 321.7971 359.765 409.3825 -0.0004079565 0.1237415
Moved 321.8131 352.6729 407.7346 -0.01272075 0.1142048
Moved 321.8293 343.7747 404.2958 -0.028169 0.09430426
Moved 321.8443 335.1424 401.7142 -0.04315551 0.07936443
Moved 321.8601 328.0832 398.8333 -0.05541109 0.06269278
Moved 321.8759 320.8834 395.9534 -0.06791078 0.04602653
Moved 321.8914 315.1519 394.538 -0.07786124 0.03783544
Moved 321.9061 309.9646 393.3215 -0.08686706 0.030796
Moved 321.9222 304.9522 391.988 -0.09556904 0.02307892
Moved 321.9377 299.6481 391.5494 -0.1047777 0.02054047
Moved 321.9531 295.3242 390.1081 -0.1122843 0.01219979
Moved 321.9686 291.0072 390 -0.1197792 0.01157407
Moved 321.9839 287.4561 389 -0.1259443 0.005787214
Moved 321.9984 284.5773 389 -0.1309421 0.005787214
Moved 322.0135 280.5 387.5 -0.1380208 -0.00289343
Moved 322.0322 278.5247 388 -0.1414501 8.830317E-08
Moved 322.0443 275.6524 388 -0.1464368 8.830317E-08
Moved 322.0597 273.7705 388 -0.149704 8.830317E-08
Moved 322.0768 270.8906 388 -0.1547038 8.830317E-08
Moved 322.0936 269.5066 388 -0.1571065 8.830317E-08
Moved 322.1073 267.1357 388 -0.1612228 8.830317E-08
Moved 322.1216 265.6291 388 -0.1638383 8.830317E-08
Moved 322.1374 264.4909 387 -0.1658143 -0.005786949
Moved 322.153 263.0508 387 -0.1683146 -0.005786949
Moved 322.1738 260.1709 387 -0.1733143 -0.005786949
Stationary 322.1854 260.1709 387 -0.1733143 -0.005786949
Moved 322.1991 258.7317 387 -0.175813 -0.005786949
Moved 322.214 257.2929 387 -0.1783109 -0.005786949
Moved 322.229 254.7085 387 -0.1827978 -0.005786949
Moved 322.2449 253.8116 387 -0.1843549 -0.005786949
Moved 322.2601 251.6201 387 -0.1881596 -0.005786949
Moved 322.2762 248.7489 387 -0.1931442 -0.005786949
Moved 322.2916 247.5 385.5 -0.1953125 -0.01446759
Ended 322.3069 245.9995 386 -0.1979176 -0.01157407
Began 323.0914 372 409 0.02083331 0.121528
Stationary 323.1091 372 409 0.02083331 0.121528
Stationary 323.1239 372 409 0.02083331 0.121528
Stationary 323.1391 372 409 0.02083331 0.121528
Stationary 323.1549 372 409 0.02083331 0.121528
Stationary 323.1703 372 409 0.02083331 0.121528
Stationary 323.1859 372 409 0.02083331 0.121528
Stationary 323.2014 372 409 0.02083331 0.121528
Stationary 323.2165 372 409 0.02083331 0.121528
Stationary 323.2314 372 409 0.02083331 0.121528
Stationary 323.2468 372 409 0.02083331 0.121528
Stationary 323.2629 372 409 0.02083331 0.121528
Stationary 323.2782 372 409 0.02083331 0.121528
Stationary 323.2916 372 409 0.02083331 0.121528
Stationary 323.3073 372 409 0.02083331 0.121528
