he is still on our team
Basic
0.4 0.4
288 259.2
Began 218.9928 390 365 0.1041667 -0.08873468
Stationary 219.0134 390 365 0.1041667 -0.08873468
Stationary 219.0268 390 365 0.1041667 -0.08873468
Stationary 219.0415 390 365 0.1041667 -0.08873468
Stationary 219.0574 390 365 0.1041667 -0.08873468
Stationary 219.0769 390 365 0.1041667 -0.08873468
Stationary 219.0955 390 365 0.1041667 -0.08873468
Stationary 219.1058 390 365 0.1041667 -0.08873468
Stationary 219.1195 390 365 0.1041667 -0.08873468
Moved 219.1387 390 378.2616 0.1041667 -0.03757111
Moved 219.1544 390 385.4557 0.1041667 -0.009815898
Moved 219.1683 390 394.6987 0.1041667 0.02584351
Moved 219.1803 390 400.6934 0.1041667 0.04897117
Moved 219.198 390 407.4249 0.1041667 0.07494149
Moved 219.2127 390 412.1384 0.1041667 0.09312629
Moved 219.2279 390 415.3624 0.1041667 0.1055648
Moved 219.2438 397.6016 421.8049 0.1305611 0.1304201
Moved 219.2588 399.0434 427.1735 0.1355672 0.151132
Moved 219.2719 401.4806 432.9224 0.1440298 0.1733115
Moved 219.2882 402.9205 439.6025 0.1490295 0.1990834
Moved 219.3041 405.7189 444.0783 0.1587461 0.2163513
Moved 219.3191 406.8103 450.2413 0.1625359 0.2401284
Moved 219.3351 408.8338 454.6675 0.1695617 0.2572049
Moved 219.3504 411.6429 460.2858 0.1793157 0.2788804
Moved 219.3659 416.2902 468.0535 0.195452 0.3088483
Moved 219.3837 419.3986 473.7972 0.2062452 0.3310077
Moved 219.3966 422.6415 479.9246 0.2175054 0.3546473
Moved 219.4122 425.1668 484.2502 0.2262737 0.3713357
Moved 219.4277 427.0378 488.0378 0.2327703 0.3859483
Moved 219.4451 428 490.4765 0.2361111 0.3953567
Moved 219.4589 429.0971 492.0971 0.2399205 0.401609
Moved 219.4758 430 493.5375 0.2430555 0.4071661
Moved 219.492 430.9776 494.9776 0.24645 0.4127221
Moved 219.5052 431 496.4205 0.2465278 0.4182887
Stationary 219.5199 431 496.4205 0.2465278 0.4182887
Moved 219.5366 431 497.3734 0.2465278 0.4219652
Stationary 219.551 431 497 0.2465278 0.4205246
Moved 219.5669 432 498 0.25 0.4243826
Ended 219.5849 435.912 498 0.2635833 0.4243826
Began 220.3486 475 467 0.3993055 0.3047838
