parking lot is full of trucks
Basic
0.8 0.8
575.9999 172.8
Began 341.9091 575 441 0.3732638 0.3067129
Stationary 341.9319 575 441 0.3732638 0.3067129
Stationary 341.9451 575 441 0.3732638 0.3067129
Stationary 341.9589 575 441 0.3732638 0.3067129
Stationary 341.9737 575 441 0.3732638 0.3067129
Stationary 341.989 575 441 0.3732638 0.3067129
Stationary 342.0038 575 441 0.3732638 0.3067129
Stationary 342.0189 575 441 0.3732638 0.3067129
Stationary 342.0484 575 441 0.3732638 0.3067129
Stationary 342.063 575 441 0.3732638 0.3067129
Stationary 342.0775 575 441 0.3732638 0.3067129
Stationary 342.0892 575 441 0.3732638 0.3067129
Stationary 342.0988 575 441 0.3732638 0.3067129
Stationary 342.112 575 441 0.3732638 0.3067129
Stationary 342.1277 575 441 0.3732638 0.3067129
Stationary 342.1427 575 441 0.3732638 0.3067129
Stationary 342.1582 575 441 0.3732638 0.3067129
Stationary 342.1747 575 441 0.3732638 0.3067129
Stationary 342.1906 575 441 0.3732638 0.3067129
Stationary 342.2046 575 441 0.3732638 0.3067129
Stationary 342.2202 575 441 0.3732638 0.3067129
Stationary 342.2356 575 441 0.3732638 0.3067129
Stationary 342.2523 575 441 0.3732638 0.3067129
Stationary 342.2666 575 441 0.3732638 0.3067129
Stationary 342.2809 575 441 0.3732638 0.3067129
Stationary 342.2963 575 441 0.3732638 0.3067129
Stationary 342.3122 575 441 0.3732638 0.3067129
Stationary 342.3306 575 441 0.3732638 0.3067129
Stationary 342.3458 575 441 0.3732638 0.3067129
Stationary 342.3581 575 441 0.3732638 0.3067129
Moved 342.3759 588.1323 441 0.396063 0.3067129
Moved 342.3926 592.4488 441 0.4035569 0.3067129
Moved 342.407 595.7651 441 0.4093144 0.3067129
Moved 342.4245 598.7208 441 0.4144458 0.3067129
Moved 342.4382 602.4147 441 0.4208588 0.3067129
Moved 342.4533 605.4942 441 0.4262052 0.3067129
Moved 342.4681 607.5278 441 0.4297358 0.3067129
Moved 342.4844 608.7906 441 0.4319282 0.3067129
Moved 342.4992 610.2259 441 0.4344199 0.3067129
Moved 342.5145 612.67 441 0.4386633 0.3067129
Stationary 342.53 613 441 0.4392361 0.3067129
Moved 342.5451 614.5 441 0.4418403 0.3067129
Moved 342.5595 615.9901 441 0.4444272 0.3067129
Moved 342.5761 616.5 441 0.4453125 0.3067129
Moved 342.5921 617.2112 441 0.4465472 0.3067129
Moved 342.6067 618 441 0.4479167 0.3067129
Moved 342.6215 619.3775 441 0.4503081 0.3067129
Stationary 342.6367 619.3775 441 0.4503081 0.3067129
Moved 342.6529 620.374 441 0.4520381 0.3067129
Moved 342.6672 621.3483 441 0.4537297 0.3067129
Stationary 342.6838 621.3483 441 0.4537297 0.3067129
Moved 342.699 622.0759 441 0.4549928 0.3067129
Stationary 342.7143 622.0759 441 0.4549928 0.3067129
Stationary 342.729 622 441 0.4548611 0.3067129
Stationary 342.7443 622 441 0.4548611 0.3067129
Stationary 342.7594 622 441 0.4548611 0.3067129
Stationary 342.7758 622 441 0.4548611 0.3067129
Stationary 342.7942 622 441 0.4548611 0.3067129
Stationary 342.8057 622 441 0.4548611 0.3067129
Stationary 342.8243 622 441 0.4548611 0.3067129
Moved 342.8373 614.2399 441 0.4413888 0.3067129
Moved 342.8529 606.4784 441 0.4279138 0.3067129
Moved 342.8683 597.8195 441 0.412881 0.3067129
Moved 342.8838 585.3668 441 0.3912618 0.3067129
Moved 342.9 573.5 441 0.3706597 0.3067129
Moved 342.916 559.7437 441 0.3467771 0.3067129
Moved 342.9313 542.5691 441 0.3169602 0.3067129
Moved 342.9456 528.2684 441 0.2921327 0.3067129
Moved 342.9618 514.187 433.3676 0.2676857 0.2625441
Moved 342.9795 501.5 432.5 0.2456597 0.2575231
Moved 342.9919 490.2484 431.0355 0.2261256 0.2490478
Moved 343.0096 475.9281 428.1856 0.201264 0.2325557
Moved 343.0237 467.5476 427.6164 0.1867145 0.2292615
Moved 343.0387 455.4512 424.1003 0.165714 0.2089137
Moved 343.054 442.5352 424 0.1432904 0.2083334
Moved 343.0695 433.1897 421.17 0.1270654 0.1919558
Moved 343.0862 424.3846 419.7308 0.1117787 0.1836271
Moved 343.1009 413.0357 417.5817 0.0920759 0.1711903
Moved 343.1162 403.0431 415.8633 0.07472761 0.1612457
Moved 343.1327 397.0665 414.8444 0.06435163 0.1553497
Moved 343.1467 385.4297 413.3471 0.04414878 0.1466846
Moved 343.1655 375.3517 410.8148 0.02665237 0.1320298
Moved 343.1796 366.3575 409.4715 0.01103722 0.1242565
Moved 343.1919 357.1509 408.0215 -0.004946403 0.1158655
Moved 343.2087 347.0494 406.5785 -0.02248362 0.1075144
Moved 343.2235 339.0068 405.1438 -0.03644656 0.09921198
Moved 343.239 333.1128 404.0226 -0.04667919 0.09272346
Moved 343.2556 323.1658 402.5951 -0.06394826 0.08446234
Moved 343.2702 312.0777 400.1539 -0.08319844 0.07033525
Moved 343.2867 299.315 398.7017 -0.1053558 0.06193099
Moved 343.3012 292.3565 398 -0.1174366 0.05787037
Moved 343.3161 285.1164 396.8233 -0.1300063 0.05106087
Moved 343.3317 277.333 397 -0.143519 0.05208351
Moved 343.3465 271.1208 397 -0.1543041 0.05208351
Moved 343.3621 264.3232 395.8646 -0.1661055 0.04551296
Moved 343.3774 257.1437 396 -0.1785699 0.04629629
Moved 343.3925 250.9715 396 -0.1892857 0.04629629
Moved 343.4092 243.7497 396 -0.2018234 0.04629629
Moved 343.4268 239.3299 396 -0.2094967 0.04629629
Moved 343.4406 233.6684 396 -0.2193258 0.04629629
Moved 343.456 230.5 396 -0.2248264 0.04629629
Moved 343.4703 225.3474 396 -0.2337718 0.04629629
Moved 343.4919 214.8375 396 -0.2520183 0.04629629
Stationary 343.5045 214.8375 396 -0.2520183 0.04629629
Moved 343.5182 210.343 396 -0.2598211 0.04629629
Moved 343.5312 204.3579 396 -0.270212 0.04629629
Moved 343.5473 200.8033 396 -0.2763831 0.04629629
Moved 343.5633 196.5 396 -0.2838542 0.04629629
Moved 343.5785 193.0919 396 -0.2897709 0.04629629
Moved 343.5932 189.8546 396 -0.2953912 0.04629629
Moved 343.6099 185.5 396 -0.3029514 0.04629629
Moved 343.6249 182.0938 396 -0.3088649 0.04629629
Moved 343.6403 179.2086 396 -0.313874 0.04629629
Moved 343.655 175.4782 396 -0.3203503 0.04629629
Moved 343.6707 172.4461 396 -0.3256144 0.04629629
Moved 343.6859 170.4844 396 -0.3290202 0.04629629
Moved 343.7022 166.4176 396 -0.3360806 0.04629629
Moved 343.7166 163.5342 396 -0.3410864 0.04629629
Moved 343.7336 158.9785 396 -0.3489956 0.04629629
Moved 343.7628 152.3375 396 -0.3605252 0.04629629
Moved 343.7801 149.0311 396 -0.3662654 0.04629629
Moved 343.7933 145.7773 396 -0.3719144 0.04629629
Moved 343.8094 143 396 -0.3767361 0.04629629
Moved 343.8256 142.0157 396 -0.3784449 0.04629629
Moved 343.8403 139.1779 396 -0.3833717 0.04629629
Moved 343.8542 138.1467 396 -0.385162 0.04629629
Moved 343.8761 135.2692 396 -0.3901576 0.04629629
