coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Moved 149.8851 472.281 506.4379 0.2599098 0.3046242
Moved 149.9008 473 497.481 0.2615741 0.2815867
Moved 149.9157 473 475.5 0.2615741 0.2250513
Moved 149.9306 466.3118 460.579 0.2460921 0.1866743
Moved 149.9459 461.7708 447.3126 0.2355807 0.1525528
Moved 149.9615 457.5027 432.1782 0.2257006 0.1136271
Moved 149.9781 454.0254 422.0677 0.2176514 0.08762277
Moved 149.9925 449.7288 407.7628 0.2077056 0.05083006
Moved 150.0082 446.2871 396.1483 0.1997386 0.02095737
Moved 150.0256 442.1072 384.6193 0.190063 -0.008695194
Moved 150.0389 437.7742 369.5808 0.1800329 -0.04737454
Moved 150.0553 434.6343 357.5373 0.1727646 -0.07835058
Moved 150.0697 430.7568 346.0272 0.1637889 -0.1079547
Moved 150.0852 427.6294 335.8882 0.1565495 -0.1340324
Moved 150.1005 424.6856 325.8998 0.1497353 -0.1597228
Moved 150.117 422.4024 312.8168 0.14445 -0.1933726
Moved 150.1326 419.9009 303.7028 0.1386596 -0.2168138
Moved 150.1472 418.5165 298.066 0.1354549 -0.2313118
Moved 150.1627 417.0738 292.295 0.1321152 -0.2461548
Moved 150.1789 415.6349 286.5394 0.1287844 -0.2609584
Moved 150.1933 416 285 0.1296297 -0.2649178
Moved 150.2081 414.1306 281.2612 0.1253023 -0.274534
Moved 150.2252 412.7029 278.4058 0.1219974 -0.2818782
Moved 150.2403 412.2524 276.5048 0.1209546 -0.2867677
Moved 150.2548 410.8109 274.8109 0.1176179 -0.2911243
Moved 150.2703 409.5 273.5 0.1145834 -0.2944959
Moved 150.2857 408.9655 272.9655 0.1133462 -0.2958707
Moved 150.301 407.5094 271.5093 0.1099754 -0.299616
Moved 150.3153 404.1375 271 0.1021702 -0.300926
Moved 150.3313 398.7722 271 0.08975039 -0.300926
Moved 150.3467 385.5334 271 0.05910516 -0.300926
Moved 150.3622 374.4623 292.5377 0.03347754 -0.2455306
Moved 150.3804 364.394 302.6061 0.01017113 -0.2196346
Moved 150.394 357.9464 314.4857 -0.00475362 -0.1890801
Moved 150.4086 351.9634 324.8141 -0.0186033 -0.1625153
Moved 150.4275 347.9776 333.0449 -0.02782971 -0.1413456
Moved 150.4408 343.6122 341.7756 -0.03793478 -0.1188899
Moved 150.4629 339.3385 353.6459 -0.04782746 -0.08835953
Stationary 150.4753 339.3385 353.6459 -0.04782746 -0.08835953
Moved 150.4874 339 358.3101 -0.04861111 -0.07636286
Moved 150.502 338 366.7167 -0.05092591 -0.05474098
Moved 150.5183 338 372.9449 -0.05092591 -0.03872208
Moved 150.5322 336.9031 377.3875 -0.05346502 -0.02729557
Moved 150.5471 337 384.2648 -0.05324075 -0.00960715
Moved 150.5632 337 389.0185 -0.05324075 0.002619465
Moved 150.5817 337 393.3472 -0.05324075 0.01375296
Moved 150.5937 337 396.7941 -0.05324075 0.0226186
Moved 150.6087 337 401.0099 -0.05324075 0.03346172
Moved 150.6253 337 402.5508 -0.05324075 0.03742493
Moved 150.6411 337 404.802 -0.05324075 0.04321503
Moved 150.6555 337 406.3091 -0.05324075 0.04709118
Moved 150.6709 337 407.5 -0.05324075 0.05015428
Ended 150.6875 337 408.1017 -0.05324075 0.05170183
Began 151.2672 353 536 -0.01620372 0.3806583
Stationary 151.2879 353 536 -0.01620372 0.3806583
Stationary 151.302 353 536 -0.01620372 0.3806583
