parking lot is full of trucks
Basic
0.4 0.4
288 86.39999
Began 286.3212 481 439 0.4201388 0.590278
Stationary 286.3411 481 439 0.4201388 0.590278
Stationary 286.3544 481 439 0.4201388 0.590278
Stationary 286.3687 481 439 0.4201388 0.590278
Stationary 286.3845 481 439 0.4201388 0.590278
Stationary 286.4007 481 439 0.4201388 0.590278
Stationary 286.4165 481 439 0.4201388 0.590278
Stationary 286.4313 481 439 0.4201388 0.590278
Stationary 286.4474 481 439 0.4201388 0.590278
Stationary 286.4632 481 439 0.4201388 0.590278
Stationary 286.4808 481 439 0.4201388 0.590278
Stationary 286.4953 481 439 0.4201388 0.590278
Stationary 286.5092 481 439 0.4201388 0.590278
Stationary 286.5255 481 439 0.4201388 0.590278
Stationary 286.5393 481 439 0.4201388 0.590278
Stationary 286.5544 481 439 0.4201388 0.590278
Stationary 286.5725 481 439 0.4201388 0.590278
Stationary 286.5861 481 439 0.4201388 0.590278
Stationary 286.6022 481 439 0.4201388 0.590278
Stationary 286.6171 481 439 0.4201388 0.590278
Stationary 286.6328 481 439 0.4201388 0.590278
Stationary 286.6468 481 439 0.4201388 0.590278
Stationary 286.6624 481 439 0.4201388 0.590278
Stationary 286.6786 481 439 0.4201388 0.590278
Stationary 286.6934 481 439 0.4201388 0.590278
Stationary 286.709 481 439 0.4201388 0.590278
Stationary 286.7246 481 439 0.4201388 0.590278
Stationary 286.7398 481 439 0.4201388 0.590278
Stationary 286.7546 481 439 0.4201388 0.590278
Stationary 286.7721 481 439 0.4201388 0.590278
Stationary 286.7876 481 439 0.4201388 0.590278
Stationary 286.8011 481 439 0.4201388 0.590278
Stationary 286.8202 481 439 0.4201388 0.590278
Stationary 286.8333 481 439 0.4201388 0.590278
Moved 286.8478 481 429.288 0.4201388 0.4778698
Moved 286.8656 481 427.9456 0.4201388 0.4623337
Moved 286.8815 481 425.5071 0.4201388 0.4341104
Moved 286.8955 481 423.1309 0.4201388 0.4066079
Moved 286.9111 481 421.6293 0.4201388 0.3892275
Moved 286.9268 481 420.188 0.4201388 0.3725462
Moved 286.9407 481 418.7513 0.4201388 0.3559181
Stationary 286.9565 481 418.7513 0.4201388 0.3559181
Moved 286.9721 481 417.177 0.4201388 0.3376968
Moved 286.9877 481 416.5 0.4201388 0.3298613
