just in time for the party
Basic
0.8 0.8
575.9999 172.8
Moved 288.7314 446.4241 330.1361 0.1500418 -0.3348605
Moved 288.7467 446 326.6796 0.1493055 -0.3548633
Ended 288.7631 444.9594 322.8784 0.147499 -0.3768614
Began 289.4981 269 474 -0.1579861 0.4976853
Stationary 289.5205 269 474 -0.1579861 0.4976853
Stationary 289.5347 269 474 -0.1579861 0.4976853
Stationary 289.5554 269 474 -0.1579861 0.4976853
Stationary 289.5654 269 474 -0.1579861 0.4976853
Stationary 289.5786 269 474 -0.1579861 0.4976853
Stationary 289.5941 269 474 -0.1579861 0.4976853
Moved 289.609 276.2088 474 -0.1454708 0.4976853
Moved 289.6256 285.5167 464.8055 -0.1293113 0.4444762
Moved 289.6415 291.1721 461.4139 -0.1194929 0.4248493
Moved 289.6564 299.795 456.26 -0.1045226 0.3950231
Moved 289.6721 308.2109 450.8594 -0.08991156 0.3637695
Moved 289.6878 317.8578 445.367 -0.07316354 0.3319851
Moved 289.703 323.1701 441.6224 -0.0639408 0.310315
Moved 289.7184 329.9259 437.4445 -0.05221195 0.286137
Moved 289.7339 333.6317 434.5262 -0.04577826 0.2692491
Moved 289.749 340.9191 431.2485 -0.03312654 0.250281
Moved 289.7648 346.8448 428.0776 -0.0228389 0.2319307
Moved 289.7798 353.71 425.316 -0.01092009 0.215949
Moved 289.7947 361.349 421.5504 0.002342015 0.1941572
Moved 289.8111 370.7665 418.781 0.01869179 0.1781309
Moved 289.8253 378.4115 417.0253 0.03196448 0.1679703
Moved 289.8425 386.6107 415.3413 0.04619911 0.1582252
Moved 289.8571 395.5368 414.0662 0.06169579 0.1508458
Moved 289.8727 409.1464 414 0.0853236 0.150463
Moved 289.8864 417.8817 414 0.1004891 0.150463
Moved 289.9015 427.5533 414 0.11728 0.150463
Moved 289.9178 439.7107 414 0.1383866 0.150463
Moved 289.9329 451.6365 414 0.1590912 0.150463
Moved 289.9497 461.5843 414 0.1763616 0.150463
Moved 289.9658 469.6007 414 0.190279 0.150463
Moved 289.9803 480.938 418.9379 0.2099617 0.1790388
Moved 289.9964 490.6919 422.0988 0.2268956 0.1973311
Moved 290.0109 500.2747 423.4678 0.2435326 0.2052536
Moved 290.0261 506.2971 424 0.253988 0.2083334
Moved 290.0418 511.9665 425.2416 0.2638306 0.2155187
Moved 290.0562 516.8878 426 0.2723747 0.2199074
Moved 290.0748 519.5676 426 0.2770271 0.2199074
Moved 290.0875 522.2005 426 0.2815981 0.2199074
Moved 290.1088 525.8724 427 0.2879728 0.2256945
Stationary 290.1196 525.8724 427 0.2879728 0.2256945
Moved 290.1332 527.2587 427 0.2903797 0.2256945
Moved 290.1495 528.6483 427 0.2927921 0.2256945
Moved 290.1649 530.0362 427 0.2952017 0.2256945
Stationary 290.1795 530.0362 427 0.2952017 0.2256945
Stationary 290.1947 530.0362 427 0.2952017 0.2256945
Moved 290.2104 531.2163 427 0.2972505 0.2256945
Stationary 290.2262 531 427 0.296875 0.2256945
Moved 290.2417 531 414.4871 0.296875 0.153282
Moved 290.2574 531 407.9147 0.296875 0.115247
Moved 290.2736 531 402.4189 0.296875 0.08344297
Moved 290.2879 521.4567 393.3702 0.2803068 0.03107786
Moved 290.3044 517.621 385.2421 0.2736476 -0.01595992
Moved 290.3194 511.132 372.2639 0.2623819 -0.0910653
Moved 290.3356 507.3177 364.6353 0.2557598 -0.1352123
Moved 290.3499 503.132 356.2639 0.248493 -0.1836577
Moved 290.3659 500.3514 349.3785 0.2436657 -0.2235038
Moved 290.3817 497.5798 344.8697 0.2388538 -0.2495965
Moved 290.3954 494.7912 339.5825 0.2340125 -0.2801941
Moved 290.4108 492.0374 335.5561 0.2292316 -0.3034947
Moved 290.426 490.895 332.895 0.2272483 -0.3188946
Moved 290.4423 489.0068 329.0206 0.2239702 -0.341316
Moved 290.4579 487.626 326.252 0.221573 -0.3573379
Moved 290.4729 487.2431 325.2431 0.2209081 -0.3631763
Moved 290.4883 485.8709 322.7419 0.2185259 -0.377651
Stationary 290.5042 485.8709 322.7419 0.2185259 -0.377651
Moved 290.5208 484.1055 321 0.2154609 -0.3877315
Moved 290.5357 483.048 320.048 0.2136251 -0.3932405
Moved 290.5509 483 318.6835 0.2135417 -0.4011368
Moved 290.5664 481.3074 319 0.2106031 -0.3993056
Moved 290.5878 474.6835 319 0.1991033 -0.3993056
Stationary 290.5992 474.6835 319 0.1991033 -0.3993056
Moved 290.6113 469.7066 319 0.1904629 -0.3993056
