coming up with killer sound bites
Basic
0.6 0.6
432 129.6
Began 287.1013 304 356 -0.1296296 -0.2469136
Stationary 287.1197 304 356 -0.1296296 -0.2469136
Stationary 287.1346 304 356 -0.1296296 -0.2469136
Stationary 287.152 304 356 -0.1296296 -0.2469136
Stationary 287.1653 304 356 -0.1296296 -0.2469136
Stationary 287.1808 304 356 -0.1296296 -0.2469136
Stationary 287.1959 304 356 -0.1296296 -0.2469136
Stationary 287.211 304 356 -0.1296296 -0.2469136
Moved 287.2268 313.3238 356 -0.1080468 -0.2469136
Moved 287.2428 318.7934 356 -0.09538566 -0.2469136
Moved 287.2587 324.2759 361.7328 -0.08269474 -0.2026791
Moved 287.2745 332.0862 365.3621 -0.06461516 -0.1746755
Moved 287.29 337 368 -0.05324075 -0.154321
Moved 287.3052 344.5576 371.7346 -0.03574635 -0.125505
Moved 287.3215 350.0952 374.5476 -0.02292782 -0.1037993
Moved 287.336 355 377 -0.01157408 -0.08487654
Moved 287.3504 360.6326 380.3163 0.001464387 -0.05928793
Moved 287.3664 367.1219 384.0731 0.01648575 -0.03030012
Moved 287.3813 372.5582 386.7791 0.02906998 -0.009420419
Moved 287.3983 377.0114 389.5057 0.03937811 0.01161811
Moved 287.4124 382.4695 393.3521 0.0520127 0.04129739
Moved 287.4283 386.4723 397.4722 0.06127834 0.07308819
Moved 287.4438 390.568 399.712 0.07075916 0.09037042
Moved 287.4598 394.7736 402.8302 0.08049438 0.1144307
Moved 287.4737 398.8864 405.5909 0.09001483 0.1357326
Moved 287.4889 403.9823 408.9823 0.1018109 0.1619006
Moved 287.5064 409.1003 412.0501 0.113658 0.1855717
Moved 287.5206 415.8961 416.1376 0.1293891 0.2171113
Moved 287.5353 421.7646 419.2588 0.1429737 0.2411945
Moved 287.5516 426.3544 422.2363 0.1535982 0.2641686
Moved 287.5663 431.9502 424.9751 0.1665513 0.2853017
Moved 287.5814 435.6262 426.8131 0.1750606 0.299484
Moved 287.599 438.7911 427.8956 0.1823868 0.3078363
Moved 287.6135 445.3357 430.5343 0.1975363 0.3281967
Moved 287.6268 448.8928 431.6309 0.2057702 0.3366585
Moved 287.6438 453.9846 433.9923 0.2175568 0.354879
Moved 287.6595 458.0844 435.3615 0.2270471 0.3654433
Moved 287.674 461.4504 437 0.2348388 0.3780865
Moved 287.6898 464.429 437.8097 0.2417338 0.384334
Moved 287.7067 468.3077 438 0.2507122 0.3858025
Moved 287.7225 470.9055 439.4528 0.2567256 0.3970119
Moved 287.7372 477.2895 440.8224 0.2715033 0.4075802
Moved 287.752 480.3761 441 0.2786484 0.4089505
Moved 287.7749 490.78 442 0.3027316 0.4166667
Moved 287.788 494.8653 442 0.3121883 0.4166667
Stationary 287.7992 494.8653 442 0.3121883 0.4166667
Moved 287.8122 497.7945 442 0.3189687 0.4166667
Moved 287.8286 501.1196 442 0.3266658 0.4166667
Moved 287.8449 504.1425 443.0713 0.3336633 0.4249328
Moved 287.8599 505.4366 443 0.3366588 0.4243827
Moved 287.8752 508.6039 443 0.3439904 0.4243827
Moved 287.8906 510.1672 443 0.3476093 0.4243827
Moved 287.906 511.5 443 0.3506944 0.4243827
Moved 287.9212 514 443 0.3564815 0.4243827
Moved 287.9369 514.5 443 0.3576389 0.4243827
Moved 287.9518 515.1452 443 0.3591324 0.4243827
Moved 287.9733 516 443 0.3611111 0.4243827
Stationary 287.9846 516 443 0.3611111 0.4243827
Moved 287.9974 516 433.3489 0.3611111 0.3499143
Moved 288.0134 510.7971 423.3105 0.3490672 0.2724574
Moved 288.0294 505.6834 414.3668 0.3372302 0.2034478
Moved 288.044 501.4357 405.8715 0.3273975 0.1378973
Moved 288.0606 496 396.5 0.3148148 0.06558666
Moved 288.0751 490.3173 387.4759 0.3016603 -0.004043933
Moved 288.0907 486.1532 383.1532 0.2920213 -0.03739816
Moved 288.1061 482.4423 375.1634 0.2834311 -0.09904791
Moved 288.1207 478.9891 367.9728 0.2754378 -0.1545306
Moved 288.1371 473.5465 361.1832 0.2628391 -0.20692
Moved 288.1534 470.5 355.5 0.2557871 -0.2507716
Moved 288.168 467.6856 351.1426 0.2492722 -0.2843932
Moved 288.1831 463.5897 346.5897 0.239791 -0.3195235
Moved 288.1982 461.0041 342.5061 0.2338058 -0.3510329
Moved 288.2136 458.2709 338.4064 0.2274789 -0.3826669
Moved 288.2293 455.5472 335.5472 0.221174 -0.4047279
Moved 288.2438 452.8154 333.2231 0.2148505 -0.4226607
Moved 288.259 451.0424 331.0424 0.2107464 -0.4394875
Moved 288.2758 450.0191 330.0192 0.2083776 -0.4473833
Moved 288.2914 448.6606 328.6606 0.2052329 -0.4578652
Moved 288.309 446.2934 327 0.1997532 -0.470679
Moved 288.3237 444.9332 325.9332 0.1966045 -0.4789108
Moved 288.3365 445 324.5637 0.1967593 -0.4894777
Moved 288.3532 443.2028 324 0.1925991 -0.4938269
Moved 288.3678 441.8463 324 0.1894591 -0.4938269
Moved 288.3839 440.5 322.5 0.1863426 -0.5054013
Moved 288.4 439.4157 323 0.1838327 -0.5015432
Moved 288.4141 438.0645 323 0.180705 -0.5015432
Moved 288.4303 435.3937 333.4254 0.1745224 -0.4211004
Moved 288.4461 433.6629 341.6797 0.1705161 -0.3574091
Moved 288.4601 431.9644 349.1777 0.1665843 -0.2995543
Moved 288.476 430.5991 358.806 0.1634239 -0.2252619
Moved 288.4919 430 368.3248 0.162037 -0.1518148
Moved 288.5081 429.1567 376.7464 0.160085 -0.08683334
Moved 288.5235 429 386.1359 0.1597223 -0.01438365
Moved 288.5387 429 394.6678 0.1597223 0.05144885
Moved 288.554 429 402.446 0.1597223 0.111466
Moved 288.5691 429 409.2725 0.1597223 0.16414
Moved 288.5847 429 415.4532 0.1597223 0.2118302
Moved 288.5997 429 419.9387 0.1597223 0.2464403
Moved 288.6148 429 424.0235 0.1597223 0.2779592
Moved 288.6298 429 426.973 0.1597223 0.3007179
Moved 288.6494 429 432.1423 0.1597223 0.3406039
Moved 288.6609 429 434.1451 0.1597223 0.3560582
Moved 288.6802 429 437 0.1597223 0.3780865
