he is just like everyone else
Basic
0.6 0.6
432 172.8
Moved 775.189 436.1731 266.8268 0.1763266 0.1552481
Moved 775.2307 429.1644 276.8356 0.1601028 0.2131688
Moved 775.2735 426.1123 282.8878 0.1530377 0.2481932
Moved 775.3167 424 289.1899 0.1481481 0.2846637
Moved 775.3828 422 294.5576 0.1435185 0.315727
Moved 775.4238 422 297.8625 0.1435185 0.3348527
Moved 775.4636 420.6364 299.3636 0.1403621 0.3435395
Moved 775.5034 421 301.3519 0.1412037 0.3550456
Moved 775.543 419.808 302.192 0.1384444 0.3599075
Moved 775.5828 419 303.53 0.1365741 0.3676503
Moved 775.6229 417.1674 304 0.132332 0.3703706
Moved 775.6627 412.8891 304 0.1224284 0.3703706
Moved 775.7032 394.0486 293.1706 0.07881621 0.3077002
Moved 775.7529 361.8791 280.9482 0.004349748 0.2369687
Moved 775.8272 311.478 265.3695 -0.1123194 0.1468143
Moved 775.8779 287.2843 258.7137 -0.1683233 0.1082973
Moved 775.9232 270.6632 252.9158 -0.2067981 0.07474405
Moved 775.9658 257.8626 246.6208 -0.2364291 0.03831528
Moved 776.0087 246.5 241.5 -0.2627315 0.008680733
Moved 776.0504 242.5782 239.7891 -0.2718098 -0.001220703
Moved 776.0927 234.9745 236.4873 -0.2894108 -0.02032792
Moved 776.1343 229.656 234.656 -0.3017222 -0.03092589
Moved 776.1752 225.2397 234 -0.3119452 -0.03472205
Moved 776.2166 223.3734 233 -0.3162652 -0.04050926
Moved 776.2809 220.9727 232 -0.3218225 -0.0462963
Stationary 776.3268 221 232 -0.3217593 -0.0462963
Moved 776.368 221 242.6279 -0.3217593 0.0152081
Moved 776.418 243.149 254.8894 -0.2704885 0.08616571
Moved 776.4606 262.5 266.5 -0.2256944 0.1533567
Moved 776.5026 283.4946 278.621 -0.1770958 0.2235012
Moved 776.5453 297.4933 286.3289 -0.1446913 0.2681072
Moved 776.5869 306.8473 290.4236 -0.1230386 0.2918037
Moved 776.6291 322.0302 298.0101 -0.087893 0.3357064
Moved 776.6717 331.6315 301.3157 -0.06566788 0.3548364
Moved 776.7393 342.7025 304.7025 -0.04004056 0.3744359
Moved 776.7797 348.0018 307.0018 -0.02777353 0.3877421
Moved 776.8201 350 307.5723 -0.02314816 0.3910436
Ended 776.8614 351 308 -0.02083332 0.3935185
Began 777.7034 494 217 0.3101851 -0.1331017
Stationary 777.7578 494 217 0.3101851 -0.1331017
Stationary 777.8023 494 217 0.3101851 -0.1331017
Stationary 777.8452 494 217 0.3101851 -0.1331017
Stationary 777.8859 494 217 0.3101851 -0.1331017
Stationary 777.9264 494 217 0.3101851 -0.1331017
Moved 777.9679 507.2148 217 0.3407748 -0.1331017
Moved 778.0095 510.0853 217 0.3474196 -0.1331017
Moved 778.0502 513.0607 217 0.3543071 -0.1331017
Moved 778.0909 517.3608 217 0.3642612 -0.1331017
Moved 778.1362 521.5 217 0.3738426 -0.1331017
Moved 778.1795 523.1887 217 0.3777517 -0.1331017
Moved 778.2217 525.9282 224.9282 0.3840931 -0.08722094
Moved 778.264 526 227.3782 0.3842592 -0.07304298
Moved 778.3065 527 231.5 0.3865741 -0.04918982
Moved 778.3698 528 236.1189 0.3888889 -0.02246009
Moved 778.4149 528 242.9999 0.3888889 0.01736041
Moved 778.4637 528 249.5782 0.3888889 0.05542967
Moved 778.5082 528 257.4728 0.3888889 0.1011154
Moved 778.5538 528 264.0718 0.3888889 0.1393043
Moved 778.6037 519.989 269.022 0.3703449 0.1679514
Moved 778.6492 512.3626 278.6374 0.3526912 0.2235962
Moved 778.6955 499.5 294 0.3229167 0.3125
Moved 778.7385 488.3002 306.1332 0.2969912 0.3827155
Moved 778.7795 479.2525 317.7475 0.2760475 0.4499277
Moved 778.846 475 323.2992 0.2662037 0.4820553
Moved 778.8875 472.3887 326 0.2601591 0.497685
Moved 778.9293 471.4239 327 0.2579258 0.5034722
Moved 778.9698 470.5 327 0.2557871 0.5034722
Moved 779.0115 471 327 0.2569444 0.5034722
Stationary 779.0521 471 327 0.2569444 0.5034722
Stationary 779.0926 471 327 0.2569444 0.5034722
Moved 779.1328 471 309.0522 0.2569444 0.3996077
Moved 779.1753 471 293.6898 0.2569444 0.310705
Moved 779.2175 478 283.1789 0.2731481 0.249878
Moved 779.2839 480 259.0377 0.2777778 0.1101718
Moved 779.3236 481 251.2329 0.2800926 0.06500527
Moved 779.3632 482 243.4019 0.2824074 0.01968666
Moved 779.4033 483 239.744 0.2847222 -0.001481198
Moved 779.4427 483 235.5 0.2847222 -0.02604167
Moved 779.4821 483 234.6266 0.2847222 -0.03109614
Moved 779.5211 483 233.776 0.2847222 -0.03601834
Moved 779.5606 483 231.7405 0.2847222 -0.04779798
Stationary 779.5996 483 231.7405 0.2847222 -0.04779798
Moved 779.6389 469.4167 236.6499 0.2532794 -0.01938714
Moved 779.7123 406.1167 264.5533 0.1067517 0.1420909
Moved 779.7579 357.566 284.0549 -0.005634328 0.2549477
Moved 779.8014 330.5 294.5 -0.06828706 0.3153935
Moved 779.847 299.5 306 -0.1400463 0.3819445
Moved 779.8918 276.7858 314.8035 -0.1926255 0.432891
Moved 779.9365 262.3918 319 -0.225945 0.4571759
Moved 779.9808 253.8933 322.1067 -0.2456174 0.4751545
Moved 780.0253 248.9449 323 -0.257072 0.4803241
Moved 780.0699 245.811 324.189 -0.2643263 0.4872047
Moved 780.1158 242.6584 324 -0.2716241 0.4861113
Moved 780.1819 241.9453 324 -0.2732749 0.4861113
Moved 780.2269 240.5 324 -0.2766204 0.4861113
Ended 780.2707 241 324 -0.275463 0.4861113
Began 781.5496 262 370 -0.2268519 0.7523148
Stationary 781.6034 262 370 -0.2268519 0.7523148
Stationary 781.6449 262 370 -0.2268519 0.7523148
Stationary 781.6876 262 370 -0.2268519 0.7523148
Stationary 781.7297 262 370 -0.2268519 0.7523148
Stationary 781.7715 262 370 -0.2268519 0.7523148
Stationary 781.8136 262 370 -0.2268519 0.7523148
Stationary 781.8548 262 370 -0.2268519 0.7523148
Moved 781.8964 262 358.5009 -0.2268519 0.685769
Moved 781.9412 262 352.9015 -0.2268519 0.6533651
Moved 781.9874 262 348.6461 -0.2268519 0.6287388
Moved 782.0411 262 339.5188 -0.2268519 0.5759192
Moved 782.0866 262 332.9352 -0.2268519 0.5378193
Moved 782.1311 262 325.9774 -0.2268519 0.4975545
Moved 782.175 262 317.0527 -0.2268519 0.4459068
Moved 782.2185 262 311.2499 -0.2268519 0.412326
Moved 782.2594 254.0575 302.7307 -0.2452373 0.363025
Moved 782.3262 251.3318 295.6635 -0.2515468 0.322127
Moved 782.3697 249.5661 292.5662 -0.2556339 0.3042023
Moved 782.4152 249 290 -0.2569445 0.2893519
Moved 782.4597 248 287.5 -0.2592593 0.2748843
Moved 782.5052 248 285.5601 -0.2592593 0.2636579
Moved 782.5526 248 285 -0.2592593 0.2604167
Moved 782.6025 248 279.6509 -0.2592593 0.2294611
Moved 782.6483 272.8713 264.0858 -0.2016869 0.1393855
Moved 782.699 297.9426 239.4459 -0.1436515 -0.003206465
Moved 782.7463 310.0656 225.246 -0.115589 -0.08538211
Moved 782.817 327.1557 205.7925 -0.07602856 -0.1979602
Moved 782.8633 336.7544 190.8684 -0.05380919 -0.2843264
Moved 782.9099 340.3733 183.2533 -0.04543215 -0.3283953
Moved 782.9551 342 178.325 -0.04166668 -0.3569158
Moved 782.9989 342 174.3563 -0.04166668 -0.3798824
Moved 783.0464 342 172.7419 -0.04166668 -0.3892249
Moved 783.0909 342 170.6271 -0.04166668 -0.4014637
Moved 783.14 342 169.8296 -0.04166668 -0.4060786
Stationary 783.1866 342 170 -0.04166668 -0.4050924
Stationary 783.2318 342 170 -0.04166668 -0.4050924
Moved 783.2979 321.778 194.4441 -0.08847693 -0.2636337
Moved 783.3396 314.6047 205.6588 -0.1050818 -0.1987337
Moved 783.3818 301.7052 229.158 -0.1349417 -0.06274329
Moved 783.4316 288.5 248.5 -0.1655093 0.04918982
Moved 783.4761 276.5299 261.9402 -0.1932179 0.126969
Moved 783.5227 267.9266 275.1101 -0.2131329 0.2031835
Moved 783.5679 263.0085 283.9829 -0.2245172 0.2545309
Moved 783.6135 259.7077 290.2923 -0.2321582 0.2910434
Moved 783.66 257.8328 295.1672 -0.2364981 0.3192545
Moved 783.7061 256 298.5402 -0.2407407 0.3387741
Moved 783.772 254 302.9635 -0.2453704 0.3643721
Moved 783.8135 253 306.254 -0.2476852 0.3834142
Moved 783.8555 252.4468 308 -0.2489657 0.3935185
Moved 783.8973 252 309.1478 -0.25 0.4001612
Stationary 783.9399 252 309.1478 -0.25 0.4001612
Moved 783.9803 252 310.1491 -0.25 0.4059557
Moved 784.0215 252 311.103 -0.25 0.4114757
Stationary 784.0619 252 311.103 -0.25 0.4114757
Stationary 784.1066 252 311.103 -0.25 0.4114757
Stationary 784.1467 252 311.103 -0.25 0.4114757
Moved 784.2111 252 312.0486 -0.25 0.4169478
Stationary 784.2521 252 312.0486 -0.25 0.4169478
Stationary 784.2932 252 312.0486 -0.25 0.4169478
Stationary 784.3347 252 312.0486 -0.25 0.4169478
Stationary 784.3765 252 312.0486 -0.25 0.4169478
Stationary 784.4182 252 312.0486 -0.25 0.4169478
Stationary 784.4588 252 312.0486 -0.25 0.4169478
Moved 784.501 259.0653 312 -0.2336451 0.4166669
Moved 784.5446 261 312 -0.2291666 0.4166669
Moved 784.5889 263 312 -0.2245371 0.4166669
Moved 784.6563 267.3057 304 -0.21457 0.3703706
Moved 784.7006 273.4159 301.2921 -0.2004262 0.3546994
Moved 784.7455 280.0266 297.9867 -0.1851235 0.3355712
Moved 784.7896 284.9055 296 -0.1738297 0.3240741
Moved 784.8326 287.8231 294.1769 -0.1670761 0.3135237
Moved 784.8762 290.8479 293 -0.1600744 0.306713
Moved 784.9178 294.101 290.899 -0.1525441 0.2945547
Moved 784.9607 296.5 290 -0.1469907 0.2893519
Moved 785.009 299.1775 287.8225 -0.1407928 0.2767504
Moved 785.0565 302.6545 288 -0.1327441 0.2777778
Moved 785.1262 308.5232 287 -0.1191593 0.2719909
Moved 785.1705 311.3917 287 -0.1125192 0.2719909
Moved 785.2151 316.2724 287 -0.1012213 0.2719909
Moved 785.2588 324.6617 287 -0.08180171 0.2719909
Moved 785.3027 330.9624 287 -0.06721666 0.2719909
Moved 785.3494 336.8986 287 -0.0534755 0.2719909
Moved 785.393 341.2021 287 -0.04351353 0.2719909
Moved 785.4368 345.1809 287 -0.03430336 0.2719909
Moved 785.4799 349.4859 287 -0.02433826 0.2719909
Moved 785.5229 352.3535 287 -0.01770024 0.2719909
Moved 785.5912 357.1729 287 -0.006544193 0.2719909
Moved 785.6329 360.2391 287 0.0005534291 0.2719909
Moved 785.6747 363.0434 287 0.007044872 0.2719909
Moved 785.7165 366.3469 287 0.01469185 0.2719909
Moved 785.7589 369.2403 287 0.02138962 0.2719909
Moved 785.7997 372.1903 294 0.02821823 0.3125
Moved 785.8416 377.4948 295 0.04049718 0.318287
Moved 785.884 383.8654 297 0.05524397 0.3298613
Moved 785.9294 388.7367 299 0.06652017 0.3414354
Moved 785.971 392.7871 300.7871 0.07589609 0.3517773
Moved 786.0433 398.4383 302 0.08897752 0.3587963
Moved 786.0845 401.374 303 0.09577304 0.3645834
Moved 786.1262 404.5 304.5 0.1030092 0.3732641
Moved 786.1689 406.5832 304 0.1078314 0.3703706
Moved 786.2137 413.7378 304 0.124393 0.3703706
Moved 786.2609 428.526 304 0.158625 0.3703706
Moved 786.3083 444.7604 294.4791 0.1962047 0.3152727
Moved 786.3542 459.604 292.849 0.2305649 0.3058392
Moved 786.399 475.7781 289.5555 0.2680048 0.2867794
Moved 786.4449 488.165 289 0.2966784 0.283565
Moved 786.515 505.1252 286 0.335938 0.2662037
Moved 786.5596 511.5358 284 0.3507773 0.2546298
Moved 786.6071 515.8401 283.1599 0.3607409 0.249768
Moved 786.6525 518.5 283 0.3668982 0.2488426
Moved 786.6965 519 283 0.3680556 0.2488426
Stationary 786.7385 519 283 0.3680556 0.2488426
Stationary 786.7863 519 283 0.3680556 0.2488426
Moved 786.8266 506.9066 277.4533 0.3400615 0.2167439
Moved 786.868 491.2737 262.0921 0.3038742 0.1278478
Moved 786.9119 473.5 242.5 0.2627315 0.01446777
Moved 786.9819 459.1836 226.1836 0.2295916 -0.07995606
Moved 787.0276 447.3218 214.5479 0.2021338 -0.1472925
Moved 787.0726 441.5 205 0.1886574 -0.2025461
Moved 787.1198 435.9864 196.9863 0.1758944 -0.2489217
Moved 787.1655 432.188 190.188 0.1671017 -0.288264
Moved 787.2188 428.8063 183.8063 0.1592738 -0.3251952
Moved 787.2634 427 180.5006 0.1550926 -0.3443254
Moved 787.311 425.8181 178.8181 0.1523567 -0.3540617
Moved 787.3559 425 175.6281 0.150463 -0.3725227
Moved 787.4036 421.8962 175 0.1432783 -0.3761573
Moved 787.4709 408.4948 183.5032 0.1122564 -0.3269491
Moved 787.5159 388.8882 199.2894 0.06687075 -0.2355934
Moved 787.5606 369.2773 217.4672 0.02147525 -0.1303984
Moved 787.6102 345.7686 238.2313 -0.03294294 -0.0102354
Moved 787.6603 325.7969 252.1625 -0.07917389 0.0703847
Moved 787.7042 305.6918 265.9811 -0.1257133 0.1503538
Moved 787.7482 289.5 273.5 -0.1631944 0.1938657
Moved 787.791 275.2244 284.1837 -0.1962399 0.255693
Moved 787.834 266.2091 290.8954 -0.2171085 0.294534
Moved 787.8765 260.1029 295.8971 -0.2312432 0.3234788
Moved 787.957 250.9315 303.0685 -0.2524733 0.3649797
Moved 788.0032 246.9661 305 -0.2616525 0.3761576
Moved 788.0472 244.6588 307 -0.2669936 0.3877315
Moved 788.0917 243.7211 308 -0.2691641 0.3935185
Ended 788.1366 244 308 -0.2685185 0.3935185
Began 789.762 251 364 -0.2523148 0.7175928
Stationary 789.8154 251 364 -0.2523148 0.7175928
Stationary 789.8625 251 364 -0.2523148 0.7175928
Stationary 789.9092 251 364 -0.2523148 0.7175928
Stationary 789.9551 251 364 -0.2523148 0.7175928
Stationary 789.9944 251 364 -0.2523148 0.7175928
Moved 790.0353 260.111 364 -0.2312245 0.7175928
Moved 790.078 261 364 -0.2291666 0.7175928
Stationary 790.1188 261 364 -0.2291666 0.7175928
Moved 790.1592 262 356.3112 -0.2268519 0.6730976
Moved 790.2012 262 348.4945 -0.2268519 0.6278616
Moved 790.2436 262.5617 342.8766 -0.2255517 0.5953512
Moved 790.3046 263 334.687 -0.2245371 0.5479572
Moved 790.3497 263 328.5067 -0.2245371 0.5121917
Moved 790.3941 263 325.5 -0.2245371 0.4947917
Moved 790.4423 263 321.5834 -0.2245371 0.4721265
Moved 790.4874 263 316.3108 -0.2245371 0.4416136
Moved 790.53 263 312.8382 -0.2245371 0.4215175
Moved 790.5751 263 307.8935 -0.2245371 0.3929022
Moved 790.6245 263 303.5876 -0.2245371 0.3679837
Moved 790.6686 263 300.5881 -0.2245371 0.350626
Moved 790.7193 263 296.2854 -0.2245371 0.3257257
Moved 790.7905 268.1784 286.9108 -0.21255 0.2714747
Moved 790.835 291.0797 276.4601 -0.1595378 0.2109964
Moved 790.8803 321.2661 265.6502 -0.08966183 0.1484387
Moved 790.9271 349.404 254.8384 -0.02452781 0.08587025
Moved 790.9742 378.6937 244.8456 0.04327237 0.02804156
Moved 791.02 401.0963 237.3013 0.09513021 -0.01561765
Moved 791.0662 421.2546 231.3491 0.1417931 -0.05006296
Moved 791.1149 438.989 228.4022 0.1828449 -0.06711677
Moved 791.1611 452.6762 226.1079 0.2145281 -0.08039404
Moved 791.2079 463.7624 226 0.2401906 -0.0810187
Moved 791.2769 483.1175 226 0.2849942 -0.0810187
Moved 791.3195 488.3916 226 0.2972029 -0.0810187
Moved 791.3622 497.811 226 0.3190069 -0.0810187
