my bare face in the wind
Basic
0.4 0.4
288 86.39999
Began 254.3287 480 234 0.4166667 -1.782407
Stationary 254.351 480 234 0.4166667 -1.782407
Stationary 254.3641 480 234 0.4166667 -1.782407
Stationary 254.3783 480 234 0.4166667 -1.782407
Stationary 254.3947 480 234 0.4166667 -1.782407
Stationary 254.4102 480 234 0.4166667 -1.782407
Stationary 254.4243 480 234 0.4166667 -1.782407
Stationary 254.4404 480 234 0.4166667 -1.782407
Stationary 254.4553 480 234 0.4166667 -1.782407
Stationary 254.4708 480 234 0.4166667 -1.782407
Stationary 254.4866 480 234 0.4166667 -1.782407
Stationary 254.5013 480 234 0.4166667 -1.782407
Stationary 254.5182 480 234 0.4166667 -1.782407
Stationary 254.534 480 234 0.4166667 -1.782407
Stationary 254.5513 480 234 0.4166667 -1.782407
Stationary 254.5644 480 234 0.4166667 -1.782407
Stationary 254.5793 480 234 0.4166667 -1.782407
Stationary 254.5947 480 234 0.4166667 -1.782407
Stationary 254.6108 480 234 0.4166667 -1.782407
Stationary 254.6256 480 234 0.4166667 -1.782407
Stationary 254.6405 480 234 0.4166667 -1.782407
Stationary 254.6561 480 234 0.4166667 -1.782407
Stationary 254.6713 480 234 0.4166667 -1.782407
Stationary 254.6873 480 234 0.4166667 -1.782407
Moved 254.7028 480 247.01 0.4166667 -1.631829
Moved 254.7193 480 250.2112 0.4166667 -1.594778
Moved 254.7366 471.4538 254.6385 0.3869924 -1.543535
Moved 254.7501 469.0274 258.9589 0.3785674 -1.493532
Moved 254.7656 464.725 267.5499 0.3636286 -1.394098
Moved 254.7814 463.2104 270.5792 0.3583693 -1.359036
Moved 254.7964 460.0729 278.8177 0.3474754 -1.263684
Moved 254.8118 457.1955 286.0113 0.3374842 -1.180425
Moved 254.8273 455.3085 290.383 0.3309323 -1.129826
Moved 254.8425 453.7146 296.1418 0.3253978 -1.063174
Moved 254.858 451.273 300.181 0.3169201 -1.016423
Moved 254.8727 449.8474 303.3052 0.3119701 -0.9802642
Moved 254.8885 448.8375 306.4875 0.3084636 -0.9434311
Moved 254.9064 448.3404 308.6596 0.3067376 -0.9182916
Moved 254.9196 446.9058 312.2827 0.3017561 -0.8763575
Moved 254.9367 447 315 0.3020833 -0.8449074
Moved 254.9509 445.0224 316.9553 0.2952166 -0.8222767
