my bare face in the wind
Basic
0.6 0.6
432 129.6
Moved 380.2921 252.1105 391.603 -0.2497443 0.0278009
Moved 380.3074 244.2647 389.853 -0.2679057 0.01429782
Moved 380.3235 235.116 388.4232 -0.2890833 0.003265805
Moved 380.3463 218.3191 384.5532 -0.327965 -0.02659598
Stationary 380.3575 218.3191 384.5532 -0.327965 -0.02659598
Moved 380.3703 212.4424 384 -0.3415685 -0.03086396
Moved 380.3845 207.0824 383.0165 -0.353976 -0.03845309
Moved 380.4 201.3824 383 -0.3671703 -0.03858025
Moved 380.4178 196.46 382 -0.3785647 -0.04629629
Moved 380.4319 192.1547 382 -0.3885308 -0.04629629
Moved 380.4473 189.545 381 -0.3945718 -0.05401235
Moved 380.4628 186.6629 381 -0.4012433 -0.05401235
Moved 380.4775 183.791 381 -0.4078912 -0.05401235
Moved 380.4933 182.1952 381 -0.4115852 -0.05401235
Moved 380.5085 180.8109 381 -0.4147896 -0.05401235
Moved 380.5243 179.5 381 -0.4178241 -0.05401235
Moved 380.5391 178.967 381 -0.4190578 -0.05401235
Stationary 380.5545 178.967 381 -0.4190578 -0.05401235
Moved 380.5697 178 381 -0.4212963 -0.05401235
Stationary 380.5838 178 381 -0.4212963 -0.05401235
Stationary 380.5996 178 381 -0.4212963 -0.05401235
Moved 380.617 188.3453 393.762 -0.3973488 0.04445971
Moved 380.6313 193.115 395.3717 -0.3863078 0.05688055
Moved 380.6463 202.0536 397.8107 -0.3656167 0.07570032
Moved 380.6622 211.7385 400.4967 -0.3431979 0.09642531
Moved 380.6783 223.2117 401.6902 -0.3166396 0.1056343
Moved 380.6931 236.0973 404.2438 -0.2868119 0.1253385
Moved 380.7084 250 407 -0.2546296 0.1466051
Moved 380.7243 258.4434 407.6348 -0.2350848 0.151503
Moved 380.7395 268.5224 409.0746 -0.2117538 0.1626129
Moved 380.7553 275.0419 410 -0.1966623 0.1697531
Moved 380.7704 280.8079 410.952 -0.183315 0.1770984
Moved 380.786 286.5633 411 -0.1699925 0.1774691
Moved 380.801 292.9662 412.8277 -0.1551708 0.1915716
Moved 380.8169 300.3271 414.2654 -0.1381317 0.2026654
Moved 380.8312 305.4322 415.2864 -0.1263144 0.2105435
Moved 380.8471 312.2541 416.8135 -0.110523 0.2223268
Moved 380.8638 316.7538 418.2513 -0.1001069 0.2334203
Moved 380.8781 321.0719 419.6906 -0.0901113 0.2445265
Moved 380.8996 326.5703 420.5703 -0.07738351 0.251314
Stationary 380.9104 326.5703 420.5703 -0.07738351 0.251314
Moved 380.9241 327.5 421.5 -0.07523149 0.2584878
Moved 380.9399 328.044 421 -0.07397229 0.2546295
Stationary 380.9552 328 421 -0.07407407 0.2546295
Stationary 380.97 328 421 -0.07407407 0.2546295
Stationary 380.9853 328 421 -0.07407407 0.2546295
Stationary 381 328 421 -0.07407407 0.2546295
Stationary 381.0165 328 421 -0.07407407 0.2546295
Stationary 381.0303 328 421 -0.07407407 0.2546295
Moved 381.0465 317.3941 421 -0.09862477 0.2546295
Moved 381.0623 310.5189 421 -0.1145396 0.2546295
Moved 381.0781 303.276 421 -0.1313055 0.2546295
Moved 381.0929 296.0516 421 -0.1480286 0.2546295
Moved 381.1089 288.8778 421 -0.1646347 0.2546295
Moved 381.1254 281.7142 421 -0.1812171 0.2546295
Moved 381.1401 276.1378 421 -0.1941255 0.2546295
Moved 381.1556 271.8945 421 -0.203948 0.2546295
Moved 381.1711 266.8383 421 -0.215652 0.2546295
Moved 381.1863 262.5544 421 -0.2255684 0.2546295
Moved 381.2015 259.1633 421 -0.2334183 0.2546295
Moved 381.217 254.9302 421 -0.2432172 0.2546295
Moved 381.2324 252.4092 421 -0.2490527 0.2546295
Moved 381.2478 249.5177 421 -0.2557462 0.2546295
Moved 381.2634 248.5 421 -0.2581019 0.2546295
Moved 381.2791 247.2481 421 -0.2609998 0.2546295
Moved 381.2943 245.8086 421 -0.2643318 0.2546295
Stationary 381.3094 245.8086 421 -0.2643318 0.2546295
Moved 381.3249 243.9202 421 -0.2687032 0.2546295
Stationary 381.3405 243.9202 421 -0.2687032 0.2546295
Stationary 381.3551 244 421 -0.2685185 0.2546295
Ended 381.3715 244 421 -0.2685185 0.2546295
