parking lot is full of trucks
Basic
0.4 0.4
288 86.39999
Began 403.8596 570 476 0.7291667 1.018519
Stationary 403.8783 570 476 0.7291667 1.018519
Stationary 403.8916 570 476 0.7291667 1.018519
Stationary 403.9065 570 476 0.7291667 1.018519
Stationary 403.9225 570 476 0.7291667 1.018519
Stationary 403.9376 570 476 0.7291667 1.018519
Stationary 403.9528 570 476 0.7291667 1.018519
Stationary 403.97 570 476 0.7291667 1.018519
Stationary 403.9839 570 476 0.7291667 1.018519
Stationary 403.9989 570 476 0.7291667 1.018519
Stationary 404.0152 570 476 0.7291667 1.018519
Stationary 404.0312 570 476 0.7291667 1.018519
Stationary 404.0462 570 476 0.7291667 1.018519
Stationary 404.0615 570 476 0.7291667 1.018519
Stationary 404.0775 570 476 0.7291667 1.018519
Stationary 404.0924 570 476 0.7291667 1.018519
Stationary 404.1075 570 476 0.7291667 1.018519
Stationary 404.1228 570 476 0.7291667 1.018519
Stationary 404.138 570 476 0.7291667 1.018519
Stationary 404.154 570 476 0.7291667 1.018519
Stationary 404.1699 570 476 0.7291667 1.018519
Stationary 404.1849 570 476 0.7291667 1.018519
Stationary 404.2001 570 476 0.7291667 1.018519
Stationary 404.2156 570 476 0.7291667 1.018519
Stationary 404.2309 570 476 0.7291667 1.018519
Stationary 404.2454 570 476 0.7291667 1.018519
Stationary 404.2627 570 476 0.7291667 1.018519
Stationary 404.2783 570 476 0.7291667 1.018519
Stationary 404.2939 570 476 0.7291667 1.018519
Stationary 404.3088 570 476 0.7291667 1.018519
Moved 404.3241 559.9767 476 0.6943637 1.018519
Stationary 404.3397 559.9767 476 0.6943637 1.018519
Stationary 404.3545 559.9767 476 0.6943637 1.018519
Moved 404.3697 558.7513 476 0.6901086 1.018519
Moved 404.3851 557.6266 476 0.6862034 1.018519
Stationary 404.4001 557.6266 476 0.6862034 1.018519
Stationary 404.417 557.6266 476 0.6862034 1.018519
Moved 404.4315 556.8281 467.7967 0.683431 0.923573
Stationary 404.448 556.8281 467.7967 0.683431 0.923573
Moved 404.4636 555.7953 469 0.6798447 0.9375004
Stationary 404.4781 555.7953 469 0.6798447 0.9375004
Moved 404.4933 554.8333 469 0.6765045 0.9375004
Moved 404.509 555 467.5 0.6770833 0.9201389
Stationary 404.5248 555 467.5 0.6770833 0.9201389
