parking lot is full of trucks
Basic
0.6 0.6
432 129.6
Began 457.9621 635 491 0.636574 0.794753
Stationary 457.9811 635 491 0.636574 0.794753
Stationary 457.996 635 491 0.636574 0.794753
Stationary 458.0175 635 491 0.636574 0.794753
Moved 458.027 611.3287 491 0.5817794 0.794753
Moved 458.0425 587.5306 491 0.5266912 0.794753
Moved 458.058 553.5607 491 0.4480571 0.794753
Moved 458.0735 512.1259 491 0.3521433 0.794753
Moved 458.0885 471.3067 491 0.2576545 0.794753
Moved 458.1042 455.5921 491 0.221278 0.794753
Moved 458.1226 428.5 477.5 0.1585648 0.6905864
Moved 458.1347 405.8831 475.5766 0.1062108 0.6757453
Moved 458.1503 390.8326 471.9581 0.07137169 0.6478251
Moved 458.1664 376.3342 469.5557 0.0378106 0.6292876
Moved 458.181 364.6979 467.1396 0.01087487 0.6106451
Moved 458.1955 353.5482 464.364 -0.01493484 0.5892286
Moved 458.2129 345.0626 462.3036 -0.03457735 0.5733302
Moved 458.2273 339.9758 461.1952 -0.0463523 0.5647776
Moved 458.2419 332.3533 459.101 -0.06399706 0.5486185
Moved 458.2577 327.3701 456.6851 -0.07553229 0.5299773
Moved 458.2743 322.5374 455.6343 -0.0867191 0.5218701
Moved 458.2898 318 453 -0.09722222 0.5015432
Moved 458.3045 312.1116 451.4446 -0.1108528 0.4895419
Moved 458.3205 307.0683 450.0171 -0.122527 0.4785269
Moved 458.3349 302.2474 447.6237 -0.1336866 0.4600596
Moved 458.35 297.4129 446.6032 -0.1448776 0.4521852
Moved 458.3658 293.9559 445.739 -0.1528798 0.4455166
Moved 458.3817 289 444.5 -0.1643519 0.4359569
Moved 458.3959 285.5079 442.254 -0.1724353 0.4186262
Moved 458.4124 282.1443 442 -0.1802215 0.4166667
Moved 458.4276 280.8373 442 -0.183247 0.4166667
Moved 458.4436 278.2591 442 -0.189215 0.4166667
Moved 458.4588 277.5 440.5 -0.1909722 0.4050926
Moved 458.4723 276.2194 441 -0.1939365 0.4089505
Moved 458.4883 276 440.2369 -0.1944444 0.4030625
Moved 458.5052 275.1006 440 -0.1965263 0.4012346
Moved 458.5205 273.898 440 -0.1993102 0.4012346
Stationary 458.535 273.898 440 -0.1993102 0.4012346
Moved 458.5504 272.7376 440 -0.2019963 0.4012346
Moved 458.5669 272 439.2724 -0.2037037 0.3956203
Moved 458.5814 271.0627 439 -0.2058733 0.3935187
Moved 458.5966 269.8572 437.8572 -0.2086639 0.3847004
Moved 458.6146 267.3102 438 -0.2145598 0.3858025
Moved 458.63 266.7622 436.7622 -0.2158282 0.3762516
Moved 458.6444 262.5 434 -0.2256944 0.3549384
Moved 458.6584 257.8531 430.8531 -0.2364512 0.3306564
Moved 458.677 252.3848 428.1539 -0.2491093 0.3098296
Moved 458.6902 247.4858 424.6144 -0.2604495 0.2825184
Moved 458.7045 239.9974 419.6649 -0.2777839 0.2443282
Moved 458.7222 234.7516 416.8344 -0.2899269 0.2224879
Moved 458.7358 229.0063 413.5031 -0.3032262 0.1967833
Moved 458.7516 225.7704 410.0272 -0.3107168 0.1699627
Moved 458.768 222.3481 408.116 -0.3186387 0.1552165
Moved 458.7835 217.6387 405.8194 -0.32954 0.1374955
Moved 458.7982 215.4089 403.4089 -0.3347016 0.1188959
Moved 458.8139 211.5 401 -0.34375 0.1003085
Moved 458.8289 209.5749 399.2875 -0.3482063 0.08709496
Moved 458.8448 207.1586 398.0793 -0.3537995 0.07777249
Moved 458.8601 205.8712 396.8712 -0.3567795 0.06845086
Moved 458.8748 204.6694 395.6694 -0.3595615 0.05917797
Moved 458.8904 203.823 396 -0.361521 0.0617284
Moved 458.9059 202.5636 394.5636 -0.364436 0.05064517
Moved 458.9211 202 394.3544 -0.3657407 0.04903123
Moved 458.9352 201.1483 394 -0.3677122 0.04629641
Moved 458.951 200.5 394 -0.369213 0.04629641
Stationary 458.9687 200.5 394 -0.369213 0.04629641
Stationary 458.9832 200.5 394 -0.369213 0.04629641
Stationary 458.9962 200.5 394 -0.369213 0.04629641
Moved 459.0119 201 394 -0.3680556 0.04629641
Stationary 459.0289 201 394 -0.3680556 0.04629641
Moved 459.0446 222.3681 402.2266 -0.3185922 0.109773
Moved 459.0607 243.0203 411.8919 -0.2707863 0.1843511
Moved 459.076 267.8931 420.1126 -0.2132104 0.2477825
Moved 459.0902 283.4332 425.5733 -0.1772379 0.2899176
Moved 459.1065 295.4686 429.5406 -0.1493782 0.3205294
Moved 459.1215 303.3279 431.0546 -0.1311854 0.3322115
Moved 459.1367 308.0273 432.2568 -0.1203073 0.3414882
Moved 459.1525 310.386 433.1287 -0.1148473 0.348215
Moved 459.1684 314.1256 434.3752 -0.1061908 0.3578332
Moved 459.1835 316 435.5 -0.1018519 0.3665124
Moved 459.2065 319.9949 436 -0.09260446 0.3703703
Stationary 459.2178 319.9949 436 -0.09260446 0.3703703
Moved 459.2296 321.2029 436 -0.08980801 0.3703703
Moved 459.2451 322.4078 436 -0.08701895 0.3703703
Moved 459.2604 323.5 436 -0.08449072 0.3703703
Moved 459.2755 324.5 436 -0.08217593 0.3703703
Stationary 459.2911 324.5 436 -0.08217593 0.3703703
Moved 459.3062 325 436.9829 -0.08101851 0.3779546
Moved 459.3217 326.1882 437 -0.0782681 0.3780865
Stationary 459.3366 326.1882 437 -0.0782681 0.3780865
Moved 459.3526 327.3009 437 -0.07569234 0.3780865
Stationary 459.3688 327.3009 437 -0.07569234 0.3780865
Moved 459.383 329.0163 437 -0.07172152 0.3780865
Stationary 459.3986 329.0163 437 -0.07172152 0.3780865
Moved 459.4145 330.0648 437 -0.06929453 0.3780865
Moved 459.4299 332.7253 437 -0.06313592 0.3780865
Moved 459.4445 335 437 -0.05787035 0.3780865
Moved 459.4598 337.5505 437 -0.05196636 0.3780865
Moved 459.4755 340.9207 437 -0.04416496 0.3780865
Moved 459.4908 344.57 437 -0.03571764 0.3780865
Moved 459.5072 348.1802 437 -0.02736057 0.3780865
Moved 459.5218 350 426.5 -0.02314816 0.297068
Moved 459.5368 353.5 428.5 -0.0150463 0.3124999
