healthy food is good for you
Basic
0.6 0.6
432 388.8
Moved 399.5494 258.3499 517.6501 -0.2353011 0.333462
Moved 399.5655 256.8987 518 -0.2386605 0.3343621
Moved 399.5807 255.5 519.5 -0.2418981 0.3382201
Moved 399.5948 255 520 -0.2430556 0.3395061
Moved 399.6106 253.6023 521.3977 -0.246291 0.343101
Moved 399.6286 252.6133 521 -0.2485803 0.3420781
Stationary 399.6408 252.6133 521 -0.2485803 0.3420781
Moved 399.6566 251.6255 522.3745 -0.2508669 0.3456132
Moved 399.673 250.6271 522 -0.253178 0.3446501
Moved 399.6876 249.8677 522 -0.254936 0.3446501
Moved 399.7036 248.3006 522 -0.2585634 0.3446501
Moved 399.7187 246.8692 522 -0.2618768 0.3446501
Moved 399.7343 245.8396 522 -0.2642601 0.3446501
Moved 399.7502 242.7032 516.1643 -0.2715204 0.3296407
Moved 399.7654 238.7132 507.5221 -0.2807564 0.3074127
Moved 399.7805 234.5 500.5 -0.2905093 0.2893518
Moved 399.796 230.0922 492.1843 -0.3007126 0.2679638
Moved 399.811 225.7763 484.9605 -0.310703 0.249384
Moved 399.8279 222.3211 475.9632 -0.3187013 0.2262427
Moved 399.8418 220.0169 470.0424 -0.3240349 0.2110142
Moved 399.8569 217.1924 462.981 -0.3305732 0.1928522
Moved 399.8743 215.1452 454.7261 -0.335312 0.1716205
Moved 399.8889 212.3974 446.1921 -0.3416728 0.1496711
Moved 399.9046 210.2616 442.0464 -0.3466167 0.1390082
Moved 399.9197 208.8262 437.4786 -0.3499394 0.1272596
Moved 399.9345 207.3926 432.1779 -0.3532577 0.1136262
Moved 399.9507 206.2171 427.8683 -0.3559789 0.102542
Moved 399.9655 204.8514 423.5541 -0.3591404 0.09144559
Moved 399.9809 202.8228 418.6457 -0.363836 0.07882118
Moved 399.9961 200.9767 412.9069 -0.3681094 0.06406093
Moved 400.0125 199.5422 408.6266 -0.3714301 0.05305188
Moved 400.0276 198.115 403.4601 -0.3747337 0.0397637
Moved 400.0421 196.6662 400.3324 -0.3780875 0.03171909
Moved 400.0574 197 398 -0.3773148 0.02572008
Moved 400.0778 195.1079 393.3237 -0.3816947 0.01369268
Moved 400.0896 193.6747 390.3494 -0.3850122 0.006042684
Moved 400.1048 193.2234 387.4468 -0.3860569 -0.001422858
Moved 400.1201 193 385.7874 -0.3865741 -0.005690845
Moved 400.1353 192 383.3494 -0.3888888 -0.01196143
Moved 400.1508 192 381.9124 -0.3888888 -0.01565737
Moved 400.1671 190.5 380.5 -0.3923611 -0.0192902
Moved 400.1805 191 379.3641 -0.3912037 -0.02221174
Moved 400.1967 191 377.928 -0.3912037 -0.02590548
Stationary 400.2121 191 377.928 -0.3912037 -0.02590548
Moved 400.2271 190 376.053 -0.3935185 -0.03072801
Moved 400.2432 190 375.5 -0.3935185 -0.03215028
Moved 400.2596 190 375 -0.3935185 -0.03343629
Moved 400.2746 190 373.7419 -0.3935185 -0.03667203
Stationary 400.2894 190 373.7419 -0.3935185 -0.03667203
Moved 400.3051 190 373 -0.3935185 -0.03858032
Moved 400.3209 190 371.7831 -0.3935185 -0.04171026
Stationary 400.3363 190 372 -0.3935185 -0.04115226
Stationary 400.3516 190 372 -0.3935185 -0.04115226
Moved 400.3662 188.824 370.824 -0.3962407 -0.0441771
Stationary 400.3816 188.824 370.824 -0.3962407 -0.0441771
Stationary 400.3978 188.824 370.824 -0.3962407 -0.0441771
Moved 400.4116 189 369.8748 -0.3958333 -0.04661835
Stationary 400.43 189 369.8748 -0.3958333 -0.04661835
Stationary 400.4443 189 369.8748 -0.3958333 -0.04661835
Stationary 400.459 189 369.8748 -0.3958333 -0.04661835
Moved 400.4739 189 369 -0.3958333 -0.04886839
Stationary 400.4896 189 369 -0.3958333 -0.04886839
Stationary 400.5048 189 369 -0.3958333 -0.04886839
Moved 400.521 189 367.92 -0.3958333 -0.05164613
Stationary 400.5379 189 368 -0.3958333 -0.05144041
Stationary 400.5523 189 368 -0.3958333 -0.05144041
Stationary 400.5658 189 368 -0.3958333 -0.05144041
Stationary 400.5867 189 368 -0.3958333 -0.05144041
Stationary 400.5981 189 368 -0.3958333 -0.05144041
Moved 400.6126 189 366.6276 -0.3958333 -0.05497018
Stationary 400.6302 189 366.6276 -0.3958333 -0.05497018
Stationary 400.6442 189 367 -0.3958333 -0.05401234
Stationary 400.6591 189 367 -0.3958333 -0.05401234
Stationary 400.6752 189 367 -0.3958333 -0.05401234
Stationary 400.6904 189 367 -0.3958333 -0.05401234
Stationary 400.705 189 367 -0.3958333 -0.05401234
Stationary 400.7207 189 367 -0.3958333 -0.05401234
Stationary 400.7364 189 367 -0.3958333 -0.05401234
Stationary 400.7524 189 367 -0.3958333 -0.05401234
Stationary 400.7684 189 367 -0.3958333 -0.05401234
Stationary 400.7842 189 367 -0.3958333 -0.05401234
Stationary 400.7962 189 367 -0.3958333 -0.05401234
Stationary 400.8117 189 367 -0.3958333 -0.05401234
Stationary 400.8273 189 367 -0.3958333 -0.05401234
Stationary 400.8428 189 367 -0.3958333 -0.05401234
Stationary 400.8586 189 367 -0.3958333 -0.05401234
Stationary 400.8738 189 367 -0.3958333 -0.05401234
Stationary 400.8921 189 367 -0.3958333 -0.05401234
Moved 400.9048 198.196 367 -0.3745462 -0.05401234
Moved 400.9222 201.8598 367 -0.3660651 -0.05401234
Moved 400.9366 206.1558 374.3635 -0.3561209 -0.03507347
Moved 400.9514 211.6037 375.1207 -0.3435099 -0.0331257
Moved 400.9677 222.1597 378.1885 -0.3190748 -0.02523548
Moved 400.9835 234.2603 380.0289 -0.2910641 -0.0205018
Moved 401.0005 248.6771 381.4677 -0.2576919 -0.01680123
Moved 401.0143 264.0905 382.9091 -0.2220127 -0.01309406
Moved 401.0341 282.4751 383 -0.1794557 -0.01286016
Moved 401.0457 299.4298 384 -0.1402087 -0.01028807
Moved 401.0616 312.9344 384 -0.1089481 -0.01028807
Moved 401.0767 334.08 384 -0.06000002 -0.01028807
Moved 401.0915 350.2445 384 -0.02258221 -0.01028807
Moved 401.1071 366.2556 384 0.01448055 -0.01028807
Moved 401.1228 381.7327 384 0.05030721 -0.01028807
Moved 401.1386 395.6652 376.4827 0.08255819 -0.02962285
Moved 401.1525 413 377 0.1226852 -0.02829226
Moved 401.1681 422.9686 377 0.1457607 -0.02829226
Moved 401.1839 438.175 377 0.1809608 -0.02829226
Moved 401.1995 452.0863 377 0.2131627 -0.02829226
Moved 401.2146 465.8909 377 0.2451178 -0.02829226
Moved 401.2302 480.3197 377 0.2785178 -0.02829226
Moved 401.2456 491.4082 377 0.3041857 -0.02829226
Moved 401.2617 502.6634 377 0.3302392 -0.02829226
Moved 401.2768 510 377 0.3472221 -0.02829226
Moved 401.2919 516.7736 377 0.3629019 -0.02829226
Moved 401.3077 523.923 377 0.3794513 -0.02829226
Moved 401.3229 530.5278 377 0.3947403 -0.02829226
Moved 401.3387 534.1373 377 0.4030955 -0.02829226
Moved 401.3528 538.0153 377 0.4120723 -0.02829226
Moved 401.3694 540.8874 377 0.4187208 -0.02829226
Moved 401.386 543.7645 377 0.4253807 -0.02829226
Stationary 401.4002 544.3428 377 0.4267195 -0.02829226
Moved 401.4192 545.9065 377 0.4303391 -0.02829226
Moved 401.4308 546.5 377 0.4317129 -0.02829226
Moved 401.4457 547.3729 377 0.4337335 -0.02829226
Moved 401.4613 548.1115 377 0.4354433 -0.02829226
Stationary 401.4762 548.1115 377 0.4354433 -0.02829226
Stationary 401.4924 548 377 0.4351853 -0.02829226
Stationary 401.5074 548 377 0.4351853 -0.02829226
Moved 401.5231 543.3297 377 0.4243743 -0.02829226
