healthy food is good for you
Basic
0.4 0.4
288 86.39999
Began 447.4106 437 347 0.2673611 -0.4745367
Stationary 447.4319 437 347 0.2673611 -0.4745367
Stationary 447.4474 437 347 0.2673611 -0.4745367
Stationary 447.4606 437 347 0.2673611 -0.4745367
Stationary 447.4752 437 347 0.2673611 -0.4745367
Stationary 447.4906 437 347 0.2673611 -0.4745367
Stationary 447.5058 437 347 0.2673611 -0.4745367
Stationary 447.5292 437 347 0.2673611 -0.4745367
Stationary 447.5405 437 347 0.2673611 -0.4745367
Stationary 447.5543 437 347 0.2673611 -0.4745367
Moved 447.5685 427.5779 347 0.2346454 -0.4745367
Moved 447.5841 426.3081 347 0.2302364 -0.4745367
Moved 447.5997 424.8748 347 0.2252598 -0.4745367
Moved 447.6151 423.4354 347 0.2202619 -0.4745367
Moved 447.6313 422.5 347 0.2170139 -0.4745367
Moved 447.646 421.9391 347 0.2150665 -0.4745367
Moved 447.6611 420.4211 347 0.2097955 -0.4745367
Stationary 447.677 420 347 0.2083333 -0.4745367
Moved 447.6926 418.5436 347 0.2032763 -0.4745367
Moved 447.7077 417.1074 347 0.1982896 -0.4745367
Stationary 447.7232 417 347 0.1979166 -0.4745367
Moved 447.7385 415.5 347 0.1927084 -0.4745367
Moved 447.7543 414.5 347 0.1892361 -0.4745367
Moved 447.7691 413.8428 347 0.1869543 -0.4745367
Moved 447.7874 412.5 347 0.1822917 -0.4745367
Moved 447.8004 411.9057 347 0.1802282 -0.4745367
Moved 447.8164 411 347 0.1770833 -0.4745367
Moved 447.8322 409.934 347 0.1733819 -0.4745367
Moved 447.8478 408.5 347 0.1684028 -0.4745367
Stationary 447.8601 408.5 347 0.1684028 -0.4745367
Moved 447.8769 406.9881 347 0.1631532 -0.4745367
Stationary 447.8935 407 347 0.1631944 -0.4745367
Moved 447.9088 405.111 347 0.1566353 -0.4745367
Moved 447.9235 403.6756 347 0.1516515 -0.4745367
Stationary 447.9394 403.6756 347 0.1516515 -0.4745367
Moved 447.9543 401.8 355.3999 0.1451389 -0.3773159
Stationary 447.9699 402 355.2369 0.1458333 -0.3792021
Moved 447.9856 400.2473 356 0.1397477 -0.3703704
Moved 448.0004 398.812 357.1879 0.134764 -0.3566212
Moved 448.0169 398 358.6301 0.1319444 -0.3399291
