just in time for the party
Basic
0.4 0.4
288 259.2
Moved 185.3091 268.4382 338 -0.3179228 -0.1929013
Moved 185.3236 266.9995 338 -0.3229184 -0.1929013
Stationary 185.3391 267 338 -0.3229167 -0.1929013
Moved 185.3541 265.5 338 -0.328125 -0.1929013
Moved 185.3695 264.9983 338 -0.3298671 -0.1929013
Stationary 185.3844 265 338 -0.3298611 -0.1929013
Stationary 185.4002 265 338 -0.3298611 -0.1929013
Moved 185.4154 263.626 338 -0.3346318 -0.1929013
Stationary 185.4305 263.626 338 -0.3346318 -0.1929013
Moved 185.4471 264 346.8822 -0.3333333 -0.1586336
Moved 185.4624 264 348.2833 -0.3333333 -0.153228
Moved 185.4776 264 352.1455 -0.3333333 -0.1383276
Moved 185.493 264 354.1581 -0.3333333 -0.1305628
Moved 185.5139 264 362.1132 -0.3333333 -0.09987194
Stationary 185.5253 264 362.1132 -0.3333333 -0.09987194
Moved 185.5389 275.8441 364.961 -0.2922079 -0.08888514
Moved 185.5532 273.7081 367.4161 -0.2996247 -0.07941316
Moved 185.5697 276.1206 370.1206 -0.2912478 -0.06897914
Moved 185.5844 277.4864 372.9728 -0.2865056 -0.05797539
Moved 185.6009 279.9375 375.8749 -0.2779948 -0.0467789
Moved 185.616 284.1295 380.1296 -0.263439 -0.0303644
Moved 185.631 286.4546 383.4546 -0.2553661 -0.0175363
Moved 185.6471 288.2569 387.7708 -0.249108 -0.0008844446
Moved 185.6617 291 390 -0.2395833 0.007715931
Moved 185.6775 293.6032 392.6032 -0.2305443 0.0177593
Moved 185.6929 296.4797 396.7196 -0.2205566 0.03364027
Moved 185.7083 299.361 400.0415 -0.210552 0.04645636
Moved 185.7241 303.3604 404.3604 -0.1966652 0.06311881
Moved 185.7408 305.5605 407.6814 -0.1890262 0.07593119
Moved 185.7552 307.9953 410.9953 -0.180572 0.08871631
Moved 185.7702 310.881 413.881 -0.170552 0.0998494
Moved 185.7868 312.5119 415.0239 -0.1648891 0.1042587
Moved 185.8003 314.9042 417.9042 -0.1565827 0.1153709
Moved 185.8161 316.3948 420.7897 -0.1514068 0.1265033
Moved 185.832 319.6591 423.6591 -0.1400724 0.1375737
Moved 185.8487 322.5366 426.5366 -0.1300814 0.1486749
Moved 185.8623 325.4181 429.4181 -0.1200761 0.1597919
Moved 185.8781 327.1487 432.2974 -0.114067 0.1709002
Moved 185.8944 329.3912 433.1956 -0.1062804 0.1743657
Moved 185.909 331.4125 436.7062 -0.09926222 0.1879097
Moved 185.9238 333.149 440.447 -0.09323253 0.2023418
Moved 185.9422 335.5891 443.1782 -0.08476003 0.2128788
Moved 185.9549 338.0463 446.0463 -0.07622801 0.2239441
Moved 185.9704 339.4677 448.4677 -0.07129259 0.2332858
Moved 185.9861 340.9065 450.813 -0.0662969 0.2423339
Moved 186.0012 341.994 452.9881 -0.06252065 0.2507255
Moved 186.0166 343.4348 455.8696 -0.05751811 0.2618423
Moved 186.0315 344 456.8748 -0.05555555 0.2657204
Moved 186.0471 345.3291 459.6582 -0.05094058 0.276459
Moved 186.0674 346 461.4996 -0.04861109 0.2835633
Moved 186.0798 347.1953 463.1953 -0.04446059 0.2901052
Moved 186.0937 347.633 464.633 -0.04294097 0.2956518
Moved 186.1098 348 465.825 -0.0416667 0.3002505
Moved 186.124 349.2113 468.4227 -0.03746062 0.3102725
Moved 186.1424 349 469 -0.03819443 0.3125
Moved 186.1563 350.0919 470.0919 -0.03440313 0.3167123
Moved 186.1715 350 471.5 -0.03472224 0.322145
Moved 186.1859 350.9748 472.9748 -0.03133744 0.3278346
Moved 186.2016 351 474.4136 -0.03124997 0.3333859
Moved 186.217 351 475.5 -0.03124997 0.337577
Moved 186.2328 352 475.9605 -0.02777777 0.3393537
Moved 186.2475 352 477.3994 -0.02777777 0.3449048
Stationary 186.2628 352 477.3994 -0.02777777 0.3449048
Moved 186.2783 352 478.3734 -0.02777777 0.3486627
Stationary 186.2938 352 478.3734 -0.02777777 0.3486627
Moved 186.3088 353.2492 479.2492 -0.02344034 0.3520415
Stationary 186.3242 353.2492 479.2492 -0.02344034 0.3520415
Stationary 186.3403 353.2492 479.2492 -0.02344034 0.3520415
Stationary 186.3555 353 479 -0.02430558 0.3510802
Ended 186.3708 353 479 -0.02430558 0.3510802
Began 187.0635 467 493 0.3715278 0.4050924
Stationary 187.0816 467 493 0.3715278 0.4050924
Stationary 187.0955 467 493 0.3715278 0.4050924
Stationary 187.1102 467 493 0.3715278 0.4050924
Stationary 187.1263 467 493 0.3715278 0.4050924
Stationary 187.1418 467 493 0.3715278 0.4050924
Stationary 187.1565 467 493 0.3715278 0.4050924
Stationary 187.1712 467 493 0.3715278 0.4050924
Stationary 187.1872 467 493 0.3715278 0.4050924
Stationary 187.2074 467 493 0.3715278 0.4050924
