coming up with killer sound bites
Basic
0.4 0.4
288 259.2
Began 466.9054 372 364 0.04166662 -0.09259258
Stationary 466.9254 372 364 0.04166662 -0.09259258
Stationary 466.9387 372 364 0.04166662 -0.09259258
Stationary 466.9545 372 364 0.04166662 -0.09259258
Stationary 466.9704 372 364 0.04166662 -0.09259258
Stationary 466.9862 372 364 0.04166662 -0.09259258
Stationary 467.0017 372 364 0.04166662 -0.09259258
Stationary 467.0168 372 364 0.04166662 -0.09259258
Stationary 467.0309 372 364 0.04166662 -0.09259258
Moved 467.0466 358.3349 364 -0.005781501 -0.09259258
Moved 467.0628 357.3789 364 -0.009101032 -0.09259258
Moved 467.0797 354.4914 364 -0.01912721 -0.09259258
Moved 467.094 350.6239 364 -0.03255598 -0.09259258
Moved 467.1099 346.6153 364 -0.04647456 -0.09259258
Moved 467.1246 342.5 364 -0.06076388 -0.09259258
Moved 467.1398 340.5925 364 -0.06738715 -0.09259258
Moved 467.1544 337.7188 364 -0.07736526 -0.09259258
Moved 467.1698 334.8958 364 -0.08716732 -0.09259258
Moved 467.1856 332.0181 364 -0.09715951 -0.09259258
Moved 467.2013 329.1046 364 -0.1072758 -0.09259258
Moved 467.2167 328.1287 364 -0.1106643 -0.09259258
Moved 467.2328 326.6772 364 -0.1157042 -0.09259258
Moved 467.2484 325.691 364 -0.1191284 -0.09259258
Moved 467.2667 324.1487 364 -0.1244836 -0.09259258
Stationary 467.2794 324 364 -0.125 -0.09259258
Moved 467.2949 322.2661 364 -0.1310205 -0.09259258
Moved 467.31 320.83 364 -0.136007 -0.09259258
Stationary 467.3236 320.83 364 -0.136007 -0.09259258
Moved 467.3388 319.6287 364 -0.1401781 -0.09259258
Moved 467.3549 318.9539 364 -0.1425211 -0.09259258
Stationary 467.371 318.9539 364 -0.1425211 -0.09259258
Moved 467.3854 318 357.0333 -0.1458333 -0.1194704
Moved 467.4019 318 354.1292 -0.1458333 -0.1306747
Moved 467.4184 317 352.2545 -0.1493055 -0.1379071
Moved 467.4326 317 349.3816 -0.1493055 -0.1489909
Moved 467.4484 317 346.498 -0.1493055 -0.1601157
Moved 467.466 317 344.2028 -0.1493055 -0.1689707
Moved 467.4785 317 342.6979 -0.1493055 -0.1747768
Moved 467.4945 317 339.5081 -0.1493055 -0.1870832
