he is still on our team
Basic
0.6 0.6
432 129.6
Began 252.4896 426 382 0.1527777 -0.04629629
Stationary 252.5195 426 382 0.1527777 -0.04629629
Stationary 252.5316 426 382 0.1527777 -0.04629629
Stationary 252.542 426 382 0.1527777 -0.04629629
Stationary 252.554 426 382 0.1527777 -0.04629629
Stationary 252.5687 426 382 0.1527777 -0.04629629
Stationary 252.5845 426 382 0.1527777 -0.04629629
Stationary 252.6003 426 382 0.1527777 -0.04629629
Stationary 252.6152 426 382 0.1527777 -0.04629629
Stationary 252.6302 426 382 0.1527777 -0.04629629
Stationary 252.6458 426 382 0.1527777 -0.04629629
Stationary 252.6613 426 382 0.1527777 -0.04629629
Stationary 252.6794 426 382 0.1527777 -0.04629629
Stationary 252.6953 426 382 0.1527777 -0.04629629
Stationary 252.7099 426 382 0.1527777 -0.04629629
Stationary 252.7243 426 382 0.1527777 -0.04629629
Stationary 252.7385 426 382 0.1527777 -0.04629629
Stationary 252.7543 426 382 0.1527777 -0.04629629
Moved 252.77 416.2252 382 0.130151 -0.04629629
Moved 252.7861 414.7859 382 0.1268191 -0.04629629
Moved 252.8013 413.3452 382 0.1234843 -0.04629629
Moved 252.8169 411.9055 382 0.1201515 -0.04629629
Stationary 252.832 412 382 0.1203704 -0.04629629
Moved 252.8481 409.7227 382 0.1150988 -0.04629629
Moved 252.8627 406.8451 382 0.1084376 -0.04629629
Moved 252.8779 405.5 392.5 0.1053241 0.03472234
Moved 252.8926 402.0901 390.955 0.09743075 0.02280082
Moved 252.9088 397.8073 392.3976 0.0875169 0.03393209
Moved 252.9278 395.3295 394.6705 0.08178125 0.05147016
Moved 252.94 393.1289 395.9355 0.07668734 0.06123119
Moved 252.9555 390.2982 397.3509 0.0701346 0.07215194
Moved 252.9707 386.6309 399.5794 0.0616456 0.08934716
Moved 252.9863 382.3148 401.2284 0.05165458 0.1020712
Moved 253.0031 377.3313 403.3344 0.04011869 0.1183207
Moved 253.0181 371.5764 406.2119 0.02679715 0.1405237
Moved 253.0325 364.8152 408.5462 0.01114637 0.1585356
Moved 253.0479 360.7714 410.4857 0.001785656 0.1735011
Moved 253.0639 355.5979 412.1005 -0.01019006 0.1859609
Moved 253.0796 349.838 413.5405 -0.02352312 0.1970721
Moved 253.0938 343.0831 414.9834 -0.03915941 0.2082054
Moved 253.1094 337.295 416.4263 -0.05255788 0.2193385
Moved 253.125 331.4088 417.8637 -0.06618321 0.2304297
Moved 253.1403 325.7898 418 -0.07919024 0.2314815
Moved 253.1615 320.8044 419.5489 -0.09073059 0.2434327
Moved 253.1723 314.8637 420 -0.1044821 0.2469136
Moved 253.1862 308.9668 421.2583 -0.1181324 0.2566229
Moved 253.2027 303.8934 421.7022 -0.1298764 0.2600478
Moved 253.2182 298.4136 422 -0.1425611 0.2623458
Moved 253.2325 294.2171 422.5943 -0.1522752 0.2669313
Moved 253.2476 290.9595 423 -0.1598159 0.2700617
Moved 253.2638 286.5721 423 -0.169972 0.2700617
Moved 253.2795 284.1832 423 -0.1755018 0.2700617
Moved 253.2942 279.8702 423 -0.1854856 0.2700617
Moved 253.31 276.5793 423 -0.1931034 0.2700617
Moved 253.3261 273.1603 423 -0.2010178 0.2700617
Moved 253.3407 270.3117 423 -0.2076118 0.2700617
Moved 253.3559 267.4081 423 -0.214333 0.2700617
Moved 253.3721 264.5594 423 -0.2209272 0.2700617
Moved 253.3875 262.5024 423 -0.2256888 0.2700617
Moved 253.4024 260.223 423 -0.2309653 0.2700617
Moved 253.4179 258.7967 423 -0.2342669 0.2700617
Moved 253.4334 257.35 423 -0.2376157 0.2700617
Moved 253.4498 254.8166 423 -0.24348 0.2700617
Moved 253.4635 253.5 423 -0.2465278 0.2700617
Stationary 253.4794 253.5 423 -0.2465278 0.2700617
Moved 253.4941 251.9725 423 -0.2500637 0.2700617
Moved 253.5098 250.5165 423 -0.253434 0.2700617
Moved 253.5251 250 423 -0.2546296 0.2700617
Moved 253.5419 248.6446 423 -0.2577671 0.2700617
Stationary 253.5566 248.6446 423 -0.2577671 0.2700617
Stationary 253.5739 249 423 -0.2569445 0.2700617
Ended 253.5863 249 423 -0.2569445 0.2700617
Began 254.0335 501 453 0.3263889 0.5015432
Stationary 254.0501 501 453 0.3263889 0.5015432
Stationary 254.0643 501 453 0.3263889 0.5015432
Stationary 254.079 501 453 0.3263889 0.5015432
Stationary 254.0946 501 453 0.3263889 0.5015432
Stationary 254.1113 501 453 0.3263889 0.5015432
Stationary 254.1266 501 453 0.3263889 0.5015432
Moved 254.1415 489.7379 453 0.3003192 0.5015432
Moved 254.158 488.6877 453 0.2978882 0.5015432
Moved 254.1743 484.0413 453 0.2871327 0.5015432
Moved 254.1888 479.7157 453 0.2771197 0.5015432
Moved 254.2052 475.5 442.5 0.2673611 0.4205247
Moved 254.22 471.0588 444.0196 0.2570805 0.43225
Moved 254.2344 466.778 442.5927 0.2471713 0.4212397
Moved 254.2509 462.5986 441.1497 0.2374968 0.4101056
Moved 254.2735 454.3048 438.5762 0.2182982 0.3902483
Moved 254.2876 451.3991 438.1331 0.2115721 0.386829
Stationary 254.2999 451.3991 438.1331 0.2115721 0.386829
Moved 254.3116 447.0613 438 0.2015309 0.3858025
Moved 254.3328 439.6342 436 0.1843385 0.3703703
Stationary 254.3434 439.6342 436 0.1843385 0.3703703
Moved 254.3565 434.1096 434.3699 0.17155 0.3577923
Moved 254.3735 429.7727 434 0.1615108 0.3549384
Moved 254.3889 424.2688 432.8172 0.1487704 0.3458117
Moved 254.4043 419.5022 431.3755 0.1377366 0.3346879
Moved 254.4202 412.7293 429.9459 0.1220587 0.3236565
Moved 254.4341 408.5071 428.5024 0.112285 0.3125185
Moved 254.451 403.2109 428 0.1000252 0.308642
Moved 254.467 398.8725 426.6241 0.08998264 0.2980258
Moved 254.4812 395.5 425.5 0.08217593 0.2893519
Moved 254.4968 389.4551 423.1138 0.06818314 0.2709398
Moved 254.5119 383.699 421.6747 0.05485873 0.2598359
Moved 254.5269 378.9438 419.236 0.04385144 0.2410182
Moved 254.5424 371.9688 417.7938 0.02770553 0.2298903
