we run the risk of failure
Basic
0.8 0.8
575.9999 435.2
Began 1643.696 179 507 -0.3142361 0.3193934
Stationary 1643.787 179 507 -0.3142361 0.3193934
Stationary 1643.857 179 507 -0.3142361 0.3193934
Stationary 1643.93 179 507 -0.3142361 0.3193934
Moved 1644.003 179 518.7501 -0.3142361 0.3463928
Moved 1644.077 170.5 525.5 -0.3289931 0.3619026
Moved 1644.147 170 527.5 -0.3298611 0.3664982
Moved 1644.219 169 530.1711 -0.3315972 0.3726359
Moved 1644.29 178.0135 531 -0.3159487 0.3745404
Moved 1644.36 198 531 -0.28125 0.3745404
Moved 1644.443 224.9119 520 -0.2345279 0.3492647
Moved 1644.512 234.3859 518 -0.21808 0.3446691
Ended 1644.58 235 518 -0.2170139 0.3446691
Began 1645.524 270 482 -0.15625 0.2619486
Stationary 1645.603 270 482 -0.15625 0.2619486
Stationary 1645.671 270 482 -0.15625 0.2619486
Moved 1645.742 283.3963 482 -0.1329926 0.2619486
Moved 1645.809 286 482 -0.1284722 0.2619486
Moved 1645.877 289.0076 482 -0.1232507 0.2619486
Stationary 1645.943 289.0076 482 -0.1232507 0.2619486
Moved 1646.01 290.1244 482 -0.1213119 0.2619486
Moved 1646.08 290 495.9666 -0.1215278 0.2940409
Moved 1646.15 281.8632 499.1368 -0.1356541 0.3013254
Moved 1646.219 282 502 -0.1354167 0.3079045
Moved 1646.3 295 502 -0.1128472 0.3079045
Moved 1646.372 324.2581 502 -0.06205183 0.3079045
Moved 1646.446 353.4316 502 -0.01140345 0.3079045
Moved 1646.515 377.3457 502 0.03011413 0.3079045
Moved 1646.582 403.7089 502 0.07588349 0.3079045
Moved 1646.649 423.2051 502 0.1097311 0.3079045
Moved 1646.716 436.0607 502 0.1320498 0.3079045
Moved 1646.784 445.899 506 0.1491302 0.3170956
Moved 1646.85 450.314 507 0.1567952 0.3193934
Moved 1646.917 451 507 0.1579861 0.3193934
Moved 1647.018 453 460.829 0.1614583 0.2133019
Moved 1647.085 453 395.2883 0.1614583 0.06270286
Moved 1647.152 453 337.2161 0.1614583 -0.07073501
Moved 1647.218 445.3648 302.824 0.1482028 -0.1497611
Moved 1647.288 445 283.2728 0.1475695 -0.1946856
Moved 1647.361 445 270.5408 0.1475695 -0.2239413
Moved 1647.434 445 256.8646 0.1475695 -0.2553664
Moved 1647.506 445 245.7662 0.1475695 -0.2808681
Moved 1647.576 445 241.399 0.1475695 -0.2909029
Moved 1647.646 445 238 0.1475695 -0.2987133
Moved 1647.751 445 231.9584 0.1475695 -0.3125956
Moved 1647.819 445 228.7939 0.1475695 -0.3198669
Ended 1647.885 445 229 0.1475695 -0.3193934
Began 1648.476 293 476 -0.1163194 0.2481618
Stationary 1648.554 293 476 -0.1163194 0.2481618
Stationary 1648.622 293 476 -0.1163194 0.2481618
Stationary 1648.69 293 476 -0.1163194 0.2481618
Moved 1648.765 293 493.0532 -0.1163194 0.2873465
Moved 1648.839 293 499.8698 -0.1163194 0.3030097
Moved 1648.912 305.0298 504.0298 -0.09543441 0.3125684
Moved 1648.981 314.8439 506.8439 -0.07839605 0.3190347
Moved 1649.05 319.2731 511.2731 -0.07070638 0.3292122
Moved 1649.119 325.4412 518.4412 -0.059998 0.3456829
Moved 1649.19 331.8366 522 -0.04889478 0.3538603
Moved 1649.262 336.28 523 -0.04118063 0.3561581
Moved 1649.333 349.9855 494.2319 -0.01738634 0.2900551
Moved 1649.411 390.5134 422.6015 0.05297467 0.125463
Moved 1649.505 407.8761 391.2478 0.08311823 0.05341863
Moved 1649.573 412 380.3934 0.09027779 0.02847742
Moved 1649.644 414 371.0605 0.09374999 0.007032577
Moved 1649.713 415 366.1312 0.09548612 -0.004294059
Moved 1649.78 415 364 0.09548612 -0.009191107
Moved 1649.859 387.1655 377.334 0.0471624 0.02144758
Moved 1649.93 325.6955 418.5955 -0.05955648 0.116258
Moved 1650.003 263.6142 468.5906 -0.1673365 0.2311365
Moved 1650.076 241.7921 495.4157 -0.205222 0.2927751
Moved 1650.145 232.2814 507.4371 -0.2217336 0.3203977
Moved 1650.255 220.2471 521.7529 -0.2426265 0.3532925
Moved 1650.329 218 525.4793 -0.2465278 0.3618551
Moved 1650.402 216 527 -0.25 0.3653493
Ended 1650.471 216 527 -0.25 0.3653493
Began 1651.306 249 482 -0.1927084 0.2619486
Stationary 1651.377 249 482 -0.1927084 0.2619486
Moved 1651.446 266.227 482 -0.1628004 0.2619486
Moved 1651.521 278.2732 482 -0.1418869 0.2619486
Moved 1651.593 285.6518 482 -0.1290768 0.2619486
Moved 1651.661 290 482 -0.1215278 0.2619486
Moved 1651.731 292.3734 491.614 -0.1174072 0.2840396
Moved 1651.801 293 497.1772 -0.1163194 0.2968226
Moved 1651.87 282.5 507 -0.1345486 0.3193934
Moved 1651.945 285 512.1837 -0.1302083 0.3313046
Moved 1652.014 303.8448 515 -0.09749174 0.3377758
Moved 1652.083 331.9401 515 -0.04871518 0.3377758
Moved 1652.15 368.9966 515 0.01561903 0.3377758
Moved 1652.22 395.1867 515 0.06108806 0.3377758
Moved 1652.289 433.9702 515 0.1284205 0.3377758
Moved 1652.359 459.9652 515 0.1735507 0.3377758
Moved 1652.429 481.5766 515 0.2110704 0.3377758
Moved 1652.498 497.3218 517 0.2384059 0.3423713
Moved 1652.568 516.3287 518 0.2714039 0.3446691
Moved 1652.676 524 518 0.2847222 0.3446691
Moved 1652.747 501.6077 523 0.2458467 0.3561581
Moved 1652.816 420.588 480.794 0.1051876 0.2591774
Moved 1652.886 343.642 440.5646 -0.02839931 0.1667385
Moved 1652.954 295.1988 416.0994 -0.1125021 0.1105226
Moved 1653.023 247.9415 391.9708 -0.194546 0.05507988
Moved 1653.094 231.0291 383.3527 -0.2239078 0.03527747
Moved 1653.164 217.4107 376 -0.2475509 0.01838228
Moved 1653.233 210.0406 373.0406 -0.2603461 0.01158245
Moved 1653.302 203.5 372 -0.2717014 0.009191248
Moved 1653.406 199.5 370 -0.2786458 0.004595589
Moved 1653.475 224.913 369 -0.2345261 0.002297794
Moved 1653.543 296.8583 376.5906 -0.109621 0.01973938
Moved 1653.612 372.5624 382.7562 0.02180979 0.03390684
Moved 1653.681 418.5296 383 0.1016139 0.03446691
Moved 1653.754 457.862 383 0.1698993 0.03446691
Moved 1653.824 494.529 383 0.2335572 0.03446691
Moved 1653.893 511.6592 383 0.2632973 0.03446691
Moved 1653.962 522.5 383 0.282118 0.03446691
Ended 1654.04 522 383 0.2812501 0.03446691
Began 1654.923 336 399 -0.04166667 0.07123166
Stationary 1654.997 336 399 -0.04166667 0.07123166
Moved 1655.07 352.9623 415.9623 -0.01221821 0.1102076
Moved 1655.141 368.19 436.65 0.01421876 0.1577436
Moved 1655.214 382.1762 461.3524 0.03850028 0.2145045
Moved 1655.284 397.1973 480.5964 0.06457866 0.2587235
Moved 1655.355 414.5125 494.3843 0.09463973 0.2904052
Moved 1655.425 441.9572 507.9893 0.1422869 0.3216666
Moved 1655.494 470.7213 514.2869 0.1922245 0.3361372
Moved 1655.563 521.8845 516 0.2810495 0.3400735
Moved 1655.643 554.4219 516 0.3375381 0.3400735
