parking lot is full of trucks
Basic
0.6 0.6
432 388.8
Moved 278.9777 379.9095 447.7919 0.04608681 0.1537856
Moved 278.9929 388.8405 439.1595 0.06676047 0.1315829
Moved 279.0089 398.0063 433.7107 0.08797745 0.1175686
Moved 279.0235 406.031 426.969 0.1065531 0.1002288
Moved 279.0399 413.1636 421.2691 0.1230639 0.08556864
Moved 279.0549 419.5976 416.0518 0.1379574 0.0721497
Moved 279.0702 424.8542 412.1093 0.1501255 0.06200944
Moved 279.0871 430.6249 407.7813 0.1634836 0.05087778
Moved 279.101 435.5282 403.3145 0.1748338 0.03938914
Moved 279.1158 439.839 399.1611 0.1848124 0.02870642
Moved 279.1322 444.3604 394.6396 0.1952788 0.01707709
Moved 279.1477 447.4442 391.5558 0.2024171 0.009145501
Moved 279.162 450 390.5 0.2083333 0.006429962
Moved 279.1785 451.7982 388.2018 0.2124959 0.0005189872
Moved 279.1917 454.4669 386.7665 0.2186735 -0.003172517
Moved 279.2088 456.3439 384.3281 0.2230183 -0.00944428
Moved 279.2229 458.1084 382.8916 0.2271027 -0.01313896
Moved 279.2372 459.5491 381.4509 0.2304377 -0.01684448
Moved 279.2541 461.945 380.0275 0.2359838 -0.02050541
Moved 279.2706 464.8215 377.1785 0.2426423 -0.02783308
Moved 279.2848 466.7683 376.6158 0.2471488 -0.02928031
Moved 279.2998 469.9099 374.045 0.2544211 -0.03589245
Moved 279.3154 472.7793 372.6104 0.2610631 -0.03958243
Moved 279.3312 473.8324 371.1675 0.263501 -0.04329352
Moved 279.3464 475.2711 371 0.2668313 -0.04372435
Moved 279.3613 476.7099 370 0.2701618 -0.04629637
Moved 279.3773 477.5 370 0.2719907 -0.04629637
Moved 279.3918 478.0928 370 0.273363 -0.04629637
Moved 279.4075 478.6586 370 0.2746727 -0.04629637
Moved 279.4254 479.5 370 0.2766204 -0.04629637
Moved 279.4386 479 375.9652 0.275463 -0.03095375
Moved 279.4623 479 401.4 0.275463 0.03446504
Stationary 279.4728 479 401.4 0.275463 0.03446504
Moved 279.4841 472.1224 420.1761 0.2595426 0.08275738
Moved 279.5012 469.038 428.867 0.2524027 0.1051105
Moved 279.5169 467.5863 445.964 0.2490424 0.1490842
Moved 279.5331 465.1501 454.9496 0.2434029 0.1721955
Moved 279.5477 463.7263 464.9161 0.2401072 0.1978293
Moved 279.5653 462.2836 477.015 0.2367675 0.228948
Moved 279.5781 462 487.0804 0.2361111 0.2548363
Moved 279.5931 460.4018 496.5891 0.2324116 0.2792928
Moved 279.6095 460 502.0751 0.2314815 0.2934029
Moved 279.625 460 508.6295 0.2314815 0.3102609
Moved 279.6399 460 512.2583 0.2314815 0.3195943
Moved 279.6556 460 517.0015 0.2314815 0.3317938
Moved 279.6708 460 519.876 0.2314815 0.3391872
Moved 279.686 460 521.8752 0.2314815 0.3443291
Moved 279.7015 460 523.3139 0.2314815 0.3480295
Stationary 279.7178 460 523 0.2314815 0.3472221
Moved 279.7324 460 524.5 0.2314815 0.3510802
Stationary 279.7484 460 524.5 0.2314815 0.3510802
Moved 279.7641 460 524 0.2314815 0.3497942
Moved 279.7787 458.7921 505.8807 0.2286853 0.3031911
Moved 279.7941 452.5562 483.7642 0.2142505 0.2463071
Moved 279.8099 445.7141 456.7848 0.1984122 0.1769155
Moved 279.8256 437 429.5 0.1782407 0.1067386
Moved 279.8397 433.1665 413.2213 0.1693669 0.06486959
Moved 279.8559 428.8343 391.1713 0.1593385 0.008156505
Moved 279.8728 425.4995 374.9949 0.1516192 -0.03344932
Moved 279.8871 424.0622 363.4353 0.1482921 -0.06318088
Moved 279.9026 421.2626 349.3128 0.1418115 -0.0995041
Moved 279.9189 420.1847 341.2928 0.1393164 -0.1201316
Moved 279.9341 418.7566 331.2959 0.1360106 -0.145844
Moved 279.9484 417.7683 326.8417 0.133723 -0.1573001
Moved 279.966 416.2439 316.4631 0.1301941 -0.1839941
Moved 279.9791 413.6172 309.0431 0.124114 -0.2030785
Moved 280.0009 410.9342 296.671 0.1179032 -0.2348996
Stationary 280.0122 410.9342 296.671 0.1179032 -0.2348996
Moved 280.0252 409.5 291 0.1145834 -0.2494857
Moved 280.0412 408.0617 286.1851 0.1112539 -0.2618697
Moved 280.056 406.9564 280.782 0.1086953 -0.2757663
Moved 280.0717 404.5023 274.5071 0.1030147 -0.2919057
Moved 280.0876 403.0701 270.2103 0.0996993 -0.3029572
Moved 280.1027 401.632 267.264 0.09637038 -0.310535
Moved 280.1171 399.3944 260.7889 0.09119084 -0.3271892
Moved 280.1331 399 258.7531 0.09027779 -0.3324251
Moved 280.1482 397.3081 253.9243 0.08636136 -0.3448449
Moved 280.1654 396.1656 252.1656 0.08371661 -0.3493682
Moved 280.1794 394.7892 249.5785 0.08053064 -0.3560224
Moved 280.1946 393.3528 248.3528 0.0772054 -0.359175
Moved 280.2115 391.914 248 0.07387508 -0.3600824
Moved 280.2261 389.9415 248 0.06930897 -0.3600824
Moved 280.2408 385.067 248 0.05802561 -0.3600824
Moved 280.2571 377.8893 259.3771 0.04141053 -0.3308204
Moved 280.2735 370.0551 267.5748 0.02327581 -0.3097357
Moved 280.2879 360.0862 282.8707 0.0001994769 -0.2703943
Moved 280.3041 352.5569 294.9089 -0.01722937 -0.2394318
Moved 280.3201 346.3701 306.3339 -0.03155072 -0.2100467
Moved 280.3338 341.8816 319.3553 -0.04194081 -0.1765554
Moved 280.3495 338.3562 332.5751 -0.05010138 -0.1425537
Moved 280.3662 334.2223 346.5923 -0.05967056 -0.1065014
Moved 280.381 332 354.5 -0.06481484 -0.08616254
Moved 280.3958 329.587 367.6519 -0.07040039 -0.05233576
Moved 280.412 327.7556 378.7106 -0.07463977 -0.0238924
Moved 280.4258 327.3089 387.4556 -0.07567386 -0.001400371
Moved 280.442 327 392.4105 -0.07638887 0.01134374
Moved 280.4647 326 402.0634 -0.07870371 0.03617126
Stationary 280.4761 326 402.0634 -0.07870371 0.03617126
Moved 280.4872 326 404.8444 -0.07870371 0.04332409
Moved 280.503 324.6532 406.6935 -0.08182123 0.04808006
Moved 280.5191 325 409.8585 -0.08101851 0.05622039
Moved 280.5345 325 411.3564 -0.08101851 0.06007308
Moved 280.5506 325 412.7993 -0.08101851 0.06378413
Moved 280.5649 325 413.5 -0.08101851 0.06558634
