he is just like everyone else
Basic
0.4 0.4
288 259.2
Began 81.72486 413 429 0.1840278 0.1581789
Stationary 81.74262 413 429 0.1840278 0.1581789
Stationary 81.75495 413 429 0.1840278 0.1581789
Stationary 81.77106 413 429 0.1840278 0.1581789
Stationary 81.7862 413 429 0.1840278 0.1581789
Stationary 81.80189 413 429 0.1840278 0.1581789
Stationary 81.8166 413 429 0.1840278 0.1581789
Stationary 81.83323 413 429 0.1840278 0.1581789
Stationary 81.84782 413 429 0.1840278 0.1581789
Stationary 81.86439 413 429 0.1840278 0.1581789
Stationary 81.88017 413 429 0.1840278 0.1581789
Stationary 81.89539 413 429 0.1840278 0.1581789
Stationary 81.90989 413 429 0.1840278 0.1581789
Stationary 81.92551 413 429 0.1840278 0.1581789
Moved 81.93989 400.1637 429 0.1394574 0.1581789
Moved 81.95719 396.9863 429 0.1284246 0.1581789
Moved 81.97266 390.7418 432.1615 0.1067424 0.170376
Moved 81.98756 385.3148 438.6852 0.08789881 0.1955446
Moved 82.00318 376.9742 443.0129 0.05893841 0.212241
Moved 82.01881 369.3473 448.3264 0.03245592 0.2327404
Moved 82.03413 359.7672 454.8806 -0.0008081644 0.2580267
Moved 82.04923 347.6565 461.482 -0.04285946 0.2834953
Moved 82.06474 339.2867 466.2647 -0.07192113 0.3019471
Moved 82.08125 327.0764 473.0686 -0.1143179 0.3281967
Moved 82.0958 317.1765 478.2353 -0.1486928 0.3481298
Moved 82.11185 303.0805 483.2759 -0.1976372 0.3675765
Moved 82.12727 292.7202 487.6049 -0.2336106 0.384278
Moved 82.14164 281.1786 492.9107 -0.2736854 0.4047479
Moved 82.15672 272.4771 495.841 -0.3038991 0.4160531
Moved 82.17448 266 496.5 -0.3263889 0.4185956
Moved 82.1883 259.1685 498.9663 -0.3501093 0.4281105
Moved 82.20277 251.975 501.81 -0.3750868 0.4390816
Moved 82.21845 249.3019 502.8491 -0.3843684 0.4430903
Moved 82.23383 247.7081 503 -0.3899025 0.4436727
Ended 82.24842 246 504 -0.3958333 0.4475308
Began 83.0929 469 479 0.3784722 0.3510802
Stationary 83.12089 469 479 0.3784722 0.3510802
Stationary 83.13038 469 479 0.3784722 0.3510802
Stationary 83.14152 469 479 0.3784722 0.3510802
Moved 83.15739 457.4867 479 0.3384955 0.3510802
