he is still on our team
Basic
0.4 0.4
288 259.2
Began 337.8893 413 410 0.1840278 0.08487642
Stationary 337.908 413 410 0.1840278 0.08487642
Stationary 337.9218 413 410 0.1840278 0.08487642
Stationary 337.9355 413 410 0.1840278 0.08487642
Stationary 337.953 413 410 0.1840278 0.08487642
Stationary 337.9692 413 410 0.1840278 0.08487642
Stationary 337.9831 413 410 0.1840278 0.08487642
Stationary 337.9996 413 410 0.1840278 0.08487642
Stationary 338.0171 413 410 0.1840278 0.08487642
Stationary 338.0325 413 410 0.1840278 0.08487642
Stationary 338.0489 413 410 0.1840278 0.08487642
Stationary 338.0597 413 410 0.1840278 0.08487642
Stationary 338.0756 413 410 0.1840278 0.08487642
Stationary 338.0914 413 410 0.1840278 0.08487642
Stationary 338.1137 413 410 0.1840278 0.08487642
Stationary 338.1235 413 410 0.1840278 0.08487642
Moved 338.1359 407.7133 410 0.1656714 0.08487642
Moved 338.1534 401.9477 410 0.1456517 0.08487642
Moved 338.1686 399.0703 410 0.1356608 0.08487642
Moved 338.1835 397.1927 410 0.1291413 0.08487642
Moved 338.1995 395.6537 410 0.1237978 0.08487642
Moved 338.2148 391.4263 410 0.1091193 0.08487642
Moved 338.2305 389.1498 410 0.1012146 0.08487642
Moved 338.2445 384.9468 410 0.08662089 0.08487642
Moved 338.2621 380.6577 415.4653 0.07172822 0.1059618
Moved 338.2769 376.3067 418.2311 0.05662053 0.1166322
Moved 338.2925 371.9986 419.6672 0.04166171 0.1221726
Moved 338.3083 367.6821 421.106 0.02667412 0.1277235
Moved 338.3224 363.5 424 0.01215279 0.1388888
Moved 338.3372 358.4162 425.4335 -0.005499199 0.1444194
Moved 338.3544 353.8362 428.1092 -0.02140216 0.1547422
Moved 338.3698 349.5 431 -0.03645829 0.1658949
Moved 338.3835 345.1871 432.9376 -0.0514336 0.1733703
Moved 338.3995 340.8701 435.7533 -0.06642333 0.1842333
Moved 338.4143 337.5541 437.8153 -0.0779371 0.1921886
Moved 338.4296 333.2376 439.2541 -0.09292483 0.1977393
Moved 338.4453 329.5 442 -0.1059028 0.2083332
Moved 338.4613 327.3409 442.8296 -0.1133998 0.2115338
Moved 338.4762 323.2057 444.2648 -0.1277579 0.2170707
Moved 338.4913 320.5875 446.4125 -0.1368488 0.2253566
