he is just like everyone else
Basic
0.4 0.4
288 86.39999
Moved 363.3678 297.1546 413.2818 -0.2182132 0.2926134
Moved 363.3813 295.4236 414.2882 -0.2242238 0.3042618
Moved 363.3972 291.5198 415.8267 -0.2377784 0.3220685
Moved 363.4128 288.4547 417.2726 -0.2484214 0.3388037
Moved 363.4285 285.5835 418.7083 -0.2583906 0.3554198
Moved 363.444 283.8579 420.1421 -0.2643823 0.3720151
Moved 363.4597 280.8218 421.5891 -0.2749244 0.388763
Moved 363.4746 278.971 423.029 -0.2813507 0.4054281
Moved 363.4902 277.9312 424.0688 -0.2849611 0.417463
Moved 363.5063 276.5 424 -0.2899306 0.4166668
Moved 363.5207 275.0223 425 -0.2950613 0.4282407
Moved 363.5362 275 426.4124 -0.2951389 0.4445883
Moved 363.5522 274.1452 427 -0.2981068 0.4513891
Moved 363.5677 274 428.3424 -0.2986111 0.466926
Moved 363.5822 274 428.7802 -0.2986111 0.4719925
Moved 363.5974 274 429.9246 -0.2986111 0.4852387
Moved 363.613 274 430.5 -0.2986111 0.4918981
Moved 363.6289 274 431.7805 -0.2986111 0.5067184
Moved 363.6443 274 433.2233 -0.2986111 0.5234183
Stationary 363.6598 274 433.2233 -0.2986111 0.5234183
Moved 363.6739 274 435.1031 -0.2986111 0.5451745
Stationary 363.6905 274 435.1031 -0.2986111 0.5451745
Moved 363.707 274 436.3734 -0.2986111 0.5598775
Moved 363.7222 274 437.0293 -0.2986111 0.5674689
Moved 363.7378 284.5 437 -0.2621528 0.5671298
Stationary 363.7523 284.5 437 -0.2621528 0.5671298
Moved 363.7672 282 438 -0.2708333 0.5787037
Moved 363.7831 283 438.829 -0.2673611 0.5882991
Moved 363.7988 284.2684 439 -0.262957 0.590278
Stationary 363.813 284.2684 439 -0.262957 0.590278
Moved 363.8283 285 439.8491 -0.2604166 0.6001057
Moved 363.8442 286.2882 440 -0.2559436 0.6018519
Ended 363.8611 287.5 440 -0.2517361 0.6018519
Began 364.2899 427 425 0.2326389 0.4282407
Stationary 364.3098 427 425 0.2326389 0.4282407
Stationary 364.3237 427 425 0.2326389 0.4282407
Stationary 364.3366 427 425 0.2326389 0.4282407
Stationary 364.3527 427 425 0.2326389 0.4282407
Stationary 364.3678 427 425 0.2326389 0.4282407
Stationary 364.3832 427 425 0.2326389 0.4282407
Stationary 364.3992 427 425 0.2326389 0.4282407
Stationary 364.4151 427 425 0.2326389 0.4282407
Stationary 364.4292 427 425 0.2326389 0.4282407
Stationary 364.4441 427 425 0.2326389 0.4282407
Stationary 364.4597 427 425 0.2326389 0.4282407
Moved 364.4763 437.6792 425 0.2697195 0.4282407
Moved 364.4912 437.1783 425 0.2679804 0.4282407
Moved 364.5107 438.7931 425 0.2735872 0.4282407
Moved 364.5228 439.9003 425 0.2774317 0.4282407
Moved 364.5379 440 415.83 0.2777778 0.3221067
Moved 364.5532 441.7491 417 0.283851 0.3356481
Moved 364.5693 443.1852 415.8148 0.2888374 0.3219308
Moved 364.5843 443.6262 415 0.2903688 0.3125
Moved 364.5996 445.063 413.937 0.2953577 0.3001964
Moved 364.6154 445 412.5 0.2951389 0.2835648
Moved 364.6303 446 412.2878 0.2986111 0.2811087
Moved 364.6467 447.0605 412 0.3022933 0.2777779
Moved 364.6616 447 410.501 0.3020833 0.2604283
Stationary 364.6764 447 410.501 0.3020833 0.2604283
Moved 364.6917 448.3734 409.6266 0.3068521 0.2503077
Stationary 364.7076 448.3734 409.6266 0.3068521 0.2503077
Moved 364.7227 448 408.751 0.3055556 0.240174
Moved 364.7375 448 407.6536 0.3055556 0.227472
Moved 364.7538 449.5 408 0.3107639 0.2314815
Moved 364.7693 449 406.8899 0.3090277 0.2186328
Stationary 364.7845 449 406.8899 0.3090277 0.2186328
Moved 364.8004 449 404.9029 0.3090277 0.1956352
Moved 364.8167 449 403.5 0.3090277 0.1793981
Moved 364.8315 449 404 0.3090277 0.1851855
Moved 364.8471 449 402.7917 0.3090277 0.1712008
Moved 364.8624 449 401.5751 0.3090277 0.1571196
Stationary 364.8774 449 401.5751 0.3090277 0.1571196
Moved 364.8929 438.9456 401 0.2741165 0.1504628
Moved 364.9091 440.1248 400.1249 0.2782112 0.1403344
Moved 364.9304 435.4847 400 0.2620998 0.1388891
Stationary 364.9409 435.4847 400 0.2620998 0.1388891
Moved 364.9546 432.6059 398.803 0.2521039 0.1250346
Moved 364.9703 430.5463 399 0.2449523 0.127315
Moved 364.9854 426.5175 399 0.2309634 0.127315
Moved 365.0002 421.2664 399 0.2127308 0.127315
Moved 365.016 417.1353 399 0.1983865 0.127315
Moved 365.0314 412.81 399 0.1833679 0.127315
Moved 365.0467 408.0038 399 0.1666798 0.127315
Moved 365.0618 403.1865 399 0.1499531 0.127315
Moved 365.0784 399.9676 399 0.1387763 0.127315
Moved 365.0927 394.2025 399 0.1187588 0.127315
Moved 365.1087 389.4311 399 0.1021914 0.127315
Moved 365.1245 384.9956 399 0.08679046 0.127315
Moved 365.1399 378.9096 399 0.06565839 0.127315
Moved 365.1551 374.3661 399 0.04988208 0.127315
Moved 365.1702 368.3808 399 0.02910003 0.127315
Moved 365.1864 364.5215 399 0.01569957 0.127315
Moved 365.2016 357.9747 399 -0.007032156 0.127315
Moved 365.2169 351.4077 399 -0.02983451 0.127315
Moved 365.2323 344.5559 399 -0.0536254 0.127315
Moved 365.2488 339 399 -0.07291666 0.127315
Moved 365.2631 331.1679 398.0336 -0.1001113 0.1161293
Moved 365.2783 325.3477 398 -0.1203204 0.1157407
Moved 365.2931 319.4838 398 -0.1406813 0.1157407
Moved 365.3109 313.3107 397.0621 -0.1621155 0.104886
Moved 365.3246 308.8703 397 -0.1775336 0.104167
Moved 365.3395 303.54 396 -0.1960418 0.09259259
Moved 365.3604 297.9464 396 -0.2154641 0.09259259
Moved 365.3721 293.1946 396 -0.2319632 0.09259259
Moved 365.3859 288.5699 396 -0.2480211 0.09259259
Moved 365.4019 284.5 396 -0.2621528 0.09259259
Moved 365.4176 280.8447 396 -0.2748449 0.09259259
Moved 365.4322 276.5185 396 -0.2898663 0.09259259
Moved 365.4471 272.1951 395.3984 -0.3048781 0.08562936
Moved 365.4709 264.5542 395 -0.331409 0.08101869
Stationary 365.4807 264.5542 395 -0.331409 0.08101869
Moved 365.4943 262.1532 395 -0.3397458 0.08101869
Moved 365.5097 257.9016 395 -0.3545085 0.08101869
Moved 365.5245 256.2998 393.6499 -0.3600701 0.06539239
Moved 365.5404 254.1813 393.0906 -0.367426 0.05891941
Moved 365.5577 251.3039 393 -0.377417 0.05787019
Moved 365.5711 249.2097 393 -0.3846883 0.05787019
Moved 365.5865 247.7681 391.7681 -0.3896941 0.04361206
Moved 365.602 246.3271 392 -0.3946974 0.04629647
Moved 365.6177 244.8852 392 -0.399704 0.04629647
Moved 365.633 243.8642 392 -0.4032493 0.04629647
Stationary 365.6475 243.8642 392 -0.4032493 0.04629647
Moved 365.6627 242.6271 392 -0.4075447 0.04629647
Moved 365.6789 241.7469 392 -0.4106011 0.04629647
Stationary 365.6947 241.7469 392 -0.4106011 0.04629647
Stationary 365.7101 242 392 -0.4097222 0.04629647
Moved 365.7238 241.1686 392 -0.4126091 0.04629647
Moved 365.7399 240.5 392 -0.4149305 0.04629647
Stationary 365.7567 240.5 392 -0.4149305 0.04629647
Stationary 365.7708 240.5 392 -0.4149305 0.04629647
Stationary 365.7858 240.5 392 -0.4149305 0.04629647
Moved 365.8011 241 396.9319 -0.4131944 0.1033783
Ended 365.8177 241 401.2982 -0.4131944 0.1539147
Began 366.2155 376 373 0.05555555 -0.1736111
Stationary 366.2336 376 373 0.05555555 -0.1736111
Stationary 366.2481 376 373 0.05555555 -0.1736111
Stationary 366.2638 376 373 0.05555555 -0.1736111
Stationary 366.2783 376 373 0.05555555 -0.1736111
Stationary 366.2937 376 373 0.05555555 -0.1736111
Stationary 366.3105 376 373 0.05555555 -0.1736111
Stationary 366.3324 376 373 0.05555555 -0.1736111
Stationary 366.3437 376 373 0.05555555 -0.1736111
Stationary 366.3572 376 373 0.05555555 -0.1736111
Stationary 366.3722 376 373 0.05555555 -0.1736111
Stationary 366.3876 376 373 0.05555555 -0.1736111
Stationary 366.4031 376 373 0.05555555 -0.1736111
Stationary 366.42 376 373 0.05555555 -0.1736111
Stationary 366.4334 376 373 0.05555555 -0.1736111
Moved 366.4491 386.3628 373 0.09153738 -0.1736111
Moved 366.465 386.9463 373 0.09356335 -0.1736111
Moved 366.4805 388.3695 373 0.09850517 -0.1736111
Moved 366.4949 390.8174 373 0.1070049 -0.1736111
Moved 366.512 392.2577 373 0.1120058 -0.1736111
Moved 366.5265 393.6974 373 0.1170049 -0.1736111
Moved 366.5422 396.2688 373 0.1259334 -0.1736111
Moved 366.5578 398.3055 373 0.1330054 -0.1736111
Moved 366.5724 399.6502 373 0.1376745 -0.1736111
Moved 366.5877 402.172 373 0.1464304 -0.1736111
Moved 366.6035 403.5 373 0.1510416 -0.1736111
Moved 366.619 406.9326 373 0.1629603 -0.1736111
Moved 366.6339 409.8102 373 0.1729521 -0.1736111
Moved 366.6498 411.703 373 0.1795244 -0.1736111
Moved 366.6656 412.9745 373 0.1839393 -0.1736111
Moved 366.6808 415.8181 373 0.193813 -0.1736111
Moved 366.697 417.8442 373 0.200848 -0.1736111
Moved 366.7119 420.5578 373 0.2102701 -0.1736111
Moved 366.7277 422.4312 373 0.2167749 -0.1736111
Moved 366.7484 425.5931 373 0.2277538 -0.1736111
Stationary 366.7592 425.5931 373 0.2277538 -0.1736111
Moved 366.773 426.7625 373 0.2318141 -0.1736111
Moved 366.788 428.1141 373 0.2365073 -0.1736111
Stationary 366.8064 428.1141 373 0.2365073 -0.1736111
Moved 366.8195 429.9807 373 0.2429886 -0.1736111
Moved 366.8347 430.5 373 0.2447916 -0.1736111
Moved 366.8503 431.3745 373 0.2478282 -0.1736111
Stationary 366.8662 431.3745 373 0.2478282 -0.1736111
Moved 366.881 432.2412 373 0.2508375 -0.1736111
