he is still on our team
Basic
0.8 0.8
575.9999 172.8
Began 298.9249 376 362 0.02777777 -0.1504628
Stationary 298.9406 376 362 0.02777777 -0.1504628
Stationary 298.9544 376 362 0.02777777 -0.1504628
Stationary 298.9698 376 362 0.02777777 -0.1504628
Stationary 298.986 376 362 0.02777777 -0.1504628
Stationary 299.0014 376 362 0.02777777 -0.1504628
Stationary 299.0172 376 362 0.02777777 -0.1504628
Stationary 299.0396 376 362 0.02777777 -0.1504628
Stationary 299.0506 376 362 0.02777777 -0.1504628
Stationary 299.0626 376 362 0.02777777 -0.1504628
Stationary 299.0779 376 362 0.02777777 -0.1504628
Stationary 299.0934 376 362 0.02777777 -0.1504628
Stationary 299.1099 376 362 0.02777777 -0.1504628
Stationary 299.1252 376 362 0.02777777 -0.1504628
Stationary 299.1403 376 362 0.02777777 -0.1504628
Stationary 299.157 376 362 0.02777777 -0.1504628
Stationary 299.1749 376 362 0.02777777 -0.1504628
Stationary 299.1891 376 362 0.02777777 -0.1504628
Stationary 299.2029 376 362 0.02777777 -0.1504628
Stationary 299.2179 376 362 0.02777777 -0.1504628
Stationary 299.2338 376 362 0.02777777 -0.1504628
Stationary 299.2489 376 362 0.02777777 -0.1504628
Stationary 299.2643 376 362 0.02777777 -0.1504628
Stationary 299.2803 376 362 0.02777777 -0.1504628
Stationary 299.2963 376 362 0.02777777 -0.1504628
Stationary 299.309 376 362 0.02777777 -0.1504628
Stationary 299.3251 376 362 0.02777777 -0.1504628
Stationary 299.3395 376 362 0.02777777 -0.1504628
Moved 299.3555 385 362 0.04340276 -0.1504628
Moved 299.3722 385.7444 362 0.04469514 -0.1504628
Moved 299.3872 387.1059 362 0.04705876 -0.1504628
Moved 299.4026 388.5447 362 0.04955672 -0.1504628
Moved 299.4176 390.9667 362 0.05376167 -0.1504628
Moved 299.4352 393.8444 362 0.05875767 -0.1504628
Moved 299.4489 395.7209 362 0.0620155 -0.1504628
Moved 299.4641 398.5994 362 0.06701283 -0.1504628
Moved 299.4801 401 372.5 0.07118054 -0.08969907
Moved 299.4962 403.682 370.841 0.07583678 -0.09929992
Moved 299.5106 406.552 372.276 0.08081942 -0.09099519
Moved 299.5267 409.7177 373.7177 0.08631542 -0.08265248
Moved 299.5411 413.4616 375.1539 0.09281523 -0.07434103
Moved 299.5575 415.1862 375.5931 0.09580933 -0.07179932
Moved 299.5725 417.0318 377.0318 0.09901352 -0.06347338
Moved 299.587 419.9413 378.4706 0.1040647 -0.05514675
Moved 299.6031 421.7866 378 0.1072685 -0.05787037
Moved 299.6182 423.9278 379.9639 0.1109857 -0.04650522
Moved 299.6338 425.4183 380 0.1135735 -0.04629612
Moved 299.649 426.8404 381 0.1160423 -0.04050926
Moved 299.6644 427.5 381 0.1171875 -0.04050926
Moved 299.6803 428 382 0.1180556 -0.03472222
Moved 299.6953 428 383.1535 0.1180556 -0.02804686
Moved 299.7108 429.2025 383 0.1201432 -0.02893518
Moved 299.7263 429 384 0.1197917 -0.02314797
Moved 299.7411 429 385.1482 0.1197917 -0.01650351
Stationary 299.7569 429 385.1482 0.1197917 -0.01650351
Moved 299.7729 429 386.3734 0.1197917 -0.00941303
Stationary 299.7886 429 386.3734 0.1197917 -0.00941303
Moved 299.8028 429 387.249 0.1197917 -0.004346371
Stationary 299.8187 429 387.249 0.1197917 -0.004346371
Moved 299.8333 429 388.3177 0.1197917 0.001839002
Moved 299.8501 420.2604 389 0.1046187 0.005787214
Moved 299.8652 414.782 389 0.0951077 0.005787214
Moved 299.8815 407.9752 390 0.08329026 0.01157407
Moved 299.8958 401.0797 390 0.07131897 0.01157407
Moved 299.9102 393.8672 390.6266 0.05879722 0.01520033
Moved 299.9278 387.881 391 0.04840448 0.01736111
Moved 299.9423 378.593 391 0.03227941 0.01736111
Moved 299.9578 373.0995 391 0.02274215 0.01736111
Moved 299.9732 365.5716 391 0.00967294 0.01736111
Moved 299.9891 358.3622 391 -0.002843477 0.01736111
Moved 300.0037 351.1684 391 -0.01533259 0.01736111
Moved 300.0187 343.9545 391 -0.02785671 0.01736111
Moved 300.0355 338.8464 391.6307 -0.03672499 0.0210113
Moved 300.0503 333.2146 392 -0.04650242 0.02314824
Moved 300.0655 326.114 392 -0.05882993 0.02314824
Moved 300.0821 322.5611 393.813 -0.06499816 0.03363998
Moved 300.0958 318.257 394 -0.07247049 0.03472231
Moved 300.1111 313.9413 395.6862 -0.07996309 0.04448061
Moved 300.1286 310.7483 397.1259 -0.08550643 0.05281166
Moved 300.1417 306.5 398.5 -0.09288196 0.06076389
Moved 300.1635 300.8683 401.0659 -0.1026592 0.07561269
Stationary 300.174 300.8683 401.0659 -0.1026592 0.07561269
Moved 300.1884 296.5 402.5 -0.110243 0.08391204
Moved 300.2039 293.1018 403.9491 -0.1161426 0.09229802
Moved 300.2195 288.8362 406.7758 -0.1235482 0.1086564
Moved 300.235 285.3466 408.6534 -0.1296067 0.1195223
Moved 300.2506 282.4691 410.2654 -0.1346022 0.1288509
Moved 300.2657 279.1491 411.2836 -0.1403661 0.1347433
Moved 300.2829 276.3637 413.6363 -0.1452019 0.1483582
Moved 300.3063 270.6087 416.6956 -0.1551932 0.1660627
Moved 300.3199 267.7311 418.1345 -0.160189 0.1743893
Moved 300.3344 266.5 419.5 -0.1623264 0.1822918
Stationary 300.3451 266.5 419.5 -0.1623264 0.1822918
Moved 300.3576 262.9761 421.012 -0.1684442 0.1910415
Moved 300.3734 261.9258 421 -0.1702677 0.1909721
Moved 300.3897 258.922 422.539 -0.1754826 0.1998784
Moved 300.4052 257.0223 423.9777 -0.1787807 0.2082041
Moved 300.4199 254.167 425.4165 -0.1837379 0.2165306
Moved 300.4358 251.2896 426 -0.1887332 0.2199074
Moved 300.4506 249.706 427.294 -0.1914826 0.2273959
Moved 300.4654 247.2709 428.7291 -0.1957102 0.2357005
Moved 300.4821 245.2009 429 -0.1993039 0.2372686
Moved 300.4963 242.3985 431.6016 -0.2041693 0.2523239
Moved 300.5118 240.516 432 -0.2074375 0.2546297
Moved 300.5272 238.8167 433.1833 -0.2103876 0.2614774
Moved 300.5431 236.3745 434 -0.2146276 0.2662038
Moved 300.5581 233.8798 435.0601 -0.2189587 0.2723387
Moved 300.5753 232.4995 435.5005 -0.2213551 0.2748875
Moved 300.5891 230.592 436 -0.2246667 0.2777777
Moved 300.6049 228.9568 437.0432 -0.2275055 0.283815
Moved 300.6215 226.0359 437 -0.2325765 0.2835649
Moved 300.6367 225.0766 438 -0.2342419 0.2893519
Moved 300.6511 223.6454 438 -0.2367267 0.2893519
Moved 300.6669 221.2024 439 -0.2409681 0.295139
Moved 300.6817 219.7666 440.2335 -0.2434608 0.302277
Moved 300.6978 218.5 440 -0.2456597 0.3009259
Moved 300.713 217.2573 440.7427 -0.2478172 0.3052241
Moved 300.7285 215.8166 441 -0.2503183 0.3067129
Moved 300.7427 214.3795 441 -0.2528133 0.3067129
Moved 300.7582 214 442.0544 -0.2534722 0.3128147
Moved 300.7758 212.5066 442 -0.2560649 0.3125
Moved 300.7909 211.5 442 -0.2578125 0.3125
Moved 300.8043 210.8134 442 -0.2590044 0.3125
