parking lot is full of trucks
Basic
0.4 0.4
288 259.2
Began 320.8142 615 480 0.8854167 0.3549381
Stationary 320.8313 615 480 0.8854167 0.3549381
Stationary 320.8464 615 480 0.8854167 0.3549381
Stationary 320.8597 615 480 0.8854167 0.3549381
Stationary 320.8757 615 480 0.8854167 0.3549381
Stationary 320.8922 615 480 0.8854167 0.3549381
Stationary 320.9076 615 480 0.8854167 0.3549381
Moved 320.9229 603.1182 480 0.8441604 0.3549381
Moved 320.9385 597.979 480 0.8263161 0.3549381
Moved 320.9541 585.0588 480 0.7814541 0.3549381
Moved 320.9696 571.5377 480 0.7345059 0.3549381
Moved 320.9872 555.9307 480 0.680315 0.3549381
Moved 321.0001 539.6492 480 0.6237819 0.3549381
Moved 321.0155 525.5406 480 0.5747939 0.3549381
Moved 321.0322 506.992 480 0.5103887 0.3549381
Moved 321.0465 490.9625 480 0.4547308 0.3549381
Moved 321.062 469.6129 480 0.3806005 0.3549381
Moved 321.0782 451.5276 480 0.3178042 0.3549381
Moved 321.0959 434.3129 480 0.2580307 0.3549381
Moved 321.1084 417.0367 473.2775 0.1980439 0.3290024
Moved 321.1235 403.2681 467.4227 0.1502363 0.3064145
Moved 321.1387 391.569 464.734 0.1096147 0.2960415
Moved 321.1552 380.7502 460.7001 0.07204935 0.2804785
Moved 321.1704 369.3373 455.1686 0.0324212 0.2591382
Moved 321.1877 358.4366 451.6962 -0.005428642 0.2457413
Moved 321.2017 349.4502 447.7251 -0.03663115 0.2304208
Moved 321.217 340.3621 443.9448 -0.06818718 0.2158364
Moved 321.2328 332.202 440.101 -0.0965207 0.2010069
Moved 321.2469 323.5453 435.7727 -0.1265787 0.1843081
Moved 321.2628 317 432.5 -0.1493055 0.171682
Moved 321.2801 311.2246 429.1348 -0.169359 0.1586988
Moved 321.2959 305.4092 426.2046 -0.1895513 0.1473942
Moved 321.3075 298.6683 422.5013 -0.2129572 0.1331067
Moved 321.3239 294.1535 419.4357 -0.2286336 0.1212795
Moved 321.3435 290.5648 418.2823 -0.2410946 0.11683
Moved 321.3558 287.6855 415.6855 -0.2510921 0.1068112
Moved 321.3709 286.5 416 -0.2552083 0.1080245
Moved 321.3868 285.5132 414.5132 -0.2586347 0.1022884
Moved 321.4012 284.9471 413.947 -0.2606005 0.1001042
