the dow jones index has risen
Basic
0.8 0.8
575.9999 518.4
Stationary 573.7552 243 401 -0.203125 0.02507707
Stationary 573.7706 243 401 -0.203125 0.02507707
Stationary 573.786 243 401 -0.203125 0.02507707
Stationary 573.8055 243 401 -0.203125 0.02507707
Stationary 573.8206 243 401 -0.203125 0.02507707
Stationary 573.8369 243 401 -0.203125 0.02507707
Stationary 573.8522 243 401 -0.203125 0.02507707
Stationary 573.8675 243 401 -0.203125 0.02507707
Stationary 573.8823 243 401 -0.203125 0.02507707
Stationary 573.8959 243 401 -0.203125 0.02507707
Stationary 573.9104 243 401 -0.203125 0.02507707
Stationary 573.9257 243 401 -0.203125 0.02507707
Stationary 573.9414 243 401 -0.203125 0.02507707
Moved 573.957 249.7966 412.5488 -0.1913253 0.04735478
Moved 573.9734 258.2165 416.6083 -0.1767074 0.05518565
Moved 573.9899 266.9795 423.8425 -0.161494 0.0691405
Moved 574.0035 280.2263 433.4373 -0.138496 0.08764908
Moved 574.0197 289.8405 439.8937 -0.1218046 0.1001035
Moved 574.0349 307.3167 451.9885 -0.09146404 0.1234344
Moved 574.0507 322.2039 461.8253 -0.06561831 0.1424098
Moved 574.0663 339.7886 476.6759 -0.03508929 0.1710569
Moved 574.0811 356.0246 488.7684 -0.006901808 0.1943835
Moved 574.0984 371.6774 499.3741 0.02027318 0.2148421
Moved 574.1125 384.2004 508.9337 0.04201457 0.2332824
Moved 574.1268 393.4688 516.9733 0.05810566 0.2487909
Moved 574.1431 399.6507 520.8934 0.06883807 0.2563529
Moved 574.1589 413.0618 530.4136 0.09212121 0.2747176
Moved 574.1738 422.7003 537.2145 0.1088548 0.2878366
Moved 574.1897 431.8699 543.0437 0.1247741 0.2990812
Moved 574.2049 440.7655 548.8437 0.1402179 0.3102694
Moved 574.2197 450.3114 554.3208 0.1567906 0.3208348
Moved 574.2342 457.432 557.3728 0.1691528 0.3267222
Moved 574.2521 462.1808 559.5904 0.1773972 0.3309999
Moved 574.2737 474.8205 564.9103 0.1993411 0.341262
Stationary 574.2844 474.8205 564.9103 0.1993411 0.341262
Moved 574.2964 480.2774 566.8193 0.2088149 0.3449446
Moved 574.3132 485.7444 567 0.2183062 0.3452932
Moved 574.3275 492.1526 567 0.2294317 0.3452932
Moved 574.344 497.578 567 0.2388507 0.3452932
Moved 574.3585 502.9741 567 0.2482189 0.3452932
Moved 574.3737 505.6692 567 0.2528978 0.3452932
Moved 574.39 511.2621 567 0.2626077 0.3452932
Moved 574.405 518.0382 567 0.2743719 0.3452932
Moved 574.4197 522.0453 567 0.2813286 0.3452932
Moved 574.4352 528.543 567 0.2926093 0.3452932
Moved 574.4525 535.3569 558.4288 0.3044391 0.3287593
Moved 574.4664 539.3121 559 0.3113057 0.3298611
Moved 574.4817 542.5 557.5 0.3168403 0.3269675
Moved 574.4987 545.6107 557 0.3222408 0.326003
Moved 574.5123 548.4924 557 0.3272438 0.326003
Moved 574.5271 550.2002 557 0.3302087 0.326003
Moved 574.544 552.9265 557 0.3349419 0.326003
Moved 574.5599 554.3222 557 0.337365 0.326003
Moved 574.5736 557.3765 557 0.3426675 0.326003
