the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Moved 1058.726 232.6453 431 -0.221102 0.2488425
Stationary 1058.742 232.6453 431 -0.221102 0.2488425
Moved 1058.758 231.8681 431 -0.2224513 0.2488425
Ended 1058.774 232 431 -0.2222222 0.2488425
Began 1059.832 268 331 -0.1597222 -0.3298611
Stationary 1059.852 268 331 -0.1597222 -0.3298611
Stationary 1059.867 268 331 -0.1597222 -0.3298611
Stationary 1059.882 268 331 -0.1597222 -0.3298611
Stationary 1059.897 268 331 -0.1597222 -0.3298611
Stationary 1059.913 268 331 -0.1597222 -0.3298611
Stationary 1059.929 268 331 -0.1597222 -0.3298611
Stationary 1059.944 268 331 -0.1597222 -0.3298611
Stationary 1059.959 268 331 -0.1597222 -0.3298611
Stationary 1059.974 268 331 -0.1597222 -0.3298611
Stationary 1059.99 268 331 -0.1597222 -0.3298611
Stationary 1060.005 268 331 -0.1597222 -0.3298611
Stationary 1060.021 268 331 -0.1597222 -0.3298611
Stationary 1060.036 268 331 -0.1597222 -0.3298611
Stationary 1060.051 268 331 -0.1597222 -0.3298611
Stationary 1060.069 268 331 -0.1597222 -0.3298611
Moved 1060.083 268 340.8071 -0.1597222 -0.2731071
Stationary 1060.098 268 341.4467 -0.1597222 -0.2694059
Moved 1060.115 275.8162 343.8162 -0.1461524 -0.2556932
Moved 1060.13 276 345.1784 -0.1458333 -0.24781
Moved 1060.146 277.5 348 -0.1432292 -0.2314815
Moved 1060.161 278.9059 348.9059 -0.1407884 -0.2262391
Moved 1060.176 279 351.5211 -0.140625 -0.2111046
Moved 1060.192 281.4331 354.6497 -0.1364009 -0.1929997
Moved 1060.207 281.6483 356.6483 -0.1360272 -0.1814332
Moved 1060.223 283.0168 359.0336 -0.1336513 -0.1676295
Moved 1060.237 284.3779 363.1336 -0.1312884 -0.1439026
Moved 1060.252 285.7437 364.4874 -0.1289172 -0.1360683
Moved 1060.269 287.1056 368.3167 -0.1265529 -0.1139083
Moved 1060.291 290.6461 375.9382 -0.1204062 -0.0698019
Stationary 1060.302 290.6461 375.9382 -0.1204062 -0.0698019
Moved 1060.314 293.7112 380.6149 -0.1150847 -0.0427375
Moved 1060.33 296.5361 386.0721 -0.1101804 -0.0111564
Moved 1060.347 299.2658 391.5317 -0.1054412 0.02043804
Moved 1060.361 302.9771 396.9695 -0.09899806 0.0519069
Moved 1060.376 305.7145 401.0718 -0.09424563 0.07564686
Moved 1060.392 308.4325 405.1487 -0.08952691 0.09924041
Moved 1060.407 312.2366 410.3155 -0.08292257 0.1291405
Moved 1060.424 314.1938 412.1938 -0.07952473 0.1400104
Moved 1060.439 318.4529 416.4529 -0.07213041 0.1646578
Moved 1060.453 322.5566 420.5566 -0.06500586 0.1884061
Moved 1060.469 326.6402 423.4268 -0.05791638 0.2050159
Moved 1060.484 331.8744 426.2496 -0.04882913 0.221352
Moved 1060.499 335.9611 428.9741 -0.04173427 0.2371185
Moved 1060.515 341.3781 431.6891 -0.03232967 0.2528303
Moved 1060.534 346 432.5 -0.02430554 0.2575231
Moved 1060.547 351.6006 434.7201 -0.01458231 0.2703708
Moved 1060.562 361.6505 436.0813 0.002865344 0.2782483
Moved 1060.576 368.2323 437.4465 0.01429215 0.2861487
Moved 1060.592 377.0565 437 0.02961188 0.2835649
Moved 1060.608 386.211 437 0.04550524 0.2835649
Moved 1060.625 395.5 437 0.06163194 0.2835649
Moved 1060.639 405.3304 437 0.07869861 0.2835649
Moved 1060.654 413.7394 437 0.09329751 0.2835649
Moved 1060.67 425.8992 437 0.1144083 0.2835649
Moved 1060.686 436.752 428.6423 0.1332499 0.2351983
Moved 1060.7 446.3459 425.9012 0.1499061 0.2193356
Moved 1060.716 455.8185 424.5974 0.1663516 0.2117902
Moved 1060.732 463.8508 422.2299 0.1802965 0.1980894
Moved 1060.748 472.9064 420.8705 0.1960181 0.1902227
Moved 1060.762 479.5 419.5 0.2074653 0.1822918
