parking lot is full of trucks
Basic
0.6 0.6
432 129.6
Stationary 296.8597 540 431 0.4166667 0.33179
Moved 296.875 539.3774 430 0.4152255 0.3240741
Stationary 296.8905 539 430 0.4143518 0.3240741
Stationary 296.9052 539 430 0.4143518 0.3240741
Stationary 296.9231 539 430 0.4143518 0.3240741
Moved 296.9378 537.9083 430 0.4118247 0.3240741
Stationary 296.9557 537.9083 430 0.4118247 0.3240741
Stationary 296.9713 537.9083 430 0.4118247 0.3240741
Stationary 296.9848 537.9083 430 0.4118247 0.3240741
Moved 296.9984 536.8625 430 0.4094039 0.3240741
Moved 297.0142 535.9116 430 0.4072028 0.3240741
Moved 297.0301 532.7777 429.3889 0.3999483 0.3193585
Moved 297.0445 528.9163 429 0.3910099 0.3163581
Moved 297.0608 521.6285 429 0.3741401 0.3163581
Moved 297.0762 512.618 429 0.3532824 0.3163581
Moved 297.0915 504.8871 429 0.3353868 0.3163581
Moved 297.1066 491.8718 429 0.3052587 0.3163581
Moved 297.1215 483.6534 429 0.2862348 0.3163581
Moved 297.1413 473.5869 429 0.2629326 0.3163581
Moved 297.1528 467.1008 429 0.2479185 0.3163581
Moved 297.1674 458.7215 427.7869 0.2285219 0.306998
Moved 297.1829 450.4827 428 0.2094507 0.308642
Moved 297.1991 443.1695 427.1949 0.192522 0.3024302
Moved 297.2155 431.4225 425.8247 0.1653299 0.2918573
Moved 297.2304 421.7475 425.3925 0.1429341 0.2885226
Moved 297.2461 413.8091 425 0.124558 0.2854938
Moved 297.2602 408.0968 425 0.1113352 0.2854938
Moved 297.2757 401.4214 424 0.09588281 0.2777779
Moved 297.2928 396.9399 422.6466 0.08550902 0.2673349
Moved 297.3079 392 423 0.07407407 0.2700617
Moved 297.3226 386.071 421.0142 0.0603494 0.2547391
Moved 297.3391 378.8846 419.5769 0.04371425 0.2436491
Moved 297.3541 372.6978 419.1395 0.02939294 0.2402741
Moved 297.3693 368.0955 417.6985 0.0187396 0.2291549
Moved 297.3846 362.7798 417 0.006434818 0.2237654
Moved 297.3996 357.3008 415.8252 -0.006248057 0.2147006
Moved 297.416 353.5 414.5 -0.0150463 0.2044754
Moved 297.4327 348.8503 414.2834 -0.02580946 0.2028044
Moved 297.4466 343.3846 412.8461 -0.03846153 0.1917142
Moved 297.467 338.2299 411.41 -0.05039369 0.1806326
