my bare face in the wind
Basic
0.8 0.8
575.9999 518.4
Began 359.9941 445 333 0.1475695 -0.1060957
Stationary 360.0148 445 333 0.1475695 -0.1060957
Stationary 360.028 445 333 0.1475695 -0.1060957
Stationary 360.0434 445 333 0.1475695 -0.1060957
Stationary 360.0637 445 333 0.1475695 -0.1060957
Stationary 360.0744 445 333 0.1475695 -0.1060957
Stationary 360.0896 445 333 0.1475695 -0.1060957
Moved 360.1057 457.1996 333 0.1687492 -0.1060957
Moved 360.1227 463.5644 327.4356 0.1797993 -0.1168295
Moved 360.1364 473.5965 324.7719 0.1972161 -0.1219678
Moved 360.1539 486.647 321.6723 0.2198733 -0.127947
Moved 360.1697 494.4888 319.9022 0.2334875 -0.1313614
Moved 360.1817 501.5 317 0.2456597 -0.1369599
Moved 360.1978 507.9259 316.0186 0.2568158 -0.1388531
Moved 360.2157 513.6869 314.5782 0.2668175 -0.1416315
Moved 360.2287 518.2394 313.4401 0.2747212 -0.1438269
Moved 360.2447 523.0085 311.9971 0.2830009 -0.1466105
Moved 360.2615 527.3168 309.1221 0.2904805 -0.1521564
Moved 360.2756 530.7614 309 0.2964608 -0.152392
Moved 360.2907 533.5626 306.4374 0.301324 -0.1573353
Moved 360.3067 535.4559 306 0.3046109 -0.1581791
Moved 360.3217 536 304.8352 0.3055555 -0.1604259
Moved 360.3371 537.2041 305 0.307646 -0.160108
Moved 360.3523 538.7115 303.2885 0.3102629 -0.1634095
Moved 360.3687 539 301.8509 0.3107639 -0.1661827
Moved 360.3839 540 301.4102 0.3125 -0.1670328
Moved 360.3982 541.027 298.9459 0.314283 -0.1717865
Moved 360.4154 542 297.0401 0.3159722 -0.1754628
Moved 360.4286 542 294.1509 0.3159722 -0.181036
Moved 360.4451 542.9938 292.0125 0.3176975 -0.1851612
Moved 360.461 543 287.6929 0.3177083 -0.1934937
Moved 360.4755 543 284.426 0.3177083 -0.1997955
Moved 360.4918 543 280.1069 0.3177083 -0.2081272
Moved 360.5075 543 275.037 0.3177083 -0.217907
Moved 360.5218 543 270.4571 0.3177083 -0.2267418
Moved 360.5368 543 263.5157 0.3177083 -0.2401318
Moved 360.5526 543 258.7956 0.3177083 -0.2492369
Moved 360.5681 543 254.47 0.3177083 -0.2575811
Moved 360.5839 544 248.5326 0.3194444 -0.2690343
Moved 360.5992 544 244.8918 0.3194444 -0.2760574
Moved 360.6147 544 240.5 0.3194444 -0.2845293
Moved 360.6297 544 238.0975 0.3194444 -0.2891637
Moved 360.6461 545.3839 235.2323 0.321847 -0.2946908
Moved 360.6609 545 233 0.3211805 -0.2989969
Moved 360.6766 545 229.2855 0.3211805 -0.3061622
Moved 360.6911 546.3409 227.6591 0.3235086 -0.3092996
Moved 360.7085 546 224.4346 0.3229167 -0.3155197
Moved 360.7228 546 221.5625 0.3229167 -0.32106
Moved 360.7377 547 220.3375 0.3246528 -0.323423
Moved 360.754 547 218.8911 0.3246528 -0.3262132
Moved 360.7714 547 217.5 0.3246528 -0.3288966
Moved 360.783 547 216.5 0.3246528 -0.3308256
Moved 360.7986 547 215.9396 0.3246528 -0.3319067
Stationary 360.8138 547 215.9396 0.3246528 -0.3319067
Moved 360.8289 547 214.6255 0.3246528 -0.3344416
Stationary 360.8448 547 214.6255 0.3246528 -0.3344416
Moved 360.8622 536.4476 215 0.3063327 -0.3337192
Moved 360.8758 526.7328 215 0.2894667 -0.3337192
Moved 360.8914 519.7338 229.5612 0.2773157 -0.3056305
Moved 360.9082 509.7542 237.3715 0.25999 -0.2905643
Moved 360.9218 502.4633 244.5367 0.2473321 -0.2767424
Moved 360.9372 493.4784 254.5216 0.2317333 -0.2574815
Moved 360.9522 486.0238 261.9762 0.2187913 -0.2431015
Moved 360.9687 478.4699 273.7951 0.205677 -0.2203027
Moved 360.9842 472.7093 281.3634 0.1956758 -0.2057033
Moved 361.0002 468.6659 288.5847 0.1886561 -0.1917735
Moved 361.0178 463.9197 297.6405 0.1804162 -0.1743046
Moved 361.0457 452.2672 320.4656 0.1601861 -0.1302747
Moved 361.0637 447.5013 333.7467 0.151912 -0.1046553
Moved 361.0775 444.3628 344.2303 0.1464631 -0.08443237
Moved 361.0934 439.7329 355.0456 0.1384251 -0.06356951
Moved 361.1097 436.2993 366.0024 0.132464 -0.04243368
Moved 361.1232 432.0544 380.1519 0.1250945 -0.01513917
Moved 361.139 427.7245 393.5848 0.1175773 0.01077316
Moved 361.1546 424.6067 403.1799 0.1121645 0.0292821
Moved 361.1682 421.0842 415.386 0.1060489 0.05282796
Moved 361.1852 417.8527 428.663 0.1004387 0.07843927
Moved 361.2099 411.5845 449.5388 0.08955642 0.118709
Stationary 361.2206 411.5845 449.5388 0.08955642 0.118709
Moved 361.2315 407.867 461.4433 0.08310243 0.141673
Moved 361.2463 405.0313 471.3903 0.07817939 0.1608608
Moved 361.2616 403.0779 480.4547 0.07478803 0.1783461
Moved 361.2774 400.2606 493.3273 0.06989687 0.2031776
Moved 361.2932 399.1957 500.0216 0.06804808 0.2160909
Moved 361.3093 397.7585 505.9662 0.06555288 0.2275582
Moved 361.3244 396.5 512.5 0.06336808 0.240162
Moved 361.3391 395.1719 520.7966 0.06106235 0.2561662
Moved 361.3552 393.7343 530.8595 0.05856655 0.2755777
Moved 361.3701 393.2934 536.1198 0.05780108 0.2857248
Moved 361.3856 391.8533 542.7337 0.05530081 0.2984831
Moved 361.4012 391.4131 550.7607 0.0545366 0.3139673
Moved 361.4173 391 555.1168 0.05381941 0.3223702
Moved 361.432 391 559.4362 0.05381941 0.3307025
Moved 361.4478 391 563.162 0.05381941 0.3378896
Moved 361.4627 389.9944 568.0225 0.05207359 0.3472655
Moved 361.4789 390 570.8919 0.05208335 0.3528006
Moved 361.4942 390 573.8864 0.05208335 0.358577
Moved 361.5083 390 577.9901 0.05208335 0.366493
Moved 361.5242 389 580.5385 0.05034722 0.3714091
Moved 361.54 389 583.3467 0.05034722 0.3768262
Moved 361.5559 389 586.5554 0.05034722 0.3830157
Moved 361.5712 388.3105 587.6895 0.04915029 0.3852033
Moved 361.5862 388 589.1297 0.04861109 0.3879816
Moved 361.6024 387.4302 590 0.04762188 0.3896604
Moved 361.6175 387 591.01 0.04687503 0.3916087
Moved 361.6319 385.5498 591 0.04435733 0.3915894
Moved 361.6476 386 592.8904 0.0451389 0.395236
Moved 361.6635 384.9957 593 0.04339523 0.3954474
Stationary 361.6785 385 593 0.04340276 0.3954474
Moved 361.6933 384 593.886 0.0416667 0.3971566
Moved 361.7091 384 594.5 0.0416667 0.398341
Moved 361.7241 382.6266 594 0.03928222 0.3973764
Stationary 361.7407 382.6266 594 0.03928222 0.3973764
Stationary 361.7547 382.6266 594 0.03928222 0.3973764
Moved 361.7706 381.8131 594 0.03787003 0.3973764
Ended 361.7856 382 594 0.03819443 0.3973764
Began 362.0933 388 332 0.04861109 -0.1080247
Stationary 362.1117 388 332 0.04861109 -0.1080247
Stationary 362.1266 388 332 0.04861109 -0.1080247
Stationary 362.1421 388 332 0.04861109 -0.1080247
Stationary 362.1572 388 332 0.04861109 -0.1080247
Stationary 362.1824 388 332 0.04861109 -0.1080247
