he is still on our team
Basic
0.4 0.4
288 86.39999
Began 82.65421 437 371 0.2673611 -0.1967593
Stationary 82.67593 437 371 0.2673611 -0.1967593
Stationary 82.69125 437 371 0.2673611 -0.1967593
Stationary 82.7038 437 371 0.2673611 -0.1967593
Stationary 82.71973 437 371 0.2673611 -0.1967593
Stationary 82.73514 437 371 0.2673611 -0.1967593
Stationary 82.75015 437 371 0.2673611 -0.1967593
Stationary 82.7655 437 371 0.2673611 -0.1967593
Stationary 82.78046 437 371 0.2673611 -0.1967593
Stationary 82.79593 437 371 0.2673611 -0.1967593
Stationary 82.81131 437 371 0.2673611 -0.1967593
Stationary 82.8266 437 371 0.2673611 -0.1967593
Stationary 82.84204 437 371 0.2673611 -0.1967593
Stationary 82.85745 437 371 0.2673611 -0.1967593
Stationary 82.87296 437 371 0.2673611 -0.1967593
Stationary 82.88824 437 371 0.2673611 -0.1967593
Stationary 82.90366 437 371 0.2673611 -0.1967593
Stationary 82.91949 437 371 0.2673611 -0.1967593
Stationary 82.93515 437 371 0.2673611 -0.1967593
Stationary 82.95041 437 371 0.2673611 -0.1967593
Stationary 82.96597 437 371 0.2673611 -0.1967593
Stationary 82.98071 437 371 0.2673611 -0.1967593
Stationary 82.99585 437 371 0.2673611 -0.1967593
Moved 83.01233 427.3861 371 0.2339795 -0.1967593
Moved 83.02982 417.8619 371 0.2009095 -0.1967593
Moved 83.0444 408.8256 371 0.1695333 -0.1967593
Moved 83.06299 398.2028 371 0.1326486 -0.1967593
Moved 83.0932 379.5254 378.7458 0.0677964 -0.1071089
Moved 83.1362 353.7367 383.2181 -0.02174772 -0.05534596
Moved 83.15088 346.0065 384.9987 -0.04858851 -0.03473706
Moved 83.17062 339.147 385 -0.07240637 -0.03472222
Moved 83.18219 333.0007 386.7498 -0.09374767 -0.01446989
Moved 83.19293 327.5459 388.1135 -0.1126879 0.001313951
Moved 83.20325 323.5436 388 -0.1265846 1.766063E-07
Moved 83.22723 320.0446 389.6518 -0.1387341 0.01911817
Moved 83.24252 316.2372 390.921 -0.1519544 0.0338074
Moved 83.25928 312.0661 392.3113 -0.1664372 0.04989924
Moved 83.27441 308.611 393.6945 -0.1784342 0.06590896
Moved 83.28873 304.7525 395.0825 -0.1918315 0.0819736
Moved 83.30627 300.5925 396.4692 -0.2062761 0.09802324
