watch out for low flying objects
Basic
0.8 0.8
575.9999 518.4
Moved 321.9154 244.4676 499 -0.2005771 0.2141203
Moved 321.9309 243.5 499 -0.202257 0.2141203
Ended 321.9463 243 499 -0.203125 0.2141203
Began 322.3582 266 333 -0.1631944 -0.1060957
Stationary 322.3778 266 333 -0.1631944 -0.1060957
Stationary 322.3924 266 333 -0.1631944 -0.1060957
Stationary 322.407 266 333 -0.1631944 -0.1060957
Stationary 322.4231 266 333 -0.1631944 -0.1060957
Moved 322.4386 272.3353 349.5434 -0.1521957 -0.07418332
Moved 322.4556 282.6192 362.0818 -0.1343417 -0.04999655
Moved 322.4711 291.5 378 -0.1189236 -0.01929018
Moved 322.4848 303.1271 391.919 -0.09873762 0.007559811
Moved 322.4998 315.9571 407.392 -0.07646337 0.03740746
Moved 322.516 328.3299 419.3299 -0.05498283 0.06043572
Moved 322.5321 340.9253 434.131 -0.03311574 0.08898716
Moved 322.547 351.9205 444.9205 -0.01402695 0.1098002
Moved 322.5635 363.913 455.9239 0.006793439 0.131026
Moved 322.5796 373.8547 464.4469 0.02405338 0.147467
Moved 322.594 380.5815 470.2127 0.03573179 0.1585893
Moved 322.6099 394.5708 482.6245 0.06001882 0.1825316
Moved 322.6255 403.2871 489.9059 0.07515124 0.1965777
Moved 322.6401 414.7634 498.94 0.09507529 0.2140046
Moved 322.663 433.9295 511.5211 0.1283498 0.2382736
Moved 322.6756 442.8776 517.585 0.1438846 0.249971
Stationary 322.687 442.8776 517.585 0.1438846 0.249971
Moved 322.7 451.7151 523.072 0.1592277 0.2605554
Moved 322.7165 461.0291 528.1553 0.1753978 0.2703613
Moved 322.7328 471.1008 533.629 0.1928833 0.2809201
Moved 322.7466 477.9883 537.793 0.2048409 0.2889526
Moved 322.763 485.2027 541.0811 0.2173658 0.2952953
Moved 322.7784 490.4416 543.4805 0.2264611 0.2999237
Moved 322.793 495.6829 544.9207 0.2355606 0.302702
Moved 322.8083 499.0522 546.0174 0.2414101 0.3048174
Moved 322.8254 503.3986 547.4662 0.2489559 0.3076122
Moved 322.8406 504.9034 548.9034 0.2515684 0.3103845
Moved 322.8554 506.3423 549 0.2540666 0.3105709
Moved 322.8707 506.7846 549 0.2548344 0.3105709
Stationary 322.8858 507 549 0.2552083 0.3105709
Stationary 322.9013 507 549 0.2552083 0.3105709
Stationary 322.9171 507 549 0.2552083 0.3105709
Moved 322.9319 497.5558 549 0.238812 0.3105709
Moved 322.9471 488.6886 549 0.2234177 0.3105709
Moved 322.9642 478.5754 539.4542 0.2058601 0.2921568
Moved 322.9796 464 535.5 0.1805556 0.2845292
Moved 322.995 447.6433 532.1072 0.1521586 0.2779846
Moved 323.0091 430.4253 527.8563 0.1222661 0.2697845
Moved 323.0253 412.5412 525.7568 0.09121731 0.2657346
Moved 323.0404 387.3045 523.1186 0.04740364 0.2606453
Moved 323.0551 361.0284 521.6127 0.001785383 0.2577404
Moved 323.0736 341.4656 520.1761 -0.03217775 0.2549692
Moved 323.0862 323.8048 520 -0.06283893 0.2546296
Moved 323.1013 308.6185 520 -0.08920393 0.2546296
Moved 323.1202 294.513 520 -0.1136928 0.2546296
Moved 323.1336 282.5 520 -0.1345486 0.2546296
Moved 323.1475 273.8835 520 -0.1495078 0.2546296
Moved 323.1649 265.4149 520 -0.1642102 0.2546296
Moved 323.1797 258.7669 520 -0.1757519 0.2546296
Moved 323.1943 255.0104 520 -0.1822737 0.2546296
Moved 323.2107 253.5665 520 -0.1847804 0.2546296
Moved 323.2253 252.1302 526.0886 -0.187274 0.2663746
Moved 323.2409 252 529.6542 -0.1875 0.2732525
Ended 323.2561 252 531.7113 -0.1875 0.2772208
Began 323.577 557 336 0.3420139 -0.1003087
Stationary 323.599 557 336 0.3420139 -0.1003087
Stationary 323.6094 557 336 0.3420139 -0.1003087
Stationary 323.6249 557 336 0.3420139 -0.1003087
Moved 323.6409 543.5508 352.5529 0.3186645 -0.06837797
Moved 323.6571 534.9516 380.5838 0.3037354 -0.014306
Moved 323.6724 529.8624 412.0551 0.2948999 0.04640243
Moved 323.6881 530 445.5 0.2951389 0.1109181
Moved 323.7036 530 467.1377 0.2951389 0.1526575
Moved 323.7188 540.2609 495.4696 0.3129529 0.2073101
Moved 323.734 542.9297 509.6486 0.3175864 0.2346616
Moved 323.7488 550.5323 528.784 0.3307852 0.271574
Moved 323.7657 556.3962 543.4907 0.3409657 0.2999434
Moved 323.7805 561.1586 555.8965 0.3492337 0.3238744
Moved 323.7958 565.6957 565.3915 0.3571106 0.3421904
Moved 323.8111 567.4373 572.5305 0.3601342 0.3559616
Moved 323.8269 569 578.2214 0.3628472 0.3669394
Moved 323.8423 570.1733 584.8667 0.3648843 0.3797582
