parking lot is full of trucks
Basic
0.6 0.6
432 388.8
Began 231.6354 582 444 0.513889 0.1440329
Stationary 231.6569 582 444 0.513889 0.1440329
Stationary 231.6688 582 444 0.513889 0.1440329
Stationary 231.6849 582 444 0.513889 0.1440329
Stationary 231.7012 582 444 0.513889 0.1440329
Moved 231.7148 567.8294 444 0.4810866 0.1440329
Moved 231.7303 550.2316 444 0.4403509 0.1440329
Moved 231.747 519.7291 434.941 0.3697432 0.120733
Moved 231.7619 457.7476 419.5161 0.2262675 0.08105976
Moved 231.7779 415.8682 405.9561 0.1293245 0.04618315
Moved 231.7941 394.3863 399.1957 0.07959783 0.02879563
Moved 231.8089 373.8391 391.1896 0.03203491 0.008203796
Moved 231.8241 354.0273 383.6259 -0.01382579 -0.01125037
Moved 231.8399 336.753 376.9012 -0.05381251 -0.02854641
Moved 231.8551 324.0515 372.1097 -0.083214 -0.04087016
Moved 231.8706 305.0123 365.6708 -0.1272864 -0.0574312
Moved 231.8856 292.5 361.5 -0.15625 -0.06815843
Moved 231.9025 284.3047 358.1016 -0.1752207 -0.07689927
Moved 231.9162 274.2845 353.8362 -0.1984155 -0.08786974
Moved 231.9317 267.864 352.3456 -0.2132778 -0.09170382
Moved 231.947 263.1927 349.4618 -0.2240909 -0.09912098
Moved 231.963 258 348.5 -0.2361111 -0.1015947
Moved 231.9783 253.653 347.2177 -0.2461735 -0.1048929
Moved 231.9937 249.3403 344.5602 -0.2561567 -0.111728
Moved 232.0083 246.677 344 -0.2623216 -0.1131688
Moved 232.0242 243.7997 342.8998 -0.2689823 -0.1159984
Moved 232.0408 241 343 -0.275463 -0.1157408
Moved 232.0563 239.0389 343 -0.2800026 -0.1157408
Stationary 232.0708 239 343 -0.2800926 -0.1157408
Moved 232.0865 237.5975 341.5975 -0.2833391 -0.1193481
Moved 232.1043 236.5 342 -0.2858796 -0.1183128
Moved 232.1163 235.7935 342 -0.287515 -0.1183128
Stationary 232.1316 235.7935 342 -0.287515 -0.1183128
Stationary 232.1485 235.7935 342 -0.287515 -0.1183128
Moved 232.1626 236 350.4597 -0.287037 -0.0965543
Moved 232.178 236 355.7148 -0.287037 -0.08303802
Moved 232.1934 236 358.5822 -0.287037 -0.07566302
Moved 232.2093 246.5023 368.9032 -0.2627262 -0.04911736
Moved 232.2245 257.1211 382.4014 -0.2381456 -0.01439985
Moved 232.2406 269.2245 396.8051 -0.2101284 0.02264662
Moved 232.2562 283.1757 411.1757 -0.177834 0.05960829
Moved 232.2701 293.1648 424.0691 -0.1547111 0.09277026
Moved 232.2863 307.9481 437.0533 -0.1204904 0.1261659
Moved 232.3038 315.1603 444.1603 -0.1037955 0.1444453
Moved 232.3171 325.2261 454.2261 -0.08049513 0.1703345
Moved 232.3333 330.6362 460.5453 -0.0679717 0.1865876
Moved 232.3578 338.5818 469.5818 -0.04957924 0.2098296
Moved 232.3695 342.6852 472.4568 -0.04008045 0.2172244
Stationary 232.3792 342.6852 472.4568 -0.04008045 0.2172244
Moved 232.3936 344.3514 476.3514 -0.03622358 0.2272411
Moved 232.4098 345.834 477.834 -0.03279154 0.2310546
Moved 232.4263 347.2135 479.2136 -0.02959833 0.2346027
Moved 232.4403 348.653 480.653 -0.02626618 0.2383049
Moved 232.457 350.0919 481 -0.02293537 0.2391974
Moved 232.4711 350.5361 482 -0.02190709 0.2417695
Moved 232.4864 351.9721 482 -0.01858309 0.2417695
Moved 232.5033 353.4107 482 -0.01525293 0.2417695
Moved 232.5179 354.5 482 -0.0127315 0.2417695
Moved 232.5334 360.674 482 0.001560052 0.2417695
Moved 232.5517 367.8492 469.6714 0.01816958 0.2100601
Moved 232.5638 378.7033 460.4819 0.04329473 0.1864247
Moved 232.5792 388.8033 448.939 0.06667445 0.1567361
Moved 232.5959 398.8697 434.739 0.0899761 0.1202133
Moved 232.6109 408.8737 420.7518 0.1131336 0.0842382
Moved 232.6264 418.5 410 0.1354167 0.05658428
Moved 232.6409 426.836 400.164 0.1547129 0.03128589
Moved 232.657 435.7532 391.2468 0.1753547 0.008350615
Moved 232.6722 443.4047 382.5953 0.1930664 -0.01390096
Moved 232.6875 452.0546 372.9363 0.2130894 -0.03874421
Moved 232.7026 459.2389 365.7611 0.2297197 -0.05719887
Moved 232.717 465.4613 360.431 0.2441233 -0.070908
Moved 232.7334 471.3239 354.6761 0.2576941 -0.08570973
Moved 232.7519 475.2201 350.7799 0.2667132 -0.09573068
Moved 232.7643 481.4208 346.4344 0.2810668 -0.1069074
Moved 232.7795 484.6027 344.6987 0.288432 -0.1113718
Moved 232.7955 488.2152 342.2616 0.2967944 -0.11764
Moved 232.8097 491.3813 339.6187 0.3041235 -0.1244377
Moved 232.8263 494.2404 339.3798 0.3107417 -0.125052
Moved 232.8404 497.1154 339 0.3173966 -0.1260288
Moved 232.8575 498.1492 339 0.3197898 -0.1260288
Moved 232.872 499.5 339 0.3229167 -0.1260288
Moved 232.8872 500.0358 339 0.324157 -0.1260288
Stationary 232.9028 500.0358 339 0.324157 -0.1260288
Moved 232.9184 500 353.7598 0.324074 -0.08806629
Moved 232.9341 500 370.7365 0.324074 -0.04440205
Moved 232.9492 500 383.9323 0.324074 -0.0104624
Moved 232.965 492.3746 394.5786 0.3064228 0.0169201
Moved 232.9798 486.4779 410.1858 0.2927728 0.0570621
Moved 232.9954 483.5401 422.8398 0.2859723 0.08960842
Moved 233.0108 479.2422 437.5259 0.2760236 0.1273815
Moved 233.0267 478.3013 450.2886 0.2738455 0.1602072
Moved 233.042 476.8599 465.5414 0.2705089 0.1994378
Moved 233.0579 477 479.9604 0.2708333 0.2365236
Moved 233.0732 477 491.6552 0.2708333 0.2666027
Moved 233.0884 477 503.7227 0.2708333 0.2976405
Moved 233.1023 477 513.5 0.2708333 0.3227879
Moved 233.1192 477 516.8535 0.2708333 0.3314133
Moved 233.1398 477 521.8433 0.2708333 0.3442472
Stationary 233.1505 477 521.8433 0.2708333 0.3442472
Moved 233.1643 477 523.2826 0.2708333 0.347949
Moved 233.1806 477 524.5 0.2708333 0.3510802
