did you have a good time
Basic
0.8 0.8
575.9999 172.8
Moved 287.974 509.6057 435.7371 0.2597321 0.2762565
Moved 287.989 513.833 438.5554 0.2670712 0.2925658
Moved 288.0051 517.4252 439.7126 0.2733077 0.299263
Moved 288.0199 521.4558 443.4558 0.2803052 0.3209248
Moved 288.0361 525.1749 445.1749 0.286762 0.3308736
Moved 288.052 528.0472 448.0472 0.2917486 0.3474953
Moved 288.0663 530.9113 449.4556 0.2967209 0.3556461
Moved 288.0823 532.6584 451.6584 0.2997541 0.3683936
Moved 288.0992 533.9683 452 0.3020282 0.3703704
Moved 288.1128 535.4084 453.4084 0.3045284 0.3785208
Moved 288.1274 536.5 454.5 0.3064236 0.384838
Moved 288.1426 537.1443 455.1443 0.3075422 0.3885668
Stationary 288.1583 537.1443 455.1443 0.3075422 0.3885668
Moved 288.173 538 456.172 0.3090278 0.3945138
Stationary 288.1884 538 456.172 0.3090278 0.3945138
Stationary 288.2051 538 456.172 0.3090278 0.3945138
Stationary 288.2191 538 456 0.3090278 0.3935184
Stationary 288.2345 538 456 0.3090278 0.3935184
Stationary 288.2508 538 456 0.3090278 0.3935184
Moved 288.2726 525.5483 456 0.2874103 0.3935184
Moved 288.2834 518.3303 446.1652 0.274879 0.3366039
Moved 288.2979 509.7637 441.8818 0.2600065 0.3118162
Moved 288.3135 502.6639 438.9988 0.2476805 0.2951322
Moved 288.3281 489.7687 433.3295 0.225293 0.2623233
Moved 288.3453 479.716 430.3474 0.2078403 0.245066
Moved 288.359 469.6835 428.2405 0.1904227 0.2328731
Moved 288.3749 461.9533 425.5813 0.1770023 0.2174843
Moved 288.3899 453.4663 424.3524 0.1622679 0.2103723
Moved 288.4058 441.2089 421.8242 0.1409877 0.1957421
Moved 288.4213 433.7849 420.8264 0.1280987 0.1899677
Moved 288.4372 421.0648 418.3441 0.1060152 0.1756025
Moved 288.4526 411.3547 418 0.08915745 0.1736111
Moved 288.4668 403.237 417.4624 0.07506429 0.1704999
Moved 288.4826 394.1817 417 0.05934328 0.1678241
Moved 288.4984 385.4899 417 0.04425332 0.1678241
Moved 288.513 376.0578 417 0.02787821 0.1678241
Moved 288.5284 370.152 417 0.01762509 0.1678241
Moved 288.5475 363.0005 417 0.005209296 0.1678241
Moved 288.5604 356.6572 417 -0.005803443 0.1678241
Moved 288.5756 349.5909 417 -0.01807146 0.1678241
Moved 288.5906 343.156 417 -0.02924301 0.1678241
Moved 288.6057 336.3208 417 -0.04110973 0.1678241
Moved 288.6216 329.0763 417 -0.05368705 0.1678241
Moved 288.6369 324.0055 417 -0.06249052 0.1678241
Moved 288.6544 317.518 417 -0.07375344 0.1678241
Moved 288.6683 310.8484 417 -0.08533272 0.1678241
Moved 288.6822 306.0779 417 -0.09361468 0.1678241
Moved 288.6993 300.36 417 -0.1035416 0.1678241
Moved 288.7134 295.4687 416.1563 -0.1120335 0.1629412
Moved 288.7291 291.1509 416 -0.1195297 0.162037
Moved 288.7444 287.5 416 -0.1258681 0.162037
Moved 288.7607 282.6665 414.3333 -0.1342595 0.1523916
Moved 288.776 276.9221 414 -0.1442325 0.150463
Moved 288.7908 273.8774 413 -0.1495184 0.1446759
Moved 288.8065 269.5666 413 -0.1570025 0.1446759
Moved 288.8284 262.961 412 -0.1684704 0.138889
Stationary 288.8393 262.961 412 -0.1684704 0.138889
Moved 288.8536 258.6337 410.5446 -0.1759832 0.1304661
Moved 288.8676 258.6012 411 -0.1760396 0.1331019
Moved 288.883 255.0491 410.0245 -0.1822064 0.1274569
Moved 288.8994 252.2491 410 -0.1870674 0.1273148
Moved 288.9138 251.1875 409 -0.1889106 0.121528
Moved 288.9303 249.7524 409 -0.1914021 0.121528
Moved 288.9458 248.3177 408.3177 -0.1938929 0.1175792
Moved 288.9623 246.883 408 -0.1963837 0.1157407
Moved 288.975 245.8022 408 -0.19826 0.1157407
Moved 288.9907 244.3092 407 -0.2008521 0.1099538
Moved 289.0072 242.8745 405.8745 -0.2033428 0.1034406
Moved 289.0219 241.4408 405 -0.205832 0.09837972
Moved 289.0376 240.0023 404.0024 -0.2083293 0.09260646
Moved 289.056 238.5677 402.5677 -0.21082 0.08430375
Stationary 289.0673 238.5677 402.5677 -0.21082 0.08430375
Moved 289.0845 237.0252 401.0252 -0.2134978 0.07537736
Moved 289.1002 235.6028 399.6028 -0.2159673 0.06714609
Moved 289.1148 235.1643 399 -0.2167287 0.06365749
Moved 289.1299 234.5 399 -0.2178819 0.06365749
Moved 289.146 234.295 398 -0.2182378 0.05787037
Moved 289.1621 234 396.8603 -0.21875 0.05127474
Stationary 289.175 234 396.8603 -0.21875 0.05127474
Stationary 289.1915 234 396.8603 -0.21875 0.05127474
Moved 289.2068 232.92 396 -0.2206251 0.04629629
Stationary 289.2221 232.92 396 -0.2206251 0.04629629
Stationary 289.2368 232.92 396 -0.2206251 0.04629629
Ended 289.2531 233 395 -0.2204861 0.04050935
Began 289.4037 385 476 0.04340276 0.5092593
Stationary 289.4288 385 476 0.04340276 0.5092593
Stationary 289.4384 385 476 0.04340276 0.5092593
Stationary 289.4539 385 476 0.04340276 0.5092593
Stationary 289.4711 385 476 0.04340276 0.5092593
Stationary 289.4858 385 476 0.04340276 0.5092593
Stationary 289.5003 385 476 0.04340276 0.5092593
Stationary 289.5142 385 476 0.04340276 0.5092593
Stationary 289.5298 385 476 0.04340276 0.5092593
Stationary 289.5473 385 476 0.04340276 0.5092593
Stationary 289.5622 385 476 0.04340276 0.5092593
Stationary 289.5766 385 476 0.04340276 0.5092593
Stationary 289.5932 385 476 0.04340276 0.5092593
Stationary 289.6064 385 476 0.04340276 0.5092593
Stationary 289.6223 385 476 0.04340276 0.5092593
Moved 289.6379 373.6713 466.3356 0.02373494 0.4533313
Moved 289.6546 371.9001 464.9 0.02065979 0.4450232
Moved 289.6711 368.9221 463.4611 0.01548976 0.4366961
Moved 289.6838 366.0445 462.0223 0.01049399 0.4283697
Moved 289.7011 364.5836 460.5836 0.007957593 0.4200438
Moved 289.7161 362.1472 460 0.003727823 0.4166667
Moved 289.7315 360.6576 458.6575 0.001141578 0.4088978
Moved 289.7472 359.632 457.632 -0.00063885 0.4029631
Moved 289.7628 358.0821 456.0821 -0.003329701 0.3939935
Moved 289.7789 356.6396 456 -0.005834103 0.3935184
Moved 289.7937 355.2058 453.4116 -0.008323303 0.3785391
Moved 289.8114 353.7552 451.7552 -0.01084167 0.3689536
Moved 289.8245 352.3177 448.6354 -0.01333728 0.3508996
Moved 289.8503 350.8336 445.8336 -0.0159138 0.3346854
Moved 289.8635 350.3386 443.3386 -0.01677334 0.3202463
Stationary 289.8745 350.3386 443.3386 -0.01677334 0.3202463
Moved 289.8872 350 441.9152 -0.01736112 0.3120093
Moved 289.9013 350 440.4611 -0.01736112 0.303594
Moved 289.9168 350 439.0223 -0.01736112 0.2952679
Moved 289.9329 350 437.5836 -0.01736112 0.2869418
Moved 289.948 350 436.1496 -0.01736112 0.2786435
Moved 289.9626 350 435.056 -0.01736112 0.2723146
Moved 289.9792 350 434.5 -0.01736112 0.2690973
Moved 289.9939 350 433.6266 -0.01736112 0.2640428
Moved 290.0088 350 432.8785 -0.01736112 0.2597135
Stationary 290.0242 350 432.8785 -0.01736112 0.2597135
Moved 290.0406 359.2339 432 -0.001329966 0.2546297
Moved 290.0557 363.6596 431 0.006353483 0.2488425
Moved 290.0714 369.4927 431 0.01648039 0.2488425
Moved 290.0868 376.5296 431 0.02869725 0.2488425
Moved 290.1021 383.1736 431 0.04023194 0.2488425
Moved 290.1168 387.9417 431 0.04850998 0.2488425
Moved 290.1324 392.2581 431 0.05600362 0.2488425
Moved 290.1482 397.4225 431 0.06496958 0.2488425
Moved 290.1635 404.4696 431 0.07720418 0.2488425
Moved 290.1783 410.5 431 0.08767358 0.2488425
Moved 290.1949 418.7433 431 0.1019849 0.2488425
Moved 290.2105 431.2104 439.7192 0.1236293 0.2993011
Moved 290.2314 455.8713 442.1245 0.1664432 0.3132202
Stationary 290.2425 455.8713 442.1245 0.1664432 0.3132202
Moved 290.2565 470.067 444.126 0.1910885 0.3248031
Moved 290.2711 481.084 445 0.2102154 0.3298611
Moved 290.2879 491.0406 445 0.227501 0.3298611
Moved 290.3029 499.1116 445 0.2415132 0.3298611
Moved 290.3177 508.1392 446.0232 0.2571861 0.3357823
Moved 290.333 518.1185 446 0.2745113 0.3356481
Moved 290.3495 526.3978 446 0.288885 0.3356481
Moved 290.3634 532.3429 446 0.2992064 0.3356481
Moved 290.3793 537.3185 447 0.3078447 0.3414353
Moved 290.3951 541.6323 447 0.3153339 0.3414353
Moved 290.4108 544.7048 447 0.320668 0.3414353
Moved 290.4262 548.5052 448 0.3272659 0.3472222
