the dow jones index has risen
Basic
0.4 0.4
288 86.39999
Began 150.6223 373 390 0.0451389 0.02314815
Stationary 150.6511 373 390 0.0451389 0.02314815
Stationary 150.6615 373 390 0.0451389 0.02314815
Stationary 150.6724 373 390 0.0451389 0.02314815
Stationary 150.6838 373 390 0.0451389 0.02314815
Stationary 150.7009 373 390 0.0451389 0.02314815
Stationary 150.7164 373 390 0.0451389 0.02314815
Stationary 150.7314 373 390 0.0451389 0.02314815
Stationary 150.7472 373 390 0.0451389 0.02314815
Stationary 150.762 373 390 0.0451389 0.02314815
Stationary 150.7775 373 390 0.0451389 0.02314815
Moved 150.7927 384.9822 378.6785 0.08674382 -0.1078874
Moved 150.8087 389.3079 375.7947 0.1017636 -0.1412646
Moved 150.8247 391.3117 373.6884 0.1087211 -0.165644
Moved 150.8393 395.2857 371.7142 0.1225199 -0.1884923
Moved 150.8549 398.1776 369.9112 0.1325613 -0.2093612
Moved 150.8708 401 368.5 0.1423611 -0.2256944
Moved 150.8876 402.9571 367 0.1491565 -0.2430552
Moved 150.9168 406.8416 364.1584 0.1626445 -0.2759446
Moved 150.9323 407.9333 363.0667 0.1664351 -0.2885808
Moved 150.9469 409.3513 361.6487 0.1713586 -0.304991
Moved 150.9624 409 361.2082 0.1701389 -0.3100904
Moved 150.9784 410.2271 361 0.1743996 -0.3125
Stationary 150.9938 410 361 0.173611 -0.3125
Moved 151.0094 410 359.8891 0.173611 -0.3253573
Moved 151.0376 410 358.5 0.173611 -0.3414352
Moved 151.0507 401.6474 357.9559 0.1446089 -0.3477323
Moved 151.0629 396.8192 357.4548 0.1278442 -0.3535327
Stationary 151.074 396.8192 357.4548 0.1278442 -0.3535327
Moved 151.0851 392.0435 357 0.1112622 -0.3587963
Moved 151.1013 386.2865 357 0.09127273 -0.3587963
Moved 151.1177 380.5251 357 0.07126763 -0.3587963
Moved 151.1322 374.7703 357 0.05128577 -0.3587963
Moved 151.148 371.5 357 0.03993049 -0.3587963
Moved 151.1634 364.8441 357 0.01681968 -0.3587963
Moved 151.1786 358.9037 357 -0.003806502 -0.3587963
Moved 151.1934 351.168 361.9561 -0.03066674 -0.3014345
Moved 151.2092 345.3935 365.1516 -0.05071714 -0.2644489
Moved 151.2259 339.6353 368.1824 -0.07071093 -0.2293707
