the dow jones index has risen
Basic
0.6 0.6
432 388.8
Moved 323.6341 272.3153 440.3694 -0.2029738 0.1346948
Moved 323.6508 270.2581 444.4839 -0.207736 0.1452774
Moved 323.6654 268.1585 449.6829 -0.212596 0.1586494
Moved 323.6803 266.6366 454.0901 -0.2161189 0.1699849
Moved 323.6971 265 458.4033 -0.2199074 0.1810784
Moved 323.712 263.7567 462.7299 -0.2227855 0.1922065
Moved 323.7264 262.3166 465.6834 -0.226119 0.1998029
Moved 323.7413 262 469.3691 -0.2268519 0.2092826
Moved 323.7579 262 471.3427 -0.2268519 0.2143587
Moved 323.7723 261 473.6682 -0.2291666 0.2203398
Moved 323.7874 261 476.2175 -0.2291666 0.2268966
Moved 323.8038 260 479.0836 -0.2314815 0.2342685
Moved 323.8188 260 481.95 -0.2314815 0.2416409
Moved 323.8347 259 485.4205 -0.2337963 0.2505669
Moved 323.8495 259 488.5753 -0.2337963 0.2586813
Moved 323.8659 259 490.8926 -0.2337963 0.2646413
Moved 323.8813 259 495.0953 -0.2337963 0.2754509
Moved 323.8969 259 497.6089 -0.2337963 0.2819159
Moved 323.9122 259 500.4924 -0.2337963 0.2893323
Moved 323.927 258 502.6852 -0.2361111 0.2949721
Moved 323.9426 258 505.2523 -0.2361111 0.3015748
Moved 323.9578 258 506.5646 -0.2361111 0.3049501
Moved 323.9735 258 507.759 -0.2361111 0.308022
Moved 323.9887 256.8799 510.2402 -0.238704 0.3144038
Moved 324.0046 257 511.5617 -0.2384259 0.3178027
Moved 324.0193 257 512.9976 -0.2384259 0.3214959
Stationary 324.0351 257 513 -0.2384259 0.321502
Moved 324.051 257 514.8734 -0.2384259 0.3263205
Moved 324.0651 257 516.3224 -0.2384259 0.3300473
Moved 324.0812 257 517.5 -0.2384259 0.3330761
Moved 324.0981 257 518.5 -0.2384259 0.335648
Moved 324.1125 257 519.1429 -0.2384259 0.3373016
Stationary 324.1259 257 519.1429 -0.2384259 0.3373016
Moved 324.1422 257 520.374 -0.2384259 0.3404679
Moved 324.1584 257 521.3041 -0.2384259 0.3428603
Moved 324.1735 257 522.023 -0.2384259 0.3447093
Stationary 324.1924 257 522 -0.2384259 0.3446501
Ended 324.2044 257 522 -0.2384259 0.3446501
