watch out for low flying objects
Basic
0.4 0.4
288 259.2
Moved 396.9865 340.8504 435.8505 -0.06649151 0.1846081
Moved 397.0026 342.2943 438.5886 -0.06147809 0.1951721
Moved 397.0182 343.3257 439.3257 -0.05789689 0.1980156
Moved 397.0341 344.869 441.869 -0.05253814 0.2078279
Moved 397.0489 345 443.3091 -0.05208335 0.2133839
Moved 397.064 346 444.7515 -0.04861109 0.2189485
Moved 397.0797 346 447.3846 -0.04861109 0.229107
Moved 397.0957 347 449.265 -0.0451389 0.2363619
Moved 397.1169 348 453.2651 -0.0416667 0.2517941
Stationary 397.1269 348 453.2651 -0.0416667 0.2517941
Moved 397.1405 348 456.2394 -0.0416667 0.2632693
Moved 397.1566 348 458.0598 -0.0416667 0.2702923
Moved 397.1728 349 459.4986 -0.03819443 0.2758432
Moved 397.1877 349 460.9402 -0.03819443 0.2814048
Moved 397.2035 349 462.3765 -0.03819443 0.2869462
Moved 397.2184 349 463.8167 -0.03819443 0.2925023
Moved 397.234 349 464.9198 -0.03819443 0.2967585
Moved 397.2491 349 465.5 -0.03819443 0.2989968
Moved 397.2636 349 466 -0.03819443 0.3009257
Moved 397.2789 349 467.2103 -0.03819443 0.3055952
Stationary 397.2929 349 467.2103 -0.03819443 0.3055952
Stationary 397.3084 349 467.2103 -0.03819443 0.3055952
Stationary 397.3238 349 467.2103 -0.03819443 0.3055952
Stationary 397.3389 349 467.2103 -0.03819443 0.3055952
Stationary 397.3558 349 467 -0.03819443 0.3047838
Stationary 397.3704 349 467 -0.03819443 0.3047838
Stationary 397.3862 349 467 -0.03819443 0.3047838
Stationary 397.4021 349 467 -0.03819443 0.3047838
Stationary 397.4174 349 467 -0.03819443 0.3047838
Moved 397.4334 340.2611 457.5032 -0.06853788 0.2681448
Moved 397.4495 342 455 -0.06250001 0.2584875
Moved 397.4645 339.2309 450.6927 -0.07211484 0.24187
Moved 397.4808 336.5622 445.1243 -0.08138135 0.2203869
Moved 397.4966 335.3423 440.027 -0.08561685 0.2007215
Moved 397.5107 332.8115 434.6229 -0.09440467 0.1798723
Moved 397.526 331.5 429 -0.09895831 0.1581789
Moved 397.5423 329.0279 422.1395 -0.107542 0.1317108
Moved 397.5567 327.5893 416.3571 -0.1125373 0.109402
Moved 397.573 326.4582 409.749 -0.1164647 0.08390791
Moved 397.5899 325.0139 402.0692 -0.1214797 0.05427925
Moved 397.6045 323.5749 394.8746 -0.126476 0.0265225
Moved 397.6193 322.1363 389.545 -0.1314713 0.005960817
