my bare face in the wind
Basic
0.6 0.6
432 388.8
Began 425.1221 514 242 0.3564815 -0.3755144
Stationary 425.1448 514 242 0.3564815 -0.3755144
Stationary 425.1569 514 242 0.3564815 -0.3755144
Stationary 425.1719 514 242 0.3564815 -0.3755144
Stationary 425.1886 514 242 0.3564815 -0.3755144
Stationary 425.2026 514 242 0.3564815 -0.3755144
Stationary 425.2173 514 242 0.3564815 -0.3755144
Stationary 425.2334 514 242 0.3564815 -0.3755144
Moved 425.2493 502.1539 252.7692 0.3290599 -0.3478159
Moved 425.2649 498.4657 260.0686 0.3205225 -0.3290417
Moved 425.2805 495.5839 264.6241 0.3138517 -0.3173249
Moved 425.296 491.7037 271.5926 0.3048697 -0.2994018
Moved 425.3119 487.7443 278.4261 0.2957044 -0.2818259
Moved 425.3272 484.9365 283.6588 0.2892049 -0.2683675
Moved 425.3441 481.7917 288.9443 0.2819253 -0.2547729
Moved 425.3577 476.6656 296.5015 0.2700594 -0.2353356
Moved 425.3748 471.4572 305.5714 0.2580027 -0.2120078
Moved 425.3885 468.0937 311.8126 0.2502169 -0.1959553
Moved 425.4044 465.2137 317.5726 0.2435502 -0.1811407
Moved 425.4195 462.3275 324.345 0.2368693 -0.1637219
Moved 425.4356 459.4472 330.1055 0.230202 -0.1489056
Moved 425.4507 457 336.5 0.2245371 -0.1324588
Moved 425.4653 453.709 342.8183 0.216919 -0.1162082
Moved 425.4811 449.3947 348.8071 0.206932 -0.1008047
Moved 425.497 446.7067 354.5867 0.2007099 -0.08593963
Moved 425.5127 443.8181 359.2729 0.1940232 -0.07388645
Moved 425.5284 439.4154 366.1129 0.1838319 -0.05629418
Moved 425.5435 436.0579 372.8553 0.1760599 -0.03895237
Moved 425.5581 431.7783 380.0363 0.1661534 -0.02048296
Moved 425.5755 429.898 385.755 0.1618009 -0.005774242
Moved 425.591 427.0151 391.9697 0.1551276 0.01021012
Moved 425.603 422.7143 400.5714 0.1451721 0.03233372
Moved 425.6188 419.2602 409.2193 0.1371764 0.0545763
Moved 425.6353 415.0696 419.171 0.127476 0.0801721
Moved 425.6498 412.4981 430.2567 0.1215234 0.1086847
Moved 425.6654 409.619 440.3333 0.1148589 0.1346021
Moved 425.6807 408.7797 446.3221 0.1129159 0.1500053
Moved 425.696 407.2604 455.4374 0.1093992 0.1734501
Moved 425.7115 405.8228 465.2401 0.1060714 0.1986627
Moved 425.727 404.3861 471.6832 0.1027457 0.2152344
Moved 425.7426 402.9418 479.2908 0.09940238 0.2348015
Moved 425.7584 401.5062 484.9752 0.09607912 0.2494218
Moved 425.7745 401 491.7639 0.09490739 0.2668824
Moved 425.788 399.992 496.0319 0.09257407 0.2778598
Moved 425.8037 398.5447 501.8211 0.08922388 0.2927497
Moved 425.8196 397.1064 504.7871 0.08589456 0.3003783
Moved 425.8347 395.6657 509.0029 0.08255948 0.3112214
Moved 425.8501 394.2271 511.5458 0.07922938 0.3177618
Moved 425.8649 394 514.4374 0.07870366 0.3251989
Moved 425.8808 392.3452 516.6548 0.07487307 0.3309023
Moved 425.8961 392 517.8265 0.07407407 0.3339159
Moved 425.9123 390.7998 519.2001 0.07129589 0.3374488
Moved 425.9282 390.3476 520.6524 0.07024904 0.341184
Moved 425.9427 389.5 521.5 0.06828706 0.3433641
Stationary 425.9581 389.5 521.5 0.06828706 0.3433641
Moved 425.9774 389 522.9683 0.06712963 0.3471406
Moved 425.9903 388.5876 523.4124 0.06617496 0.3482829
Moved 426.0101 387.5 524.5 0.06365737 0.3510802
Stationary 426.0224 387.5 524.5 0.06365737 0.3510802
Moved 426.0364 388 525.1118 0.06481478 0.3526537
Stationary 426.0512 388 525 0.06481478 0.3523662
Moved 426.0667 388 526.273 0.06481478 0.3556404
Ended 426.0823 388 526.273 0.06481478 0.3556404
Began 426.8354 371 266 0.025463 -0.3137861
Stationary 426.8537 371 266 0.025463 -0.3137861
Stationary 426.8684 371 266 0.025463 -0.3137861
Stationary 426.8845 371 266 0.025463 -0.3137861
Stationary 426.9 371 266 0.025463 -0.3137861
Stationary 426.9143 371 266 0.025463 -0.3137861
Stationary 426.9297 371 266 0.025463 -0.3137861
Stationary 426.9447 371 266 0.025463 -0.3137861
Stationary 426.9594 371 266 0.025463 -0.3137861
Moved 426.9757 361.7068 274.2606 0.003950994 -0.2925398
Moved 426.9931 357.3628 279.9559 -0.006104708 -0.2778913
Moved 427.0086 355.931 282.1035 -0.009418974 -0.2723676
Moved 427.0236 351.5831 288.6254 -0.01948361 -0.2555931
Stationary 427.0387 351.5831 288.6254 -0.01948361 -0.2555931
Moved 427.0544 347.4137 294.8795 -0.02913495 -0.2395076
Moved 427.0698 345.4011 296.5989 -0.03379385 -0.2350851
Moved 427.0856 343.3294 300.5059 -0.03858929 -0.2250364
Moved 427.1003 340.4448 303.5552 -0.0452666 -0.2171935
Moved 427.1159 339.2831 305.4337 -0.04795571 -0.2123618
Moved 427.1317 337.8428 307.1572 -0.0512898 -0.207929
Moved 427.1475 335.8138 308.5931 -0.05598654 -0.204236
Moved 427.1624 333.9682 311.0636 -0.0602588 -0.1978817
Moved 427.1784 332.9224 312.0776 -0.0626797 -0.1952736
Moved 427.1937 331.4538 314.0925 -0.06607925 -0.1900914
Moved 427.2077 330.0166 316.9668 -0.06940603 -0.1826987
Moved 427.2236 328.5738 318.4262 -0.07274578 -0.1789449
Moved 427.2386 326.2725 321.7275 -0.07807294 -0.170454
Moved 427.2538 324.6975 324.6049 -0.08171866 -0.1630533
Moved 427.2694 322.5175 328.2238 -0.08676509 -0.1537455
Moved 427.285 321.1112 331.6664 -0.09002034 -0.1448911
Moved 427.3 319.7052 335.8845 -0.09327506 -0.134042
Moved 427.3159 314.802 342.6634 -0.1046251 -0.1166066
Moved 427.3315 310.4855 349.8574 -0.1146168 -0.09810341
Moved 427.3466 305.5479 357.0651 -0.1260466 -0.07956509
Moved 427.3615 299.8047 365.293 -0.139341 -0.05840293
Moved 427.3772 291.5668 374.9237 -0.1584103 -0.03363252
Moved 427.3934 284.5562 383.1326 -0.1746385 -0.01251919
