just in time for the party
Basic
0.8 0.8
575.9999 518.4
Moved 289.2152 217.0947 400.0474 -0.2480995 0.02323951
Moved 289.2308 212.3123 398.3281 -0.2564023 0.0199229
Moved 289.2463 207.0433 396.0217 -0.2655498 0.01547384
Moved 289.2688 196.5889 391.2944 -0.2836998 0.006354943
Stationary 289.2789 196.5889 391.2944 -0.2836998 0.006354943
Moved 289.2919 192.1376 389.7125 -0.2914277 0.003303451
Moved 289.3078 187.802 387.5347 -0.2989548 -0.00089769
Moved 289.3248 184.6638 385.8319 -0.3044031 -0.004182303
Moved 289.3403 182 384.5 -0.3090278 -0.006751542
Moved 289.3546 179.5492 384.2746 -0.3132827 -0.007186377
Moved 289.3705 177.8376 384 -0.3162542 -0.007716049
Moved 289.3838 176.3937 384 -0.3187609 -0.007716049
Moved 289.4001 175.5 384 -0.3203125 -0.007716049
Moved 289.4156 174.7565 384 -0.3216032 -0.007716049
Moved 289.4308 174 384 -0.3229167 -0.007716049
Stationary 289.4475 174 384 -0.3229167 -0.007716049
Moved 289.4613 174 392.312 -0.3229167 0.008317864
Moved 289.4778 174 398.5134 -0.3229167 0.02028047
Moved 289.4934 188.4435 408.1913 -0.2978412 0.03894929
Moved 289.509 197.0895 420.6119 -0.2828307 0.06290865
Moved 289.5243 209.8306 432.6272 -0.2607108 0.08608632
Moved 289.5395 221.8418 446.8417 -0.239858 0.1135064
Moved 289.5561 232.5358 457.5358 -0.221292 0.1341353
Moved 289.5706 242.4808 465.1517 -0.2040264 0.1488266
Moved 289.5852 258.8762 479.2233 -0.1755622 0.1759707
Moved 289.601 271.853 491.853 -0.1530329 0.2003337
Moved 289.6175 284.5 501.5 -0.1310764 0.2189429
Moved 289.6317 294.8672 510.8837 -0.1130778 0.2370441
Moved 289.6472 307.6547 519.4365 -0.09087723 0.2535425
Moved 289.665 317.9667 526.2619 -0.07297453 0.2667088
Moved 289.6786 323.8415 530.8732 -0.06277519 0.2756041
Moved 289.6926 332.4029 536.6019 -0.04791158 0.2866549
Moved 289.7109 340.2023 543.3619 -0.03437094 0.2996949
Moved 289.7253 346.09 549.09 -0.02414931 0.3107446
Moved 289.7401 351.8624 552.1468 -0.01412779 0.3166411
Moved 289.7563 355.3087 555.3087 -0.008144714 0.3227403
Moved 289.7708 359.1918 557.5959 -0.001403056 0.3271526
Moved 289.7864 361.5132 559.5132 0.002627074 0.3308511
Moved 289.8021 364.2118 561.1059 0.007312073 0.3339233
Moved 289.818 365.5 561 0.00954859 0.333719
Moved 289.8328 366.9863 562 0.01212895 0.3356481
Moved 289.8536 368.8642 563.8641 0.01538918 0.339244
Stationary 289.8651 368.8642 563.8641 0.01538918 0.339244
Ended 289.8785 376.9507 566.6502 0.0294283 0.3446184
Began 290.1833 461 532 0.1753472 0.2777777
Stationary 290.2017 461 532 0.1753472 0.2777777
Stationary 290.2177 461 532 0.1753472 0.2777777
Stationary 290.2331 461 532 0.1753472 0.2777777
Stationary 290.2479 461 532 0.1753472 0.2777777
Stationary 290.2637 461 532 0.1753472 0.2777777
Moved 290.2795 471.5328 532 0.1936333 0.2777777
Moved 290.2946 475.6095 532 0.200711 0.2777777
Moved 290.3142 479.9003 532 0.2081602 0.2777777
Moved 290.3264 484.9148 532 0.216866 0.2777777
Moved 290.3415 490.6859 532 0.2268852 0.2777777
Moved 290.3575 494.8419 532 0.2341006 0.2777777
Moved 290.3723 499.1897 532 0.2416488 0.2777777
Moved 290.3875 503.4577 532 0.2490585 0.2777777
Moved 290.4036 505.8579 525.4972 0.2532256 0.2652338
Moved 290.4184 508.1122 525 0.2571391 0.2642746
Moved 290.4349 511.0367 525 0.2622164 0.2642746
Moved 290.449 513.9061 524.047 0.267198 0.2624363
Moved 290.4645 515.3931 524 0.2697797 0.2623456
Moved 290.4804 516.8362 524 0.272285 0.2623456
Moved 290.4962 518.2692 524 0.2747729 0.2623456
Moved 290.5102 519.724 524 0.2772986 0.2623456
Moved 290.5254 520.8668 524 0.2792827 0.2623456
Moved 290.5408 522.2607 524 0.2817026 0.2623456
Stationary 290.5583 522.2607 524 0.2817026 0.2623456
Moved 290.5707 524.1362 524 0.2849587 0.2623456
Moved 290.5869 525.5887 524 0.2874804 0.2623456
Moved 290.604 527.0184 524 0.2899624 0.2623456
Moved 290.6261 529.6628 535.3142 0.2945535 0.2841709
Stationary 290.6371 529.6628 535.3142 0.2945535 0.2841709
Moved 290.649 530.9434 539.8301 0.2967767 0.2928821
Moved 290.6642 531 544.1616 0.296875 0.3012375
Moved 290.6801 531.8263 549.3051 0.2983095 0.3111595
Moved 290.6963 532 552.5328 0.2986111 0.3173858
Moved 290.7121 532 556.4213 0.2986111 0.3248867
Moved 290.726 532 559.2919 0.2986111 0.330424
Moved 290.7417 532 560.5 0.2986111 0.3327546
Moved 290.7575 532 561.7072 0.2986111 0.3350832
Moved 290.7724 532 563.1481 0.2986111 0.3378628
Moved 290.7872 532 564.5 0.2986111 0.3404706
Stationary 290.8043 532 564.5 0.2986111 0.3404706
Moved 290.8205 528.7086 564 0.2928968 0.3395061
Moved 290.8354 524.0885 564 0.2848758 0.3395061
Moved 290.8502 521.2884 564 0.2800145 0.3395061
Moved 290.8675 519.3473 564 0.2766446 0.3395061
Moved 290.8806 512.4261 551.5327 0.2646287 0.3154565
Moved 290.8961 506.7118 544.3898 0.254708 0.3016777
Moved 290.9125 499.6853 527.8275 0.2425092 0.269729
Moved 290.9272 494.1451 513.8626 0.2328907 0.2427904
Moved 290.9424 488.4066 498.8683 0.2229282 0.2138662
Moved 290.9569 482.6081 481.8242 0.2128612 0.180988
Moved 290.9735 479.4661 467.6866 0.2074064 0.1537163
Moved 290.9884 475.6666 449.9998 0.2008101 0.1195983
Moved 291.0054 472.7919 436.0635 0.1958193 0.09271494
Moved 291.0205 471.5 414.5 0.1935764 0.05111879
Moved 291.0344 469.0155 404.1241 0.1892631 0.03110364
Moved 291.0494 469 389.7959 0.1892361 0.00346428
Moved 291.0704 468 374.1278 0.1875 -0.02675969
Moved 291.0822 468 364.1341 0.1875 -0.04603762
Moved 291.0969 468 349.7979 0.1875 -0.07369247
Moved 291.1127 468 337.3586 0.1875 -0.09768791
Moved 291.1283 468 326.9758 0.1875 -0.1177165
Moved 291.1427 468 317.5553 0.1875 -0.1358887
Moved 291.1596 476.2664 310.0955 0.2018513 -0.1502789
Moved 291.1738 476.6193 303.142 0.2024641 -0.1636922
Moved 291.1886 477 298.9041 0.203125 -0.171867
Moved 291.2045 478.1183 291.2901 0.2050665 -0.1865546
Moved 291.2205 479.5676 287.2973 0.2075826 -0.1942568
Moved 291.2361 480.9718 282.1128 0.2100205 -0.2042577
Moved 291.2501 482.4158 277.7526 0.2125274 -0.2126686
Moved 291.2662 483.8515 274.2971 0.2150199 -0.2193344
Moved 291.2812 485.2994 268.8022 0.2175338 -0.2299339
Moved 291.2961 485 267 0.2170139 -0.2334105
Moved 291.3116 486 263.4498 0.21875 -0.2402588
Moved 291.3278 487.2869 261.7131 0.2209842 -0.2436091
Moved 291.3429 487.7301 257.5399 0.2217535 -0.2516592
Moved 291.3606 488 255.8223 0.2222222 -0.2549725
Moved 291.3741 489 252.7711 0.2239583 -0.2608582
Moved 291.3893 489 248.7913 0.2239583 -0.2685354
Moved 291.4057 489 247.5209 0.2239583 -0.270986
Moved 291.4203 489.58 245.42 0.2249653 -0.2750385
Moved 291.4359 490 242.9514 0.2256945 -0.2798005
Moved 291.4505 490 240.0375 0.2256945 -0.2854216
Moved 291.4741 490 236.6426 0.2256945 -0.2919703
Stationary 291.485 490 236.6426 0.2256945 -0.2919703
Moved 291.4963 490 233.4187 0.2256945 -0.2981893
Moved 291.5122 490 230.5729 0.2256945 -0.3036788
Moved 291.5291 490 229.7275 0.2256945 -0.3053095
Moved 291.5437 490 226.4045 0.2256945 -0.3117197
Moved 291.56 490 223.5171 0.2256945 -0.3172896
Moved 291.5736 482.3219 220.6439 0.2123645 -0.322832
Moved 291.5904 480.8786 216.6357 0.2098586 -0.3305638
Moved 291.6069 479.4371 215.4371 0.2073561 -0.3328759
Moved 291.6209 477.9986 212.9972 0.2048586 -0.3375826
Moved 291.6353 476.9188 211.9188 0.202984 -0.3396627
Moved 291.6504 476.45 210 0.2021702 -0.3433642
Moved 291.6661 476 208.0227 0.2013889 -0.3471784
Stationary 291.6821 476 208 0.2013889 -0.3472222
Ended 291.6971 476 208 0.2013889 -0.3472222
Began 292.0211 382 366 0.03819443 -0.04243833
Stationary 292.0384 382 366 0.03819443 -0.04243833
Stationary 292.0534 382 366 0.03819443 -0.04243833
Stationary 292.0678 382 366 0.03819443 -0.04243833
Stationary 292.0838 382 366 0.03819443 -0.04243833
Moved 292.0993 371.2006 379.1993 0.01944549 -0.0169767
Moved 292.1148 366.4339 384.8492 0.01116991 -0.006078025
Moved 292.1361 354.4461 401.7755 -0.009642242 0.02657307
Stationary 292.1473 354.4461 401.7755 -0.009642242 0.02657307
Moved 292.1612 347.063 412.1118 -0.02246003 0.04651178
Moved 292.1758 338.8434 426.2871 -0.03673017 0.07385627
Moved 292.1919 333.1298 434.8054 -0.04664973 0.09028808
Moved 292.2075 328.2798 443.4405 -0.05506988 0.1069453
Moved 292.2224 323.9757 452.0486 -0.06254222 0.1235506
Moved 292.2375 320.6328 459.7344 -0.06834585 0.1383765
Moved 292.2528 317.2242 466.5517 -0.07426362 0.1515272
Moved 292.2688 314.3285 475.0146 -0.07929087 0.1678521
Moved 292.2844 310.4378 484.6866 -0.08604552 0.1865097
Moved 292.2987 307.5672 495.7312 -0.09102917 0.2078148
Moved 292.3149 304.6848 501.9457 -0.09603336 0.2198026
Moved 292.3303 301.8176 509.456 -0.1010111 0.23429
Moved 292.3447 299 515 -0.1059028 0.2449845
Moved 292.3606 297.5562 520.8876 -0.1084093 0.2563417
Moved 292.3766 295.9398 527.3009 -0.1112156 0.2687131
Moved 292.3915 294.5009 534.4952 -0.1137136 0.282591
Moved 292.4064 294.0594 538.822 -0.1144803 0.2909373
Moved 292.4225 294 544.5179 -0.1145833 0.301925
Moved 292.438 294 549.2821 -0.1145833 0.3111151
Moved 292.4534 294 553.7792 -0.1145833 0.3197901
Moved 292.4747 294 557.8324 -0.1145833 0.3276087
Stationary 292.4852 294 557.8324 -0.1145833 0.3276087
Moved 292.499 294 560.5352 -0.1145833 0.3328224
Moved 292.5146 294 562.707 -0.1145833 0.3370119
Moved 292.5299 302.021 564.1459 -0.100658 0.3397875
Moved 292.5457 305.7637 567.1758 -0.09416028 0.3456322
Moved 292.5611 311.1042 569.0261 -0.08488845 0.3492014
Moved 292.577 316.8764 571.9382 -0.07486742 0.3548189
Moved 292.5919 322.9919 573.1406 -0.06425015 0.3571383
Moved 292.6088 333.0235 575.0034 -0.04683427 0.3607317
Moved 292.6218 343.0945 576.4421 -0.02934981 0.363507
Moved 292.6375 357.953 577.7673 -0.003553778 0.3660634
Moved 292.6535 372.1868 578 0.02115764 0.3665123
Moved 292.6689 387.5336 578 0.04780143 0.3665123
Moved 292.6854 398.3874 578 0.06664477 0.3665123
Moved 292.7001 407.7433 578 0.08288778 0.3665123
Moved 292.7168 420.9433 578 0.1058043 0.3665123
Moved 292.7314 434.4254 578 0.1292107 0.3665123
Moved 292.7461 443.5174 569.4138 0.1449954 0.3499493
Moved 292.7622 452.1396 567.9767 0.1599646 0.3471773
Moved 292.7834 467.4897 563.2042 0.1866139 0.3379709
Stationary 292.7947 467.4897 563.2042 0.1866139 0.3379709
Moved 292.8076 472.0358 561.991 0.1945066 0.3356308
Moved 292.824 477.8028 560.5493 0.2045187 0.3328497
Moved 292.8392 482.6852 558.1049 0.212995 0.3281344
Moved 292.8541 485.6678 556.6661 0.2181732 0.325359
Moved 292.87 489.5438 554.4562 0.2249025 0.3210959
Moved 292.885 492.4507 552.7747 0.2299491 0.3178523
Moved 292.9006 493.6615 551.3385 0.2320512 0.3150819
Moved 292.9179 494 549.3774 0.2326389 0.311299
Moved 292.9319 495.1728 545.4815 0.234675 0.3037837
Moved 292.9471 495 534.8694 0.234375 0.2833129
Moved 292.9626 495 523.6375 0.234375 0.2616463
Moved 292.9787 495 510.5 0.234375 0.2363039
Moved 292.9928 495 498.6791 0.234375 0.2135013
Moved 293.0081 496.3748 481.5027 0.2367618 0.1803679
Moved 293.0239 496 471 0.2361111 0.1601079
Moved 293.0392 497.9156 457.4222 0.2394367 0.1339163
Moved 293.0552 499.3807 436.2888 0.2419805 0.09314954
Moved 293.0696 499.8329 422.5042 0.2427654 0.06655899
Moved 293.0911 501.2675 405.7896 0.2452561 0.03431632
Moved 293.1024 503.3908 395.0459 0.2489424 0.01359157
Moved 293.1176 505.1316 381.8156 0.2519645 -0.01192982
Moved 293.1313 508 368 0.2569444 -0.0385803
Moved 293.148 508.6843 359.21 0.2581323 -0.05553628
Moved 293.1635 511.2333 345.8335 0.2625578 -0.0813397
Moved 293.1779 512.5519 336.1365 0.2648471 -0.1000453
Moved 293.1931 514.9838 326.0566 0.2690691 -0.1194896
Moved 293.2092 517.886 313.0129 0.2741077 -0.1446511
Moved 293.2244 519.9366 304.38 0.2776678 -0.161304
Moved 293.2397 522.7599 297.1003 0.2825692 -0.1753467
Moved 293.2565 523.3329 292.3351 0.2835642 -0.1845387
Moved 293.2712 526.806 283.679 0.2895938 -0.2012366
Moved 293.2866 528.3319 277.6723 0.2922429 -0.2128235
Moved 293.3027 531.5576 269.1061 0.297843 -0.2293478
Moved 293.3176 532 265.5494 0.2986111 -0.2362087
Moved 293.3329 534.6744 258.3025 0.3032541 -0.2501881
Moved 293.3471 536.1157 253.6528 0.3057564 -0.2591573
Moved 293.3703 538 245.6448 0.3090278 -0.274605
Stationary 293.3819 538 245.6448 0.3090278 -0.274605
Moved 293.3939 539.0654 241.8038 0.3108775 -0.2820142
Moved 293.4113 540.5 239 0.3133681 -0.2874228
Moved 293.4243 540 236.0912 0.3125 -0.293034
Moved 293.4397 541.3945 233.2109 0.3149211 -0.29859
Moved 293.4567 541 229.339 0.3142361 -0.3060591
Moved 293.4706 541 226.1683 0.3142361 -0.3121753
Moved 293.4857 542.3532 223.2936 0.3165854 -0.3177207
Moved 293.5013 542 219.4016 0.3159722 -0.3252283
Moved 293.5185 542 215.282 0.3159722 -0.3331752
Moved 293.5326 542 212.641 0.3159722 -0.3382697
Moved 293.5483 542 207.5212 0.3159722 -0.3481457
Moved 293.5639 542 203.8772 0.3159722 -0.3551752
Moved 293.5797 536.6081 201.4595 0.3066112 -0.359839
Moved 293.595 533.8589 199.859 0.3018384 -0.3629263
Moved 293.6106 530.8318 196.4159 0.2965831 -0.3695681
Moved 293.6254 526.9271 193.9514 0.289804 -0.3743221
Moved 293.6451 522.6194 191.0796 0.2823254 -0.3798619
Moved 293.657 516.3703 190 0.2714762 -0.3819444
Moved 293.6712 509.3004 188.66 0.2592019 -0.3845292
Moved 293.6866 503.5 189 0.2491319 -0.3838734
Moved 293.7017 494.7376 189 0.2339195 -0.3838734
Moved 293.7185 483.3824 200.9448 0.2142055 -0.3608318
Moved 293.7326 474.5555 204.8889 0.1988812 -0.3532236
Moved 293.7477 463.284 213.287 0.1793124 -0.3370236
Moved 293.7657 454.3797 222.6202 0.1638537 -0.3190196
Moved 293.7791 445.4116 231.5884 0.148284 -0.30172
Moved 293.7941 437 241.5 0.1336806 -0.2826003
Moved 293.8101 428.074 249.5417 0.1181841 -0.2670877
Moved 293.8259 417.6218 261.4323 0.1000378 -0.2441507
Moved 293.8408 406.514 276.9776 0.08075341 -0.2141636
Moved 293.8564 399.3134 287.5613 0.06825238 -0.1937476
Moved 293.8714 390.7113 296.2887 0.05331821 -0.1769123
Moved 293.8878 384.0909 306.5455 0.04182443 -0.1571268
Moved 293.907 375.4313 319.3531 0.02679043 -0.1324207
Moved 293.9188 370.5807 325.987 0.01836933 -0.1196239
Moved 293.9333 359.8928 339.7501 -0.0001861155 -0.0930746
Moved 293.9498 351.5128 349.7351 -0.01473479 -0.07381351
Moved 293.965 342.7914 364.0144 -0.02987612 -0.04626856
Moved 293.9796 334.1646 377.2532 -0.0448532 -0.02073076
Moved 293.9938 327.5012 388.2482 -0.05642153 0.0004787504
Moved 294.0101 319.9007 400.1589 -0.06961688 0.02345465
Moved 294.0258 314.7233 407.3873 -0.07860533 0.0373983
Moved 294.0418 304.5 422 -0.09635414 0.06558638
Moved 294.0564 297.2397 433.6165 -0.1089589 0.08799478
Moved 294.0721 287.2646 446.5169 -0.1262767 0.1128798
Moved 294.0876 279.8806 457.5909 -0.1390961 0.1342417
Moved 294.1034 273.906 467.9146 -0.1494688 0.1541561
Moved 294.1179 266.4503 478.6794 -0.1624126 0.1749217
Moved 294.1337 260.5889 487.1756 -0.1725888 0.1913109
Moved 294.1537 252.221 499.6685 -0.1871162 0.2154098
Moved 294.1649 247.1135 506.6082 -0.1959835 0.2287965
Moved 294.1795 240.1974 516.1237 -0.2079906 0.247152
Moved 294.1944 233.5934 525.2115 -0.2194559 0.2646827
Moved 294.2108 227.8386 535.2825 -0.2294469 0.2841096
Moved 294.2267 222.0832 543.8752 -0.2394388 0.3006851
Moved 294.2413 217.9199 549.4668 -0.2466668 0.3114713
Moved 294.2569 211.8551 558.2029 -0.257196 0.3283234
Moved 294.273 209.0646 562.403 -0.2620406 0.3364255
Moved 294.2884 204.3061 567.6939 -0.2703019 0.3466317
Moved 294.3035 201.3266 572.0101 -0.2754746 0.3549576
