did you have a good time
Basic
0.6 0.6
432 129.6
Moved 318.5007 254.0524 351 -0.245249 -0.2854941
Moved 318.5172 252.9555 351 -0.2477881 -0.2854941
Stationary 318.5321 253 351 -0.2476852 -0.2854941
Stationary 318.5461 253 351 -0.2476852 -0.2854941
Moved 318.5605 251.6255 351 -0.2508669 -0.2854941
Stationary 318.5765 252 351 -0.25 -0.2854941
Stationary 318.5926 252 351 -0.25 -0.2854941
Moved 318.6064 251.3056 351 -0.2516074 -0.2854941
Moved 318.6238 250.5 351 -0.2534722 -0.2854941
Stationary 318.6399 250.5 351 -0.2534722 -0.2854941
Stationary 318.6537 250.5 351 -0.2534722 -0.2854941
Moved 318.6698 251 351 -0.2523148 -0.2854941
Ended 318.6849 251 361.5 -0.2523148 -0.2044751
Began 319.3767 366 476 0.01388888 0.6790124
Stationary 319.3951 366 476 0.01388888 0.6790124
Stationary 319.4101 366 476 0.01388888 0.6790124
Stationary 319.4283 366 476 0.01388888 0.6790124
Stationary 319.4421 366 476 0.01388888 0.6790124
Stationary 319.4554 366 476 0.01388888 0.6790124
Stationary 319.4713 366 476 0.01388888 0.6790124
Stationary 319.4873 366 476 0.01388888 0.6790124
Stationary 319.5036 366 476 0.01388888 0.6790124
Stationary 319.5193 366 476 0.01388888 0.6790124
Stationary 319.5335 366 476 0.01388888 0.6790124
Stationary 319.547 366 476 0.01388888 0.6790124
Stationary 319.5632 366 476 0.01388888 0.6790124
Stationary 319.5781 366 476 0.01388888 0.6790124
Stationary 319.5952 366 476 0.01388888 0.6790124
Stationary 319.6087 366 476 0.01388888 0.6790124
Stationary 319.624 366 476 0.01388888 0.6790124
Stationary 319.6415 366 476 0.01388888 0.6790124
Stationary 319.6566 366 476 0.01388888 0.6790124
Stationary 319.6714 366 476 0.01388888 0.6790124
Stationary 319.6869 366 476 0.01388888 0.6790124
Stationary 319.7025 366 476 0.01388888 0.6790124
Stationary 319.7183 366 476 0.01388888 0.6790124
Stationary 319.7337 366 476 0.01388888 0.6790124
Stationary 319.7493 366 476 0.01388888 0.6790124
Stationary 319.7647 366 476 0.01388888 0.6790124
Stationary 319.7797 366 476 0.01388888 0.6790124
Stationary 319.7944 366 476 0.01388888 0.6790124
Stationary 319.8104 366 476 0.01388888 0.6790124
Stationary 319.8246 366 476 0.01388888 0.6790124
Stationary 319.8432 366 476 0.01388888 0.6790124
Stationary 319.8574 366 476 0.01388888 0.6790124
Stationary 319.8711 366 476 0.01388888 0.6790124
Moved 319.888 366 465.7119 0.01388888 0.5996289
Moved 319.9035 366 463.5527 0.01388888 0.5829688
Moved 319.9275 376.5 460.5 0.03819446 0.5594136
Moved 319.9398 374.6796 457.6407 0.03398061 0.5373515
Stationary 319.951 374.6796 457.6407 0.03398061 0.5373515
Moved 319.9653 377.2296 455.8852 0.03988325 0.5238057
Moved 319.9789 379.0997 453.9003 0.04421224 0.5084902
Moved 319.9951 382.9636 451.0243 0.05315641 0.4862986
Moved 320.0115 385.8379 449.5811 0.05980989 0.4751626
Moved 320.0273 388.721 447.279 0.06648391 0.4573995
Moved 320.0451 391.5996 445.7002 0.07314721 0.4452176
Moved 320.058 393.6655 443.3345 0.07792939 0.4269641
Moved 320.0736 397.6361 441.2426 0.08712054 0.4108225
Moved 320.0897 402.0838 439.6387 0.09741624 0.3984472
Moved 320.1048 406.3929 436.4047 0.107391 0.3734933
Moved 320.1199 410.711 434.763 0.1173867 0.3608257
Moved 320.1353 416.0156 431.6563 0.1296657 0.3368539
Moved 320.1528 420.3647 429.8784 0.1397332 0.3231359
Moved 320.1658 424.6768 427.6616 0.149715 0.3060305
Moved 320.1852 429.6156 425.6922 0.1611471 0.290835
Moved 320.1967 433.1833 425 0.1694057 0.2854938
Moved 320.2119 437.5 423.5 0.1793981 0.2739196
Moved 320.2275 440.8819 423.0394 0.1872265 0.2703655
Moved 320.2446 443.8068 423 0.1939972 0.2700617
Moved 320.2575 445.8405 422 0.1987048 0.2623458
Moved 320.2731 446.9299 422 0.2012267 0.2623458
Moved 320.2891 449.7002 422 0.2076394 0.2623458
Moved 320.3042 451.7862 422 0.212468 0.2623458
Moved 320.3198 454.4442 422 0.2186207 0.2623458
Moved 320.3436 458.1998 422 0.2273144 0.2623458
Stationary 320.3546 458.1998 422 0.2273144 0.2623458
Moved 320.367 460.0805 422 0.231668 0.2623458
Moved 320.3822 463.2189 422 0.2389326 0.2623458
Moved 320.3996 466.189 422 0.245808 0.2623458
Moved 320.4122 471.1331 422 0.2572525 0.2623458
Moved 320.428 475.9079 422 0.2683052 0.2623458
Moved 320.4431 481.6316 422 0.2815547 0.2623458
Moved 320.4582 486.3885 422 0.292566 0.2623458
Moved 320.4742 490.8562 422 0.3029079 0.2623458
Moved 320.4917 493 422 0.3078704 0.2623458
Moved 320.5048 495.6124 422 0.3139176 0.2623458
Moved 320.52 498.4982 422 0.3205976 0.2623458
Moved 320.5357 500.6814 422 0.3256515 0.2623458
Moved 320.5508 502.1201 422 0.3289818 0.2623458
Moved 320.5673 503.5561 422 0.3323057 0.2623458
Moved 320.5825 504.5 422 0.3344907 0.2623458
Moved 320.598 505.2168 422 0.33615 0.2623458
Moved 320.6136 506.5691 422 0.3392804 0.2623458
Moved 320.6274 507.5 422 0.3414352 0.2623458
Stationary 320.6439 507.5 422 0.3414352 0.2623458
Moved 320.6589 508.2487 422 0.3431683 0.2623458
Moved 320.6739 509.1662 422 0.3452921 0.2623458
Stationary 320.6923 509.1662 422 0.3452921 0.2623458
