my bare face in the wind
Basic
0.6 0.6
432 129.6
Moved 231.5304 363 429.4368 0.006944438 0.3197281
Moved 231.5462 363 429.8809 0.006944438 0.3231549
Moved 231.5617 363 430.5 0.006944438 0.3279321
Moved 231.577 363 431.1721 0.006944438 0.3331181
Stationary 231.5937 363 431.1721 0.006944438 0.3331181
Moved 231.6069 363 432.0942 0.006944438 0.340233
Stationary 231.6245 363 432 0.006944438 0.3395063
Moved 231.6396 363 433.0814 0.006944438 0.3478506
Stationary 231.654 363 433.0814 0.006944438 0.3478506
Stationary 231.6689 363 433 0.006944438 0.3472221
Moved 231.6864 363 434.1333 0.006944438 0.355967
Stationary 231.7002 363 434 0.006944438 0.3549384
Stationary 231.7158 363 434 0.006944438 0.3549384
Stationary 231.7299 363 434 0.006944438 0.3549384
Stationary 231.7451 363 434 0.006944438 0.3549384
Moved 231.7603 363 435.3734 0.006944438 0.3655357
Stationary 231.7763 363 435.3734 0.006944438 0.3655357
Stationary 231.791 363 435.3734 0.006944438 0.3655357
Stationary 231.808 363 435.3734 0.006944438 0.3655357
Moved 231.8239 363 436.1179 0.006944438 0.3712804
Moved 231.8392 370.8283 436 0.02506554 0.3703703
Moved 231.8542 370 436 0.02314816 0.3703703
Moved 231.8695 371.1157 436 0.02573073 0.3703703
Ended 231.8854 371.1157 436 0.02573073 0.3703703
Began 232.3125 348 326 -0.0277778 -0.4783953
Stationary 232.3339 348 326 -0.0277778 -0.4783953
Stationary 232.3495 348 326 -0.0277778 -0.4783953
Stationary 232.3672 348 326 -0.0277778 -0.4783953
Stationary 232.3777 348 326 -0.0277778 -0.4783953
Stationary 232.3934 348 326 -0.0277778 -0.4783953
Stationary 232.4089 348 326 -0.0277778 -0.4783953
Stationary 232.4233 348 326 -0.0277778 -0.4783953
Stationary 232.4418 348 326 -0.0277778 -0.4783953
Stationary 232.4562 348 326 -0.0277778 -0.4783953
Stationary 232.4699 348 326 -0.0277778 -0.4783953
Stationary 232.4862 348 326 -0.0277778 -0.4783953
Stationary 232.501 348 326 -0.0277778 -0.4783953
Stationary 232.5159 348 326 -0.0277778 -0.4783953
Stationary 232.5311 348 326 -0.0277778 -0.4783953
Stationary 232.5463 348 326 -0.0277778 -0.4783953
Stationary 232.5616 348 326 -0.0277778 -0.4783953
Stationary 232.5775 348 326 -0.0277778 -0.4783953
Stationary 232.5957 348 326 -0.0277778 -0.4783953
Stationary 232.6107 348 326 -0.0277778 -0.4783953
Stationary 232.6256 348 326 -0.0277778 -0.4783953
Stationary 232.6442 348 326 -0.0277778 -0.4783953
Stationary 232.656 348 326 -0.0277778 -0.4783953
Stationary 232.6708 348 326 -0.0277778 -0.4783953
Stationary 232.687 348 326 -0.0277778 -0.4783953
Stationary 232.702 348 326 -0.0277778 -0.4783953
Stationary 232.7173 348 326 -0.0277778 -0.4783953
Stationary 232.7336 348 326 -0.0277778 -0.4783953
Stationary 232.7481 348 326 -0.0277778 -0.4783953
Stationary 232.7627 348 326 -0.0277778 -0.4783953
Stationary 232.779 348 326 -0.0277778 -0.4783953
Stationary 232.7965 348 326 -0.0277778 -0.4783953
Stationary 232.8109 348 326 -0.0277778 -0.4783953
Stationary 232.8246 348 326 -0.0277778 -0.4783953
Stationary 232.8439 348 326 -0.0277778 -0.4783953
Stationary 232.8554 348 326 -0.0277778 -0.4783953
Stationary 232.871 348 326 -0.0277778 -0.4783953
Stationary 232.8859 348 326 -0.0277778 -0.4783953
Stationary 232.9021 348 326 -0.0277778 -0.4783953
Moved 232.9176 357.3213 326 -0.006200721 -0.4783953
Moved 232.9338 358.5 326 -0.003472219 -0.4783953
Moved 232.9497 359.7942 326 -0.0004763901 -0.4783953
Moved 232.9643 361.2306 326 0.002848605 -0.4783953
Moved 232.9803 363.6719 326 0.008499821 -0.4783953
Moved 232.996 365.1117 326 0.01183252 -0.4783953
Moved 233.0097 367.5519 326 0.01748135 -0.4783953
Moved 233.026 368.9892 326 0.02080828 -0.4783953
Moved 233.0414 371.8637 326 0.02746224 -0.4783953
Moved 233.0583 372.5447 326 0.02903859 -0.4783953
Moved 233.0718 373.9862 326 0.03237545 -0.4783953
Moved 233.0869 375.425 326 0.03570597 -0.4783953
Moved 233.103 376.8663 326 0.03904233 -0.4783953
Moved 233.1189 378.309 326 0.04238198 -0.4783953
Stationary 233.1351 378.309 326 0.04238198 -0.4783953
Moved 233.1497 380.1856 326 0.04672597 -0.4783953
Moved 233.1644 381.1978 326 0.04906913 -0.4783953
Stationary 233.1808 381.1978 326 0.04906913 -0.4783953
Moved 233.1962 382 326 0.05092591 -0.4783953
Moved 233.2112 383 333 0.05324075 -0.4243827
Moved 233.2263 384.0318 333 0.05562922 -0.4243827
Moved 233.2477 384 334.4706 0.0555556 -0.4130354
Stationary 233.2591 384 334.4706 0.0555556 -0.4130354
Moved 233.2724 385 335.0377 0.05787035 -0.4086601
Moved 233.2874 386.4919 335 0.06132384 -0.4089506
Moved 233.3033 386 336 0.06018519 -0.4012346
Moved 233.3188 386 337.3631 0.06018519 -0.3907169
Moved 233.3346 387 337 0.06250004 -0.3935183
Moved 233.3495 387 338.237 0.06250004 -0.3839738
Moved 233.3642 387 338.6833 0.06250004 -0.3805297
Moved 233.3804 387.8405 339.8405 0.06444553 -0.3716015
Moved 233.3974 388.5 340.5 0.06597221 -0.3665124
Moved 233.4118 388 341.6643 0.06481478 -0.3575283
Moved 233.4271 388 343.1062 0.06481478 -0.3464028
Moved 233.4446 388 343.546 0.06481478 -0.3430096
Moved 233.4586 388 344.9863 0.06481478 -0.3318961
Stationary 233.4728 388 345 0.06481478 -0.3317901
Moved 233.4885 388 346.5 0.06481478 -0.3202158
Moved 233.5042 388 347.938 0.06481478 -0.30912
Moved 233.5191 388 349.3766 0.06481478 -0.2980199
Moved 233.5346 388 350.8182 0.06481478 -0.2868968
Moved 233.5504 388 352.2568 0.06481478 -0.2757958
Moved 233.5655 388 353.6977 0.06481478 -0.2646781
Moved 233.5819 388 355.1373 0.06481478 -0.2535705
Moved 233.5968 388 356.5 0.06481478 -0.2430556
Stationary 233.6161 388 356.5 0.06481478 -0.2430556
Moved 233.6279 388 358.1316 0.06481478 -0.2304659
Moved 233.6432 388 359 0.06481478 -0.2237652
Moved 233.6585 388 360.009 0.06481478 -0.2159797
Moved 233.673 377.8656 360 0.04135559 -0.2160494
Moved 233.6903 381 361.5 0.04861106 -0.2044751
Moved 233.7043 381 361 0.04861106 -0.2083334
Moved 233.7191 381 362.3083 0.04861106 -0.1982381
Moved 233.7359 381 362.8508 0.04861106 -0.1940527
Moved 233.7505 381 363.5 0.04861106 -0.1890434
Moved 233.765 380 363 0.04629632 -0.1929012
Moved 233.7808 380 364.1672 0.04629632 -0.1838952
Stationary 233.795 380 364.1672 0.04629632 -0.1838952
Stationary 233.8106 380 364.1672 0.04629632 -0.1838952
Stationary 233.8264 380 364.1672 0.04629632 -0.1838952
Moved 233.8435 380 365.1196 0.04629632 -0.1765458
Stationary 233.859 380 365.1196 0.04629632 -0.1765458
Moved 233.8741 379.4312 365 0.04497955 -0.1774691
Moved 233.8894 379 366.0043 0.04398147 -0.1697201
Stationary 233.9046 379 366.0043 0.04398147 -0.1697201
Stationary 233.9182 379 366.0043 0.04398147 -0.1697201
Stationary 233.9345 379 366 0.04398147 -0.1697531
Moved 233.9505 379 367.4459 0.04398147 -0.1585965
Stationary 233.9702 379 367 0.04398147 -0.1620368
Stationary 233.9827 379 367 0.04398147 -0.1620368
Stationary 233.9965 379 367 0.04398147 -0.1620368
Moved 234.0113 379 368.0545 0.04398147 -0.1539004
Stationary 234.0267 379 368.0545 0.04398147 -0.1539004
Stationary 234.0427 379 368.0545 0.04398147 -0.1539004
Ended 234.0592 379 368.0545 0.04398147 -0.1539004
Backspace 234.8546
Began 236.1404 502 245 0.3287037 -1.103395
Stationary 236.1549 502 245 0.3287037 -1.103395
Stationary 236.1686 502 245 0.3287037 -1.103395
Stationary 236.1841 502 245 0.3287037 -1.103395
Stationary 236.1998 502 245 0.3287037 -1.103395
Stationary 236.2151 502 245 0.3287037 -1.103395
Stationary 236.2308 502 245 0.3287037 -1.103395
Stationary 236.2461 502 245 0.3287037 -1.103395
Stationary 236.2616 502 245 0.3287037 -1.103395
Stationary 236.2769 502 245 0.3287037 -1.103395
Stationary 236.2939 502 245 0.3287037 -1.103395
Stationary 236.3149 502 245 0.3287037 -1.103395
Stationary 236.3242 502 245 0.3287037 -1.103395
Stationary 236.34 502 245 0.3287037 -1.103395
Stationary 236.3554 502 245 0.3287037 -1.103395
Stationary 236.3689 502 245 0.3287037 -1.103395
Stationary 236.3853 502 245 0.3287037 -1.103395
Stationary 236.4011 502 245 0.3287037 -1.103395
Stationary 236.4166 502 245 0.3287037 -1.103395
Stationary 236.4314 502 245 0.3287037 -1.103395
Stationary 236.446 502 245 0.3287037 -1.103395
Stationary 236.4614 502 245 0.3287037 -1.103395
Stationary 236.4771 502 245 0.3287037 -1.103395
Stationary 236.4933 502 245 0.3287037 -1.103395
Stationary 236.5095 502 245 0.3287037 -1.103395
Stationary 236.5254 502 245 0.3287037 -1.103395
Stationary 236.5402 502 245 0.3287037 -1.103395
Stationary 236.5554 502 245 0.3287037 -1.103395
Stationary 236.57 502 245 0.3287037 -1.103395
Stationary 236.5859 502 245 0.3287037 -1.103395
Stationary 236.6024 502 245 0.3287037 -1.103395
Stationary 236.6235 502 245 0.3287037 -1.103395
Stationary 236.6342 502 245 0.3287037 -1.103395
Stationary 236.6478 502 245 0.3287037 -1.103395
Stationary 236.6648 502 245 0.3287037 -1.103395
