he is still on our team
Basic
0.8 0.8
575.9999 518.4
Moved 331.6188 221.5 586.5 -0.2404514 0.3829089
Moved 331.6341 220.5 587.5 -0.2421875 0.3848379
Moved 331.6498 219.8533 587 -0.2433102 0.3838734
Moved 331.6652 220 587.7291 -0.2430556 0.3852798
Ended 331.6809 220 588 -0.2430556 0.3858024
Began 332.0935 495 534 0.234375 0.2816358
Stationary 332.114 495 534 0.234375 0.2816358
Stationary 332.1277 495 534 0.234375 0.2816358
Stationary 332.1427 495 534 0.234375 0.2816358
Stationary 332.158 495 534 0.234375 0.2816358
Stationary 332.1733 495 534 0.234375 0.2816358
Stationary 332.1892 495 534 0.234375 0.2816358
Stationary 332.2118 495 534 0.234375 0.2816358
Stationary 332.2274 495 534 0.234375 0.2816358
Stationary 332.2402 495 534 0.234375 0.2816358
Stationary 332.2549 495 534 0.234375 0.2816358
Stationary 332.2698 495 534 0.234375 0.2816358
Stationary 332.2853 495 534 0.234375 0.2816358
Stationary 332.3039 495 534 0.234375 0.2816358
Stationary 332.314 495 534 0.234375 0.2816358
Stationary 332.3278 495 534 0.234375 0.2816358
Stationary 332.3434 495 534 0.234375 0.2816358
Stationary 332.3583 495 534 0.234375 0.2816358
Stationary 332.3744 495 534 0.234375 0.2816358
Stationary 332.3898 495 534 0.234375 0.2816358
Stationary 332.4044 495 534 0.234375 0.2816358
Stationary 332.4207 495 534 0.234375 0.2816358
Stationary 332.4355 495 534 0.234375 0.2816358
Stationary 332.4515 495 534 0.234375 0.2816358
Stationary 332.4666 495 534 0.234375 0.2816358
Stationary 332.4812 495 534 0.234375 0.2816358
Moved 332.4985 495 543.0121 0.234375 0.2990203
Moved 332.5136 495 546.2587 0.234375 0.3052829
Moved 332.5302 495 550.6653 0.234375 0.3137833
Moved 332.545 495 553.9906 0.234375 0.3201979
Moved 332.5591 495 558.3432 0.234375 0.328594
Moved 332.5746 495 562.7634 0.234375 0.3371206
Moved 332.5916 495 565.6353 0.234375 0.3426606
Moved 332.6058 500.2816 569.509 0.2435444 0.3501331
Moved 332.6212 502.8818 571.7635 0.2480587 0.354482
Moved 332.6362 503 574.5605 0.2482639 0.3598773
Moved 332.653 504.7061 577.4122 0.2512259 0.3653784
Moved 332.6679 506.143 579.1429 0.2537204 0.368717
Moved 332.6821 506.5836 581.5836 0.2544854 0.3734251
Moved 332.6992 507 583.0237 0.2552083 0.3762031
Moved 332.7141 508.4598 584.4598 0.2577427 0.3789732
Moved 332.7291 509 586.699 0.2586806 0.3832927
Moved 332.7455 510.039 590.1169 0.2604843 0.3898858
Moved 332.7604 510.4796 591.4796 0.2612493 0.3925146
Moved 332.7757 511 593.8291 0.2621528 0.3970468
Moved 332.7921 511 595 0.2621528 0.3993055
Moved 332.8055 511.7979 595.7979 0.2635379 0.4008445
Moved 332.8216 512 597.241 0.2638889 0.4036284
Moved 332.8417 512 598.5 0.2638889 0.406057
Stationary 332.8535 512 598.5 0.2638889 0.406057
Moved 332.8691 512 599 0.2638889 0.4070215
Moved 332.8837 512 600.5 0.2638889 0.409915
Stationary 332.9 512 600.5 0.2638889 0.409915
Moved 332.9148 512 601.1776 0.2638889 0.411222
Stationary 332.9284 512 601.1776 0.2638889 0.411222
Stationary 332.943 512 601.1776 0.2638889 0.411222
Stationary 332.9586 512 601.1776 0.2638889 0.411222
Stationary 332.975 512 601.1776 0.2638889 0.411222
Moved 332.9913 502.7097 601 0.2477598 0.4108795
Moved 333.006 503.2346 601 0.2486712 0.4108795
Moved 333.0217 501.7972 601 0.2461757 0.4108795
Moved 333.0382 500.3575 601 0.2436761 0.4108795
Moved 333.0557 497.8394 601 0.2393044 0.4108795
