coming up with killer sound bites
Basic
0.4 0.4
288 86.39999
Began 238.2505 298 357 -0.2152777 -0.3587963
Stationary 238.2624 298 357 -0.2152777 -0.3587963
Stationary 238.2773 298 357 -0.2152777 -0.3587963
Stationary 238.2925 298 357 -0.2152777 -0.3587963
Stationary 238.3077 298 357 -0.2152777 -0.3587963
Stationary 238.3246 298 357 -0.2152777 -0.3587963
Stationary 238.3381 298 357 -0.2152777 -0.3587963
Stationary 238.3535 298 357 -0.2152777 -0.3587963
Stationary 238.3698 298 357 -0.2152777 -0.3587963
Moved 238.3854 312.9903 357 -0.1632281 -0.3587963
Moved 238.4007 318.7485 364.6871 -0.1432343 -0.2698252
Moved 238.4173 325.5814 367.2325 -0.119509 -0.2403641
Moved 238.4318 331.7803 369.1121 -0.09798496 -0.2186093
Moved 238.448 337.9791 371.9896 -0.07646151 -0.185306
Moved 238.4628 342.2018 374.1009 -0.06179936 -0.1608693
Moved 238.478 349.5 377 -0.03645829 -0.1273148
Moved 238.4928 355.7169 379.8867 -0.01487203 -0.09390372
Moved 238.5083 361.5289 382.7645 0.005308837 -0.06059647
Moved 238.5238 366.4715 385.6476 0.0224705 -0.02722599
Moved 238.5394 372.0506 387.2626 0.04184231 -0.008533972
Moved 238.5544 376.1186 390.4124 0.05596727 0.02792164
Moved 238.5734 379.5947 391.8649 0.0680372 0.04473298
Moved 238.595 388.0956 397.397 0.09755401 0.1087621
Moved 238.6073 392.4117 399.1373 0.1125407 0.1289036
Stationary 238.6183 392.4117 399.1373 0.1125407 0.1289036
Moved 238.6314 397.7365 402.1577 0.1310295 0.1638621
Moved 238.6474 402.0529 405.0353 0.1460171 0.1971679
Moved 238.6628 407.3736 407.4578 0.1644915 0.2252063
Moved 238.6786 410.5 408.5 0.1753472 0.2372685
Moved 238.694 417.9032 412.9419 0.2010527 0.2886795
Moved 238.7096 426.5404 415.8468 0.2310432 0.3223009
Moved 238.7248 432.4435 419.7217 0.2515401 0.3671501
Moved 238.7393 439.4985 422.5994 0.2760365 0.4004562
Moved 238.7555 444.9621 425.481 0.2950072 0.4338083
Moved 238.7715 450.7199 428.3599 0.3149996 0.4671286
Moved 238.7857 454.5 431 0.328125 0.497685
Moved 238.801 458.2664 432.5109 0.3412029 0.5151727
Moved 238.8239 464.2717 435.6359 0.3620543 0.5513412
