parking lot is full of trucks
Basic
0.6 0.6
432 388.8
Began 398.8935 569 533 0.4837963 0.3729423
Stationary 398.9155 569 533 0.4837963 0.3729423
Stationary 398.9289 569 533 0.4837963 0.3729423
Moved 398.9438 552.6976 533 0.4460592 0.3729423
Moved 398.9602 542.2156 525.3137 0.4217954 0.353173
Moved 398.9761 522 520 0.375 0.3395061
Moved 398.9908 502.1931 515.0515 0.3291505 0.3267784
Moved 399.0062 481.2824 509.548 0.2807464 0.3126234
Moved 399.0221 434.9764 497.4048 0.1735566 0.281391
Moved 399.0366 390.9563 484.9879 0.07165809 0.2494544
Moved 399.0529 356.139 473.3797 -0.008937418 0.2195979
Moved 399.0699 334.6876 459.9001 -0.05859345 0.1849281
Moved 399.0848 317.0395 449.6897 -0.09944563 0.1586669
Moved 399.0977 303.1012 439.4008 -0.1317101 0.1322037
Moved 399.1151 294.6518 434.3724 -0.151269 0.1192706
Moved 399.1294 284.7696 427.4069 -0.1741445 0.101355
Moved 399.1449 274.6898 419.4484 -0.1974774 0.08088563
Moved 399.1609 265.812 413.2079 -0.2180279 0.06483514
Moved 399.1756 257.1624 406.4416 -0.23805 0.04743199
Moved 399.1907 248.5296 399.608 -0.2580334 0.02985581
Moved 399.2055 241.1059 394.6847 -0.2752179 0.01719306
Moved 399.2209 233.7586 390.0049 -0.2922255 0.005156513
Moved 399.2382 226.5299 385.718 -0.3089585 -0.005869492
Moved 399.2534 218.8135 381.9067 -0.3268207 -0.01567205
Moved 399.271 213.032 379.016 -0.3402037 -0.02310702
Moved 399.283 207.2762 376.1381 -0.3535272 -0.03050902
Moved 399.2985 203.3736 374.1245 -0.3625611 -0.03568798
Moved 399.3145 200.3636 372.6818 -0.3695288 -0.03939883
Moved 399.3292 199.4303 373 -0.3716891 -0.03858032
Moved 399.3442 198.1295 373 -0.3747002 -0.03858032
Moved 399.3645 197.5 373 -0.3761574 -0.03858032
Moved 399.3784 198 373 -0.375 -0.03858032
Stationary 399.3931 198 373 -0.375 -0.03858032
Moved 399.4074 207.9313 383.9313 -0.352011 -0.01046491
Moved 399.4231 218.2323 393.2032 -0.328166 0.0133828
Moved 399.4391 229.7084 403.2449 -0.3016008 0.03920998
Moved 399.4532 254.6509 420.2125 -0.2438636 0.08285094
Moved 399.4706 279.9167 435.9479 -0.1853779 0.1233229
Moved 399.4839 301.4424 450.295 -0.1355499 0.1602237
Moved 399.5 318.4979 460.1238 -0.09606962 0.1855035
Moved 399.5162 335.7212 468.8606 -0.05620092 0.2079747
Moved 399.53 345.9983 474.9991 -0.03241131 0.2237632
Moved 399.545 357.508 479.5655 -0.005768587 0.2355079
Moved 399.5613 362.2493 481.4997 0.005206665 0.2404827
Moved 399.5843 371.4182 482 0.02643098 0.2417695
Stationary 399.5958 371.4182 482 0.02643098 0.2417695
Moved 399.6077 373.6491 482 0.03159513 0.2417695
Moved 399.6231 375.0888 482 0.03492772 0.2417695
Moved 399.6392 377.5873 482 0.04071136 0.2417695
Moved 399.6543 381.8991 474.269 0.05069246 0.2218852
Moved 399.67 387.2804 467.6635 0.06314903 0.2048957
Moved 399.6848 396.6939 456.7784 0.0849396 0.176899
Moved 399.7009 405.8151 446.2157 0.1060535 0.1497317
Moved 399.718 415.7442 439.0399 0.1290376 0.1312752
Moved 399.7301 432.1933 419.2994 0.1671141 0.08050259
Moved 399.7464 446.9246 405.3679 0.2012143 0.04467057
Moved 399.7613 458.0691 393.9309 0.2270117 0.01525431
Moved 399.777 465.06 386.94 0.2431944 -0.00272637
Moved 399.793 474.5835 377.4165 0.2652396 -0.027221
Moved 399.8078 481.9971 371.6691 0.2824007 -0.04200342
Moved 399.8229 488.4492 366.6631 0.2973361 -0.05487889
Moved 399.8388 491.1121 365.444 0.3035002 -0.05801463
Moved 399.8546 493.9839 365 0.310148 -0.05915646
Moved 399.8695 495.4266 365 0.3134876 -0.05915646
Moved 399.8839 498.6028 373.459 0.3208398 -0.03739958
Moved 399.9006 501.9608 389.7648 0.3286129 0.004539019
Moved 399.9192 506.2099 411.0493 0.3384488 0.05928306
Moved 399.9309 507.8515 430.2183 0.3422489 0.1085861
Moved 399.9459 508 444.9482 0.3425926 0.1464716
Moved 399.9625 509 455.3666 0.3449074 0.1732679
Moved 399.9782 510.1658 466.3263 0.3476059 0.2014565
Moved 399.9929 510 474 0.3472221 0.2211934
Moved 400.0087 510 480.0818 0.3472221 0.236836
Moved 400.0241 510 484.4033 0.3472221 0.2479507
Moved 400.0391 510 486.5732 0.3472221 0.2535318
Moved 400.0535 510 488.0148 0.3472221 0.2572396
Moved 400.0715 498.339 489.4576 0.320229 0.2609506
Moved 400.0849 498.3098 489 0.3201616 0.2597736
Moved 400.1016 492.6531 489 0.3070674 0.2597736
Moved 400.1179 476.8783 457.6558 0.2705517 0.1791557
Moved 400.1318 458.9631 423.0138 0.2290812 0.09005601
Moved 400.1474 448.4895 397.9031 0.2048369 0.02547099
Moved 400.1631 439.2277 373.4783 0.1833973 -0.03735004
Moved 400.1784 431.7585 352.5237 0.1661075 -0.09124567
Moved 400.1934 425.3084 336.5982 0.1511769 -0.1322063
Moved 400.2094 420.6745 318.5897 0.1404503 -0.1785245
Moved 400.2243 417.4957 305.9826 0.1330918 -0.2109502
Moved 400.2398 413.6978 292.1401 0.1243005 -0.2465533
Moved 400.2543 409.7148 276.9543 0.1150806 -0.2856112
Moved 400.2704 407.9305 267.7219 0.1109501 -0.3093574
Moved 400.2853 406.0252 261.0756 0.1065397 -0.3264518
Moved 400.3012 403.1727 251.1045 0.09993683 -0.3520976
Moved 400.3167 401.2904 246.5808 0.09557973 -0.3637325
Moved 400.3314 400.0458 242.1833 0.09269873 -0.3750429
Moved 400.3466 398.6352 239.2703 0.08943329 -0.3825354
Moved 400.3637 398.1893 236.3785 0.08840103 -0.3899729
Moved 400.3784 396.7372 233.4745 0.08503994 -0.3974422
Moved 400.3926 395.3147 233 0.08174688 -0.3986626
Moved 400.4094 393.871 233 0.07840504 -0.3986626
Moved 400.4245 389.5 233 0.06828706 -0.3986626
