just in time for the party
Basic
0.4 0.4
288 259.2
Moved 487.9946 299.8086 395.8086 -0.2089978 0.03012569
Moved 488.0115 298.3717 395 -0.2139872 0.02700611
Moved 488.0247 295.874 393.937 -0.2226598 0.02290502
Moved 488.0404 294.4924 392.4924 -0.227457 0.01733162
Moved 488.0555 292.1127 391.0563 -0.2357197 0.01179136
Moved 488.0717 290.6098 389.6097 -0.2409383 0.006210362
Moved 488.0882 288.3061 388.653 -0.2489373 0.002519289
Moved 488.1031 286.17 387.085 -0.2563544 -0.003530302
Moved 488.1186 284.6461 387 -0.2616453 -0.003858083
Moved 488.1329 283.2052 385.2052 -0.2666487 -0.01078252
Moved 488.1481 280.5318 383.7659 -0.2759314 -0.01633538
Moved 488.166 279.3252 383.3253 -0.2801207 -0.01803527
Moved 488.1808 276.7774 381.8887 -0.2889673 -0.02357777
Moved 488.1955 275.804 382 -0.2923474 -0.02314826
Moved 488.2137 274.3081 381 -0.2975414 -0.02700629
Moved 488.2245 272.8685 379.8685 -0.3025399 -0.03137176
Stationary 488.2408 272.8685 379.8685 -0.3025399 -0.03137176
Moved 488.2566 270.9881 378.9881 -0.3090691 -0.03476814
Stationary 488.2725 270.9881 378.9881 -0.3090691 -0.03476814
Moved 488.2861 269.626 377.626 -0.3137985 -0.04002312
Moved 488.3022 268.9998 378 -0.3159729 -0.03858036
Stationary 488.317 268.9998 378 -0.3159729 -0.03858036
Stationary 488.3325 268.9998 378 -0.3159729 -0.03858036
Moved 488.3482 267.7508 378 -0.3203096 -0.03858036
Stationary 488.3636 268 378 -0.3194444 -0.03858036
Stationary 488.3795 268 378 -0.3194444 -0.03858036
Stationary 488.3943 268 378 -0.3194444 -0.03858036
Stationary 488.4087 268 378 -0.3194444 -0.03858036
Stationary 488.4243 268 378 -0.3194444 -0.03858036
Moved 488.4398 268 385.588 -0.3194444 -0.009305742
Moved 488.4612 268 388.0463 -0.3194444 0.0001787256
Moved 488.4758 268 392.4115 -0.3194444 0.01701961
Moved 488.4872 277.8182 396.7273 -0.2853534 0.03367006
Moved 488.5032 280.6961 402.3923 -0.2753606 0.05552568
Moved 488.5188 283 405.5 -0.2673611 0.06751525
