my bare face in the wind
Basic
0.4 0.4
288 259.2
Moved 172.919 264.7625 381.2375 -0.3306859 -0.02608982
Moved 172.9346 263.3893 382.6107 -0.3354537 -0.02079234
Moved 172.95 262.0109 383.9891 -0.3402401 -0.01547401
Moved 172.9667 260.64 384 -0.3450001 -0.0154321
Moved 172.9811 260.2506 385.7494 -0.3463519 -0.008683027
Moved 172.9977 258.8668 387.1332 -0.3511571 -0.003344041
Moved 173.0131 259 388.5 -0.3506944 0.001928836
Moved 173.0273 258 389.5533 -0.3541667 0.005992548
Moved 173.0425 257.0709 391.8583 -0.3573928 0.01488532
Moved 173.0584 257 393.3146 -0.3576389 0.0205037
Moved 173.0737 257 397.4105 -0.3576389 0.03630579
Moved 173.0953 257 403.4268 -0.3576389 0.05951669
Stationary 173.1066 257 403.4268 -0.3576389 0.05951669
Moved 173.1186 257 406.7164 -0.3576389 0.07220815
Moved 173.1349 257 409.8732 -0.3576389 0.08438739
Moved 173.1498 257 413.993 -0.3576389 0.1002817
Moved 173.1656 267.1655 418.8873 -0.3223421 0.1191637
Moved 173.1812 271.3255 424.434 -0.3078974 0.1405632
Moved 173.1967 275.4958 429.9944 -0.2934172 0.1620154
Moved 173.2126 279.6655 434.554 -0.2789394 0.1796062
Moved 173.2275 283.8241 438.8242 -0.2644995 0.1960807
Moved 173.2426 286 442.5 -0.2569444 0.2102622
Moved 173.2585 290.8933 447.8932 -0.2399539 0.2310696
Moved 173.2739 295.3076 453.4101 -0.2246264 0.2523537
Moved 173.2897 300.9076 458.9076 -0.205182 0.2735631
Moved 173.3042 305.6137 463.6137 -0.1888413 0.2917193
Moved 173.3195 311.0329 467.7747 -0.1700248 0.3077725
Moved 173.3344 313.9333 470.2889 -0.1599538 0.3174725
Moved 173.3508 317.0606 473.0606 -0.1490951 0.3281658
Moved 173.3656 319.0956 475.0956 -0.1420291 0.336017
Moved 173.3809 321.9092 477.9092 -0.1322598 0.3468716
Moved 173.3971 324.6832 478.8416 -0.1226279 0.3504691
Moved 173.4119 326.2281 480.228 -0.1172637 0.3558179
