parking lot is full of trucks
Basic
0.4 0.4
288 259.2
Began 327.7493 613 452 0.8784721 0.2469135
Stationary 327.7676 613 452 0.8784721 0.2469135
Stationary 327.7816 613 452 0.8784721 0.2469135
Stationary 327.7984 613 452 0.8784721 0.2469135
Stationary 327.8134 613 452 0.8784721 0.2469135
Stationary 327.8295 613 452 0.8784721 0.2469135
Stationary 327.8458 613 452 0.8784721 0.2469135
Stationary 327.8596 613 452 0.8784721 0.2469135
Stationary 327.875 613 452 0.8784721 0.2469135
Moved 327.891 607.9442 452 0.8609173 0.2469135
Moved 327.9067 602.9995 452 0.8437483 0.2469135
Moved 327.9223 600.1216 452 0.8337553 0.2469135
Moved 327.9379 599.3372 456.6393 0.8310319 0.2648119
Moved 327.954 596.0242 459.9919 0.8195285 0.2777466
Moved 327.9688 593.1385 461.4308 0.8095086 0.2832976
Moved 327.9841 589.3906 462.8698 0.7964951 0.2888494
Moved 327.9998 585.0528 465.6315 0.7814333 0.299504
Moved 328.014 582.4904 467.5096 0.772536 0.3067498
Moved 328.0298 578.4174 469.1942 0.7583935 0.3132491
Moved 328.0449 577.5 470.5 0.7552083 0.3182868
Moved 328.0615 573.5654 471.7173 0.7415465 0.3229833
Moved 328.076 569.5688 473.1437 0.7276695 0.3284865
Moved 328.0947 566.2393 474.5869 0.7161084 0.3340543
Moved 328.1078 561.9302 477.0465 0.7011464 0.3435435
Moved 328.1227 556.1351 478.4662 0.6810247 0.3490207
Moved 328.1384 550.3854 481.8073 0.6610603 0.3619108
Moved 328.1544 544.6306 483.3423 0.6410783 0.367833
Moved 328.1693 540.0894 485.4777 0.6253105 0.3760712
Moved 328.1842 533.4366 486.9127 0.6022106 0.3816073
Moved 328.2007 526.2261 488.3548 0.5771738 0.3871711
Moved 328.2157 519.0517 490.7897 0.5522628 0.396565
Moved 328.2311 511.8576 491 0.5272832 0.3973763
Moved 328.246 506.9814 492 0.5103521 0.4012344
Moved 328.2611 501.5533 492 0.4915046 0.4012344
Moved 328.2772 498.5191 492 0.4809691 0.4012344
Moved 328.2923 493.0413 493 0.461949 0.4050924
Moved 328.3083 487.6209 493 0.4431282 0.4050924
Moved 328.3244 480.5 493 0.4184028 0.4050924
Moved 328.3391 476.1229 493 0.4032046 0.4050924
Moved 328.3545 468.9606 493 0.3783353 0.4050924
