did you have a good time
Basic
0.8 0.8
575.9999 518.4
Stationary 279.5345 355 378 -0.008680559 -0.01929018
Stationary 279.5491 355 378 -0.008680559 -0.01929018
Stationary 279.5634 355 378 -0.008680559 -0.01929018
Stationary 279.5798 355 378 -0.008680559 -0.01929018
Stationary 279.5939 355 378 -0.008680559 -0.01929018
Stationary 279.609 355 378 -0.008680559 -0.01929018
Stationary 279.6245 355 378 -0.008680559 -0.01929018
Stationary 279.6402 355 378 -0.008680559 -0.01929018
Stationary 279.6561 355 378 -0.008680559 -0.01929018
Stationary 279.6729 355 378 -0.008680559 -0.01929018
Stationary 279.6865 355 378 -0.008680559 -0.01929018
Stationary 279.7023 355 378 -0.008680559 -0.01929018
Stationary 279.717 355 378 -0.008680559 -0.01929018
Moved 279.7321 337.8172 386.5914 -0.03851186 -0.002717206
Moved 279.7495 320.7856 388.4286 -0.06808057 0.0008266942
Moved 279.7661 281.2228 394.1974 -0.1367659 0.01195495
Moved 279.7814 247.0774 398.5117 -0.1960462 0.02027706
Moved 279.7948 222.6912 400.2128 -0.2383832 0.02355858
Moved 279.8117 195.9704 404.1626 -0.2847736 0.03117782
Moved 279.8271 174.6342 405.491 -0.3218156 0.03374035
Moved 279.841 153.0347 407.8621 -0.3593148 0.03831407
Moved 279.8569 140.6499 410.0637 -0.3808161 0.04256104
Moved 279.8721 120.2647 410 -0.4162071 0.04243821
Moved 279.8893 109.6962 410 -0.4345552 0.04243821
Moved 279.9032 99.49717 410 -0.4522618 0.04243821
Moved 279.9185 91.01083 410 -0.4669951 0.04243821
Moved 279.9341 86.3025 410 -0.4751693 0.04243821
Moved 279.9483 81.99844 410 -0.4826415 0.04243821
Moved 279.965 80.18522 410 -0.4857895 0.04243821
Moved 279.9805 77.61808 410 -0.4902463 0.04243821
Stationary 279.9951 78 410 -0.4895833 0.04243821
Stationary 280.0114 78 410 -0.4895833 0.04243821
Moved 280.0265 102 395 -0.4479167 0.01350306
Moved 280.0423 137.6746 386.4418 -0.3859816 -0.003005752
Moved 280.0573 170.7455 379.0988 -0.3285668 -0.01717055
Moved 280.0748 194.8323 366.7725 -0.2867494 -0.04094824
Moved 280.088 225.7708 348.7375 -0.2330369 -0.07573774
Moved 280.1046 243.7262 336.8492 -0.2018643 -0.09867049
Moved 280.119 259.1 322.9 -0.1751736 -0.1255788
Moved 280.1336 271.2028 309.5219 -0.1541619 -0.1513852
Moved 280.1501 280.559 296.0174 -0.1379184 -0.1774356
Moved 280.1738 291.5 278 -0.1189236 -0.2121914
Stationary 280.1846 291.5 278 -0.1189236 -0.2121914
Moved 280.1957 295.0584 270.197 -0.1127458 -0.2272434
Moved 280.2113 298.2499 262.3752 -0.107205 -0.2423317
Moved 280.2277 299.5701 256.7195 -0.104913 -0.2532417
Moved 280.2419 301.0109 251.9673 -0.1024117 -0.2624088
Moved 280.2577 301 247.6384 -0.1024305 -0.2707592
Moved 280.2742 302 245.326 -0.1006944 -0.2752198
Moved 280.2888 303.3263 242.3474 -0.09839184 -0.2809656
Stationary 280.3044 303 241.7059 -0.09895834 -0.2822031
Moved 280.319 303 240.16 -0.09895834 -0.2851851
Moved 280.3336 304.2751 238.7249 -0.0967446 -0.2879536
Moved 280.3496 304 237.2845 -0.09722221 -0.2907319
Moved 280.3651 305.1404 235.8596 -0.09524233 -0.2934807
Moved 280.3807 305 235 -0.09548611 -0.2951389
Moved 280.396 306.0338 233.9662 -0.09369135 -0.2971331
Stationary 280.4111 306 234 -0.09374998 -0.2970679
Stationary 280.4274 306 234 -0.09374998 -0.2970679
Moved 280.4421 307.0166 234 -0.09198505 -0.2970679
Moved 280.4583 308.4679 234 -0.08946542 -0.2970679
Moved 280.475 309.9027 249.3188 -0.08697446 -0.2675177
Moved 280.4893 312.6753 280.7661 -0.0821609 -0.2068557
Moved 280.5044 314.7783 324.2402 -0.07850989 -0.1229934
Moved 280.52 315 364.1553 -0.07812499 -0.04599671
Moved 280.5353 305.923 417.2752 -0.09388372 0.05647217
Moved 280.5507 301.0618 447.222 -0.1023233 0.11424
Moved 280.566 296.4901 470.7198 -0.1102603 0.1595674
Moved 280.5813 290.5454 498.6595 -0.1205809 0.2134634
Moved 280.5968 284.796 519.663 -0.1305625 0.2539795
Moved 280.6123 281.0475 529.905 -0.1370703 0.2737363
Moved 280.6284 277.5772 537.5571 -0.1430952 0.2884973
Moved 280.6428 274.8695 542.1957 -0.147796 0.2974454
Moved 280.659 273.5 546.5 -0.1501736 0.3057484
Moved 280.6738 271.0546 548.9454 -0.1544192 0.3104657
Moved 280.6897 269.6197 551.7606 -0.1569102 0.315896
Moved 280.7054 268.1794 552.8206 -0.1594107 0.3179408
Moved 280.721 268 554.2589 -0.1597222 0.3207153
Moved 280.7411 266.5 555.5 -0.1623264 0.3231095
Stationary 280.7523 266.5 555.5 -0.1623264 0.3231095
Moved 280.7664 265.7618 556 -0.163608 0.3240739
Moved 280.7825 266 557.5 -0.1631944 0.3269675
Moved 280.7973 266 558.0596 -0.1631944 0.3280469
Stationary 280.8131 266 558.0596 -0.1631944 0.3280469
Moved 280.8282 266 559 -0.1631944 0.3298611
Ended 280.8433 266 559 -0.1631944 0.3298611
Began 281.1183 147 373 -0.3697917 -0.02893524
Stationary 281.1369 147 373 -0.3697917 -0.02893524
Stationary 281.1514 147 373 -0.3697917 -0.02893524
Stationary 281.1658 147 373 -0.3697917 -0.02893524
Stationary 281.1818 147 373 -0.3697917 -0.02893524
Stationary 281.1979 147 373 -0.3697917 -0.02893524
Stationary 281.2127 147 373 -0.3697917 -0.02893524
Stationary 281.2287 147 373 -0.3697917 -0.02893524
Stationary 281.244 147 373 -0.3697917 -0.02893524
Stationary 281.2598 147 373 -0.3697917 -0.02893524
Stationary 281.2747 147 373 -0.3697917 -0.02893524
Stationary 281.2905 147 373 -0.3697917 -0.02893524
Stationary 281.3077 147 373 -0.3697917 -0.02893524
Ended 281.3215 147 373 -0.3697917 -0.02893524
Began 281.9802 347 391 -0.02256945 0.005786978
Stationary 282.0002 347 391 -0.02256945 0.005786978
Stationary 282.0139 347 391 -0.02256945 0.005786978
Stationary 282.0308 347 391 -0.02256945 0.005786978
Stationary 282.0451 347 391 -0.02256945 0.005786978
Stationary 282.0605 347 391 -0.02256945 0.005786978
Stationary 282.076 347 391 -0.02256945 0.005786978
Stationary 282.0916 347 391 -0.02256945 0.005786978
Stationary 282.1071 347 391 -0.02256945 0.005786978
Stationary 282.1231 347 391 -0.02256945 0.005786978
Stationary 282.1432 347 391 -0.02256945 0.005786978
Stationary 282.1544 347 391 -0.02256945 0.005786978
Stationary 282.168 347 391 -0.02256945 0.005786978
Stationary 282.1847 347 391 -0.02256945 0.005786978
Moved 282.1988 334.8912 391 -0.04359167 0.005786978
Stationary 282.2162 334.8912 391 -0.04359167 0.005786978
Moved 282.2311 338 391 -0.03819443 0.005786978
Moved 282.2466 371.9809 421.8787 0.02080023 0.06535229
Moved 282.2625 446.0653 477.1384 0.1494188 0.1719489
Moved 282.2781 504.9119 502.2767 0.2515831 0.2204412
Moved 282.2928 531.0975 512.0325 0.2970442 0.2392601
Moved 282.3077 545.4416 517.7766 0.3219472 0.2503406
Moved 282.3272 554.7027 520.1108 0.3380255 0.2548432
Moved 282.3391 571.5743 527.8176 0.3673165 0.2697097
Moved 282.3548 580.3424 532.1712 0.3825389 0.2781079
Moved 282.3713 585.5016 534.6677 0.3914958 0.2829238
Moved 282.3857 588.5303 536.2651 0.3967539 0.2860052
Moved 282.4019 591.3932 538.3932 0.4017243 0.2901102
Moved 282.4172 592.1315 539.1315 0.4030061 0.2915346
Moved 282.4315 593.178 540.178 0.404823 0.2935532
Moved 282.4481 594.5 541.5 0.407118 0.2961034
Moved 282.4619 594 542.0635 0.40625 0.2971903
Moved 282.4794 594 544.2906 0.40625 0.3014864
Stationary 282.493 594 544 0.40625 0.3009259
Moved 282.5085 556.615 544 0.3413454 0.3009259
Moved 282.5249 524 529 0.2847222 0.2719907
Moved 282.5395 470.1369 505.5902 0.19121 0.2268329
Moved 282.5556 405.0274 475.7461 0.0781726 0.1692632
Stationary 282.5694 405.0274 475.7461 0.0781726 0.1692632
Moved 282.5902 343.4879 436.8323 -0.02866685 0.094198
Moved 282.6031 310.9098 409.7278 -0.08522607 0.04191327
Moved 282.6177 291.3279 393.6066 -0.1192224 0.01081511
