the dow jones index has risen
Basic
0.4 0.4
288 86.39999
Began 289.2932 320 473 -0.1388889 0.9837963
Stationary 289.3107 320 473 -0.1388889 0.9837963
Stationary 289.3267 320 473 -0.1388889 0.9837963
Stationary 289.3417 320 473 -0.1388889 0.9837963
Stationary 289.3568 320 473 -0.1388889 0.9837963
Stationary 289.3723 320 473 -0.1388889 0.9837963
Stationary 289.387 320 473 -0.1388889 0.9837963
Stationary 289.4038 320 473 -0.1388889 0.9837963
Stationary 289.4194 320 473 -0.1388889 0.9837963
Stationary 289.4354 320 473 -0.1388889 0.9837963
Moved 289.4496 329.6178 463.3822 -0.1054939 0.872479
Moved 289.4652 331.8125 458.5625 -0.09787328 0.8166957
Moved 289.4813 335.7537 454.2463 -0.08418866 0.7667399
Moved 289.4984 337.3918 450.9123 -0.07850065 0.7281514
Moved 289.5123 340.2681 447.7319 -0.06851367 0.6913419
Moved 289.5273 342.4165 445.5836 -0.06105393 0.6664765
Moved 289.5426 345.4077 442.5923 -0.05066752 0.6318551
Moved 289.5576 347.1401 439.7197 -0.0446523 0.5986081
Moved 289.5728 350.1577 436.8423 -0.03417484 0.5653049
Moved 289.5884 352.0176 434.9824 -0.0277166 0.5437775
Moved 289.6039 353.9075 432.0925 -0.02115458 0.51033
Moved 289.62 355.8919 430.1081 -0.01426421 0.4873624
Moved 289.6357 357.9965 428.0035 -0.006956607 0.4630039
Moved 289.6522 359.4323 423.7029 -0.001971051 0.4132283
Moved 289.6661 362.7438 417.5124 0.009527056 0.3415788
Moved 289.6819 365.6222 411.7557 0.01952141 0.27495
Moved 289.6967 368.4995 406.001 0.0295122 0.2083448
Moved 289.7114 371.3771 401.4343 0.03950387 0.1554901
Moved 289.7275 373.6273 397.1182 0.04731685 0.105535
Moved 289.7443 374.7779 393.6662 0.05131229 0.065581
Moved 289.7589 376.1344 390.7311 0.05602225 0.03161042
Moved 289.7731 377.5687 388.4313 0.06100237 0.004992132
Moved 289.7889 378 385.976 0.06249994 -0.02342542
Moved 289.8051 379.4506 384.5494 0.06753683 -0.03993776
Moved 289.8191 379.8812 383.1188 0.06903186 -0.05649496
Moved 289.8347 380 381.6804 0.06944447 -0.07314364
Moved 289.8504 381.5 380.5 0.07465273 -0.08680555
Moved 289.8661 381.8645 379.1355 0.07591858 -0.102598
