just in time for the party
Basic
0.8 0.8
575.9999 518.4
Moved 501.9358 431 556.9456 0.1232639 0.3258981
Moved 501.9512 431 559.8297 0.1232639 0.3314614
Moved 501.9667 432.3557 561.3557 0.1256175 0.3344052
Moved 501.9823 432 561 0.125 0.333719
Moved 501.9981 432 562 0.125 0.3356481
Moved 502.0119 432 563.3297 0.125 0.338213
Moved 502.0276 432 563.7723 0.125 0.3390668
Stationary 502.0431 432 564 0.125 0.3395061
Moved 502.058 432 564.6491 0.125 0.3407583
Stationary 502.0737 432 565 0.125 0.3414351
Stationary 502.0894 432 565 0.125 0.3414351
Moved 502.1054 427.1966 565 0.1166607 0.3414351
Moved 502.1209 421.9445 565 0.1075426 0.3414351
Moved 502.136 419.0468 565 0.1025119 0.3414351
Moved 502.1517 415.2577 565 0.09593352 0.3414351
Moved 502.1671 410.9716 555.6003 0.08849233 0.3233031
Moved 502.1824 405.8678 554.4339 0.07963165 0.3210529
Moved 502.1981 400.1073 552.7769 0.06963073 0.3178565
Moved 502.2126 394.7356 549.2413 0.06030478 0.3110364
Moved 502.2279 387.8876 544.4438 0.04841596 0.3017819
Moved 502.2458 380.9227 539.1381 0.03632411 0.2915472
Moved 502.2604 372.709 532.3672 0.02206422 0.278486
Moved 502.2745 364.4215 525.5179 0.007676258 0.2652738
Moved 502.2896 358.3028 519.3817 -0.002946481 0.2534369
Moved 502.3079 351.1159 514.0927 -0.01542382 0.2432343
Moved 502.3211 345.8086 508.8085 -0.02463791 0.233041
Moved 502.3361 337 501.5 -0.03993057 0.2189429
Moved 502.3521 329.2468 495.2468 -0.05339093 0.2068803
Moved 502.3672 320.7526 488.1271 -0.06813786 0.1931464
Moved 502.3835 313.0709 480.0709 -0.08147415 0.1776059
Moved 502.3982 305.7454 473.9963 -0.09419198 0.165888
Moved 502.412 299.2154 466.5192 -0.1055289 0.1514645
Moved 502.4295 294.5165 461.5165 -0.1136866 0.1418142
Moved 502.445 286.4351 452.1743 -0.1277168 0.1237929
Moved 502.4598 280.179 446.4738 -0.1385781 0.1127966
Moved 502.4751 274.428 439.285 -0.1485625 0.09892946
Moved 502.4906 268.0534 432.4641 -0.1596294 0.08577175
Moved 502.5064 260.8672 424.8672 -0.1721056 0.07111716
Moved 502.5225 256.5745 419.0994 -0.1795582 0.05999096
Moved 502.5364 251.9722 415.9722 -0.1875482 0.05395868
Moved 502.5521 246.0022 410.0022 -0.1979129 0.0424425
Moved 502.5687 243.1041 405.6562 -0.2029442 0.03405897
Moved 502.5836 237.2537 400.3806 -0.2131011 0.02388236
Moved 502.606 227.7363 391.7363 -0.2296244 0.007207393
Stationary 502.6169 227.7363 391.7363 -0.2296244 0.007207393
Moved 502.6296 223.416 387.416 -0.2371251 -0.001126631
Moved 502.6455 222.5 386.5 -0.2387153 -0.002893548
Moved 502.6605 219.5867 383.5867 -0.2437731 -0.008513485
Moved 502.6757 217.8556 381.8556 -0.2467785 -0.0118527
Moved 502.6923 217 381.415 -0.2482639 -0.01270259
Moved 502.7072 215.9777 379.9777 -0.2500387 -0.01547513
Moved 502.7227 214.5375 380 -0.2525391 -0.0154321
Moved 502.7385 213.1024 379 -0.2550305 -0.01736111
Moved 502.7531 213 377.659 -0.2552083 -0.01994798
Moved 502.7678 211.6592 378 -0.2575361 -0.01929018
Stationary 502.7829 211.6592 378 -0.2575361 -0.01929018
Moved 502.7994 211 377 -0.2586805 -0.02121919
Moved 502.8148 210 377 -0.2604167 -0.02121919
Stationary 502.83 210 377 -0.2604167 -0.02121919
Moved 502.8448 208.5 377 -0.2630208 -0.02121919
Stationary 502.8609 208.5 377 -0.2630208 -0.02121919
Moved 502.876 207.9558 377 -0.2639656 -0.02121919
Stationary 502.8907 208 377 -0.2638888 -0.02121919
Stationary 502.9069 208 377 -0.2638888 -0.02121919
Moved 502.9217 208 387.2407 -0.2638888 -0.001464773
Moved 502.9375 208 389.7042 -0.2638888 0.003287409
Moved 502.9535 208 394.0216 -0.2638888 0.01161572
Moved 502.9695 208 399.3164 -0.2638888 0.02182946
Moved 502.9856 208 406.532 -0.2638888 0.03574851
Moved 503.0005 217.5004 413.786 -0.2473951 0.04974147
Moved 503.0156 219.367 420.9449 -0.2441546 0.06355114
Moved 503.0305 223.6945 431.8519 -0.2366415 0.08459084
Moved 503.046 227.3419 439.6838 -0.2303092 0.09969854
Moved 503.0614 231.3429 447.6858 -0.223363 0.1151346
Moved 503.076 235.6283 456.2566 -0.2159231 0.1316678
Moved 503.0922 239.2115 463.4231 -0.2097022 0.145492
Moved 503.1091 246.5199 474.7798 -0.197014 0.1673994
Moved 503.1229 255.1084 490.6898 -0.1821034 0.1980898
Moved 503.1391 262.7872 501.7163 -0.1687721 0.2193601
Moved 503.1546 270.0432 511.8605 -0.156175 0.2389283
Moved 503.1761 283.727 532.3027 -0.1324184 0.2783615
Stationary 503.1874 283.727 532.3027 -0.1324184 0.2783615
Moved 503.1996 289.5 542 -0.1223958 0.2970679
Moved 503.2164 295.773 551.1595 -0.1115052 0.3147366
Moved 503.2308 303.2464 560.4957 -0.09853057 0.3327462
Moved 503.2474 307.6857 567.3571 -0.09082343 0.345982
Moved 503.2614 312.3282 572.3282 -0.08276358 0.3555712
Moved 503.2772 316.6449 577.6449 -0.07526933 0.3658272
Moved 503.2925 319.9858 581.9787 -0.06946906 0.3741872
Moved 503.3081 322.8579 586.2868 -0.06448284 0.3824976
Moved 503.3232 325.0886 588.0886 -0.0606101 0.3859733
Moved 503.3394 326.9802 589.9802 -0.0573261 0.3896221
Moved 503.3539 328.4203 591.4203 -0.05482584 0.3924002
Moved 503.3693 329.8608 592.8608 -0.05232498 0.3951789
Moved 503.3853 331.3043 593 -0.04981894 0.3954474
Moved 503.4007 332.5 594.5 -0.04774306 0.398341
Moved 503.4167 332 595.0889 -0.04861112 0.399477
Moved 503.431 333.1933 595 -0.04653934 0.3993055
Stationary 503.4461 333.1933 595 -0.04653934 0.3993055
Moved 503.4622 334.3734 596.3734 -0.04449062 0.4019548
Moved 503.478 334 596 -0.0451389 0.4012344
Moved 503.4942 335.02 596 -0.04336812 0.4012344
Moved 503.5084 335 597.4602 -0.04340276 0.4040512
Moved 503.5229 335.8952 597 -0.0418486 0.4031635
Ended 503.5395 336 597 -0.04166666 0.4031635
Began 503.8904 520 503 0.2777778 0.2218364
Stationary 503.9102 520 503 0.2777778 0.2218364
Stationary 503.9246 520 503 0.2777778 0.2218364
