the dow jones index has risen
Basic
0.6 0.6
432 388.8
Moved 121.4429 466.2318 516.1368 0.245907 0.3295701
Moved 121.4594 476.0834 518.5833 0.2687115 0.3358623
Moved 121.475 485.2108 520.0352 0.2898398 0.3395965
Moved 121.4892 490.8604 521.4651 0.3029175 0.3432743
Moved 121.5042 495.6601 522.915 0.314028 0.3470036
Moved 121.5191 500.0014 524.0004 0.3240773 0.3497951
Moved 121.5364 505.7573 525.4393 0.337401 0.3534962
Moved 121.5512 508.6043 525.8681 0.3439914 0.3545989
Moved 121.5667 511.6409 527.3204 0.3510206 0.3583344
Moved 121.5824 512.7562 527 0.3536022 0.3575102
Moved 121.5964 514.1875 527 0.3569155 0.3575102
Stationary 121.6113 514.1875 527 0.3569155 0.3575102
Moved 121.6284 515 527.8253 0.3587963 0.3596329
Stationary 121.643 515 528 0.3587963 0.3600822
Stationary 121.6587 515 528 0.3587963 0.3600822
Stationary 121.6756 515 528 0.3587963 0.3600822
Moved 121.6893 504.8274 529.5287 0.3352486 0.3640141
Moved 121.7047 495.3507 530.9499 0.3133118 0.3676694
Moved 121.7202 483.736 532.408 0.2864259 0.3714197
Moved 121.7365 469.3898 534.2684 0.253217 0.3762046
Moved 121.7503 456.4072 535.9548 0.2231648 0.380542
Moved 121.7661 439.3236 538.7794 0.1836194 0.387807
Moved 121.7827 426.6519 541.6696 0.1542869 0.3952407
Moved 121.798 409.7122 543.274 0.1150745 0.3993672
Moved 121.8123 397.5156 544 0.08684158 0.4012345
Moved 121.8281 386.8794 544 0.06222079 0.4012345
Moved 121.8436 377.5 545.5 0.04050931 0.4050925
Moved 121.8591 365.9445 545 0.01376033 0.4038065
Moved 121.8753 352.9379 545 -0.01634747 0.4038065
Moved 121.8954 342.0679 545 -0.04150942 0.4038065
Moved 121.9067 331.9767 545 -0.06486878 0.4038065
Moved 121.9223 324.769 545 -0.08155335 0.4038065
Moved 121.9358 317.5815 546 -0.0981911 0.4063785
Moved 121.9512 310.4064 546 -0.1148 0.4063785
Moved 121.9667 305.3492 546 -0.1265064 0.4063785
Moved 121.9837 296.5831 546 -0.1467984 0.4063785
Moved 121.9972 289.4063 546 -0.1634113 0.4063785
Moved 122.013 283.1838 546 -0.1778152 0.4063785
Moved 122.0287 277.1728 546 -0.1917295 0.4063785
Moved 122.0442 273.0415 546 -0.2012927 0.4063785
Moved 122.0591 268.7165 546 -0.2113044 0.4063785
Moved 122.0754 266.7435 546 -0.2158714 0.4063785
Moved 122.0886 262.7647 546 -0.2250817 0.4063785
Moved 122.1057 258.8365 546 -0.2341748 0.4063785
Moved 122.1216 255.0153 546 -0.2430202 0.4063785
Moved 122.1373 251.119 546 -0.2520392 0.4063785
Moved 122.1517 246.8616 546 -0.2618945 0.4063785
Moved 122.1675 241.7159 540.2529 -0.2738057 0.3915968
Moved 122.1836 238.0909 538.0303 -0.282197 0.3858802
Moved 122.1988 233.7898 538 -0.2921532 0.3858024
Moved 122.2137 230.3076 536.1538 -0.3002138 0.3810539
Moved 122.2301 227.4219 536 -0.3068938 0.3806583
Moved 122.2442 224.5419 535 -0.3135605 0.3780863
Moved 122.2596 221.6562 533.8281 -0.3202403 0.375072
Moved 122.2771 219.774 533.387 -0.3245973 0.3739376
Moved 122.2901 218.2095 533 -0.3282188 0.3729423
Moved 122.3061 216.84 533 -0.331389 0.3729423
Moved 122.3214 215.5 531.5 -0.3344907 0.3690843
Moved 122.3374 214.5 532 -0.3368055 0.3703703
Moved 122.3513 213.7741 532 -0.338486 0.3703703
Stationary 122.3669 213.7741 532 -0.338486 0.3703703
Moved 122.383 212.6255 532 -0.3411447 0.3703703
Stationary 122.3978 212.6255 532 -0.3411447 0.3703703
Stationary 122.4128 213 532 -0.3402778 0.3703703
Ended 122.4323 213 532 -0.3402778 0.3703703
Began 122.7379 432 362 0.1666667 -0.06687243
Stationary 122.7529 432 362 0.1666667 -0.06687243
Stationary 122.768 432 362 0.1666667 -0.06687243
Stationary 122.7837 432 362 0.1666667 -0.06687243
Stationary 122.7981 432 362 0.1666667 -0.06687243
Stationary 122.8125 432 362 0.1666667 -0.06687243
Stationary 122.8287 432 362 0.1666667 -0.06687243
Stationary 122.8444 432 362 0.1666667 -0.06687243
Moved 122.8601 432 372.6475 0.1666667 -0.0394869
Moved 122.8764 432 382.7759 0.1666667 -0.01343637
Moved 122.8906 437.9005 393.9005 0.1803252 0.01517598
Moved 122.9062 442.8587 404.0037 0.1918026 0.04116176
Moved 122.9216 446.8934 416.2334 0.201142 0.07261673
Moved 122.9367 453.7979 429.4362 0.2171246 0.1065744
Moved 122.952 457.4248 437.2435 0.2255204 0.1266549
Moved 122.9686 461.3387 443.8979 0.2345804 0.1437702
Moved 122.9847 467.7313 454.1701 0.2493781 0.1701905
Moved 122.9984 472.3249 460.9062 0.2600113 0.1875158
Moved 123.0145 476.0351 468.0878 0.2685998 0.205987
Moved 123.0305 480.3566 472.3566 0.2786031 0.2169664
Moved 123.0451 483.7901 478.5802 0.2865511 0.2329737
Moved 123.0615 488.0245 484.3661 0.2963531 0.247855
Moved 123.0764 490.2043 489.8065 0.3013988 0.2618478
Moved 123.091 492.8362 493.7542 0.3074911 0.2720014
Moved 123.1074 495.7289 498.0933 0.3141872 0.2831618
Moved 123.1227 497.8039 501.4118 0.3189905 0.291697
Moved 123.1371 499.2426 503.2426 0.3223208 0.2964058
Moved 123.1524 501.6891 505.6891 0.3279841 0.3026982
Moved 123.1684 503.1287 507.1287 0.3313165 0.3064009
Moved 123.1907 504.6767 509 0.3348997 0.3112139
Stationary 123.2013 504.6767 509 0.3348997 0.3112139
Moved 123.2139 506.1205 510.1205 0.3382419 0.3140958
Stationary 123.2322 506.1205 510.1205 0.3382419 0.3140958
Moved 123.2452 507.9949 511 0.3425807 0.3163579
Stationary 123.2614 508 511 0.3425926 0.3163579
Moved 123.2762 509.8868 511 0.3469603 0.3163579
Stationary 123.2918 510 511 0.3472221 0.3163579
Moved 123.3069 511.2899 511 0.3502082 0.3163579
Moved 123.323 511 500.6021 0.349537 0.2896144
Moved 123.3371 511 486.0283 0.349537 0.2521304
Moved 123.3529 496.8766 463.0213 0.316844 0.192956
Moved 123.3689 485.7337 445.1006 0.2910503 0.1468636
Moved 123.385 473.9802 418.3564 0.263843 0.0780772
Moved 123.3997 466.9264 401.8233 0.2475147 0.03555376
Moved 123.4149 462.63 394.3525 0.2375695 0.01633876
Moved 123.4307 446.5 362 0.2002315 -0.06687243
Moved 123.4462 442.9406 353.8932 0.1919922 -0.08772328
Moved 123.4615 437.2142 343.8748 0.1787366 -0.1134907
Moved 123.477 433.3242 334.6484 0.169732 -0.1372212
Moved 123.4917 428.9956 325.9912 0.159712 -0.1594877
Moved 123.5068 424.6841 315.8243 0.1497317 -0.1856372
Moved 123.5225 422.206 309.5151 0.1439954 -0.2018645
Moved 123.5377 419.4081 301.2243 0.1375187 -0.2231887
Moved 123.5529 417.4891 294.9781 0.1330766 -0.2392538
Moved 123.5694 415.8092 290.4275 0.1291879 -0.2509582
Moved 123.5904 414 280.8209 0.125 -0.2756663
Stationary 123.6004 414 280.8209 0.125 -0.2756663
Moved 123.6153 412.5 275 0.1215278 -0.2906379
Moved 123.6317 411.2737 273.8213 0.1186892 -0.2936696
Moved 123.6465 411 270.8337 0.1180555 -0.3013538
Moved 123.6622 409.5 265 0.1145834 -0.3163581
Moved 123.6773 409 263.0673 0.113426 -0.3213289
Moved 123.6925 407.591 260.182 0.1101644 -0.32875
Moved 123.7077 407.1505 255.4514 0.1091446 -0.3409171
Moved 123.7225 405.7118 252.4235 0.1058142 -0.3487051
Moved 123.7381 406 248.5 0.1064815 -0.3587964
Moved 123.7539 405 247.3304 0.1041667 -0.3618045
Moved 123.7687 403.7187 245.7188 0.1012007 -0.3659497
Moved 123.784 404 244.5 0.1018518 -0.3690844
Moved 123.8001 402.9215 243.9215 0.09935538 -0.3705723
Moved 123.8153 400.2037 244 0.0930642 -0.3703704
Moved 123.8312 393.8122 252.3004 0.07826895 -0.3490216
Moved 123.8464 385.0917 263.8777 0.05808274 -0.3192447
Moved 123.8624 379.5553 271.2596 0.04526694 -0.3002583
Moved 123.8785 368.0311 290.9481 0.01859059 -0.2496191
Moved 123.8934 357.9934 306.7246 -0.004644841 -0.2090416
Moved 123.9094 347.8742 323.5013 -0.02806892 -0.1658917
Moved 123.9251 339.0942 336.8586 -0.04839296 -0.1315365
Moved 123.9384 331.9607 348.3188 -0.06490578 -0.1020608
Moved 123.9551 323.7797 360.8304 -0.08384322 -0.06988062
Moved 123.9782 312.2225 383.0439 -0.110596 -0.01274713
Stationary 123.9897 312.2225 383.0439 -0.110596 -0.01274713
Moved 124.0016 305.0116 395.7791 -0.127288 0.02000797
Moved 124.0165 298.821 406.0865 -0.1416182 0.0465187
Moved 124.0322 293.7671 414.3882 -0.1533169 0.0678708
Moved 124.0469 289.5 423 -0.1631944 0.09002049
Moved 124.0622 282.1576 432.7636 -0.1801907 0.1151326
