my bare face in the wind
Basic
0.6 0.6
432 388.8
Moved 378.6475 290.9011 335.4944 -0.1599511 -0.1350454
Moved 378.6612 288 345.5 -0.1666667 -0.1093108
Moved 378.6758 282.3709 357.1655 -0.179697 -0.079307
Moved 378.6902 276.8292 367.049 -0.192525 -0.05388652
Moved 378.7065 270.6024 376.0771 -0.2069388 -0.030666
Moved 378.7216 261.5427 384.392 -0.2279104 -0.009279957
Moved 378.7374 253.2742 391.2715 -0.2470504 0.008414272
Moved 378.7523 248.1401 394.8599 -0.2589349 0.01764356
Moved 378.7681 243.4023 398.6983 -0.2699022 0.02751621
Moved 378.7911 236.6639 401.668 -0.2855003 0.03515428
Stationary 378.8018 236.6639 401.668 -0.2855003 0.03515428
Moved 378.8148 233.8959 404.1041 -0.2919077 0.04142004
Moved 378.8298 229.6891 405.437 -0.3016456 0.04484801
Moved 378.8457 227.526 406.8247 -0.3066529 0.04841741
Moved 378.8615 224.5808 408.2096 -0.3134704 0.05197941
Moved 378.8762 223.7925 408 -0.3152952 0.05144025
Moved 378.8905 220.0178 409.6607 -0.3240328 0.05571169
Moved 378.9074 216.9069 412.0931 -0.3312341 0.06196787
Moved 378.9226 214.137 412 -0.3376458 0.06172835
Moved 378.9381 211.3616 413.8192 -0.3440703 0.06640732
Moved 378.9543 209.7959 414 -0.3476947 0.06687239
Moved 378.9683 207.8164 415 -0.3522769 0.06944436
Moved 378.9852 206.2783 415 -0.3558372 0.06944436
Moved 379.0005 204.9918 416.0082 -0.3588153 0.07203753
Moved 379.0207 201.2186 417 -0.3675497 0.0745884
Stationary 379.0313 201.2186 417 -0.3675497 0.0745884
Moved 379.046 199.831 417 -0.3707616 0.0745884
Moved 379.0629 198.5 417 -0.3738426 0.0745884
Moved 379.0761 198.0589 418 -0.3748636 0.07716041
Moved 379.0922 196.6739 419.3261 -0.3780697 0.08057115
Moved 379.1081 195.6962 419 -0.3803329 0.07973251
Stationary 379.1231 195.6962 419 -0.3803329 0.07973251
Moved 379.1378 196 420 -0.3796296 0.08230445
Moved 379.1561 196 421.5605 -0.3796296 0.086318
Moved 379.1703 196 424.832 -0.3796296 0.09473231
