my bare face in the wind
Basic
0.6 0.6
432 129.6
Moved 404.2702 177.6833 382.0792 -0.4220294 -0.04568548
Moved 404.2852 167.6766 387.8991 -0.445193 -0.0007784809
Moved 404.3005 161.8467 389.6613 -0.4586883 0.01281903
Moved 404.3158 156.2199 392.39 -0.4717131 0.03387357
Moved 404.3305 152.5 395 -0.4803241 0.05401247
Moved 404.3464 149.1447 396.8553 -0.488091 0.06832782
Moved 404.3629 146.4083 398.2958 -0.4944251 0.07944307
Moved 404.3776 144 398 -0.5000001 0.0771605
Moved 404.3926 142.2617 399.7383 -0.5040238 0.09057375
Moved 404.4075 140.8968 401.1032 -0.5071834 0.1011051
Moved 404.4249 139.5 401 -0.5104167 0.1003085
Moved 404.4395 138.1178 401.8822 -0.5136162 0.1071159
Moved 404.4562 136.7535 402 -0.5167742 0.1080247
Stationary 404.4691 136.7535 402 -0.5167742 0.1080247
Moved 404.4855 135.6462 403.3538 -0.5193374 0.1184706
Moved 404.501 136 404.0095 -0.5185185 0.1235304
Stationary 404.5154 136 404 -0.5185185 0.123457
Stationary 404.5305 136 404 -0.5185185 0.123457
Moved 404.5468 136 408.3499 -0.5185185 0.1570211
Moved 404.5622 146.3711 410.9631 -0.4945115 0.1771848
Moved 404.5776 154.6178 416.3857 -0.4754218 0.2190254
Moved 404.5935 165.6642 420.6241 -0.4498514 0.2517291
Moved 404.6082 179 427.5 -0.4189815 0.304784
Moved 404.6237 188.6158 429.9291 -0.3967227 0.3235273
Moved 404.6399 203.4925 433.8985 -0.3622858 0.3541552
Moved 404.6542 219.7253 437.9313 -0.32471 0.3852727
Moved 404.6702 230.1022 440.356 -0.3006894 0.4039818
Moved 404.6859 240.2866 442.041 -0.2771144 0.4169826
Moved 404.7013 249.8149 443.4022 -0.2550581 0.427486
Moved 404.7161 257.8506 444.7701 -0.236457 0.4380411
Moved 404.7317 264.198 445.8663 -0.2217638 0.4464994
Moved 404.7473 270.9486 446 -0.2061376 0.4475308
Moved 404.7629 277.5 447.5 -0.1909722 0.4591051
Moved 404.7784 281.7502 447.9167 -0.1811338 0.4623207
Moved 404.7939 287.1403 448 -0.1686568 0.462963
Moved 404.8098 290.2983 449.6492 -0.1613465 0.475688
Moved 404.831 296.7468 450 -0.1464195 0.4783951
Stationary 404.8412 296.7468 450 -0.1464195 0.4783951
Moved 404.8546 298.604 450 -0.1421204 0.4783951
Moved 404.8702 301.5374 451 -0.1353301 0.4861111
Moved 404.8859 303.1329 451 -0.1316369 0.4861111
Moved 404.9034 304.4978 451 -0.1284773 0.4861111
Moved 404.9166 305.863 452 -0.125317 0.4938273
Moved 404.9322 306.5 452 -0.1238426 0.4938273
Moved 404.9474 307.594 452 -0.1213102 0.4938273
Moved 404.9634 308.5 452 -0.119213 0.4938273
Moved 404.9779 309.0155 452 -0.1180196 0.4938273
Stationary 404.9931 309.0155 452 -0.1180196 0.4938273
Stationary 405.0081 309.0155 452 -0.1180196 0.4938273
Moved 405.0244 310.2362 452 -0.115194 0.4938273
Stationary 405.0405 310 452 -0.1157407 0.4938273
Stationary 405.0561 310 452 -0.1157407 0.4938273
Stationary 405.0718 310 452 -0.1157407 0.4938273
Stationary 405.086 310 452 -0.1157407 0.4938273
Stationary 405.1008 310 452 -0.1157407 0.4938273
Stationary 405.1154 310 452 -0.1157407 0.4938273
Stationary 405.1317 310 452 -0.1157407 0.4938273
Moved 405.1492 304.1524 452 -0.1292769 0.4938273
Moved 405.1635 296.5097 452 -0.1469683 0.4938273
Moved 405.1795 289.7064 452 -0.1627166 0.4938273
Moved 405.1949 283 452 -0.1782407 0.4938273
Moved 405.2103 275.8062 446.1287 -0.1948929 0.4485242
Moved 405.225 268.9844 443.7969 -0.2106844 0.4305316
Moved 405.2394 262.7171 441.4293 -0.2251919 0.4122629
Moved 405.257 256.3345 440.0669 -0.2399663 0.4017509
Moved 405.2711 252.1172 438.7057 -0.2497288 0.3912481
Moved 405.2861 247.6908 438.3454 -0.259975 0.3884677
Moved 405.3026 244.9666 438 -0.266281 0.3858025
Moved 405.3177 242.879 438 -0.2711134 0.3858025
Moved 405.3326 240.128 436.564 -0.2774814 0.3747225
Moved 405.3491 239.1919 437 -0.2796483 0.3780865
Moved 405.3705 236.4687 437 -0.285952 0.3780865
Stationary 405.3809 236.4687 437 -0.285952 0.3780865
Moved 405.3939 235.1076 437 -0.2891027 0.3780865
Moved 405.409 233.7461 437 -0.2922543 0.3780865
Stationary 405.4243 233.7461 437 -0.2922543 0.3780865
Moved 405.4394 233 436.3519 -0.2939815 0.373086
Moved 405.4578 231.9888 436 -0.2963223 0.3703703
Stationary 405.4728 231.9888 436 -0.2963223 0.3703703
Ended 405.4861 231.9888 436 -0.2963223 0.3703703
Began 405.9154 345 366 -0.03472224 -0.1697531
Stationary 405.9355 345 366 -0.03472224 -0.1697531
Stationary 405.9504 345 366 -0.03472224 -0.1697531
Stationary 405.9656 345 366 -0.03472224 -0.1697531
Stationary 405.9805 345 366 -0.03472224 -0.1697531
Stationary 405.9964 345 366 -0.03472224 -0.1697531
Stationary 406.0108 345 366 -0.03472224 -0.1697531
Stationary 406.026 345 366 -0.03472224 -0.1697531
Stationary 406.0416 345 366 -0.03472224 -0.1697531
Stationary 406.0585 345 366 -0.03472224 -0.1697531
Stationary 406.0724 345 366 -0.03472224 -0.1697531
Moved 406.0882 332.5324 366 -0.06358232 -0.1697531
Moved 406.1041 327 366 -0.07638887 -0.1697531
Moved 406.1198 322.4619 366 -0.08689383 -0.1697531
Moved 406.1353 316.9947 374.7593 -0.09954935 -0.1021658
Moved 406.1524 314.3356 373 -0.1057046 -0.1157407
Moved 406.1653 310.681 373.6595 -0.1141643 -0.1106521
Moved 406.1815 306.923 374 -0.1228635 -0.1080245
Moved 406.1972 305.6081 374 -0.1259073 -0.1080245
Moved 406.2121 302.4837 374.7581 -0.1331395 -0.102175
Moved 406.2273 299.7573 375 -0.1394506 -0.1003086
Moved 406.2518 295.1039 375.632 -0.1502224 -0.09543195
Stationary 406.2626 295.1039 375.632 -0.1502224 -0.09543195
Moved 406.2755 291.3861 376 -0.1588284 -0.09259283
Moved 406.2888 287.2964 377.2346 -0.1682953 -0.08306645
Moved 406.3046 281.6031 377 -0.1814742 -0.08487654
Moved 406.3208 275.1497 377 -0.1964127 -0.08487654
Moved 406.3366 268.2993 377 -0.21227 -0.08487654
Moved 406.3514 258.1149 377 -0.2358452 -0.08487654
Moved 406.3667 248.554 377 -0.2579769 -0.08487654
Moved 406.3826 240.4623 378.0672 -0.2767076 -0.07664175
Moved 406.3974 227.778 378 -0.3060693 -0.0771605
Moved 406.4125 219.195 378.8293 -0.3259374 -0.0707617
Moved 406.4284 210.7941 379 -0.345384 -0.06944421
Moved 406.4432 201.6021 380 -0.3666618 -0.06172816
Moved 406.4593 194.3101 380.938 -0.3835415 -0.05449083
Moved 406.4752 187.4814 382.3037 -0.3993486 -0.04395285
Moved 406.4909 181.5 383.5 -0.4131944 -0.03472222
Moved 406.5052 176.4679 384.7064 -0.4248428 -0.0254133
Moved 406.5211 171.7714 386.0762 -0.4357142 -0.01484435
Moved 406.5371 167.6649 386 -0.4452201 -0.0154321
Moved 406.5523 164.3763 386.8118 -0.4528325 -0.009167871
Moved 406.5666 161.6331 387 -0.4591826 -0.007715932
Moved 406.5823 160.4986 387.5013 -0.4618087 -0.003847664
Moved 406.5985 159.1337 388 -0.4649682 1.177376E-07
Moved 406.613 158.04 388 -0.4675001 1.177376E-07
Moved 406.628 156.6922 389.3078 -0.4706199 0.01009105
Moved 406.6443 155.5 389 -0.4733796 0.007716286
Moved 406.6667 155 390.4097 -0.474537 0.01859382
Stationary 406.6766 155 390.4097 -0.474537 0.01859382
Moved 406.6894 154 390 -0.4768519 0.0154321
Stationary 406.7072 154 390 -0.4768519 0.0154321
Stationary 406.7207 154 390 -0.4768519 0.0154321
Stationary 406.7354 154 390 -0.4768519 0.0154321
Stationary 406.7523 154 390 -0.4768519 0.0154321
Moved 406.7668 166.5909 390 -0.4477063 0.0154321
Moved 406.7817 175.5882 390 -0.4268793 0.0154321
Moved 406.7991 184.1136 381.8486 -0.4071445 -0.04746473
Moved 406.8127 195.1116 377.8331 -0.3816862 -0.07844807
Moved 406.8285 205.2457 373.7518 -0.3582275 -0.1099396
Moved 406.8446 212.7753 371.3499 -0.340798 -0.1284729
Moved 406.8604 223.0378 367.6108 -0.3170421 -0.1573235
Moved 406.8752 232.4434 365.0162 -0.2952698 -0.1773443
Moved 406.8911 240.1408 361.2864 -0.2774518 -0.2061234
Moved 406.9059 248.3378 357.3311 -0.2584773 -0.2366426
Moved 406.9208 254.9542 354.8183 -0.2431616 -0.2560317
Moved 406.936 260.8223 353.0444 -0.229578 -0.2697189
Moved 406.9532 268.9087 350.3638 -0.2108595 -0.290403
Moved 406.9663 272.1529 348.4236 -0.2033498 -0.3053736
Moved 406.9827 277.9623 346.5188 -0.189902 -0.320071
Moved 406.9996 282.3203 344.8932 -0.1798141 -0.3326136
Moved 407.0143 285.946 343.527 -0.1714213 -0.343156
Moved 407.0298 287.8392 342.1608 -0.1670388 -0.3536978
Moved 407.0515 291.5701 341 -0.1584025 -0.3626543
Stationary 407.0614 291.5701 341 -0.1584025 -0.3626543
Moved 407.0744 292.7018 340.2982 -0.1557828 -0.3680695
Moved 407.0904 293.9663 340 -0.1528558 -0.3703704
Moved 407.1057 295.3433 340 -0.1496683 -0.3703704
Moved 407.1207 295.6997 339 -0.1488432 -0.3780862
Moved 407.1375 297.0676 337.9324 -0.1456769 -0.3863245
Stationary 407.153 297 338 -0.1458333 -0.3858025
Moved 407.1691 297.8022 338 -0.1439764 -0.3858025
Stationary 407.1836 298 338 -0.1435185 -0.3858025
Moved 407.1992 299.1912 336.8088 -0.140761 -0.394994
Stationary 407.2151 299 337 -0.1412037 -0.3935183
Moved 407.2292 299.9783 337 -0.138939 -0.3935183
Moved 407.2455 300.5 337 -0.1377315 -0.3935183
Moved 407.261 300 337 -0.1388889 -0.3935183
Moved 407.2761 301.0773 337 -0.1363952 -0.3935183
Stationary 407.2913 301 337 -0.1365741 -0.3935183
Moved 407.3067 301 349 -0.1365741 -0.3009257
Moved 407.3221 301 353.7515 -0.1365741 -0.2642634
Moved 407.3386 301 360.9529 -0.1365741 -0.2086962
Moved 407.3535 289.8874 373.3379 -0.1622978 -0.1131336
Moved 407.3693 286.225 382.4751 -0.1707755 -0.04263042
Moved 407.3845 282.1361 392.0156 -0.1802404 0.03098464
Moved 407.3999 279.6812 398.6377 -0.1859233 0.08208111
Moved 407.4191 277.9734 404.1064 -0.1898764 0.1242783
Moved 407.4304 275.9469 408.1063 -0.1945674 0.155141
Moved 407.4458 274.5977 412.207 -0.1976906 0.1867821
Moved 407.462 274.2308 415.5383 -0.1985397 0.2124871
Moved 407.476 272.8683 418.2634 -0.2016937 0.2335136
Moved 407.492 273 421 -0.2013889 0.2546295
Moved 407.5064 272 423.7289 -0.2037037 0.2756857
Moved 407.5221 272 425.2274 -0.2037037 0.2872481
Moved 407.5373 270.5 428 -0.2071759 0.308642
Moved 407.557 271 428.6523 -0.2060186 0.3136749
Moved 407.5691 271 430.013 -0.2060186 0.3241745
Moved 407.5847 271 431.3831 -0.2060186 0.3347458
Moved 407.6009 270 432.7455 -0.2083333 0.3452584
Moved 407.6145 270 434.1118 -0.2083333 0.3558006
Stationary 407.6301 270 434.1118 -0.2083333 0.3558006
Moved 407.6465 270 435.8445 -0.2083333 0.3691709
Moved 407.6617 269.0953 436.9047 -0.2104276 0.3773512
Moved 407.6762 269 438.2388 -0.2106481 0.3876447
Stationary 407.6912 269 438.2388 -0.2106481 0.3876447
Moved 407.7063 269 439.3542 -0.2106481 0.3962519
Moved 407.7225 269 440.1656 -0.2106481 0.4025124
Moved 407.7427 268.3037 441 -0.21226 0.4089505
Moved 407.7541 267.5 441 -0.2141203 0.4089505
Moved 407.7679 268 442.214 -0.212963 0.4183178
Stationary 407.7844 268 442.214 -0.212963 0.4183178
Ended 407.7994 268 442 -0.212963 0.4166667
Began 408.1667 518 434 0.3657407 0.3549384
Stationary 408.185 518 434 0.3657407 0.3549384
Stationary 408.2007 518 434 0.3657407 0.3549384
Stationary 408.2171 518 434 0.3657407 0.3549384
Stationary 408.2309 518 434 0.3657407 0.3549384
Stationary 408.2463 518 434 0.3657407 0.3549384
Stationary 408.2615 518 434 0.3657407 0.3549384
Stationary 408.2765 518 434 0.3657407 0.3549384
Stationary 408.2921 518 434 0.3657407 0.3549384
Stationary 408.31 518 434 0.3657407 0.3549384
Moved 408.3239 507.7157 425.7157 0.3419345 0.2910163
Moved 408.3391 504.7054 425.3527 0.3349663 0.2882153
Moved 408.3553 501.9865 423.9933 0.3286725 0.2777261
Moved 408.3703 499.2621 422.631 0.3223659 0.2672148
Moved 408.3849 496.8127 421.2709 0.3166961 0.2567197
Moved 408.4021 495.193 420.193 0.3129466 0.2484027
Moved 408.4265 489.4685 415.4686 0.2996957 0.2119488
Stationary 408.4365 489.4685 415.4686 0.2996957 0.2119488
Moved 408.4471 487.205 414.1025 0.2944561 0.2014086
Moved 408.4623 484.4746 412.7373 0.2881357 0.1908744
Moved 408.4775 480.7524 409.7524 0.2795196 0.1678428
Moved 408.4934 477.039 406.039 0.2709237 0.1391898
Moved 408.5089 472.9443 403.2962 0.2614452 0.1180264
Moved 408.5242 470.0792 401.3861 0.2548129 0.1032879
Moved 408.5402 464.9219 397.4609 0.2428747 0.07300118
Moved 408.5577 460.5932 394.7288 0.2328546 0.0519198
Moved 408.5714 453.5 390.5 0.2164352 0.01929012
Moved 408.5864 447.6731 387.4039 0.202947 -0.004599654
Moved 408.6024 442.0657 383.2993 0.1899668 -0.03627118
Moved 408.618 437 381 0.1782407 -0.05401235
