coming up with killer sound bites
Basic
0.4 0.4
288 259.2
Moved 133.5633 458.3441 479 0.3414727 0.3510802
Moved 133.578 466.9632 479 0.3713998 0.3510802
Moved 133.5935 474.0408 479 0.3959749 0.3510802
Moved 133.6096 482.297 479 0.4246424 0.3510802
Moved 133.6254 489.4339 468.5925 0.4494231 0.3109278
Moved 133.6397 493.7885 471 0.4645435 0.3202158
Moved 133.662 502.3744 469.5419 0.4943555 0.3145903
Stationary 133.6734 502.3744 469.5419 0.4943555 0.3145903
Moved 133.6855 505.7992 469 0.5062472 0.3125
Moved 133.7008 510.0114 467.6628 0.520873 0.3073411
Moved 133.7168 512.5579 467.2211 0.5297148 0.3056367
Moved 133.7321 514.221 467 0.5354896 0.3047838
Moved 133.747 516.6624 467 0.5439664 0.3047838
Moved 133.7627 517.8472 467 0.5480807 0.3047838
Moved 133.7778 518 465.7576 0.5486111 0.2999904
Moved 133.7931 519.6819 466 0.554451 0.3009257
Moved 133.8098 520.5 466 0.5572917 0.3009257
Ended 133.8244 521 465 0.5590277 0.2970678
Began 134.1703 250 437 -0.3819444 0.1890431
Stationary 134.1857 250 437 -0.3819444 0.1890431
Stationary 134.2146 250 437 -0.3819444 0.1890431
Stationary 134.2275 250 437 -0.3819444 0.1890431
Moved 134.24 261.8882 437 -0.3406659 0.1890431
Moved 134.2566 271.5 437 -0.3072917 0.1890431
Moved 134.2721 287.555 444.9555 -0.2515452 0.2197357
Moved 134.2881 300.5453 447.0909 -0.2064401 0.2279739
Moved 134.3037 318 448.5 -0.1458333 0.2334103
Moved 134.3185 332.4567 449 -0.09563639 0.2353394
Moved 134.3348 346.8298 449 -0.04572995 0.2353394
Moved 134.3511 362.2118 449 0.007679909 0.2353394
Moved 134.3665 375.3535 449 0.05331084 0.2353394
Moved 134.3792 384.9026 449 0.08646727 0.2353394
Moved 134.3957 391.1685 449 0.1082241 0.2353394
Moved 134.4129 399.2733 449 0.1363656 0.2353394
Moved 134.4273 404.9444 449 0.1560569 0.2353394
Moved 134.4476 413.0574 449 0.1842272 0.2353394
Moved 134.4658 414.9657 449 0.1908532 0.2353394
Moved 134.482 416.4054 449 0.1958522 0.2353394
Moved 134.4935 417.5 449 0.1996528 0.2353394
Stationary 134.5025 417.5 449 0.1996528 0.2353394
Stationary 134.5143 417.5 449 0.1996528 0.2353394
Moved 134.5305 419.3962 449 0.2062367 0.2353394
Moved 134.5459 419.8383 449 0.2077721 0.2353394
Moved 134.5656 420.5 449 0.2100694 0.2353394
Stationary 134.576 420.5 449 0.2100694 0.2353394
Stationary 134.5925 420.5 449 0.2100694 0.2353394
Moved 134.6068 420 449 0.2083333 0.2353394
Moved 134.6227 420 442 0.2083333 0.2083332
Stationary 134.6392 420 442 0.2083333 0.2083332
Moved 134.6533 415.0102 441 0.1910075 0.2044751
Moved 134.6709 406.0289 441 0.1598224 0.2044751
Moved 134.6854 395.9909 441 0.1249683 0.2044751
Moved 134.7016 387.3205 441 0.09486287 0.2044751
Moved 134.7183 377.3869 441 0.06037116 0.2044751
Moved 134.7333 370.2442 441 0.03557011 0.2044751
Moved 134.748 358.3397 449.903 -0.005764961 0.238823
Moved 134.7646 349.6667 452.7778 -0.03587969 0.2499142
Moved 134.7852 335.9003 457.2749 -0.08367947 0.2672641
Moved 134.8004 330.1232 458.7192 -0.1037388 0.2728362
Stationary 134.8115 330.1232 458.7192 -0.1037388 0.2728362
Moved 134.8241 326.6771 460.1614 -0.1157045 0.2784005
Moved 134.84 323.4038 461.1987 -0.1270702 0.2824024
Moved 134.8562 320.5931 462 -0.1368296 0.2854938
Moved 134.8718 318.8542 463.1458 -0.1428672 0.289914
Moved 134.8923 316.9872 464.0128 -0.1493502 0.2932593
Stationary 134.9034 316.9872 464.0128 -0.1493502 0.2932593
Stationary 134.917 317 464 -0.1493055 0.2932098
Moved 134.9316 317 465 -0.1493055 0.2970678
Stationary 134.9475 317 465 -0.1493055 0.2970678
Stationary 134.9625 317 465 -0.1493055 0.2970678
Moved 134.9787 333.3214 465 -0.09263388 0.2970678
Moved 134.9945 340.4916 452.0168 -0.06773748 0.2469783
Moved 135.01 347.2501 447.9998 -0.04427038 0.2314806
Moved 135.0254 352.7234 443.4575 -0.02526588 0.2139561
Moved 135.0401 357.5015 436.8732 -0.008675455 0.1885538
Moved 135.0626 368.8927 420.5717 0.03087744 0.1256623
Stationary 135.0733 368.8927 420.5717 0.03087744 0.1256623
Moved 135.0903 373.8848 412.8587 0.04821092 0.09590536
Moved 135.1082 381.0199 402.4702 0.07298558 0.05582632
