just in time for the party
Basic
0.8 0.8
575.9999 518.4
Moved 200.4357 329.8694 532 -0.05231 0.2777777
Moved 200.4515 330.9812 532.9812 -0.05037989 0.2796704
Moved 200.4672 332.4286 533 -0.04786692 0.2797067
Moved 200.4825 334.7332 533 -0.04386596 0.2797067
Ended 200.498 336 533 -0.04166666 0.2797067
Began 200.7746 517 594 0.2725694 0.3973764
Stationary 200.793 517 594 0.2725694 0.3973764
Stationary 200.8061 517 594 0.2725694 0.3973764
Stationary 200.821 517 594 0.2725694 0.3973764
Stationary 200.8406 517 594 0.2725694 0.3973764
Stationary 200.852 517 594 0.2725694 0.3973764
Stationary 200.8676 517 594 0.2725694 0.3973764
Moved 200.8835 500.6098 577.6098 0.2441142 0.3657595
Moved 200.8991 486.6297 564.8668 0.2198432 0.3411781
Moved 200.9146 469.6093 548.2812 0.1902939 0.3091843
Moved 200.9303 450.478 528.3693 0.1570798 0.270774
Moved 200.9453 434 510.5 0.1284722 0.2363039
Moved 200.961 418.1948 492.2338 0.1010327 0.2010682
Moved 200.9765 397.9588 470.5273 0.0659006 0.159196
Moved 200.9922 387.0452 457.4402 0.04695348 0.1339511
Moved 201.008 373.2007 440.2509 0.02291798 0.1007927
Moved 201.0229 360.3137 421.6753 0.0005446374 0.06495999
Moved 201.0391 349.2234 409.5293 -0.0187093 0.04153025
Moved 201.0545 338.9502 396.3646 -0.03654476 0.01613525
Moved 201.0695 328.2069 382.3104 -0.05519632 -0.01097538
Moved 201.0856 319.0223 368.5334 -0.07114182 -0.03755128
Moved 201.1014 315.2658 361.7151 -0.0776635 -0.0507038
Moved 201.1141 308.2857 351.2501 -0.08978169 -0.07089108
Moved 201.1293 302.5308 343.4135 -0.09977288 -0.08600794
Moved 201.1455 298.3146 336.1911 -0.1070926 -0.09994005
Moved 201.1621 294.0155 329.0259 -0.1145564 -0.1137619
Moved 201.1763 289.7115 321.8525 -0.1220286 -0.1275993
Moved 201.1911 285.3916 313.6526 -0.1295285 -0.1434172
Moved 201.2081 281.9857 307.9762 -0.1354415 -0.154367
Moved 201.2223 279.1183 300.7957 -0.1404196 -0.1682182
Moved 201.2378 275.366 294.61 -0.146934 -0.1801505
Moved 201.253 272.3815 290.0723 -0.1521154 -0.1889039
Moved 201.2699 269.4934 282.9868 -0.1571295 -0.2025719
Moved 201.284 266.6172 277.2343 -0.162123 -0.2136684
Moved 201.2996 264.6335 270.5837 -0.1655669 -0.2264976
Moved 201.3151 262.3162 264.7904 -0.16959 -0.2376728
Moved 201.3308 259.5482 259.0963 -0.1743955 -0.2486569
Moved 201.3467 258.3352 255.0055 -0.1765014 -0.2565481
Moved 201.3621 256.9023 249.609 -0.1789891 -0.2669579
Moved 201.377 255.4631 246.9261 -0.1814878 -0.2721332
Moved 201.3962 254.0242 244.0485 -0.1839857 -0.2776843
Moved 201.4194 251.5 236.5 -0.188368 -0.2922453
Moved 201.4306 251.0743 235.0743 -0.1891071 -0.2949955
Stationary 201.4408 251.0743 235.0743 -0.1891071 -0.2949955
Moved 201.4556 251 232.2755 -0.1892361 -0.3003945
Moved 201.4699 250 230.1965 -0.1909722 -0.3044049
Moved 201.4844 248.7599 227.5198 -0.1931252 -0.3095684
Moved 201.4998 249 225.6364 -0.1927083 -0.3132015
Moved 201.5171 247.8821 223.8821 -0.1946491 -0.3165856
Moved 201.5309 248 222.5 -0.1944444 -0.3192516
Moved 201.5464 248 221.3271 -0.1944444 -0.321514
Moved 201.5635 246.8923 219.8923 -0.1963676 -0.3242817
Moved 201.5777 247 218.4529 -0.1961806 -0.3270585
Moved 201.5932 247 217.5 -0.1961806 -0.3288966
Moved 201.6134 245.789 216.7891 -0.1982829 -0.330268
Moved 201.6257 246 216 -0.1979166 -0.3317901
Moved 201.6397 246 214.6995 -0.1979166 -0.3342988
Stationary 201.6546 246 214.6995 -0.1979166 -0.3342988
Stationary 201.6703 246 214.6995 -0.1979166 -0.3342988
Moved 201.6871 246 213.7775 -0.1979166 -0.3360774
Moved 201.7012 246 213.2977 -0.1979166 -0.3370028
Moved 201.7171 246 212.5 -0.1979166 -0.3385417
Moved 201.7321 244.7105 213 -0.2001553 -0.3375772
Stationary 201.7485 244.7105 213 -0.2001553 -0.3375772
Moved 201.7646 245 211.953 -0.1996528 -0.3395968
Stationary 201.778 245 211.953 -0.1996528 -0.3395968
Stationary 201.7931 245 212 -0.1996528 -0.3395061
Stationary 201.8097 245 212 -0.1996528 -0.3395061
Moved 201.8243 245 210.6271 -0.1996528 -0.3421546
Stationary 201.8401 245 210.6271 -0.1996528 -0.3421546
Stationary 201.8549 245 210.6271 -0.1996528 -0.3421546
Stationary 201.8709 245 210.6271 -0.1996528 -0.3421546
Stationary 201.8907 245 211 -0.1996528 -0.3414352
Stationary 201.9025 245 211 -0.1996528 -0.3414352
Moved 201.9171 245 209.9312 -0.1996528 -0.343497
Moved 201.9321 243.5 210 -0.202257 -0.3433642
Stationary 201.9472 243.5 210 -0.202257 -0.3433642
Stationary 201.9623 243.5 210 -0.202257 -0.3433642
Stationary 201.9784 243.5 210 -0.202257 -0.3433642
Moved 201.9941 244 210 -0.2013889 -0.3433642
Stationary 202.0118 244 210 -0.2013889 -0.3433642
Stationary 202.0257 244 210 -0.2013889 -0.3433642
Stationary 202.0406 244 210 -0.2013889 -0.3433642
Stationary 202.055 244 210 -0.2013889 -0.3433642
Moved 202.0705 244 208.8934 -0.2013889 -0.3454988
Stationary 202.0862 244 208.8934 -0.2013889 -0.3454988
Stationary 202.1012 244 208.8934 -0.2013889 -0.3454988
Stationary 202.1197 244 208.8934 -0.2013889 -0.3454988
Stationary 202.1359 244 208.8934 -0.2013889 -0.3454988
Stationary 202.1507 244 208.8934 -0.2013889 -0.3454988
Stationary 202.1665 244 208.8934 -0.2013889 -0.3454988
Stationary 202.1822 244 208.8934 -0.2013889 -0.3454988
Stationary 202.1976 244 208.8934 -0.2013889 -0.3454988
Stationary 202.2132 244 208.8934 -0.2013889 -0.3454988
Stationary 202.2284 244 208.8934 -0.2013889 -0.3454988
Stationary 202.2432 244 208.8934 -0.2013889 -0.3454988
Stationary 202.2572 244 208.8934 -0.2013889 -0.3454988
Stationary 202.2709 244 208.8934 -0.2013889 -0.3454988
Stationary 202.2866 244 208.8934 -0.2013889 -0.3454988
Stationary 202.3021 244 208.8934 -0.2013889 -0.3454988
Stationary 202.3214 244 208.8934 -0.2013889 -0.3454988
Stationary 202.3326 244 208.8934 -0.2013889 -0.3454988
Stationary 202.3475 244 208.8934 -0.2013889 -0.3454988
Stationary 202.3629 244 208.8934 -0.2013889 -0.3454988
Stationary 202.3785 244 208.8934 -0.2013889 -0.3454988
Stationary 202.3938 244 208.8934 -0.2013889 -0.3454988
Stationary 202.4096 244 208.8934 -0.2013889 -0.3454988
Stationary 202.4253 244 208.8934 -0.2013889 -0.3454988
Stationary 202.4409 244 208.8934 -0.2013889 -0.3454988
Stationary 202.4576 244 208.8934 -0.2013889 -0.3454988
Moved 202.4758 242.98 209 -0.2031597 -0.3452932
Stationary 202.4902 242.98 209 -0.2031597 -0.3452932
Stationary 202.5052 242.98 209 -0.2031597 -0.3452932
Stationary 202.5205 242.98 209 -0.2031597 -0.3452932
Stationary 202.5357 242.98 209 -0.2031597 -0.3452932
Stationary 202.5509 242.98 209 -0.2031597 -0.3452932
Stationary 202.5669 242.98 209 -0.2031597 -0.3452932
Stationary 202.5826 242.98 209 -0.2031597 -0.3452932
Stationary 202.5982 242.98 209 -0.2031597 -0.3452932
Stationary 202.6136 242.98 209 -0.2031597 -0.3452932
Stationary 202.6272 242.98 209 -0.2031597 -0.3452932
Stationary 202.641 243 209 -0.203125 -0.3452932
Ended 202.6585 243 209 -0.203125 -0.3452932
Backspace 203.5207
Began 204.2583 395 392 0.06076388 0.007716019
Stationary 204.278 395 392 0.06076388 0.007716019
Stationary 204.2925 395 392 0.06076388 0.007716019
Stationary 204.3084 395 392 0.06076388 0.007716019
Moved 204.3241 395 397.8383 0.06076388 0.01897806
Moved 204.3392 395 409.1967 0.06076388 0.04088858
Moved 204.3548 395 426.4209 0.06076388 0.07411432
Moved 204.3703 405.5 434.5 0.07899306 0.08969904
Moved 204.3848 407.9269 450.7563 0.08320637 0.1210576
Moved 204.4005 416.5175 477.9721 0.09812071 0.1735572
Moved 204.4175 419.5891 488.6303 0.1034532 0.194117
Moved 204.4325 422.6013 499.1047 0.1086829 0.2143223
Moved 204.4473 425.4723 509.6808 0.1136672 0.2347237
Moved 204.4627 427.17 515.68 0.1166146 0.2462962
Moved 204.4783 428.5 522.5 0.1189236 0.2594521
Moved 204.4938 430.7453 528.7264 0.1228217 0.2714629
Moved 204.5088 432.1828 538.2798 0.1253174 0.2898916
Moved 204.5253 433.6188 545.0942 0.1278105 0.3030366
Moved 204.5398 435.0671 551.2683 0.1303248 0.3149465
Moved 204.5555 436.4855 556.9422 0.1327874 0.3258915
Moved 204.5697 436 560.8074 0.1319444 0.3333476
Moved 204.5866 437.3717 565.1152 0.1343259 0.3416574
Moved 204.6012 437.4739 566.9479 0.1345034 0.3451925
Moved 204.6247 438 572.663 0.1354167 0.3562171
Stationary 204.6357 438 572.663 0.1354167 0.3562171
Moved 204.6473 439 575.5718 0.1371527 0.3618282
Moved 204.6632 439 577.2088 0.1371527 0.364986
Moved 204.678 440 579.65 0.1388889 0.369695
Moved 204.694 440 582.1719 0.1388889 0.3745598
Moved 204.7099 440 583.1163 0.1388889 0.3763817
Moved 204.7254 441 584.5964 0.140625 0.3792369
Moved 204.7401 441 586.0366 0.140625 0.3820149
Moved 204.7558 441 587.4725 0.140625 0.3847849
Stationary 204.7717 441 587.4725 0.140625 0.3847849
Moved 204.7848 441 588 0.140625 0.3858024
Stationary 204.8009 441 588 0.140625 0.3858024
Stationary 204.8164 441 588 0.140625 0.3858024
Stationary 204.8314 441 588 0.140625 0.3858024
Moved 204.8468 420.4269 579.4269 0.1049077 0.3692647
Moved 204.8631 403.4142 567.2762 0.07537193 0.3458259
Moved 204.8789 377.0432 549.1547 0.02958886 0.3108692
Moved 204.8939 352.8223 531.0994 -0.01246136 0.2760404
Moved 204.9107 327.5882 512.0726 -0.0562705 0.2393376
Moved 204.9265 309.2954 497.3749 -0.0880288 0.2109856
Moved 204.9411 293.8396 485.8833 -0.1148619 0.188818
Moved 204.9602 275.1051 470.012 -0.147387 0.1582021
Moved 204.9733 263.9472 460.7367 -0.1667583 0.1403099
Moved 204.987 253.7944 452.1094 -0.1843848 0.1236679
Moved 205.0128 236.7589 438.1726 -0.2139602 0.09678351
Stationary 205.0231 236.7589 438.1726 -0.2139602 0.09678351
Moved 205.0349 230.5 433 -0.2248264 0.08680546
Moved 205.0483 223.387 427.9247 -0.2371753 0.07701517
Moved 205.0637 218.3934 423.3934 -0.2458448 0.06827419
Moved 205.0787 211.7833 419.07 -0.2573206 0.05993439
Moved 205.0952 206.7689 413.6919 -0.2660262 0.04955992
