come and see our new car
Basic
0.6 0.6
432 388.8
Moved 255.2321 308.8261 477.7608 -0.1184581 0.2308662
Moved 255.2464 304.9505 482.0496 -0.1274295 0.2418969
Moved 255.2628 301.7108 484.1928 -0.1349288 0.2474094
Moved 255.279 298.3042 488.1305 -0.1428143 0.2575372
Moved 255.2941 295.0009 490.9991 -0.1504607 0.2649152
Moved 255.3114 293.5645 493.871 -0.1537859 0.272302
Moved 255.3252 291.0591 495.9409 -0.1595853 0.2776256
Moved 255.3419 289.622 497.378 -0.162912 0.2813219
Moved 255.3596 288.1831 498.8169 -0.1662428 0.2850228
Moved 255.3792 285.6614 501.3386 -0.1720801 0.2915087
Stationary 255.3909 285.6614 501.3386 -0.1720801 0.2915087
Moved 255.4043 285 502.7762 -0.1736111 0.2952061
Moved 255.4177 283.7858 503 -0.1764219 0.2957818
Moved 255.4346 283 504.6515 -0.1782407 0.3000295
Moved 255.4483 281.9049 505 -0.1807757 0.3009258
Moved 255.4644 281 506.5278 -0.1828704 0.3048553
Stationary 255.4816 281 507 -0.1828704 0.3060699
Moved 255.4983 279.9077 508.0923 -0.1853988 0.3088792
Moved 255.511 278.5 508 -0.1886574 0.3086419
Moved 255.5251 278.0296 509.9704 -0.1897462 0.3137098
Stationary 255.5411 278 510 -0.1898148 0.3137859
Moved 255.5562 277.16 510.84 -0.1917593 0.3159465
Moved 255.5713 277 512.2732 -0.1921296 0.3196326
Moved 255.5873 275.5 512 -0.1956018 0.31893
Moved 255.6028 275.1898 513 -0.1963199 0.321502
Moved 255.618 274.5 513 -0.1979167 0.321502
Moved 255.633 274.3195 514 -0.1983345 0.324074
Moved 255.6485 273.5 514 -0.2002315 0.324074
Moved 255.6645 274 515 -0.199074 0.326646
Stationary 255.6795 274 515 -0.199074 0.326646
Ended 255.6941 274 515 -0.199074 0.326646
Began 256.2202 136 401 -0.5185185 0.03343609
Stationary 256.2348 136 401 -0.5185185 0.03343609
Stationary 256.2486 136 401 -0.5185185 0.03343609
Stationary 256.2657 136 401 -0.5185185 0.03343609
Stationary 256.2812 136 401 -0.5185185 0.03343609
Moved 256.2953 149.2718 401 -0.4877968 0.03343609
Moved 256.3109 160.3222 401 -0.4622172 0.03343609
Moved 256.3265 172.8511 390.8058 -0.4332151 0.007216646
Moved 256.3436 182.0568 387.3537 -0.4119056 -0.001662337
Moved 256.3616 201.0072 379.2826 -0.3680388 -0.02242131
Moved 256.3755 210.7415 374.1293 -0.3455058 -0.03567589
Moved 256.3886 225.7293 368.3712 -0.3108119 -0.05048579
Moved 256.4045 237.2607 361.0774 -0.2841189 -0.06924547
Moved 256.4204 250.2098 353.8834 -0.2541439 -0.08774839
Moved 256.4415 269.0404 343.3064 -0.2105546 -0.1149528
Stationary 256.4535 269.0404 343.3064 -0.2105546 -0.1149528
Moved 256.4665 277.9836 339.007 -0.1898528 -0.1260108
Moved 256.4814 287.9698 334.7272 -0.1667366 -0.1370185
Moved 256.4961 296.2017 331.2661 -0.1476813 -0.1459206
Moved 256.5132 307.4431 325.7784 -0.1216595 -0.1600349
Moved 256.5278 318.2686 322.4947 -0.09660054 -0.1684807
Moved 256.5439 328.3394 318.426 -0.07328833 -0.1789456
Moved 256.5587 339 313 -0.04861111 -0.1929013
Moved 256.5749 345.5117 310.7441 -0.03353784 -0.1987034
Moved 256.59 356.5586 302.8311 -0.007966311 -0.2190561
Moved 256.6058 365.7852 295.8457 0.01339157 -0.2370224
Moved 256.6212 374.4486 288.6262 0.03344595 -0.2555912
