parking lot is full of trucks
Basic
0.6 0.6
432 129.6
Began 474.9205 594 444 0.5416667 0.432099
Stationary 474.9536 594 444 0.5416667 0.432099
Stationary 474.9675 594 444 0.5416667 0.432099
Moved 474.9818 570.9835 444 0.4883876 0.432099
Moved 474.9985 552.298 444 0.4451343 0.432099
Moved 475.0136 529.9104 444 0.3933111 0.432099
Moved 475.0289 491.5233 433.3351 0.3044522 0.3498077
Moved 475.0451 467.3481 430.3202 0.2484909 0.3265448
Moved 475.0615 442.4456 428.7469 0.1908462 0.3144056
Moved 475.0771 431.8685 427.4098 0.1663623 0.3040879
Moved 475.0903 419.2334 425.0467 0.1371144 0.2858542
Moved 475.1074 406.711 422.2691 0.1081274 0.2644221
Moved 475.1221 392.6419 416.7925 0.07556002 0.2221646
Moved 475.1388 375.6255 410.4714 0.03617029 0.1733904
Moved 475.1534 359.05 403.5208 -0.002199113 0.1197594
Moved 475.1693 346.3427 398.8242 -0.03161401 0.08351974
Moved 475.1833 315.8638 385.3557 -0.1021671 -0.02040345
Moved 475.1996 296.4223 378.3651 -0.1471705 -0.0743435
Moved 475.2143 275.8434 372.887 -0.194807 -0.1166129
Moved 475.2302 262.2904 369.8423 -0.2261796 -0.1401058
Moved 475.2454 248.4357 367.0872 -0.2582508 -0.1613643
Moved 475.2635 239.1633 365.1662 -0.2797145 -0.1761865
Moved 475.2762 231.6628 363.1893 -0.2970769 -0.1914404
Moved 475.2914 219.7436 361.7493 -0.3246676 -0.202552
Moved 475.3065 210.5653 360.3665 -0.3459138 -0.2132218
Moved 475.3225 200.9236 360 -0.3682323 -0.2160494
Moved 475.3373 191.282 358.6117 -0.390551 -0.2267616
Moved 475.3546 185.1578 359 -0.4047273 -0.2237652
Moved 475.3684 181.7084 359 -0.4127121 -0.2237652
Moved 475.3916 178.3888 359 -0.4203962 -0.2237652
Stationary 475.4014 178.3888 359 -0.4203962 -0.2237652
Moved 475.4174 177.5 359 -0.4224537 -0.2237652
Moved 475.4305 178 359 -0.4212963 -0.2237652
Moved 475.447 183.3261 368.2826 -0.4089674 -0.1521405
Moved 475.463 200.8836 378.0764 -0.3683249 -0.0765711
Moved 475.4785 220 387.5 -0.3240741 -0.003857907
Moved 475.4926 249.953 399.2202 -0.2547385 0.0865755
Moved 475.508 272.3514 407.7529 -0.2028902 0.1524146
Moved 475.524 304.989 414.6644 -0.1273404 0.2057437
Moved 475.5393 323.4856 417.4357 -0.08452411 0.2271276
Moved 475.5543 341.3423 420.2237 -0.04318923 0.2486396
Moved 475.5699 362.2561 421.4838 0.005222459 0.2583625
Moved 475.5858 372.7197 421 0.0294437 0.2546295
Moved 475.601 382.6173 421 0.05235494 0.2546295
Moved 475.6236 399.4705 421 0.09136687 0.2546295
Stationary 475.6348 399.4705 421 0.09136687 0.2546295
Moved 475.6492 410.1649 413.8557 0.1161225 0.199504
Moved 475.6611 418.2742 409.8629 0.1348941 0.1686953
Moved 475.6769 426.996 404.6024 0.1550834 0.1281047
Moved 475.6927 431.5396 400.4604 0.1656009 0.09614497
Moved 475.7079 434.1309 399.4346 0.1715994 0.08822995
Moved 475.7227 435.948 398.052 0.1758056 0.07756162
Moved 475.7385 438.0271 396.9865 0.1806183 0.06934013
Moved 475.7544 439.399 395.601 0.1837939 0.0586498
Moved 475.7693 440.7773 394.2227 0.1869846 0.04801433
Moved 475.7841 441 392.8738 0.1875 0.03760691
Moved 475.7997 442.5 393 0.1909722 0.03858013
Stationary 475.8138 442.5 393 0.1909722 0.03858013
Moved 475.8295 443.3571 393 0.1929563 0.03858013
Stationary 475.8451 443 393 0.1921296 0.03858013
Moved 475.8606 443 399.8353 0.1921296 0.09132197
Moved 475.8758 443 410.4634 0.1921296 0.1733291
Moved 475.8919 443 417.2293 0.1921296 0.2255348
Moved 475.9099 443 425.167 0.1921296 0.2867825
Moved 475.9228 443 430.8412 0.1921296 0.3305652
Moved 475.9384 443 435.3801 0.1921296 0.365587
Moved 475.9538 443 439.9276 0.1921296 0.4006757
Moved 475.9692 443 443.1536 0.1921296 0.425568
Moved 475.9846 443 445.8995 0.1921296 0.4467558
Moved 476.0005 443 446.8311 0.1921296 0.4539439
Stationary 476.0154 443 447 0.1921296 0.4552471
Moved 476.0307 443 448 0.1921296 0.462963
Stationary 476.0465 443 448 0.1921296 0.462963
Stationary 476.0625 443 448 0.1921296 0.462963
Moved 476.0767 444.5 448 0.1956019 0.462963
Stationary 476.0927 444.5 448 0.1956019 0.462963
Moved 476.1097 444 415.5428 0.1944444 0.2125219
Moved 476.1235 432 401.5 0.1666667 0.1041669
Moved 476.1393 427.2268 386.5671 0.1556177 -0.0110565
Moved 476.1556 423.0421 378.0842 0.1459308 -0.07651082
Moved 476.1701 421.3093 373.2372 0.1419197 -0.1139106
Moved 476.1851 419.9341 369.8682 0.1387364 -0.1399057
Moved 476.1997 417.8705 366.8057 0.1339594 -0.1635365
Moved 476.2156 413.6209 361.1613 0.1241225 -0.2070889
Moved 476.2316 410.4753 355.6338 0.1168411 -0.2497393
Moved 476.2475 406.3447 350.1263 0.1072794 -0.2922355
Moved 476.2624 402.2166 346.2167 0.09772369 -0.3224022
Moved 476.2776 398.0727 342.0726 0.08813113 -0.3543779
Moved 476.2926 395.2886 339.2886 0.08168668 -0.3758593
Moved 476.3122 391.5 338.5 0.07291664 -0.3819447
Moved 476.3241 391.188 337.188 0.07219453 -0.3920676
Moved 476.3392 388.636 337 0.06628692 -0.3935183
Moved 476.3559 387.4316 337 0.06349911 -0.3935183
Moved 476.3705 385.1185 337 0.05814473 -0.3935183
Moved 476.3863 382.3741 337 0.05179187 -0.3935183
Moved 476.4041 378.624 347.752 0.04311105 -0.3105555
Moved 476.4334 372.7586 361.4828 0.02953371 -0.2046077
Moved 476.4483 370.5173 367.9307 0.02434572 -0.1548558
Moved 476.4722 366.4949 380.2628 0.01503448 -0.05970096
Stationary 476.4814 366.4949 380.2628 0.01503448 -0.05970096
Moved 476.4932 365.3646 386.5415 0.01241813 -0.01125371
Moved 476.5103 363.9996 393.0021 0.00925829 0.03859673
