the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Began 275.0847 352 443 -0.01388889 0.318287
Stationary 275.1007 352 443 -0.01388889 0.318287
Stationary 275.115 352 443 -0.01388889 0.318287
Stationary 275.1306 352 443 -0.01388889 0.318287
Stationary 275.1452 352 443 -0.01388889 0.318287
Stationary 275.1611 352 443 -0.01388889 0.318287
Stationary 275.1788 352 443 -0.01388889 0.318287
Stationary 275.192 352 443 -0.01388889 0.318287
Stationary 275.2068 352 443 -0.01388889 0.318287
Stationary 275.2253 352 443 -0.01388889 0.318287
Stationary 275.241 352 443 -0.01388889 0.318287
Stationary 275.257 352 443 -0.01388889 0.318287
Stationary 275.2704 352 443 -0.01388889 0.318287
Stationary 275.2834 352 443 -0.01388889 0.318287
Stationary 275.2991 352 443 -0.01388889 0.318287
Stationary 275.3146 352 443 -0.01388889 0.318287
Stationary 275.3305 352 443 -0.01388889 0.318287
Stationary 275.3448 352 443 -0.01388889 0.318287
Stationary 275.36 352 443 -0.01388889 0.318287
Stationary 275.3757 352 443 -0.01388889 0.318287
Stationary 275.3927 352 443 -0.01388889 0.318287
Stationary 275.4077 352 443 -0.01388889 0.318287
Stationary 275.4253 352 443 -0.01388889 0.318287
Stationary 275.4386 352 443 -0.01388889 0.318287
Stationary 275.4539 352 443 -0.01388889 0.318287
Stationary 275.4709 352 443 -0.01388889 0.318287
Moved 275.4856 339.6391 443 -0.03534872 0.318287
Moved 275.5013 341.6266 443 -0.03189836 0.318287
Moved 275.517 340.864 443 -0.03322225 0.318287
Stationary 275.5325 340.864 443 -0.03322225 0.318287
Stationary 275.546 340.864 443 -0.03322225 0.318287
Stationary 275.5616 341 443 -0.0329861 0.318287
Stationary 275.5812 341 443 -0.0329861 0.318287
Stationary 275.5945 341 443 -0.0329861 0.318287
Moved 275.6095 363.0085 428.3276 0.005223155 0.2333775
Moved 275.6255 379.2791 419.8732 0.03347054 0.1844512
Moved 275.6412 396.4846 408.3436 0.06334133 0.1177291
Moved 275.6566 401.8726 406.8936 0.07269539 0.1093377
Moved 275.6719 409.9761 402.0191 0.08676409 0.08112925
Moved 275.6863 417.1164 399.1534 0.09916045 0.06454547
Moved 275.7029 419.7342 398.1329 0.1037052 0.05863967
Moved 275.7181 422.6144 395.3856 0.1087056 0.04274051
Moved 275.7336 423.7474 395 0.1106726 0.04050935
Moved 275.7471 424 393.8352 0.1111111 0.03376864
Stationary 275.7623 424 393.8352 0.1111111 0.03376864
Stationary 275.7783 424 393.8352 0.1111111 0.03376864
Moved 275.7941 408.4277 402.3052 0.08407585 0.08278494
Moved 275.8122 389.5695 412.7152 0.05133599 0.1430279
Moved 275.825 372.4659 420.2225 0.02164215 0.1864731
Moved 275.8405 355.2266 427.4056 -0.008287206 0.2280416
Moved 275.8568 341.743 432.7028 -0.03169611 0.2586965
Moved 275.8715 331.7817 435.0485 -0.04899014 0.2722715
Moved 275.8863 315.8946 439.3924 -0.07657192 0.2974097
Moved 275.9018 301.8142 443.7286 -0.101017 0.3225033
Moved 275.9181 288.8496 446.7001 -0.123525 0.3396995
Moved 275.9324 272.8887 449.5803 -0.1512348 0.3563673
Moved 275.9482 259.9585 452.4537 -0.1736831 0.3729959
Moved 275.9637 248.3047 454.6696 -0.1939155 0.3858193
Moved 275.9794 240.1372 455.8105 -0.2080952 0.3924217
Moved 275.9947 229.5293 457.1838 -0.2265116 0.4003694
Moved 276.0102 221.8791 457 -0.2397932 0.3993056
Moved 276.0255 215.758 457 -0.2504202 0.3993056
Moved 276.0408 208.5168 457 -0.2629917 0.3993056
Moved 276.0567 202.2591 457 -0.2738557 0.3993056
Moved 276.0739 196.5285 457 -0.2838046 0.3993056
Moved 276.0889 192 457 -0.2916666 0.3993056
Moved 276.1032 189.2328 457 -0.2964707 0.3993056
Moved 276.1183 186.2587 457 -0.3016343 0.3993056
Moved 276.1332 184.3963 457 -0.3048674 0.3993056
Moved 276.1483 182.7604 457 -0.3077076 0.3993056
Moved 276.1634 181.5 457 -0.3098958 0.3993056
Moved 276.1795 180.9397 457 -0.3108686 0.3993056
Moved 276.1949 179.5 457 -0.3133681 0.3993056
Stationary 276.21 179.5 457 -0.3133681 0.3993056
Moved 276.233 180 457.5309 -0.3125 0.4023779
Stationary 276.2442 180 457.5309 -0.3125 0.4023779
Moved 276.2571 180 458.9683 -0.3125 0.410696
Moved 276.2719 180 460.3965 -0.3125 0.4189612
Ended 276.2873 180 460.3965 -0.3125 0.4189612
Began 276.8108 286 386 -0.1284722 -0.01157407
Stationary 276.8292 286 386 -0.1284722 -0.01157407
Stationary 276.8414 286 386 -0.1284722 -0.01157407
Stationary 276.8566 286 386 -0.1284722 -0.01157407
Stationary 276.8738 286 386 -0.1284722 -0.01157407
Stationary 276.8874 286 386 -0.1284722 -0.01157407
Stationary 276.9028 286 386 -0.1284722 -0.01157407
Stationary 276.9196 286 386 -0.1284722 -0.01157407
Stationary 276.9351 286 386 -0.1284722 -0.01157407
Stationary 276.9516 286 386 -0.1284722 -0.01157407
Stationary 276.9669 286 386 -0.1284722 -0.01157407
Stationary 276.9824 286 386 -0.1284722 -0.01157407
Stationary 276.9988 286 386 -0.1284722 -0.01157407
Stationary 277.0137 286 386 -0.1284722 -0.01157407
Stationary 277.0311 286 386 -0.1284722 -0.01157407
Stationary 277.0465 286 386 -0.1284722 -0.01157407
Stationary 277.0628 286 386 -0.1284722 -0.01157407
Stationary 277.0746 286 386 -0.1284722 -0.01157407
Stationary 277.0883 286 386 -0.1284722 -0.01157407
Stationary 277.1041 286 386 -0.1284722 -0.01157407
Stationary 277.1199 286 386 -0.1284722 -0.01157407
Stationary 277.1346 286 386 -0.1284722 -0.01157407
Stationary 277.1504 286 386 -0.1284722 -0.01157407
Stationary 277.1664 286 386 -0.1284722 -0.01157407
Stationary 277.1809 286 386 -0.1284722 -0.01157407
Stationary 277.1959 286 386 -0.1284722 -0.01157407
Stationary 277.2116 286 386 -0.1284722 -0.01157407
Stationary 277.2272 286 386 -0.1284722 -0.01157407
Stationary 277.2427 286 386 -0.1284722 -0.01157407
Stationary 277.2594 286 386 -0.1284722 -0.01157407
Moved 277.2747 275.839 386 -0.1461128 -0.01157407
Moved 277.2912 274.7977 386 -0.1479207 -0.01157407
Moved 277.3074 272.9616 386 -0.1511083 -0.01157407
Moved 277.3228 271.5172 386 -0.153616 -0.01157407
Moved 277.3361 270.0786 392.4501 -0.1561136 0.02575318
Moved 277.3524 267.2764 393 -0.1609785 0.0289351
Moved 277.368 266.5 394.5 -0.1623264 0.03761583
Moved 277.3831 261.3408 396.8864 -0.1712834 0.05142592
Moved 277.3984 257.0213 398.3262 -0.1787824 0.05975829
Moved 277.4141 251.7027 401.5316 -0.1880161 0.07830761
Moved 277.4302 247.3904 403.2032 -0.1955028 0.08798157
Moved 277.4439 243.0683 405 -0.2030064 0.09837972
Moved 277.4639 238.757 406.081 -0.2104912 0.1046356
Moved 277.4753 234.5 407.5 -0.2178819 0.1128473
Moved 277.4907 232.6809 408.6595 -0.2210402 0.1195576
Moved 277.5066 229.7878 409 -0.2260629 0.121528
