my bare face in the wind
Basic
0.4 0.4
288 86.39999
Moved 617.5541 337.6876 313.5416 -0.07747367 -0.8617864
Moved 617.5709 332.1646 317.6266 -0.09665078 -0.8145071
Moved 617.5848 328.0541 321.9459 -0.1109233 -0.7645148
Moved 617.6009 323.7307 327.3591 -0.1259352 -0.7018619
Moved 617.6179 320.4824 329.345 -0.1372138 -0.6788769
Moved 617.6318 315.0099 335.6535 -0.1562158 -0.6058622
Moved 617.6459 310.6827 341.423 -0.1712406 -0.5390853
Moved 617.6654 306.3678 346.1763 -0.1862228 -0.484071
Moved 617.678 302.0595 350.9405 -0.2011823 -0.4289299
Moved 617.6938 297.7269 355.2731 -0.2162259 -0.3787839
Moved 617.7083 293.3878 357.7415 -0.2312924 -0.3502143
Moved 617.7254 290.0792 360.9208 -0.2427804 -0.3134166
Moved 617.7394 284.3818 366.6182 -0.2625632 -0.247475
Moved 617.7549 279.6115 370.5414 -0.2791269 -0.2020663
Moved 617.7712 275.1366 374.8635 -0.2946647 -0.1520432
Moved 617.7865 270.8247 379.1754 -0.3096365 -0.1021375
Moved 617.8005 266.5043 383.4957 -0.3246379 -0.05213278
Moved 617.8168 263.3934 387.2131 -0.3354394 -0.00910706
Moved 617.8315 262.2386 389.5228 -0.3394493 0.01762549
Moved 617.8546 261 395.108 -0.34375 0.08226819
Stationary 617.8654 261 395.108 -0.34375 0.08226819
Moved 617.8771 261 397.9858 -0.34375 0.115577
Moved 617.8936 261 400.8661 -0.34375 0.1489131
Moved 617.9095 261 403.7422 -0.34375 0.1822021
Moved 617.9242 271.5145 407.9429 -0.3072414 0.2308208
Moved 617.94 275 410 -0.2951389 0.2546296
Moved 617.9562 286.8401 414.6133 -0.2540275 0.3080248
Moved 617.9719 298.4656 418.9246 -0.213661 0.357924
Moved 617.9849 308.206 419.7437 -0.1798403 0.3674043
Moved 618.0021 318.3618 421.1946 -0.1445769 0.3841965
