he is still on our team
Basic
0.8 0.8
575.9999 518.4
Began 151.1307 416 395 0.09722225 0.01350306
Stationary 151.1506 416 395 0.09722225 0.01350306
Stationary 151.1636 416 395 0.09722225 0.01350306
Stationary 151.1805 416 395 0.09722225 0.01350306
Stationary 151.1943 416 395 0.09722225 0.01350306
Stationary 151.2103 416 395 0.09722225 0.01350306
Stationary 151.2284 416 395 0.09722225 0.01350306
Moved 151.2408 403.433 395 0.07540449 0.01350306
Moved 151.2578 396.226 403.6609 0.06289236 0.03021016
Moved 151.2731 388.9998 408.2001 0.05034677 0.03896631
Moved 151.2883 381.7616 413.3907 0.03778063 0.04897891
Moved 151.3034 374.5675 417.8595 0.02529084 0.05759927
Moved 151.3187 366.6096 422.9269 0.01147494 0.06737444
Moved 151.3346 357.9603 428.6932 -0.003541186 0.07849757
Moved 151.3499 348.5 435.5 -0.01996528 0.09162802
Moved 151.3649 339.9233 442.3171 -0.0348553 0.1047783
Moved 151.3818 331.9734 448.8213 -0.04865724 0.117325
Moved 151.396 323.7788 457.8655 -0.06288406 0.1347713
Moved 151.4113 317.6609 464.3392 -0.07350545 0.1472592
Moved 151.428 310.1304 472.3914 -0.0865792 0.1627919
Moved 151.4425 302.4296 480.4846 -0.09994867 0.1784038
Moved 151.4583 289.8024 491.8423 -0.1218708 0.2003129
Moved 151.4734 284.2427 497.7573 -0.1315231 0.2117232
Moved 151.4893 275.625 506.375 -0.1464844 0.2283468
Moved 151.5077 266.9338 515.0662 -0.1615733 0.2451122
Moved 151.5204 259.1174 525.4356 -0.1751433 0.2651149
Moved 151.5353 251.9336 535.4929 -0.1876153 0.2845156
Moved 151.551 244.046 544.613 -0.201309 0.3021082
Moved 151.5661 236.5503 552.4497 -0.2143224 0.3172255
Moved 151.5806 233.6478 557.587 -0.2193615 0.3271354
Moved 151.5963 226.6315 564.3685 -0.2315425 0.3402169
Moved 151.612 220.8704 570.1296 -0.2415444 0.3513302
Moved 151.6286 218.0608 574.4088 -0.2464221 0.3595847
Moved 151.6429 216.0904 578.7288 -0.249843 0.367918
Moved 151.6586 214.6529 583.0414 -0.2523387 0.3762372
Moved 151.6737 213.2036 586.3891 -0.2548547 0.3826949
Ended 151.6884 213 587 -0.2552083 0.3838734
Began 152.2277 509 543 0.2586806 0.2989968
Stationary 152.2442 509 543 0.2586806 0.2989968
Stationary 152.259 509 543 0.2586806 0.2989968
Stationary 152.2738 509 543 0.2586806 0.2989968
Moved 152.2882 495.6541 537.2054 0.2355105 0.287819
Moved 152.3044 487.0195 531.5098 0.22052 0.2768321
Moved 152.3208 466.1928 518.9811 0.1843626 0.2526641
Moved 152.3364 442.1442 505.0801 0.1426115 0.225849
Moved 152.3513 418.6919 494.4054 0.1018957 0.2052573
Moved 152.371 380.8887 476.238 0.03626503 0.1702121
Moved 152.3833 353.5548 463.2774 -0.01118951 0.145211
Moved 152.4077 313.1808 445.7789 -0.08128337 0.1114561
Moved 152.4198 290.4207 437.2828 -0.1207973 0.09506705
Stationary 152.4302 290.4207 437.2828 -0.1207973 0.09506705
Moved 152.4426 270.3347 429.6255 -0.1556689 0.08029602
Moved 152.4596 255.2058 424.4019 -0.1819344 0.07021971
Moved 152.4759 233.0086 414.8163 -0.2204712 0.05172888
Moved 152.4909 218.7208 408.4841 -0.2452764 0.03951399
Moved 152.5064 208.8718 404.624 -0.2623753 0.03206774
Moved 152.5219 196.9588 400.1096 -0.2830577 0.02335946
Moved 152.5364 187.6232 397.9372 -0.2992653 0.01916894
Moved 152.5526 177.5 393.5 -0.3168403 0.01060948
Moved 152.5674 172.1486 391.5743 -0.3261308 0.006894859
Moved 152.5849 166.794 389.9485 -0.335427 0.003758624
Moved 152.598 162.5029 387.002 -0.3428769 -0.001925303
Moved 152.6127 160.0595 386.0595 -0.3471189 -0.003743289
Ended 152.6294 155.8499 384.6166 -0.3544273 -0.006526635
Began 153.3642 270 354 -0.15625 -0.06558641
Stationary 153.3858 270 354 -0.15625 -0.06558641
Stationary 153.3997 270 354 -0.15625 -0.06558641
Stationary 153.4136 270 354 -0.15625 -0.06558641
Stationary 153.4312 270 354 -0.15625 -0.06558641
Stationary 153.4442 270 354 -0.15625 -0.06558641
Moved 153.4609 276.4636 354 -0.1450285 -0.06558641
Moved 153.4765 286.4989 365.9146 -0.1276061 -0.04260298
Moved 153.4916 294.6387 373.6387 -0.1134745 -0.02770323
Moved 153.5068 302.7334 380.7778 -0.09942114 -0.01393171
Moved 153.5229 309.9884 389.3861 -0.08682564 0.002673761
Moved 153.5376 319.1549 399.1549 -0.07091161 0.02151786
Moved 153.5533 327.6754 408.9547 -0.05611907 0.04042175
Moved 153.5683 333.7698 418.6547 -0.04553858 0.05913319
Moved 153.5842 342.1739 429.6782 -0.03094815 0.08039759
Moved 153.5998 349.352 439.8928 -0.01848612 0.1001017
Moved 153.615 355.5337 449.2405 -0.007753968 0.1181336
Moved 153.6313 360.4485 456.7475 0.0007786601 0.1326147
Moved 153.6466 366.1839 465.3679 0.01073599 0.1492435
Moved 153.661 371.1274 475.2548 0.01931839 0.1683154
Moved 153.6762 374.267 481.5341 0.02476916 0.1804282
Moved 153.6916 378.6852 490.3705 0.03243968 0.1974739
Moved 153.7065 382.0068 499.0204 0.0382062 0.2141596
Moved 153.7227 384.4402 506.2009 0.0424309 0.2280108
Moved 153.7378 385.8812 512.5248 0.04493266 0.2402099
Moved 153.7534 386 516.9702 0.0451389 0.2487851
Moved 153.7685 387.7634 522.2902 0.04820034 0.2590473
Moved 153.7856 388 526.6952 0.04861109 0.2675446
Moved 153.7991 388 533.6974 0.04861109 0.281052
Moved 153.8153 388 537.9026 0.04861109 0.289164
Moved 153.8315 388 545.1171 0.04861109 0.3030807
Moved 153.8465 388 551.6418 0.04861109 0.3156671
Moved 153.8609 388 556.3092 0.04861109 0.3246705
Moved 153.8767 388 562.1628 0.04861109 0.3359622
Moved 153.8987 380.3545 572.4611 0.03533758 0.3558277
Stationary 153.9095 380.3545 572.4611 0.03533758 0.3558277
Moved 153.9235 378.9479 578.1042 0.03289565 0.3667133
Moved 153.9386 377.0338 582.8986 0.02957262 0.3759616
Moved 153.9542 375.5909 588.6363 0.02706759 0.3870298
Moved 153.9704 373.2905 594.419 0.02307378 0.3981847
Moved 153.9853 371.706 598.882 0.02032287 0.406794
Moved 153.9999 370.5 602.5 0.01822919 0.4137731
Moved 154.0154 370 604.6124 0.01736112 0.4178478
Moved 154.0319 368.7545 607.4911 0.01519874 0.4234009
Moved 154.0528 368 610.116 0.01388892 0.4284645
Stationary 154.0643 368 610.116 0.01388892 0.4284645
Moved 154.078 367.4379 611.5621 0.01291297 0.431254
Moved 154.0922 367 613.0034 0.01215279 0.4340341
Stationary 154.108 367 613.0034 0.01215279 0.4340341
Moved 154.1228 367 614.2392 0.01215279 0.4364181
Stationary 154.1399 367 614.2392 0.01215279 0.4364181
Moved 154.1542 377.2908 614 0.03001869 0.4359567
Moved 154.1695 385.3901 614 0.04408009 0.4359567
Moved 154.185 392.5837 614 0.05656891 0.4359567
Moved 154.2009 400.7456 614 0.07073887 0.4359567
