coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Moved 477.6526 460 535.1097 0.2314815 0.3783686
Moved 477.6753 460 540.8286 0.2314815 0.3930776
Stationary 477.6861 460 540.8286 0.2314815 0.3930776
Stationary 477.6988 460 541 0.2314815 0.3935184
Moved 477.7143 460 542.7967 0.2314815 0.3981396
Stationary 477.7303 460 543 0.2314815 0.3986624
Stationary 477.7455 460 543 0.2314815 0.3986624
Stationary 477.7599 460 543 0.2314815 0.3986624
Stationary 477.7763 460 543 0.2314815 0.3986624
Stationary 477.7921 460 543 0.2314815 0.3986624
Moved 477.8069 460 534.1144 0.2314815 0.3758087
Moved 477.8233 451.8949 517.0272 0.2127197 0.3318601
Moved 477.8401 450.227 503.7238 0.2088587 0.2976435
Moved 477.8538 445.435 474.7512 0.1977662 0.2231254
Moved 477.8684 445 456.1563 0.1967593 0.1752989
Moved 477.8848 443.9881 431.7741 0.1944169 0.1125876
Moved 477.9012 442.5491 412.1379 0.1910858 0.06208314
Moved 477.9157 441.1134 392.5883 0.1877626 0.01180103
Moved 477.9309 441 377.6716 0.1875 -0.02656497
Moved 477.9463 439.5 366 0.1840278 -0.05658444
Moved 477.9627 440 355.6346 0.1851852 -0.08324447
Moved 477.9777 440 342.8324 0.1851852 -0.1161718
Moved 477.9937 440 333.4921 0.1851852 -0.1401952
Moved 478.0077 440 319.7788 0.1851852 -0.175466
Moved 478.0229 440 311.6498 0.1851852 -0.1963739
Moved 478.038 440 304.4563 0.1851852 -0.2148758
Moved 478.0545 440 296 0.1851852 -0.2366256
Moved 478.0698 440 293.3772 0.1851852 -0.2433715
Moved 478.0849 440 289.8053 0.1851852 -0.2525584
Moved 478.1009 440 285.5 0.1851852 -0.2636318
Moved 478.1163 440 284.0249 0.1851852 -0.2674257
Moved 478.1315 440 281.1729 0.1851852 -0.2747611
Moved 478.1467 440 280.1448 0.1851852 -0.2774055
Stationary 478.1621 440 280 0.1851852 -0.2777778
Stationary 478.1768 440 280 0.1851852 -0.2777778
Stationary 478.192 440 280 0.1851852 -0.2777778
Moved 478.2076 435.035 280 0.1736922 -0.2777778
Moved 478.2233 425.5043 296.1827 0.1516303 -0.2361557
Moved 478.2393 416.262 309.1071 0.1302361 -0.202914
Moved 478.2611 395.997 345.0051 0.0833263 -0.1105838
Stationary 478.2722 395.997 345.0051 0.0833263 -0.1105838
Moved 478.2851 389.4817 355.8638 0.06824473 -0.08265498
Moved 478.3015 381.1975 371.4839 0.04906833 -0.04247963
Moved 478.3163 373.9974 386.0057 0.03240138 -0.005129473
Moved 478.3309 371.1216 393.1961 0.02574434 0.01336443
Moved 478.3487 367.2231 399.5538 0.0167202 0.02971641
Moved 478.3632 364.3737 403.9395 0.01012425 0.04099645
Moved 478.3772 361.4804 409.2794 0.00342677 0.05473089
Moved 478.3933 360.1115 411.777 0.0002580881 0.06115485
Moved 478.4089 357.4234 415.8649 -0.005964289 0.07166882
Moved 478.4249 356.2709 418.4581 -0.008632093 0.07833877
Moved 478.4407 354.8315 421.3371 -0.01196424 0.08574348
Moved 478.4548 354.3926 424.2147 -0.01298 0.09314478
Moved 478.4727 354 426.0491 -0.01388888 0.09786279
Moved 478.4868 354 427.4891 -0.01388888 0.1015665
Ended 478.5016 354 428 -0.01388888 0.1028806
Began 479.1614 417 531 0.1319444 0.3677982
Stationary 479.179 417 531 0.1319444 0.3677982
Stationary 479.1975 417 531 0.1319444 0.3677982
Stationary 479.2101 417 531 0.1319444 0.3677982
Stationary 479.2258 417 531 0.1319444 0.3677982
Stationary 479.2403 417 531 0.1319444 0.3677982
Stationary 479.2557 417 531 0.1319444 0.3677982
Moved 479.2715 427.5631 531 0.156396 0.3677982
Moved 479.2874 435.3908 531 0.1745158 0.3677982
Moved 479.3024 446.5039 538.4409 0.2002405 0.3869365
Moved 479.3189 459.5 539.5 0.2303241 0.3896604
Moved 479.3335 470.5144 541.946 0.2558205 0.3959517
Moved 479.3513 484.8506 542 0.2890061 0.3960905
Moved 479.3647 498.3579 542.8358 0.3202729 0.3982402
Moved 479.3802 511.2985 543 0.350228 0.3986624
Moved 479.4018 531.4279 543 0.3968239 0.3986624
Stationary 479.4127 531.4279 543 0.3968239 0.3986624
Moved 479.4261 541.5235 543 0.4201933 0.3986624
Moved 479.4419 548.2694 543 0.4358088 0.3986624
Moved 479.4572 554.3918 543 0.4499811 0.3986624
Moved 479.4728 559.6169 543 0.4620761 0.3986624
Moved 479.4875 564.8775 543 0.4742535 0.3986624
Moved 479.503 568.2089 543 0.4819649 0.3986624
Moved 479.5182 576.6816 543 0.5015779 0.3986624
Moved 479.5337 583.8335 543 0.518133 0.3986624
Ended 479.5491 584 543 0.5185185 0.3986624
Began 480.4397 219 489 -0.3263889 0.2597736
Stationary 480.4595 219 489 -0.3263889 0.2597736
Stationary 480.473 219 489 -0.3263889 0.2597736
Stationary 480.4883 219 489 -0.3263889 0.2597736
Stationary 480.5042 219 489 -0.3263889 0.2597736
Stationary 480.5196 219 489 -0.3263889 0.2597736
Stationary 480.5336 219 489 -0.3263889 0.2597736
Stationary 480.5501 219 489 -0.3263889 0.2597736
Moved 480.5659 240.0268 489 -0.2777158 0.2597736
Moved 480.5827 251.8696 489 -0.250302 0.2597736
Moved 480.599 264.2092 489 -0.221738 0.2597736
Moved 480.6203 288.1064 489 -0.1664205 0.2597736
Moved 480.6353 305.4083 489 -0.1263697 0.2597736
Stationary 480.6458 305.4083 489 -0.1263697 0.2597736
Moved 480.6594 313.9133 489 -0.1066821 0.2597736
Moved 480.6749 328.2836 489 -0.07341767 0.2597736
Moved 480.6912 339.8538 489 -0.04663473 0.2597736
Moved 480.711 353.1887 489 -0.01576697 0.2597736
Moved 480.723 364.8777 489 0.01129111 0.2597736
Moved 480.737 376.5204 489 0.03824174 0.2597736
Moved 480.7522 388.999 489 0.06712735 0.2597736
Moved 480.7674 397.5 489 0.08680551 0.2597736
Moved 480.7829 409.0894 489 0.1136329 0.2597736
Moved 480.7985 419.4235 489 0.1375544 0.2597736
Moved 480.8129 427.8774 489 0.1571236 0.2597736
Moved 480.8287 435.4142 489 0.1745698 0.2597736
Moved 480.8458 443.1483 489 0.1924728 0.2597736
Moved 480.8601 450.79 496.6641 0.2101621 0.2794856
Moved 480.8755 458.0026 499.801 0.2268578 0.287554
Moved 480.8906 464.048 501.6827 0.2408518 0.2923936
Moved 480.907 471.6383 505.8192 0.258422 0.3030327
Moved 480.9198 477.377 508.6885 0.2717061 0.3104128
Moved 480.9357 482.3568 511.5712 0.2832333 0.3178272
Moved 480.9518 486.6663 514.4442 0.293209 0.3252165
Moved 480.9664 490.3324 515.6662 0.3016953 0.3283595
Moved 480.9818 493.2373 517.1187 0.3084198 0.3320952
Moved 480.9977 494.1721 518.1721 0.3105835 0.3348046
Moved 481.012 495.6529 518.6529 0.3140114 0.3360413
Stationary 481.0278 496 519 0.3148148 0.3369341
Stationary 481.0433 496 519 0.3148148 0.3369341
Moved 481.0604 496 520 0.3148148 0.3395061
Moved 481.0744 496 521.4108 0.3148148 0.3431346
Moved 481.0966 476.3678 523.954 0.2693699 0.3496759
Stationary 481.1066 476.3678 523.954 0.2693699 0.3496759
Moved 481.1205 455.2324 526.769 0.2204454 0.356916
Moved 481.1374 439.0002 527.8571 0.1828709 0.3597147
Moved 481.153 421.3497 528 0.1420132 0.3600822
Moved 481.1681 407.37 528 0.1096527 0.3600822
Moved 481.1837 394.379 528 0.07958094 0.3600822
