coming up with killer sound bites
Basic
0.8 0.8
575.9999 172.8
Began 230.0169 236 277 -0.2152778 -0.6423611
Stationary 230.0438 236 277 -0.2152778 -0.6423611
Stationary 230.0548 236 277 -0.2152778 -0.6423611
Stationary 230.0667 236 277 -0.2152778 -0.6423611
Stationary 230.0808 236 277 -0.2152778 -0.6423611
Moved 230.096 244.4652 283.3489 -0.2005812 -0.6056195
Moved 230.1118 265.5401 298.9294 -0.1639928 -0.5154546
Moved 230.1292 288.7917 315.3824 -0.1236255 -0.4202408
Moved 230.1445 312.4887 331.8182 -0.08248482 -0.3251259
Moved 230.1595 348.8436 352.9551 -0.01936871 -0.2028061
Moved 230.1736 377.4377 368.7907 0.03027372 -0.1111649
Moved 230.1897 397.8895 379.6744 0.06578043 -0.04818016
Moved 230.206 422.6577 394.7508 0.1087808 0.03906709
Moved 230.2206 448.3937 408.3124 0.1534612 0.1175489
Moved 230.2359 473.0547 419.9132 0.1962756 0.184683
Moved 230.2514 491.6469 427.6588 0.2285536 0.2295068
Moved 230.2674 507.027 434.4669 0.2552552 0.2689054
Moved 230.2816 519.3316 439.9252 0.2766173 0.3004929
Moved 230.2979 531.195 444.7317 0.2972136 0.3283084
Moved 230.3135 539.5194 448.7597 0.3116656 0.3516186
Moved 230.3296 546.5375 450.6344 0.3238498 0.3624675
Moved 230.3431 552.0787 452.0197 0.33347 0.3704845
Moved 230.359 554.8218 453.4109 0.3382324 0.3785352
Stationary 230.3745 555.3516 453 0.3391521 0.3761574
Moved 230.3901 556.8549 454 0.3417619 0.3819445
Stationary 230.4063 557 454 0.3420139 0.3819445
Stationary 230.4207 557 454 0.3420139 0.3819445
Moved 230.4361 530.6353 426.6213 0.2962418 0.2235028
Moved 230.452 487.3095 390.3564 0.2210235 0.01363648
Moved 230.4675 448.1824 359.3187 0.1530945 -0.1659794
Moved 230.4821 434.3558 347.2202 0.1290899 -0.235994
Moved 230.4985 428.2112 338.8168 0.1184223 -0.2846248
Moved 230.5136 422.8342 332.2513 0.1090871 -0.3226199
Moved 230.5287 419.113 327.1506 0.1026267 -0.3521374
Moved 230.5444 417.6653 324.3307 0.1001135 -0.3684568
Moved 230.5601 415.2817 321.2817 0.09597517 -0.386101
Moved 230.5745 413.8951 319.8951 0.09356782 -0.3941255
Stationary 230.5894 414 320 0.09374998 -0.3935185
Stationary 230.6057 414 320 0.09374998 -0.3935185
Moved 230.6202 413 335.4585 0.09201391 -0.3040596
Moved 230.6359 413 347.8169 0.09201391 -0.2325411
Moved 230.6522 413 358.3169 0.09201391 -0.1717772
Moved 230.6678 421.6834 368.598 0.1070893 -0.11228
Moved 230.683 425.407 378.2828 0.1135537 -0.05623341
Moved 230.6988 432.4101 388.9677 0.125712 0.005600187
Moved 230.7146 435.7622 393.6829 0.1315316 0.03288746
Moved 230.7294 438.5474 399.0948 0.1363671 0.06420639
Moved 230.7448 441.6662 403.3324 0.1417816 0.08872933
Moved 230.7601 443.0525 406.105 0.1441883 0.1047742
Moved 230.7757 444.4282 407.4282 0.1465767 0.1124318
Moved 230.7906 445.5 408.5 0.1484375 0.1186343
Moved 230.8056 445 409.1074 0.1475695 0.1221495
Moved 230.8208 446.5 409 0.1501736 0.121528
Stationary 230.8375 446.5 409 0.1501736 0.121528
Moved 230.8523 431.8961 382.4714 0.1248196 -0.03199401
Moved 230.868 412.4349 353.1523 0.09103283 -0.2016645
Moved 230.8832 405.7628 343.2205 0.07944933 -0.2591405
Moved 230.898 400.1046 335.8807 0.06962597 -0.3016165
Moved 230.9145 397.1969 331.1969 0.06457797 -0.3287216
Moved 230.9296 395.0106 328.0212 0.06078228 -0.3470997
Moved 230.9437 393.9709 325.9418 0.05897731 -0.3591327
Moved 230.9597 392.1434 323.5717 0.05580454 -0.3728489
Moved 230.9756 390.1957 322.1957 0.0524231 -0.380812
Moved 230.9908 387.6265 320.8132 0.04796259 -0.3888123
Moved 231.0062 384.86 321 0.04315972 -0.3877315
Moved 231.0221 382.1183 321 0.03839977 -0.3877315
Moved 231.0377 378.0179 330.2915 0.03128118 -0.3339612
Moved 231.0523 376 334 0.02777777 -0.3124998
Moved 231.0677 372.5194 340.7014 0.02173513 -0.2737187
Moved 231.0831 369.6802 348.9594 0.0168059 -0.2259297
Moved 231.0985 368.5 352.5 0.01475692 -0.2054398
Moved 231.114 367.088 358.6478 0.0123056 -0.1698619
Moved 231.1287 367 365.459 0.01215279 -0.1304452
Moved 231.1444 367 372.3631 0.01215279 -0.09049133
Moved 231.1603 367 379.2672 0.01215279 -0.05053732
Moved 231.1763 367 383.3809 0.01215279 -0.02673079
Moved 231.1904 367 389.0139 0.01215279 0.005867305
Moved 231.206 367 392.6528 0.01215279 0.02692593
Moved 231.222 367 395.5497 0.01215279 0.04369047
Moved 231.2371 367 397.3251 0.01215279 0.05396454
Ended 231.2604 367 399 0.01215279 0.06365749
Began 231.5305 370 422 0.01736112 0.1967593
Stationary 231.5468 370 422 0.01736112 0.1967593
Stationary 231.5615 370 422 0.01736112 0.1967593
Stationary 231.5782 370 422 0.01736112 0.1967593
Stationary 231.5916 370 422 0.01736112 0.1967593
Stationary 231.6071 370 422 0.01736112 0.1967593
Stationary 231.6231 370 422 0.01736112 0.1967593
Moved 231.6371 376.9446 422 0.02941765 0.1967593
Moved 231.6532 387.8456 422 0.04834308 0.1967593
Moved 231.6693 406.9237 422 0.08146472 0.1967593
Moved 231.6852 427.9231 432.2308 0.1179221 0.255965
Moved 231.7011 446.0989 432.8416 0.1494773 0.2594998
Moved 231.716 466.4282 434.2286 0.1847712 0.2675266
Moved 231.7311 487.2791 436.6186 0.2209706 0.2813576
Moved 231.7463 504.9726 437.9977 0.2516886 0.2893388
Moved 231.7627 521.6679 439.389 0.2806734 0.2973898
Moved 231.7785 530.7194 440.3719 0.2963877 0.3030783
Moved 231.7925 545.1164 441 0.3213826 0.3067129
Moved 231.8087 554.7824 441 0.3381639 0.3067129
Moved 231.8242 564.5292 441 0.3550855 0.3067129
Moved 231.8393 572.153 441 0.3683211 0.3067129
Moved 231.8534 581.9266 442.4181 0.3852892 0.3149195
Moved 231.8698 588.0081 442 0.3958474 0.3125
Moved 231.8853 592.5875 442 0.4037977 0.3125
Moved 231.9007 598.0018 442 0.4131975 0.3125
Moved 231.9164 600.9083 442 0.4182436 0.3125
Moved 231.9333 604.0393 442 0.4236793 0.3125
Moved 231.9469 606.8064 442 0.4284833 0.3125
Moved 231.963 608.5791 442 0.4315609 0.3125
Moved 231.9785 610.1763 442 0.4343338 0.3125
Moved 231.9936 611.5 442 0.4366319 0.3125
Moved 232.0092 612.5939 442 0.438531 0.3125
Ended 232.0248 615 442 0.4427083 0.3125
Began 232.3295 151 432 -0.3628472 0.2546297
Stationary 232.3481 151 432 -0.3628472 0.2546297
Stationary 232.3634 151 432 -0.3628472 0.2546297
Stationary 232.3779 151 432 -0.3628472 0.2546297
Stationary 232.3928 151 432 -0.3628472 0.2546297
Moved 232.4091 180.9272 432 -0.3108902 0.2546297
Moved 232.4257 203.8715 432 -0.2710564 0.2546297
Moved 232.4404 225.78 432 -0.2330208 0.2546297
